Ticker: MYL  Created on: 12/6/2014 5:25:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 58.22, 58.53, 57.81, 58.41, 2156500, 58.41, 0, 1, 58.315, -999
20141204, 57.3, 58.86, 57.3, 58.23, 2410600, 58.23, 0, 1, 57.765, -999
20141203, 58.01, 58.57, 57.52, 58.23, 3273800, 58.23, 0, 1, 58.12, -999
20141202, 57.97, 58.63, 57.55, 57.83, 3075600, 57.83, 0, 1, 57.9, -999
20141201, 58.27, 58.55, 57.52, 57.79, 3350900, 57.79, 0, 1, 58.03, -999
20141128, 59.42, 59.6, 57.58, 58.61, 2761100, 58.61, 0, 1, 59.015, -999
20141126, 56.87, 59.12, 56.73, 58.62, 6204900, 58.62, 0, 1, 57.745, -999
20141125, 55.64, 56.19, 55.31, 56.17, 2679800, 56.17, 0, 1, 55.905, -999
20141124, 55.93, 56.12, 55.25, 55.96, 3287100, 55.96, 0, 1, 55.945, -999
20141121, 56.02, 56.16, 55.52, 55.79, 2631100, 55.79, 0, 1, 55.905, -999
20141120, 55.55, 55.84, 55.01, 55.22, 1862000, 55.22, 0, 1, 55.385, -999
20141119, 55.9, 56.08, 54.72, 55.68, 4250200, 55.68, 0, 1, 55.79, -999
20141118, 55.48, 56.7, 55.05, 56.24, 4137700, 56.24, 0, 1, 55.86, -999
20141117, 54.23, 55.69, 54.02, 55.13, 4017400, 55.13, 0, 1, 54.68, -999
20141114, 54.92, 54.94, 53.5, 54.05, 2546800, 54.05, 0, 1, 54.485, -999
20141113, 53.16, 56.25, 53.16, 54.73, 4833300, 54.73, 0, 1, 53.945, -999
20141112, 53, 54.06, 53, 53.8, 2680800, 53.8, 0, 1, 53.4, -999
20141111, 53.81, 54.1, 53.31, 53.51, 2341100, 53.51, 0, 1, 53.66, -999
20141110, 53.31, 54.23, 52.44, 53.95, 3073200, 53.95, 0, 1, 53.63, -999
20141107, 53.58, 53.59, 52.33, 53.11, 4126400, 53.11, 0, 1, 53.345, -999
20141106, 53.89, 53.89, 52.93, 53.5, 2966100, 53.5, 0, 1, 53.695, -999
20141105, 53.99, 54.41, 53.39, 53.47, 2550600, 53.47, 0, 1, 53.73, -999
20141104, 53.55, 53.99, 53.37, 53.75, 3847600, 53.75, 0, 1, 53.65, -999
20141103, 53.6, 54, 53.25, 53.59, 3313400, 53.59, 0, 1, 53.595, -999
20141031, 54.44, 56.1, 53.15, 53.55, 9047300, 53.55, 0, 1, 53.995, -999
20141030, 50.49, 52.46, 50.49, 52.37, 3190300, 52.37, 0, 1, 51.43, -999
20141029, 51.64, 51.94, 50.63, 50.85, 3070800, 50.85, 0, 1, 51.245, -999
20141028, 51.14, 51.76, 51, 51.71, 2011400, 51.71, 0, 1, 51.425, -999
20141027, 51.2, 51.39, 50.3, 50.95, 2771200, 50.95, 0, 1, 51.075, -999
20141024, 50.65, 51.41, 50.45, 51.22, 3396400, 51.22, 0, 1, 50.935, -999
20141023, 51.24, 51.55, 50.4, 50.43, 3349800, 50.43, 0, 1, 50.835, -999
20141022, 52, 52.18, 50.33, 50.36, 6964600, 50.36, 0, 1, 51.18, -999
20141021, 50.84, 52.12, 50.64, 52.05, 5273500, 52.05, 0, 1, 51.445, -999
20141020, 49.48, 50.39, 48.67, 50.31, 5946600, 50.31, 0, 1, 49.895, -999
20141017, 49.95, 50.12, 48.63, 49.46, 4412300, 49.46, 0, 1, 49.705, -999
20141016, 46.45, 49.2, 46.23, 48.77, 5011200, 48.77, 0, 1, 47.61, -999
20141015, 46.1, 48.13, 45.1, 47.38, 7089400, 47.38, 0, 1, 46.74, -999
20141014, 47.75, 48.08, 46.73, 46.82, 4444000, 46.82, 0, 1, 47.285, -999
20141013, 49.26, 49.74, 47.57, 47.64, 3242500, 47.64, 0, 1, 48.45, -999
20141010, 50.1, 50.46, 49.19, 49.35, 2976600, 49.35, 0, 1, 49.725, -999
20141009, 51.05, 51.64, 50.05, 50.12, 3551800, 50.12, 0, 1, 50.585, -999
20141008, 50.29, 51.33, 49.35, 51.23, 3693800, 51.23, 0, 1, 50.76, -999
20141007, 51.09, 51.09, 49.77, 50.14, 4063000, 50.14, 0, 1, 50.615, -999
20141006, 50.62, 52.1, 50.41, 50.98, 7861800, 50.98, 0, 1, 50.8, -999
20141003, 48.95, 51.19, 48.11, 50.23, 15981300, 50.23, 0, 1, 49.59, -999
20141002, 45.17, 51, 45.12, 46.5, 15729000, 46.5, 0, 1, 45.835, -999
20141001, 45.64, 45.73, 45.02, 45.27, 3443000, 45.27, 0, 1, 45.455, -999
20140930, 45.95, 46.14, 44.8, 45.49, 3842400, 45.49, 0, 1, 45.72, -999
20140929, 45.95, 46.39, 45.59, 45.79, 3046000, 45.79, 0, 1, 45.87, -999
20140926, 45.93, 46.4, 45.44, 46.29, 2990300, 46.29, 0, 1, 46.11, -999
20140925, 46.15, 46.64, 45.64, 45.95, 5184300, 45.95, 0, 1, 46.05, -999
20140924, 46.78, 46.97, 46.15, 46.44, 4507100, 46.44, 0, 1, 46.61, -999
20140923, 45.52, 46.9, 44.81, 46.61, 7161600, 46.61, 0, 1, 46.065, -999
20140922, 47.4, 47.45, 46.29, 46.53, 2913900, 46.53, 0, 1, 46.965, -999
20140919, 48.67, 48.97, 47.31, 47.36, 6686600, 47.36, 0, 1, 48.015, -999
20140918, 48.3, 48.96, 48.01, 48.43, 3152400, 48.43, 0, 1, 48.365, -999
20140917, 48.11, 48.28, 47.57, 48, 2110000, 48, 0, 1, 48.055, -999
20140916, 46.7, 48.01, 46.56, 47.96, 3260700, 47.96, 0, 1, 47.33, -999
20140915, 47.26, 47.63, 46.48, 46.75, 2279800, 46.75, 0, 1, 47.005, -999
20140912, 47.94, 47.94, 46.99, 47.06, 2112600, 47.06, 0, 1, 47.5, -999
20140911, 47.39, 47.9, 46.8, 47.79, 3472300, 47.79, 0, 1, 47.59, -999
20140910, 47.63, 47.79, 47.2, 47.44, 3614100, 47.44, 0, 1, 47.535, -999
20140909, 48.09, 48.13, 47.38, 47.47, 4376100, 47.47, 0, 1, 47.78, -999
20140908, 46.79, 48.58, 46.79, 47.96, 6434700, 47.96, 0, 1, 47.375, -999
20140905, 46.85, 47.22, 46.27, 46.98, 6312900, 46.98, 0, 1, 46.915, -999
20140904, 48.09, 48.12, 45.66, 46.94, 4654200, 46.94, 0, 1, 47.515, -999
20140903, 48.73, 48.99, 47.65, 47.81, 3833100, 47.81, 0, 1, 48.27, -999
20140902, 48.77, 49, 48.46, 48.68, 2358400, 48.68, 0, 1, 48.725, -999
20140829, 48.43, 48.63, 48.2, 48.6, 3027200, 48.6, 0, 1, 48.515, -999
20140828, 48.1, 48.16, 47.56, 48.13, 1985700, 48.13, 0, 1, 48.115, -999
20140827, 48.48, 48.63, 47.9, 48.08, 3030100, 48.08, 0, 1, 48.28, -999
20140826, 48.63, 48.83, 48.27, 48.3, 2404100, 48.3, 0, 1, 48.465, -999
20140825, 48.49, 48.82, 48.33, 48.51, 2505500, 48.51, 0, 1, 48.5, -999
20140822, 48.15, 49, 47.87, 48.21, 2788500, 48.21, 0, 1, 48.18, -999
20140821, 48.52, 48.74, 47.66, 47.75, 3786600, 47.75, 0, 1, 48.135, -999
20140820, 47.1, 48.85, 46.86, 48.59, 7589400, 48.59, 0, 1, 47.845, -999
20140819, 46.51, 47.07, 46.14, 47.04, 4564400, 47.04, 0, 1, 46.775, -999
20140818, 46.88, 46.98, 46.33, 46.48, 3923400, 46.48, 0, 1, 46.68, -999
20140815, 46.32, 46.84, 45.96, 46.45, 6054100, 46.45, 0, 1, 46.385, -999
20140814, 45.42, 46.42, 45.41, 46.15, 4486800, 46.15, 0, 1, 45.785, -999
20140813, 44.97, 45.55, 44.8, 45.39, 5425600, 45.39, 0, 1, 45.18, -999
