Ticker: M  Created on: 12/6/2014 5:25:13 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 62.36, 62.89, 61.91, 62.35, 3634300, 62.35, 0, 1, 62.355, -999
20141204, 63.4, 63.4, 62.01, 62.5, 4674500, 62.5, 0, 1, 62.95, -999
20141203, 63.32, 63.75, 62.75, 63.66, 2802000, 63.66, 0, 1, 63.49, -999
20141202, 63.49, 63.9, 63.18, 63.25, 3881300, 63.25, 0, 1, 63.37, -999
20141201, 64.34, 64.38, 62.82, 63.19, 5739100, 63.19, 0, 1, 63.765, -999
20141128, 64.24, 65.74, 64.16, 64.91, 3651100, 64.91, 0, 1, 64.575, -999
20141126, 63.89, 64.02, 63.25, 63.53, 3575400, 63.53, 0, 1, 63.71, -999
20141125, 64.57, 65.15, 63.84, 63.9, 4511000, 63.9, 0, 1, 64.235, -999
20141124, 63.54, 64.94, 63.33, 64.36, 5374500, 64.36, 0, 1, 63.95, -999
20141121, 63.46, 63.95, 63, 63.33, 4342300, 63.33, 0, 1, 63.395, -999
20141120, 61.65, 63.44, 61.55, 62.85, 5733300, 62.85, 0, 1, 62.25, -999
20141119, 61.73, 62.3, 61.61, 61.97, 5060100, 61.97, 0, 1, 61.85, -999
20141118, 61, 61.65, 60.96, 61.45, 5479300, 61.45, 0, 1, 61.225, -999
20141117, 61.68, 62.2, 61.5, 61.61, 4124100, 61.61, 0, 1, 61.645, -999
20141114, 61.35, 62.43, 61.3, 62.05, 5356100, 62.05, 0, 1, 61.7, -999
20141113, 60.98, 61.97, 60.68, 61.57, 7325300, 61.57, 0, 1, 61.275, -999
20141112, 59.21, 61.8, 59, 61.57, 17120700, 61.57, 0, 1, 60.39, -999
20141111, 58.88, 59.4, 58.23, 58.59, 9995500, 58.59, 0, 1, 58.735, -999
20141110, 59.85, 60.11, 59.16, 59.26, 6044100, 59.26, 0, 1, 59.555, -999
20141107, 59.04, 60.26, 58.58, 59.88, 6480200, 59.88, 0, 1, 59.46, -999
20141106, 57.58, 59.15, 57.33, 59.04, 5538600, 59.04, 0, 1, 58.31, -999
20141105, 57.39, 57.39, 56.45, 57.2, 5171100, 57.2, 0, 1, 57.295, -999
20141104, 56.55, 56.7, 55.64, 56.3, 10048600, 56.3, 0, 1, 56.425, -999
20141103, 57.96, 58, 56.95, 57.25, 5436800, 57.25, 0, 1, 57.605, -999
20141031, 58.8, 58.99, 57.68, 57.82, 5680500, 57.82, 0, 1, 58.31, -999
20141030, 57.4, 58.24, 57, 57.9, 3475700, 57.9, 0, 1, 57.65, -999
20141029, 57.45, 58.13, 57.05, 57.45, 5129000, 57.45, 0, 1, 57.45, -999
20141028, 57.66, 57.7, 56.85, 57.27, 6225400, 57.27, 0, 1, 57.465, -999
20141027, 58.89, 59, 57.53, 58.49, 4577800, 58.49, 0, 1, 58.69, -999
20141024, 58.58, 59.09, 57.56, 58.98, 6767400, 58.98, 0, 1, 58.78, -999
20141023, 58.23, 59.09, 57.96, 58.39, 4902200, 58.39, 0, 1, 58.31, -999
20141022, 58.39, 58.98, 57.55, 57.62, 3538400, 57.62, 0, 1, 58.005, -999
20141021, 57.68, 58.69, 57.61, 58.38, 4011800, 58.38, 0, 1, 58.03, -999
20141020, 56.2, 57.22, 56.12, 57.07, 3689100, 57.07, 0, 1, 56.635, -999
