Ticker: NBL  Created on: 12/6/2014 5:25:31 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 51.16, 51.4, 50.05, 50.59, 2928800, 50.59, 0, 1, 50.875, -999
20141204, 51.38, 52.21, 51.09, 51.58, 4211000, 51.58, 0, 1, 51.48, -999
20141203, 50.86, 52.36, 50.53, 52.14, 4349900, 52.14, 0, 1, 51.5, -999
20141202, 49.35, 50.83, 49.14, 50.55, 4978700, 50.55, 0, 1, 49.95, -999
20141201, 49.11, 49.79, 47.75, 49.7, 5976400, 49.7, 0, 1, 49.405, -999
20141128, 51.01, 51.17, 48.94, 49.18, 3881500, 49.18, 0, 1, 50.095, -999
20141126, 55.04, 55.06, 53.77, 53.83, 2091600, 53.83, 0, 1, 54.435, -999
20141125, 56.84, 57.01, 55.11, 55.42, 2255400, 55.42, 0, 1, 56.13, -999
20141124, 57.34, 57.85, 56.48, 56.69, 3901800, 56.69, 0, 1, 57.015, -999
20141121, 57.66, 58.02, 56.83, 57.71, 3252500, 57.71, 0, 1, 57.685, -999
20141120, 54.77, 56.82, 54.67, 56.54, 3358700, 56.54, 0, 1, 55.655, -999
20141119, 55.36, 55.42, 54.02, 54.77, 2789800, 54.77, 0, 1, 55.065, -999
20141118, 54.75, 55.42, 54.26, 55.01, 1934800, 55.01, 0, 1, 54.88, -999
20141117, 55.36, 55.53, 54.28, 54.71, 3402200, 54.71, 0, 1, 55.035, -999
20141114, 54.35, 56.28, 54.25, 56.11, 2577600, 56.11, 0, 1, 55.23, -999
20141113, 55.1, 55.71, 53.27, 53.99, 3158700, 53.99, 0, 1, 54.545, -999
20141112, 55.53, 56.26, 55.14, 55.22, 2701900, 55.22, 0, 1, 55.375, -999
20141111, 56.39, 56.52, 55.28, 56.14, 3366300, 56.14, 0, 1, 56.265, -999
20141110, 57.3, 57.7, 55.93, 56.23, 3167600, 56.23, 0, 1, 56.765, -999
20141107, 55.16, 57.07, 55.05, 56.51, 4604800, 56.51, 0, 1, 55.835, -999
20141106, 54.91, 55.29, 54.23, 54.8, 4548800, 54.8, 0, 1, 54.855, -999
20141105, 54.92, 55.95, 54.16, 55.55, 2599600, 55.55, 0, 1, 55.235, -999
20141104, 55.06, 55.22, 53.64, 54.2, 3222000, 54.2, 0, 1, 54.63, -999
20141103, 58.08, 58.2, 55.75, 55.87, 3799000, 55.87, 0, 1, 56.975, -999
20141031, 56.64, 57.69, 55.73, 57.63, 4056300, 57.63, 0.18, 1, 57.135, -999
20141030, 57.57, 58.5, 55.1, 57.16, 2718800, 56.98, 0, 1, 57.275, -999
20141029, 58.85, 60.3, 57.56, 58.13, 3350800, 57.95, 0, 1, 58.4, -999
20141028, 56.56, 58.48, 55.18, 58.36, 3305100, 58.18, 0, 1, 57.37, -999
20141027, 56.25, 56.55, 55.36, 56.38, 3327900, 56.2, 0, 1, 56.225, -999
20141024, 58.39, 58.5, 57.08, 57.43, 2663800, 57.25, 0, 1, 57.82, -999
20141023, 58.17, 58.91, 57.73, 58.48, 2486400, 58.3, 0, 1, 58.235, -999
20141022, 59.26, 59.4, 57.11, 57.13, 3114100, 56.95, 0, 1, 58.105, -999
20141021, 58.04, 59.5, 58, 58.89, 3150400, 58.7, 0, 1, 58.37, -999
20141020, 56.55, 57.77, 56.46, 57.51, 2046100, 57.33, 0, 1, 56.94, -999
20141017, 57.79, 58.53, 56.16, 56.59, 3137200, 56.41, 0, 1, 57.1, -999
20141016, 53.5, 57.75, 53.3, 56.67, 4292600, 56.49, 0, 1, 54.995, -999
20141015, 53.67, 54.96, 52.65, 54.85, 5319100, 54.68, 0, 1, 54.175, -999
20141014, 55.92, 56.5, 54.46, 54.79, 4134700, 54.62, 0, 1, 55.27, -999
20141013, 58.54, 59.28, 55.51, 55.57, 3472800, 55.4, 0, 1, 56.97, -999
20141010, 60.41, 60.58, 58.71, 58.72, 3386900, 58.54, 0, 1, 59.475, -999
20141009, 62.5, 62.5, 60.23, 60.3, 2976200, 60.11, 0, 1, 61.305, -999
20141008, 62.23, 63.08, 61.03, 63.01, 2880300, 62.81, 0, 1, 62.52, -999
20141007, 64.37, 64.47, 62.58, 62.58, 3101200, 62.38, 0, 1, 63.375, -999
20141006, 65.46, 65.7, 64.53, 64.92, 2110700, 64.72, 0, 1, 65.09, -999
20141003, 66.03, 66.54, 65.16, 65.17, 2701000, 64.96, 0, 1, 65.495, -999
20141002, 66.16, 66.35, 64.51, 66.14, 3417100, 65.93, 0, 1, 66.045, -999
20141001, 68.34, 68.73, 66.53, 66.79, 2593400, 66.58, 0, 1, 67.46, -999
20140930, 69.64, 69.78, 67.9, 68.36, 2335900, 68.14, 0, 1, 68.89, -999
20140929, 69.15, 70.02, 69.08, 69.89, 1666200, 69.67, 0, 1, 69.41, -999
20140926, 69.03, 70.21, 68.56, 69.88, 1617100, 69.66, 0, 1, 69.345, -999
20140925, 70.43, 70.43, 68.99, 69.2, 2459700, 68.98, 0, 1, 69.705, -999
20140924, 69.79, 70.92, 69.13, 70.42, 1799100, 70.2, 0, 1, 69.995, -999
20140923, 70.27, 71.19, 70.01, 70.3, 2338100, 70.08, 0, 1, 70.175, -999
20140922, 70.95, 70.95, 69.9, 70.36, 2201900, 70.14, 0, 1, 70.545, -999
20140919, 71.55, 72.06, 71.16, 71.29, 2726000, 71.07, 0, 1, 71.31, -999
20140918, 71.22, 71.46, 70.81, 71.22, 2740800, 71, 0, 1, 71.11, -999
20140917, 71.5, 71.63, 70.58, 71.17, 1955600, 70.95, 0, 1, 71.225, -999
20140916, 69.7, 71.43, 69.31, 71.11, 2233500, 70.89, 0, 1, 70.295, -999
20140915, 68.97, 69.83, 68.51, 69.48, 1959800, 69.26, 0, 1, 69.115, -999
20140912, 69.79, 70.06, 68.74, 68.8, 1531200, 68.58, 0, 1, 69.185, -999
20140911, 69.31, 70.16, 68.95, 70, 1325800, 69.78, 0, 1, 69.545, -999
20140910, 70.27, 70.29, 69.04, 69.94, 2223300, 69.72, 0, 1, 69.995, -999
20140909, 70.6, 71.82, 70.32, 70.59, 1861800, 70.37, 0, 1, 70.485, -999
20140908, 71.02, 71.22, 70.22, 70.61, 1781500, 70.39, 0, 1, 70.705, -999
20140905, 70.73, 71.68, 70.44, 71.66, 2038000, 71.43, 0, 1, 71.08, -999
20140904, 71.14, 71.44, 70.1, 71, 2260300, 70.78, 0, 1, 70.96, -999
20140903, 70.9, 71.62, 70.9, 71.21, 1297600, 70.99, 0, 1, 70.945, -999
20140902, 71.93, 72.06, 70.46, 70.55, 1626300, 70.33, 0, 1, 71.13, -999
20140829, 71.11, 72.16, 70.82, 72.14, 1755500, 71.91, 0, 1, 71.51, -999
20140828, 70.88, 71.03, 70.36, 70.92, 1136200, 70.7, 0, 1, 70.79, -999
20140827, 71.31, 71.63, 70.64, 70.92, 900200, 70.7, 0, 1, 71.005, -999
20140826, 71.31, 72.07, 71.09, 71.4, 1865900, 71.18, 0, 1, 71.245, -999
20140825, 69.94, 71.06, 69.78, 71.03, 1257600, 70.81, 0, 1, 70.375, -999
20140822, 69.67, 70.03, 69.06, 69.55, 1741900, 69.33, 0, 1, 69.5, -999
20140821, 70.1, 70.28, 69.61, 70.14, 1402600, 69.92, 0, 1, 70.01, -999
20140820, 70.09, 70.3, 69.43, 69.91, 1708600, 69.69, 0, 1, 69.89, -999
20140819, 69.91, 70.81, 69.83, 70.25, 1107100, 70.03, 0, 1, 69.97, -999
20140818, 70.11, 70.58, 69.56, 69.82, 1721000, 69.6, 0, 1, 69.855, -999
20140815, 69.74, 70.17, 69.49, 70.01, 1840000, 69.79, 0, 1, 69.765, -999
20140814, 69.57, 70.25, 69.11, 69.5, 3568600, 69.28, 0, 1, 69.425, -999
20140813, 69.52, 69.96, 68.99, 69.56, 1363200, 69.34, 0, 1, 69.43, -999
20140812, 69.4, 69.8, 68.9, 69.09, 1928900, 68.87, 0, 1, 69.135, -999
20140811, 70.74, 70.99, 69.6, 69.77, 1983900, 69.55, 0, 1, 70.145, -999
20140808, 69, 70.53, 68.81, 70.46, 2199900, 70.24, 0, 1, 69.62, -999
20140807, 69.08, 69.33, 68.11, 68.78, 3374400, 68.56, 0, 1, 68.82, -999
20140806, 67.96, 69.61, 67.86, 68.98, 3237100, 68.76, 0, 1, 68.36, -999
20140805, 69.81, 69.9, 67.95, 68.41, 3673900, 68.19, 0, 1, 69, -999
20140804, 66.75, 72.85, 66.32, 70.23, 8083200, 70.01, 0, 1, 68.38, -999
20140801, 66.05, 67.36, 65.88, 66.75, 5843700, 66.54, 0, 1, 66.295, -999
20140731, 66.27, 67.15, 65.67, 66.49, 5083700, 66.28, 0.18, 1, 66.275, -999
20140730, 68.87, 69.22, 66.66, 67.04, 4436200, 66.65, 0, 1, 67.76, -999
20140729, 69.13, 69.14, 68.36, 68.44, 3707900, 68.04, 0, 1, 68.585, -999
20140728, 69.78, 70.22, 68.98, 69.13, 4872400, 68.73, 0, 1, 69.255, -999
20140725, 71.5, 71.6, 69.19, 69.57, 6736900, 69.16, 0, 1, 70.33, -999
20140724, 70.23, 72.82, 69.83, 71.63, 7557500, 71.21, 0, 1, 70.72, -999
20140723, 73.57, 74.38, 73.21, 74.21, 2614500, 73.78, 0, 1, 73.675, -999
20140722, 73.22, 73.67, 72.71, 73.47, 1544600, 73.04, 0, 1, 73.13, -999
20140721, 72.84, 73.09, 72.44, 72.92, 1507100, 72.5, 0, 1, 72.67, -999
20140718, 73.55, 73.76, 72.95, 73.01, 2838300, 72.58, 0, 1, 73.065, -999
20140717, 76.14, 76.43, 73.66, 73.71, 2190100, 73.28, 0, 1, 74.71, -999
20140716, 74.4, 76.19, 74.35, 76.13, 2078200, 75.69, 0, 1, 75.045, -999
20140715, 74.59, 74.93, 73.76, 74.16, 1784600, 73.73, 0, 1, 74.16, -999
20140714, 74.12, 74.98, 74.12, 74.83, 1455200, 74.39, 0, 1, 74.255, -999
20140711, 74.87, 74.91, 73.6, 73.69, 1541800, 73.26, 0, 1, 74.065, -999
20140710, 74.85, 75.5, 74.29, 74.91, 1469100, 74.47, 0, 1, 74.66, -999
20140709, 75.27, 75.85, 74.98, 75.79, 1479600, 75.35, 0, 1, 75.31, -999
20140708, 74.82, 75.61, 74.75, 75.34, 1415700, 74.9, 0, 1, 74.86, -999
20140707, 75.61, 75.73, 74.38, 74.72, 1946600, 74.28, 0, 1, 74.945, -999
20140703, 75.69, 76.06, 75.08, 75.79, 904800, 75.35, 0, 1, 75.52, -999
20140702, 76.28, 76.64, 75.57, 75.78, 1817600, 75.34, 0, 1, 75.81, -999
20140701, 77.83, 77.93, 75.89, 76.34, 2439700, 75.9, 0, 1, 76.865, -999
20140630, 77.65, 78.24, 76.87, 77.46, 2366000, 77.01, 0, 1, 77.33, -999
20140627, 77.76, 78.28, 76.71, 77.42, 4454600, 76.97, 0, 1, 77.365, -999
20140626, 78.57, 78.63, 77.72, 78.13, 1601100, 77.67, 0, 1, 78.12, -999
20140625, 77.22, 78.75, 77.21, 78.57, 2067500, 78.11, 0, 1, 77.665, -999
20140624, 78.9, 79.01, 77.43, 77.5, 2565600, 77.05, 0, 1, 77.975, -999
20140623, 78.96, 79.63, 78.62, 79.23, 2199000, 78.77, 0, 1, 78.865, -999
20140620, 77.71, 78.68, 77.51, 78.64, 2653000, 78.18, 0, 1, 77.945, -999
20140619, 76.77, 77.44, 76.63, 77.42, 1428400, 76.97, 0, 1, 76.87, -999
20140618, 76, 76.71, 75.53, 76.61, 1412900, 76.16, 0, 1, 76.08, -999
20140617, 76.13, 76.51, 75.47, 76.02, 1625600, 75.58, 0, 1, 75.855, -999
20140616, 76.29, 76.5, 75.7, 76.25, 1214900, 75.81, 0, 1, 76.05, -999
20140613, 76.01, 76.22, 75.15, 76.19, 1195100, 75.75, 0, 1, 75.88, -999
20140612, 76.01, 77.4, 75.47, 75.81, 1963700, 75.37, 0, 1, 75.69, -999
20140611, 74.3, 75.94, 74.15, 75.38, 2095900, 74.94, 0, 1, 74.62, -999
20140610, 74.01, 74.81, 73.94, 74.78, 1843200, 74.34, 0, 1, 74.175, -999
20140609, 74.14, 74.96, 73.92, 74.23, 1427300, 73.8, 0, 1, 73.97, -999
20140606, 72.36, 74.1, 72.35, 74, 1969000, 73.57, 0, 1, 72.965, -999
20140605, 72.08, 72.4, 71.52, 72.36, 1511900, 71.94, 0, 1, 72.01, -999
20140604, 72, 72.49, 71.56, 72.16, 1069800, 71.74, 0, 1, 71.87, -999
20140603, 71.35, 72.05, 71.26, 72.01, 1093300, 71.59, 0, 1, 71.47, -999
20140602, 72.36, 72.5, 71.57, 71.67, 1308600, 71.25, 0, 1, 71.805, -999
20140530, 71.85, 72.46, 71.72, 72.07, 2143600, 71.65, 0, 1, 71.75, -999
20140529, 71, 71.97, 70.87, 71.89, 1660300, 71.47, 0, 1, 71.235, -999
20140528, 69.97, 71.04, 69.78, 70.77, 1990700, 70.36, 0, 1, 70.165, -999
20140527, 70.14, 70.28, 69.61, 69.84, 1456800, 69.43, 0, 1, 69.785, -999
20140523, 70.33, 70.55, 69.95, 70, 906400, 69.59, 0, 1, 69.96, -999
20140522, 70.58, 71.18, 70.17, 70.19, 1506100, 69.78, 0, 1, 70.18, -999
20140521, 69, 70.57, 69, 70.33, 1773000, 69.92, 0, 1, 69.46, -999
20140520, 69.56, 69.85, 69.13, 69.34, 937200, 68.94, 0, 1, 69.25, -999
20140519, 69.44, 70.09, 69.2, 69.56, 1602600, 69.15, 0, 1, 69.295, -999
20140516, 69.71, 70.25, 69.22, 69.73, 1551700, 69.32, 0, 1, 69.515, -999
20140515, 70.58, 70.65, 68.83, 69.62, 1608000, 69.21, 0, 1, 69.895, -999
20140514, 71.28, 71.75, 70.47, 70.7, 1289400, 70.29, 0, 1, 70.785, -999
20140513, 70.61, 71.46, 70.61, 71.04, 2173500, 70.63, 0, 1, 70.62, -999
