Ticker: NBR  Created on: 12/6/2014 5:25:25 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 12.88, 13, 12.11, 12.21, 12114000, 12.21, 0, 1, 12.545, -999
20141204, 12.98, 13.29, 12.84, 12.95, 9295000, 12.95, 0, 1, 12.965, -999
20141203, 13, 13.69, 12.8, 13.3, 10245500, 13.3, 0, 1, 13.15, -999
20141202, 12.82, 13.7, 12.8, 12.88, 11901200, 12.88, 0, 1, 12.85, -999
20141201, 13.3, 13.52, 12.42, 12.91, 13311100, 12.91, 0, 1, 13.105, -999
20141128, 14.23, 14.24, 12.87, 13.12, 8834200, 13.12, 0, 1, 13.675, -999
20141126, 15.53, 15.61, 15.01, 15.07, 8239400, 15.07, 0, 1, 15.3, -999
20141125, 16.39, 16.63, 15.55, 15.6, 8951500, 15.6, 0, 1, 15.995, -999
20141124, 16.89, 17.06, 16.34, 16.4, 5533100, 16.4, 0, 1, 16.645, -999
20141121, 16.81, 17.33, 16.65, 16.91, 7384800, 16.91, 0, 1, 16.86, -999
20141120, 15.83, 16.54, 15.79, 16.37, 9021700, 16.37, 0, 1, 16.1, -999
20141119, 16.11, 16.11, 15.7, 15.81, 9914400, 15.81, 0, 1, 15.96, -999
20141118, 16.11, 16.33, 15.8, 16.06, 6786800, 16.06, 0, 1, 16.085, -999
20141117, 16.56, 16.56, 15.88, 16.2, 10464000, 16.2, 0, 1, 16.38, -999
20141114, 16.65, 16.93, 16.11, 16.59, 8452600, 16.59, 0, 1, 16.62, -999
20141113, 17.09, 17.09, 16.03, 16.62, 13337000, 16.62, 0, 1, 16.855, -999
20141112, 17.19, 17.88, 17.06, 17.24, 6223400, 17.24, 0, 1, 17.215, -999
20141111, 17.52, 17.63, 17.01, 17.37, 5355300, 17.37, 0, 1, 17.445, -999
20141110, 17.95, 18.33, 17.26, 17.44, 6446200, 17.44, 0, 1, 17.695, -999
20141107, 17.14, 17.9, 17.1, 17.7, 7616600, 17.7, 0, 1, 17.42, -999
20141106, 16.49, 17.2, 16.22, 17.17, 6964400, 17.17, 0, 1, 16.83, -999
20141105, 16.67, 17.19, 16.45, 16.65, 9106600, 16.65, 0, 1, 16.66, -999
20141104, 17.3, 17.37, 16.34, 16.37, 7761100, 16.37, 0, 1, 16.835, -999
20141103, 17.99, 18.47, 17.45, 17.62, 6922400, 17.62, 0, 1, 17.805, -999
20141031, 17.46, 17.86, 17.04, 17.85, 6492400, 17.85, 0, 1, 17.655, -999
20141030, 17.72, 17.93, 17.26, 17.5, 5018200, 17.5, 0, 1, 17.61, -999
20141029, 17.9, 18.31, 17.6, 17.92, 6931500, 17.92, 0, 1, 17.91, -999
20141028, 17.49, 17.77, 17.14, 17.62, 8912500, 17.62, 0, 1, 17.555, -999
20141027, 18.26, 18.34, 17.38, 17.48, 7247900, 17.48, 0, 1, 17.87, -999
20141024, 19.15, 19.15, 18.14, 18.73, 9384100, 18.73, 0, 1, 18.94, -999
20141023, 18.48, 19.38, 18.06, 18.99, 8922800, 18.99, 0, 1, 18.735, -999
20141022, 18.9, 19.3, 18.15, 18.2, 10912200, 18.2, 0, 1, 18.55, -999
20141021, 18.12, 18.73, 18.06, 18.65, 9232500, 18.65, 0, 1, 18.385, -999
20141020, 17.6, 17.95, 17.48, 17.87, 7369900, 17.87, 0, 1, 17.735, -999
20141017, 18.41, 19.02, 17.41, 17.74, 11456800, 17.74, 0, 1, 18.075, -999
20141016, 16.72, 17.76, 16.5, 17.53, 10997100, 17.53, 0, 1, 17.125, -999
20141015, 16.8, 17.49, 16.17, 17.17, 12258800, 17.17, 0, 1, 16.985, -999
20141014, 17.71, 17.89, 16.57, 16.82, 12268400, 16.82, 0, 1, 17.265, -999
20141013, 18.78, 19.2, 17.52, 17.57, 10600600, 17.57, 0, 1, 18.175, -999
20141010, 19.77, 19.77, 18.79, 18.86, 8902400, 18.86, 0, 1, 19.315, -999
20141009, 20.63, 20.66, 19.47, 19.76, 9153400, 19.76, 0, 1, 20.195, -999
20141008, 20.89, 20.97, 19.81, 20.85, 9913100, 20.85, 0, 1, 20.87, -999
20141007, 21.12, 21.78, 20.96, 20.98, 8349200, 20.98, 0, 1, 21.05, -999
20141006, 21.28, 21.68, 21.01, 21.31, 4381100, 21.31, 0, 1, 21.295, -999
20141003, 21.55, 21.55, 20.83, 21.15, 5513300, 21.15, 0, 1, 21.35, -999
20141002, 21.85, 22.06, 20.55, 21.51, 9334700, 21.51, 0, 1, 21.68, -999
20141001, 22.76, 23.08, 22.02, 22.17, 4573000, 22.17, 0, 1, 22.465, -999
20140930, 23.02, 23.59, 22.51, 22.76, 5679900, 22.76, 0, 1, 22.89, -999
20140929, 22.89, 23.14, 22.64, 23.11, 3490700, 23.11, 0, 1, 23, -999
20140926, 23.07, 23.44, 22.95, 23.24, 4311100, 23.24, 0, 1, 23.155, -999
20140925, 23.43, 23.51, 22.89, 23.06, 3616700, 23.06, 0, 1, 23.245, -999
20140924, 23.31, 23.71, 22.94, 23.52, 4175600, 23.52, 0, 1, 23.415, -999
20140923, 22.97, 23.6, 22.78, 23.31, 5049000, 23.31, 0, 1, 23.14, -999
20140922, 23.73, 23.8, 22.83, 22.96, 7666300, 22.96, 0, 1, 23.345, -999
20140919, 24.05, 24.25, 23.67, 23.89, 8413900, 23.89, 0, 1, 23.97, -999
20140918, 24.33, 24.45, 23.85, 23.96, 4116000, 23.96, 0, 1, 24.145, -999
20140917, 24.6, 24.72, 24.13, 24.23, 4482100, 24.23, 0, 1, 24.415, -999
20140916, 24.13, 24.76, 24.06, 24.48, 6806800, 24.48, 0, 1, 24.305, -999
20140915, 24.11, 24.22, 23.75, 24.14, 5911700, 24.14, 0, 1, 24.125, -999
20140912, 24.85, 24.85, 23.97, 24.13, 5729400, 24.13, 0, 1, 24.49, -999
20140911, 23.75, 25.2, 23.72, 24.85, 34301700, 24.85, 0, 1, 24.3, -999
20140910, 24.4, 24.93, 23.91, 24.78, 4766100, 24.78, 0, 1, 24.59, -999
20140909, 24.53, 25, 24.16, 24.45, 3469200, 24.45, 0, 1, 24.49, -999
20140908, 25.27, 25.41, 24.2, 24.46, 4682000, 24.46, 0, 1, 24.865, -999
20140905, 25.65, 25.89, 25, 25.31, 6233700, 25.31, 0.06, 1, 25.48, -999
20140904, 26.49, 26.59, 25.53, 25.7, 3229000, 25.64, 0, 1, 26.065, -999
20140903, 27.1, 27.34, 26.35, 26.44, 3858400, 26.38, 0, 1, 26.74, -999
20140902, 27.1, 27.26, 26.55, 26.82, 3219200, 26.76, 0, 1, 26.93, -999
20140829, 26.45, 27.25, 26.21, 27.21, 3328600, 27.15, 0, 1, 26.8, -999
20140828, 26.39, 26.39, 26.04, 26.26, 2031500, 26.2, 0, 1, 26.295, -999
20140827, 26.38, 26.64, 26.2, 26.42, 2648300, 26.36, 0, 1, 26.37, -999
20140826, 25.79, 26.7, 25.72, 26.53, 3213300, 26.47, 0, 1, 26.13, -999
20140825, 25.47, 25.84, 25.29, 25.72, 2242600, 25.66, 0, 1, 25.565, -999
20140822, 25.61, 25.7, 25.25, 25.29, 3326100, 25.23, 0, 1, 25.42, -999
20140821, 25.96, 25.96, 25.39, 25.72, 3077700, 25.66, 0, 1, 25.81, -999
20140820, 25.93, 26, 25.66, 25.82, 3876100, 25.76, 0, 1, 25.845, -999
20140819, 26.06, 26.32, 25.92, 26.1, 2618600, 26.04, 0, 1, 26.05, -999
20140818, 26.23, 26.31, 25.78, 25.94, 2398300, 25.88, 0, 1, 26.055, -999
20140815, 25.94, 26.21, 25.79, 26.11, 4116100, 26.05, 0, 1, 25.995, -999
20140814, 26.85, 27, 25.71, 25.74, 4540800, 25.68, 0, 1, 26.265, -999
20140813, 26.85, 27.03, 26.75, 26.84, 1682200, 26.78, 0, 1, 26.815, -999
20140812, 26.81, 27.07, 26.54, 26.63, 2487400, 26.57, 0, 1, 26.69, -999
20140811, 27, 27.27, 26.78, 26.86, 2478900, 26.8, 0, 1, 26.9, -999
20140808, 26.41, 27, 26.25, 26.92, 2308000, 26.86, 0, 1, 26.635, -999
20140807, 26.95, 27.07, 26.22, 26.38, 3685700, 26.32, 0, 1, 26.635, -999
20140806, 26.61, 27.55, 26.46, 26.77, 3680700, 26.71, 0, 1, 26.66, -999
20140805, 27.11, 27.38, 26.32, 26.66, 5684500, 26.6, 0, 1, 26.855, -999
20140804, 26.9, 27.49, 26.57, 27.38, 3583800, 27.32, 0, 1, 27.11, -999
20140801, 27.34, 27.34, 25.44, 26.81, 6360400, 26.75, 0, 1, 27.045, -999
20140731, 28.6, 28.63, 27.15, 27.16, 5675800, 27.1, 0, 1, 27.85, -999
20140730, 29.31, 29.45, 28.65, 28.69, 2480300, 28.62, 0, 1, 28.965, -999
20140729, 29.13, 29.39, 29.03, 29.15, 2352400, 29.08, 0, 1, 29.105, -999
20140728, 29.45, 29.6, 28.96, 29.13, 1653100, 29.06, 0, 1, 29.255, -999
20140725, 29.06, 29.51, 28.81, 29.5, 2739700, 29.43, 0, 1, 29.245, -999
20140724, 29.54, 29.97, 28.89, 29.04, 4855800, 28.97, 0, 1, 29.255, -999
20140723, 28.91, 29.49, 28.34, 29.31, 4519100, 29.24, 0, 1, 29.075, -999
20140722, 28.95, 29.24, 28.82, 28.96, 3557400, 28.89, 0, 1, 28.92, -999
20140721, 29.02, 29.02, 28.41, 28.68, 4538400, 28.61, 0, 1, 28.815, -999
20140718, 28.91, 28.91, 28.53, 28.63, 3097000, 28.56, 0, 1, 28.735, -999
20140717, 29.11, 29.2, 28.58, 28.79, 3891200, 28.72, 0, 1, 28.915, -999
