Ticker: NEM  Created on: 12/6/2014 5:25:28 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 18.94, 19.14, 18.72, 19.03, 6880500, 19.03, 0, 1, 18.985, -999
20141204, 19.59, 19.69, 19.2, 19.27, 6795700, 19.27, 0, 1, 19.43, -999
20141203, 19.39, 19.84, 19.3, 19.63, 7863800, 19.63, 0, 1, 19.51, -999
20141202, 19.27, 19.57, 18.93, 19.18, 9002800, 19.16, 0, 1, 19.215, -999
20141201, 18.89, 19.86, 18.87, 19.66, 13529100, 19.63, 0, 1, 19.26, -999
20141128, 18.94, 19.06, 18.36, 18.4, 6808300, 18.38, 0, 1, 18.66, -999
20141126, 19.69, 19.73, 19.41, 19.53, 5100200, 19.5, 0, 1, 19.595, -999
20141125, 19.19, 19.73, 19.15, 19.71, 17163200, 19.68, 0, 1, 19.435, -999
20141124, 19.54, 19.64, 19.11, 19.17, 11115600, 19.15, 0, 1, 19.345, -999
20141121, 20.07, 20.07, 19.27, 19.69, 9471800, 19.66, 0, 1, 19.865, -999
20141120, 19.34, 19.7, 19.22, 19.58, 6906400, 19.55, 0, 1, 19.445, -999
20141119, 19.95, 19.97, 19.01, 19.11, 14203600, 19.09, 0, 1, 19.52, -999
20141118, 19.57, 19.96, 19.34, 19.9, 10335100, 19.87, 0, 1, 19.72, -999
20141117, 19.21, 19.36, 18.66, 19.24, 10062000, 19.21, 0, 1, 19.21, -999
20141114, 17.9, 19.2, 17.75, 19.15, 13315500, 19.13, 0, 1, 18.515, -999
20141113, 18.7, 18.83, 18.15, 18.24, 7134600, 18.22, 0, 1, 18.46, -999
20141112, 18.95, 19.04, 18.18, 18.46, 8325900, 18.44, 0, 1, 18.695, -999
20141111, 18.15, 18.87, 18.15, 18.7, 9720800, 18.68, 0, 1, 18.415, -999
20141110, 19.02, 19.02, 17.99, 18.06, 9861100, 18.04, 0, 1, 18.53, -999
20141107, 18.5, 19.21, 18.47, 19.19, 11442000, 19.16, 0, 1, 18.83, -999
20141106, 17.98, 18.56, 17.98, 18.2, 9735800, 18.18, 0, 1, 18.08, -999
20141105, 18.09, 18.61, 17.77, 17.83, 15489800, 17.81, 0, 1, 17.95, -999
20141104, 18.97, 19.15, 18.6, 18.66, 9629800, 18.64, 0, 1, 18.805, -999
20141103, 18.85, 19.19, 18.53, 19.12, 13148300, 19.1, 0, 1, 18.975, -999
20141031, 19.5, 19.7, 18.51, 18.76, 22967300, 18.74, 0, 1, 19.12, -999
20141030, 20.59, 20.69, 20.07, 20.33, 13820900, 20.3, 0, 1, 20.445, -999
20141029, 21.66, 21.69, 20.72, 20.81, 13812200, 20.78, 0, 1, 21.22, -999
20141028, 21.8, 21.9, 21.45, 21.85, 5637600, 21.82, 0, 1, 21.81, -999
20141027, 21.85, 21.9, 21.49, 21.63, 6782000, 21.6, 0, 1, 21.725, -999
20141024, 22, 22.11, 21.73, 21.95, 7961500, 21.92, 0, 1, 21.96, -999
20141023, 22.43, 22.51, 21.81, 22, 9835900, 21.97, 0, 1, 22.2, -999
20141022, 22.79, 23.07, 22.59, 22.59, 5775300, 22.56, 0, 1, 22.675, -999
20141021, 23.01, 23.18, 22.84, 22.9, 4777700, 22.87, 0, 1, 22.94, -999
20141020, 22.66, 22.91, 22.48, 22.85, 4655000, 22.82, 0, 1, 22.74, -999
20141017, 22.72, 22.79, 22.32, 22.4, 6338300, 22.37, 0, 1, 22.545, -999
20141016, 22.45, 22.99, 22.39, 22.72, 6736100, 22.69, 0, 1, 22.57, -999
20141015, 22.54, 23.1, 22.43, 22.7, 7638900, 22.67, 0, 1, 22.605, -999
20141014, 22.72, 23.21, 22.63, 22.79, 7153300, 22.76, 0, 1, 22.74, -999
20141013, 22.4, 23.16, 22.39, 22.52, 6861500, 22.49, 0, 1, 22.445, -999
20141010, 22.53, 22.91, 22.07, 22.21, 7234400, 22.18, 0, 1, 22.355, -999
20141009, 23.58, 23.58, 22.03, 22.45, 12919900, 22.42, 0, 1, 23, -999
20141008, 22.69, 23.71, 22.15, 23.64, 10617100, 23.61, 0, 1, 23.15, -999
20141007, 23.23, 23.23, 22.44, 22.55, 8234900, 22.52, 0, 1, 22.875, -999
20141006, 22.85, 23.22, 22.63, 23.15, 6769800, 23.12, 0, 1, 22.985, -999
20141003, 23.03, 23.06, 22.5, 22.7, 11052700, 22.67, 0, 1, 22.85, -999
20141002, 23.12, 23.46, 22.88, 23.28, 8722900, 23.25, 0, 1, 23.185, -999
20141001, 23.2, 23.33, 22.94, 23.01, 6802400, 22.98, 0, 1, 23.09, -999
20140930, 23.34, 23.59, 22.9, 23.05, 9247000, 23.02, 0, 1, 23.18, -999
20140929, 23.89, 23.89, 23.47, 23.48, 5171800, 23.45, 0, 1, 23.67, -999
20140926, 23.9, 23.9, 23.51, 23.81, 3973000, 23.78, 0, 1, 23.84, -999
20140925, 23.67, 24.01, 23.43, 23.91, 5507900, 23.88, 0, 1, 23.775, -999
20140924, 23.71, 24.2, 23.71, 23.84, 4186700, 23.81, 0, 1, 23.76, -999
20140923, 23.92, 24.27, 23.66, 23.99, 8067700, 23.96, 0, 1, 23.94, -999
20140922, 24.1, 24.17, 23.51, 23.66, 5787300, 23.63, 0, 1, 23.865, -999
20140919, 24.53, 24.55, 23.9, 24.21, 8798300, 24.18, 0, 1, 24.355, -999
20140918, 24.53, 24.59, 24.18, 24.49, 6698700, 24.46, 0, 1, 24.495, -999
20140917, 25.04, 25.07, 24.62, 24.67, 7590900, 24.64, 0, 1, 24.84, -999
20140916, 24.96, 25.34, 24.76, 25.04, 7402600, 25.01, 0, 1, 24.985, -999
20140915, 25.1, 25.12, 24.79, 25.02, 4427000, 24.99, 0, 1, 25.045, -999
20140912, 25.41, 25.5, 24.92, 25.17, 7362700, 25.14, 0, 1, 25.275, -999
20140911, 25.37, 25.62, 25.1, 25.59, 6588700, 25.56, 0, 1, 25.465, -999
20140910, 25.39, 25.56, 25.18, 25.37, 6760700, 25.34, 0, 1, 25.365, -999
20140909, 25.46, 25.61, 25.21, 25.54, 5863800, 25.51, 0.025, 1, 25.485, -999
20140908, 25.86, 25.89, 25.03, 25.29, 6349300, 25.23, 0, 1, 25.545, -999
20140905, 25.62, 26.02, 25.51, 25.97, 6141200, 25.91, 0, 1, 25.765, -999
20140904, 26.35, 26.5, 25.49, 25.6, 7383200, 25.54, 0, 1, 25.945, -999
20140903, 26.34, 26.52, 26.18, 26.31, 5301500, 26.25, 0, 1, 26.295, -999
20140902, 26.65, 26.85, 26.23, 26.41, 7019500, 26.35, 0, 1, 26.5, -999
20140829, 26.66, 27.2, 26.6, 27.09, 3845500, 27.03, 0, 1, 26.845, -999
20140828, 26.87, 26.99, 26.59, 26.86, 4512500, 26.8, 0, 1, 26.835, -999
20140827, 26.45, 26.75, 26.39, 26.52, 3286000, 26.46, 0, 1, 26.455, -999
20140826, 26.33, 26.57, 26.28, 26.5, 3469700, 26.44, 0, 1, 26.385, -999
20140825, 26.36, 26.37, 25.79, 25.98, 4030900, 25.92, 0, 1, 26.14, -999
20140822, 26.65, 26.65, 26.25, 26.39, 3772900, 26.33, 0, 1, 26.49, -999
20140821, 26.31, 26.69, 26.07, 26.61, 6841100, 26.55, 0, 1, 26.43, -999
20140820, 26.77, 26.95, 26.61, 26.73, 3957700, 26.67, 0, 1, 26.72, -999
20140819, 26.95, 27.02, 26.71, 26.83, 4134500, 26.77, 0, 1, 26.86, -999
20140818, 26.87, 26.93, 26.53, 26.82, 4734100, 26.76, 0, 1, 26.815, -999
20140815, 26.58, 27, 26.58, 26.89, 5380700, 26.83, 0, 1, 26.705, -999
20140814, 27.12, 27.32, 26.86, 27.05, 4960400, 26.99, 0, 1, 27.055, -999
20140813, 27.14, 27.4, 26.99, 27.07, 4977500, 27.01, 0, 1, 27.075, -999
20140812, 26.65, 27.35, 26.61, 27.06, 8333600, 27, 0, 1, 26.825, -999
20140811, 26.37, 26.63, 26.3, 26.53, 3771200, 26.47, 0, 1, 26.42, -999
20140808, 26.32, 26.5, 26.11, 26.39, 4405000, 26.33, 0, 1, 26.325, -999
20140807, 26.28, 26.28, 26, 26.18, 5331100, 26.12, 0, 1, 26.2, -999
20140806, 26.2, 26.54, 25.91, 26.08, 8999700, 26.02, 0, 1, 26.11, -999
20140805, 25.38, 25.93, 25.27, 25.78, 5626900, 25.72, 0, 1, 25.55, -999
20140804, 25.17, 25.74, 25.17, 25.63, 7706500, 25.57, 0, 1, 25.37, -999
20140801, 25.14, 25.36, 24.77, 25.2, 6341600, 25.14, 0, 1, 25.14, -999
20140731, 25.28, 25.41, 24.91, 24.91, 6438900, 24.85, 0, 1, 25.065, -999
20140730, 25.6, 25.73, 25.04, 25.59, 5270700, 25.53, 0, 1, 25.565, -999
20140729, 25.68, 25.76, 25.53, 25.54, 6562500, 25.48, 0, 1, 25.58, -999
20140728, 25.08, 25.71, 25.03, 25.64, 5554600, 25.58, 0, 1, 25.33, -999
20140725, 24.66, 25.23, 24.6, 25.15, 5551100, 25.09, 0, 1, 24.875, -999
20140724, 25.04, 25.09, 24.65, 24.78, 6670800, 24.72, 0, 1, 24.88, -999
20140723, 25.38, 25.46, 25.13, 25.19, 4503600, 25.13, 0, 1, 25.255, -999
20140722, 25.33, 25.55, 25.24, 25.41, 4117400, 25.35, 0, 1, 25.34, -999
20140721, 25.42, 25.6, 25.07, 25.36, 4550500, 25.3, 0, 1, 25.36, -999
