Ticker: NFX  Created on: 12/6/2014 5:25:28 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 26.26, 26.57, 25.74, 25.85, 3217500, 25.85, 0, 1, 26.055, -999
20141204, 26.33, 26.98, 25.25, 26.18, 3597100, 26.18, 0, 1, 26.255, -999
20141203, 26.77, 28.06, 26.49, 27.19, 4023400, 27.19, 0, 1, 26.98, -999
20141202, 25.89, 27.49, 25.59, 26.5, 3905400, 26.5, 0, 1, 26.195, -999
20141201, 26.9, 26.9, 24.16, 26.11, 6550300, 26.11, 0, 1, 26.505, -999
20141128, 30.73, 30.73, 27.06, 27.23, 3859600, 27.23, 0, 1, 28.98, -999
20141126, 33.5, 33.5, 32.45, 32.48, 1891300, 32.48, 0, 1, 32.99, -999
20141125, 34.72, 35.01, 33.49, 33.68, 1855800, 33.68, 0, 1, 34.2, -999
20141124, 34.91, 35.2, 34.23, 34.51, 1454400, 34.51, 0, 1, 34.71, -999
20141121, 35.22, 35.84, 34.44, 35.12, 2960500, 35.12, 0, 1, 35.17, -999
20141120, 33.11, 34.63, 33.04, 34.6, 2317200, 34.6, 0, 1, 33.855, -999
20141119, 33.27, 33.35, 32.39, 33.12, 1459600, 33.12, 0, 1, 33.195, -999
20141118, 32.56, 33.33, 32.03, 33.02, 2139000, 33.02, 0, 1, 32.79, -999
20141117, 33.31, 33.4, 31.86, 32.5, 3418200, 32.5, 0, 1, 32.905, -999
20141114, 32.94, 33.78, 32.63, 33.66, 2295700, 33.66, 0, 1, 33.3, -999
20141113, 33, 33.29, 32.1, 32.9, 3326100, 32.9, 0, 1, 32.95, -999
20141112, 33.19, 33.75, 32.93, 33.11, 2736400, 33.11, 0, 1, 33.15, -999
20141111, 33.26, 33.83, 32.67, 33.62, 2167700, 33.62, 0, 1, 33.44, -999
20141110, 34.25, 34.91, 33.02, 33.26, 3456000, 33.26, 0, 1, 33.755, -999
20141107, 32.8, 34.32, 32.59, 33.57, 3739800, 33.57, 0, 1, 33.185, -999
20141106, 31.46, 32.51, 30.82, 32.5, 2242900, 32.5, 0, 1, 31.98, -999
20141105, 31.13, 32.1, 30.7, 31.84, 3635500, 31.84, 0, 1, 31.485, -999
