Ticker: NI  Created on: 12/6/2014 5:25:30 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 41.99, 42.35, 41.66, 41.81, 1521300, 41.81, 0, 1, 41.9, -999
20141204, 42.06, 42.45, 41.88, 42.35, 1654700, 42.35, 0, 1, 42.205, -999
20141203, 41.8, 42.07, 41.61, 42.02, 1630800, 42.02, 0, 1, 41.91, -999
20141202, 41.35, 41.91, 41.24, 41.86, 2078600, 41.86, 0, 1, 41.605, -999
20141201, 41.56, 41.8, 41.41, 41.51, 1622700, 41.51, 0, 1, 41.535, -999
20141128, 41.71, 42.1, 41.71, 41.84, 1276500, 41.84, 0, 1, 41.775, -999
20141126, 41.82, 41.97, 41.55, 41.82, 1205200, 41.82, 0, 1, 41.82, -999
20141125, 41.4, 41.84, 41.19, 41.7, 1526000, 41.7, 0, 1, 41.55, -999
20141124, 41.47, 41.72, 41.3, 41.37, 1432400, 41.37, 0, 1, 41.42, -999
20141121, 41.71, 41.95, 41.09, 41.4, 3150700, 41.4, 0, 1, 41.555, -999
20141120, 40.8, 41.29, 40.66, 41.26, 1752900, 41.26, 0, 1, 41.03, -999
20141119, 40.96, 41.19, 40.67, 40.94, 1835500, 40.94, 0, 1, 40.95, -999
20141118, 41.24, 41.43, 40.99, 41.07, 3689300, 41.07, 0, 1, 41.155, -999
20141117, 40.81, 41.11, 40.69, 41.11, 1592300, 41.11, 0, 1, 40.96, -999
20141114, 41.07, 41.11, 40.59, 40.79, 2145800, 40.79, 0, 1, 40.93, -999
20141113, 41.72, 41.73, 40.99, 41.24, 1951900, 41.24, 0, 1, 41.48, -999
20141112, 42.16, 42.23, 41.39, 41.57, 2167200, 41.57, 0, 1, 41.865, -999
20141111, 42.47, 42.54, 42, 42.51, 1383300, 42.51, 0, 1, 42.49, -999
20141110, 42.3, 42.47, 42.14, 42.46, 1642200, 42.46, 0, 1, 42.38, -999
20141107, 42.26, 42.41, 42.01, 42.38, 1965700, 42.38, 0, 1, 42.32, -999
20141106, 42.56, 42.59, 41.85, 42.27, 2528700, 42.27, 0, 1, 42.415, -999
20141105, 41.96, 42.68, 41.73, 42.67, 2360300, 42.67, 0, 1, 42.315, -999
20141104, 42.64, 42.77, 41.52, 41.58, 1860200, 41.58, 0, 1, 42.11, -999
20141103, 42.06, 42.75, 41.92, 42.63, 2424100, 42.63, 0, 1, 42.345, -999
20141031, 42.47, 42.5, 41.56, 42.06, 2216800, 42.06, 0, 1, 42.265, -999
20141030, 42.03, 42.46, 40.76, 42.37, 1687200, 42.37, 0, 1, 42.2, -999
20141029, 41.85, 41.91, 41.11, 41.62, 1411400, 41.62, 0.26, 1, 41.735, -999
20141028, 41.61, 42.06, 41.5, 42.03, 1934900, 41.77, 0, 1, 41.69, -999
20141027, 41.73, 41.91, 41.47, 41.58, 1138000, 41.32, 0, 1, 41.525, -999
20141024, 41.39, 42.1, 41.33, 41.76, 1612200, 41.5, 0, 1, 41.445, -999
20141023, 41.09, 41.59, 41.06, 41.28, 1240000, 41.02, 0, 1, 41.055, -999
20141022, 40.98, 41.5, 40.62, 40.76, 1818300, 40.51, 0, 1, 40.745, -999
20141021, 41.16, 41.16, 40.79, 41.01, 1658900, 40.76, 0, 1, 40.96, -999
20141020, 39.72, 40.79, 39.69, 40.74, 2019900, 40.49, 0, 1, 40.105, -999
20141017, 39.65, 40.08, 39.4, 39.7, 2702800, 39.45, 0, 1, 39.55, -999
20141016, 38.2, 39.78, 37.9, 39.43, 3110400, 39.19, 0, 1, 38.695, -999
20141015, 38.73, 39.04, 37.58, 38.59, 3496900, 38.35, 0, 1, 38.54, -999
20141014, 40.17, 40.25, 38.85, 39.11, 4343300, 38.87, 0, 1, 39.52, -999
20141013, 40.61, 40.88, 39.82, 39.86, 1559600, 39.61, 0, 1, 40.11, -999
20141010, 40.76, 41.15, 40.5, 40.56, 3245600, 40.31, 0, 1, 40.535, -999
20141009, 42.15, 42.29, 40.52, 40.6, 3461900, 40.35, 0, 1, 41.25, -999
20141008, 41.49, 42.18, 41.33, 42.16, 1669200, 41.9, 0, 1, 41.695, -999
20141007, 41.34, 41.79, 41.33, 41.44, 2443600, 41.18, 0, 1, 41.26, -999
