Ticker: NKE  Created on: 12/6/2014 5:25:29 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 99.26, 99.5, 98.83, 99.33, 1702200, 99.33, 0, 1, 99.295, -999
20141204, 98.5, 99.39, 98.06, 99.05, 2064100, 99.05, 0, 1, 98.775, -999
20141203, 98.16, 98.6, 97.52, 98.5, 1896000, 98.5, 0, 1, 98.33, -999
20141202, 98.06, 98.72, 97.69, 98.04, 2188900, 98.04, 0, 1, 98.05, -999
20141201, 98.66, 99.39, 97.66, 97.69, 2568700, 97.69, 0, 1, 98.175, -999
20141128, 98.34, 99.76, 98.23, 99.29, 1804700, 99.29, 0, 1, 98.815, -999
20141126, 97.3, 97.88, 97.1, 97.8, 1974400, 97.8, 0, 1, 97.55, -999
20141125, 98.3, 98.5, 97.27, 97.29, 3088200, 97.29, 0, 1, 97.795, -999
20141124, 97.79, 98.5, 97.74, 97.95, 2540700, 97.95, 0, 1, 97.87, -999
20141121, 98.69, 98.96, 96.66, 97.42, 3508200, 97.42, 0, 1, 98.055, -999
20141120, 96.62, 97.7, 96.31, 97.3, 2411200, 97.3, 0, 1, 96.96, -999
20141119, 96.5, 97.1, 96.35, 96.95, 2292900, 96.95, 0, 1, 96.725, -999
20141118, 95.99, 96.85, 95.76, 96.47, 2401700, 96.47, 0, 1, 96.23, -999
20141117, 95.37, 96.19, 95.04, 96.06, 2965400, 96.06, 0, 1, 95.715, -999
20141114, 95.79, 95.88, 95.01, 95.5, 3203000, 95.5, 0, 1, 95.645, -999
20141113, 96.18, 96.55, 95.56, 96.12, 2708400, 96.12, 0, 1, 96.15, -999
20141112, 94.45, 95.92, 94.23, 95.81, 2508800, 95.81, 0, 1, 95.13, -999
20141111, 95.2, 95.3, 94.58, 94.88, 2281600, 94.88, 0, 1, 95.04, -999
20141110, 94.04, 95.07, 94.04, 94.96, 2947800, 94.96, 0, 1, 94.5, -999
20141107, 94.75, 94.75, 93.54, 93.78, 2454900, 93.78, 0, 1, 94.265, -999
20141106, 94.85, 95.09, 94.54, 94.6, 2741000, 94.6, 0, 1, 94.725, -999
20141105, 94.84, 94.84, 93.71, 94.68, 3256900, 94.68, 0, 1, 94.76, -999
20141104, 93.06, 94.02, 92.62, 93.95, 2220700, 93.95, 0, 1, 93.505, -999
20141103, 93.35, 93.48, 92.87, 93.45, 2431400, 93.45, 0, 1, 93.4, -999
20141031, 94.13, 94.14, 92.67, 92.97, 3231800, 92.97, 0, 1, 93.55, -999
20141030, 91.77, 93, 91.55, 93, 2291700, 93, 0, 1, 92.385, -999
20141029, 92.16, 92.54, 91.42, 91.95, 2499300, 91.95, 0, 1, 92.055, -999
20141028, 91.53, 92.45, 91.31, 92.45, 3164300, 92.45, 0, 1, 91.99, -999
20141027, 90.91, 91.78, 90.43, 91.64, 2909700, 91.64, 0, 1, 91.275, -999
20141024, 89.95, 90.99, 89.91, 90.9, 2465500, 90.9, 0, 1, 90.425, -999
