Ticker: NRG  Created on: 12/6/2014 5:25:33 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 28.42, 28.6, 28, 28.27, 4931400, 28.27, 0, 1, 28.345, -999
20141204, 29.36, 29.67, 28.33, 28.53, 7394200, 28.53, 0, 1, 28.945, -999
20141203, 30.73, 30.73, 28.68, 29.32, 11282300, 29.32, 0, 1, 30.025, -999
20141202, 30.73, 31.13, 30.57, 30.85, 3035900, 30.85, 0, 1, 30.79, -999
20141201, 31, 31.27, 30.85, 30.86, 2423800, 30.86, 0, 1, 30.93, -999
20141128, 30.79, 31.31, 30.62, 31.26, 1411900, 31.26, 0, 1, 31.025, -999
20141126, 30.85, 31.01, 30.46, 30.92, 2228000, 30.92, 0, 1, 30.885, -999
20141125, 31.1, 31.1, 30.5, 30.74, 3507200, 30.74, 0, 1, 30.92, -999
20141124, 31.34, 31.64, 30.96, 31, 2931800, 31, 0, 1, 31.17, -999
20141121, 31.33, 31.47, 30.91, 31.31, 3750200, 31.31, 0, 1, 31.32, -999
20141120, 31.19, 31.49, 31.09, 31.15, 2639000, 31.15, 0, 1, 31.17, -999
20141119, 31.66, 31.73, 31.19, 31.3, 2548500, 31.3, 0, 1, 31.48, -999
20141118, 31.13, 32.06, 31.13, 31.74, 3203000, 31.74, 0, 1, 31.435, -999
20141117, 31.23, 31.73, 31.02, 31.68, 3882700, 31.68, 0, 1, 31.455, -999
20141114, 31.48, 31.61, 31.16, 31.31, 2479000, 31.31, 0, 1, 31.395, -999
20141113, 32.44, 32.56, 31.49, 31.55, 3973200, 31.55, 0, 1, 31.995, -999
20141112, 32.9, 33.01, 32.38, 32.44, 3547200, 32.44, 0, 1, 32.67, -999
20141111, 33.14, 33.29, 32.76, 33.16, 3856900, 33.16, 0, 1, 33.15, -999
20141110, 33.74, 33.92, 33.07, 33.17, 4394900, 33.17, 0, 1, 33.455, -999
20141107, 32.53, 33.8, 32.51, 33.72, 5383200, 33.72, 0, 1, 33.125, -999
20141106, 32.1, 32.78, 31.75, 32.63, 6500800, 32.63, 0, 1, 32.365, -999
20141105, 30.31, 32.45, 30.18, 32.27, 10105300, 32.27, 0, 1, 31.29, -999
20141104, 30.39, 30.52, 29.68, 29.94, 3392700, 29.94, 0, 1, 30.165, -999
20141103, 30.1, 30.55, 30.02, 30.43, 4763100, 30.43, 0, 1, 30.265, -999
20141031, 29.84, 30.14, 29.55, 29.98, 3639700, 29.98, 0, 1, 29.91, -999
20141030, 29.07, 29.79, 29.05, 29.75, 2582900, 29.75, 0.14, 1, 29.41, -999
20141029, 29.19, 29.53, 28.85, 29.22, 2407200, 29.08, 0, 1, 29.135, -999
20141028, 28.8, 29.24, 28.71, 29.24, 2936500, 29.1, 0, 1, 28.95, -999
20141027, 29.55, 29.63, 28.73, 28.75, 3482500, 28.61, 0, 1, 29.08, -999
20141024, 29.54, 29.97, 29.36, 29.72, 3338500, 29.58, 0, 1, 29.56, -999
20141023, 29.44, 29.64, 29.07, 29.34, 1974900, 29.2, 0, 1, 29.32, -999
