Ticker: NSC  Created on: 12/6/2014 5:25:32 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 108.17, 108.87, 106.73, 107.07, 2941800, 107.07, 0, 1, 107.62, -999
20141204, 110.5, 111.04, 106.98, 107.3, 3494200, 107.3, 0, 1, 108.9, -999
20141203, 109.65, 111.93, 109.62, 111.89, 2570600, 111.89, 0, 1, 110.77, -999
20141202, 106.47, 109.37, 105.83, 109.3, 3584100, 109.3, 0, 1, 107.885, -999
20141201, 111.08, 111.08, 104.48, 106.36, 5433400, 106.36, 0, 1, 108.72, -999
20141128, 116.79, 116.84, 111.36, 111.64, 2390500, 111.64, 0, 1, 114.215, -999
20141126, 117.03, 117.31, 116.59, 117.2, 716500, 117.2, 0, 1, 117.115, -999
20141125, 116.62, 117.64, 116.53, 117.13, 1168600, 117.13, 0, 1, 116.875, -999
20141124, 115.7, 116.92, 115.6, 116.35, 960300, 116.35, 0, 1, 116.025, -999
20141121, 116.17, 116.17, 114.68, 115.36, 1700700, 115.36, 0, 1, 115.765, -999
20141120, 114.55, 115.44, 114.53, 115.38, 875800, 115.38, 0, 1, 114.965, -999
20141119, 115.06, 115.59, 114.43, 115.17, 1151800, 115.17, 0, 1, 115.115, -999
20141118, 115.78, 116.41, 114.84, 115.38, 1055400, 115.38, 0, 1, 115.58, -999
20141117, 115.28, 116.22, 114.85, 115.83, 1236100, 115.83, 0, 1, 115.555, -999
20141114, 115.48, 116.51, 115.29, 116.03, 1028300, 116.03, 0, 1, 115.755, -999
20141113, 116.87, 116.92, 115.16, 115.45, 1834000, 115.45, 0, 1, 116.16, -999
20141112, 115.84, 117.26, 115.79, 116.66, 2025300, 116.66, 0, 1, 116.25, -999
20141111, 116.56, 116.98, 115.72, 116.63, 1744700, 116.63, 0, 1, 116.595, -999
20141110, 114.75, 116.6, 114.66, 116.6, 2620300, 116.6, 0, 1, 115.675, -999
20141107, 113.93, 114.4, 111.93, 112.86, 2252100, 112.86, 0, 1, 113.395, -999
20141106, 110.31, 111.15, 109.5, 110.72, 1699700, 110.72, 0, 1, 110.515, -999
20141105, 108.22, 110.31, 108.13, 109.79, 1765400, 109.79, 0, 1, 109.005, -999
20141104, 109.43, 110.1, 108.47, 108.79, 2677800, 108.22, 0, 1, 108.825, -999
20141103, 110.5, 110.95, 108.55, 109.41, 2623600, 108.84, 0, 1, 109.67, -999
20141031, 111.28, 111.42, 109.76, 110.64, 3024700, 110.06, 0, 1, 110.67, -999
20141030, 109.91, 110.39, 109.08, 109.54, 2304700, 108.97, 0, 1, 109.44, -999
20141029, 111.42, 111.97, 109.41, 110.68, 1515800, 110.1, 0, 1, 110.76, -999
20141028, 109.79, 111.38, 109.79, 111.3, 1596100, 110.72, 0, 1, 110.255, -999
20141027, 109.07, 109.84, 108.45, 109.36, 1243300, 108.79, 0, 1, 108.93, -999
20141024, 108.12, 109.44, 107.66, 109.39, 1496800, 108.82, 0, 1, 108.47, -999
20141023, 107.76, 108.74, 107, 107.87, 2711200, 107.3, 0, 1, 107.53, -999
20141022, 106.51, 109.69, 106.31, 106.5, 4253000, 105.94, 0, 1, 106.225, -999
20141021, 108.4, 109.86, 108.21, 109.85, 2320700, 109.27, 0, 1, 108.835, -999
20141020, 105.66, 107.23, 105.18, 107.07, 2054400, 106.51, 0, 1, 106.085, -999
