Ticker: NTAP  Created on: 12/6/2014 5:25:26 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 43.3, 43.58, 43.08, 43.41, 2583300, 43.41, 0, 1, 43.355, -999
20141204, 43.02, 43.3, 42.81, 43.29, 2094500, 43.29, 0, 1, 43.155, -999
20141203, 42.1, 43.17, 42, 43.14, 2426200, 43.14, 0, 1, 42.62, -999
20141202, 41.69, 42.25, 41.51, 42.02, 1957600, 42.02, 0, 1, 41.855, -999
20141201, 42.06, 42.27, 41.75, 41.98, 3409000, 41.98, 0, 1, 42.02, -999
20141128, 42.81, 42.9, 42.42, 42.55, 1130000, 42.55, 0, 1, 42.68, -999
20141126, 43.02, 43.12, 42.6, 42.7, 2197900, 42.7, 0, 1, 42.86, -999
20141125, 42.63, 43.17, 42.46, 43.08, 2518900, 43.08, 0, 1, 42.855, -999
20141124, 42.41, 42.66, 42.22, 42.63, 1738000, 42.63, 0, 1, 42.52, -999
20141121, 42.6, 42.6, 42.28, 42.31, 2867200, 42.31, 0, 1, 42.455, -999
20141120, 41.67, 42.23, 41.61, 42.2, 2593000, 42.2, 0, 1, 41.935, -999
20141119, 41.94, 41.97, 41.49, 41.81, 3696800, 41.81, 0, 1, 41.875, -999
20141118, 42.2, 42.2, 41.84, 41.89, 2139700, 41.89, 0, 1, 42.045, -999
20141117, 42.1, 42.32, 41.73, 42.23, 2327900, 42.23, 0, 1, 42.165, -999
20141114, 41.18, 42.57, 41.09, 42.27, 4439500, 42.27, 0, 1, 41.725, -999
20141113, 40.53, 41.91, 40.38, 41.09, 9249100, 41.09, 0, 1, 40.81, -999
20141112, 42.46, 42.48, 42, 42.31, 4307700, 42.31, 0, 1, 42.385, -999
20141111, 42.22, 42.44, 41.98, 42.27, 2202500, 42.27, 0, 1, 42.245, -999
20141110, 42.28, 42.47, 41.9, 42.15, 3256600, 42.15, 0, 1, 42.215, -999
20141107, 42.88, 43.24, 42.2, 42.3, 3620800, 42.3, 0, 1, 42.59, -999
20141106, 43.2, 43.67, 42.95, 43.17, 2083000, 43.17, 0, 1, 43.185, -999
20141105, 43.15, 43.24, 42.57, 43.2, 1906900, 43.2, 0, 1, 43.175, -999
20141104, 42.89, 43.43, 42.83, 43.02, 1505100, 43.02, 0, 1, 42.955, -999
20141103, 42.8, 43.45, 42.61, 43.07, 2224200, 43.07, 0, 1, 42.935, -999
20141031, 42.74, 42.86, 42.44, 42.8, 2773000, 42.8, 0, 1, 42.77, -999
20141030, 41.22, 42.21, 41.22, 42.11, 1831100, 42.11, 0, 1, 41.665, -999
20141029, 41.55, 42.09, 41.35, 41.38, 2780600, 41.38, 0, 1, 41.465, -999
20141028, 40.93, 41.5, 40.8, 41.5, 2351400, 41.5, 0, 1, 41.215, -999
20141027, 40.58, 40.95, 40.35, 40.55, 1668800, 40.55, 0, 1, 40.565, -999
20141024, 40.46, 40.74, 39.92, 40.72, 1981400, 40.72, 0, 1, 40.59, -999
20141023, 40.11, 40.68, 39.78, 40.3, 2377900, 40.3, 0, 1, 40.205, -999
20141022, 39.32, 40.25, 39.27, 39.66, 3225900, 39.66, 0, 1, 39.49, -999
20141021, 38.71, 39.35, 38.63, 39.27, 2492500, 39.27, 0, 1, 38.99, -999
20141020, 38.25, 38.6, 37.44, 38.54, 4809700, 38.54, 0, 1, 38.395, -999
20141017, 38.67, 39.37, 38.62, 38.82, 2955900, 38.82, 0, 1, 38.745, -999
20141016, 37.98, 39.32, 37.76, 38.4, 3313600, 38.4, 0, 1, 38.19, -999
20141015, 37.95, 38.95, 37.74, 38.81, 4422500, 38.81, 0, 1, 38.38, -999
20141014, 38.43, 38.85, 38.21, 38.53, 3990400, 38.53, 0, 1, 38.48, -999
20141013, 38.79, 39.09, 38.21, 38.22, 2649100, 38.22, 0, 1, 38.505, -999
20141010, 39.43, 39.89, 38.9, 38.91, 3089700, 38.91, 0, 1, 39.17, -999
20141009, 40.18, 40.52, 39.54, 39.57, 2402000, 39.57, 0, 1, 39.875, -999
20141008, 39.82, 40.31, 39.45, 40.24, 3225200, 40.24, 0.165, 1, 40.03, -999
20141007, 40.66, 40.87, 39.71, 39.85, 4328400, 39.68, 0, 1, 40.17, -999
20141006, 41.56, 41.68, 40.98, 40.99, 2494200, 40.82, 0, 1, 41.19, -999
20141003, 41.49, 41.86, 41.29, 41.57, 1589100, 41.4, 0, 1, 41.445, -999
20141002, 41.31, 41.55, 40.7, 41.38, 1967800, 41.21, 0, 1, 41.26, -999
20141001, 42.62, 42.68, 41.27, 41.33, 4384800, 41.16, 0, 1, 41.89, -999
20140930, 42.6, 43.09, 42.57, 42.96, 3608600, 42.78, 0, 1, 42.69, -999
20140929, 41.92, 42.53, 41.88, 42.44, 2796400, 42.26, 0, 1, 42.09, -999
20140926, 42.51, 42.51, 41.88, 42.17, 3401400, 42, 0, 1, 42.255, -999
20140925, 43.24, 43.32, 42.16, 42.17, 3162400, 42, 0, 1, 42.62, -999
20140924, 43.09, 43.48, 42.98, 43.38, 2563500, 43.2, 0, 1, 43.145, -999
20140923, 43.39, 43.39, 42.96, 43.07, 2893800, 42.89, 0, 1, 43.14, -999
20140922, 42.99, 43.25, 42.86, 43, 3025100, 42.82, 0, 1, 42.905, -999
20140919, 43.6, 43.75, 42.85, 43, 5898800, 42.82, 0, 1, 43.21, -999
20140918, 43.18, 43.65, 43.07, 43.4, 2131300, 43.22, 0, 1, 43.2, -999
20140917, 42.85, 43.25, 42.81, 43.05, 1916300, 42.87, 0, 1, 42.86, -999
20140916, 42.84, 43.1, 42.61, 42.97, 2759100, 42.79, 0, 1, 42.815, -999
20140915, 42.51, 43.12, 42.51, 42.87, 3954100, 42.69, 0, 1, 42.6, -999
20140912, 42.26, 42.51, 42.18, 42.5, 2116100, 42.32, 0, 1, 42.29, -999
20140911, 42.05, 42.48, 42, 42.47, 1385100, 42.29, 0, 1, 42.17, -999
20140910, 42.2, 42.5, 42.01, 42.15, 2304700, 41.98, 0, 1, 42.09, -999
20140909, 42.25, 42.42, 41.93, 42.04, 2416200, 41.87, 0, 1, 42.06, -999
20140908, 42.06, 42.2, 41.91, 42.16, 2843500, 41.99, 0, 1, 42.025, -999
20140905, 41.95, 42.23, 41.81, 42.21, 2380100, 42.04, 0, 1, 41.995, -999
20140904, 42.1, 42.45, 41.91, 41.91, 3338700, 41.74, 0, 1, 41.92, -999
20140903, 42.08, 42.29, 41.99, 42.1, 2223200, 41.93, 0, 1, 42.005, -999
