Ticker: NTRS  Created on: 12/6/2014 5:25:33 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 67.99, 68.9, 67.85, 68.36, 942200, 68.36, 0, 1, 68.175, -999
20141204, 67.6, 68, 67.32, 67.53, 729900, 67.53, 0, 1, 67.565, -999
20141203, 67.24, 67.86, 67.01, 67.84, 715400, 67.84, 0, 1, 67.54, -999
20141202, 67.02, 67.81, 65.19, 67.67, 669200, 67.34, 0, 1, 67.18, -999
20141201, 67.49, 67.7, 66.41, 66.78, 818300, 66.45, 0, 1, 66.97, -999
20141128, 67.76, 67.99, 67.49, 67.73, 393800, 67.4, 0, 1, 67.58, -999
20141126, 67.95, 68.14, 67.49, 67.61, 951800, 67.28, 0, 1, 67.615, -999
20141125, 68, 68, 67.6, 67.85, 1137200, 67.52, 0, 1, 67.76, -999
20141124, 67.96, 68.44, 67.52, 67.74, 1265200, 67.41, 0, 1, 67.685, -999
20141121, 69.15, 69.15, 67.71, 67.92, 1536500, 67.59, 0, 1, 68.37, -999
20141120, 67.55, 68.43, 67.39, 68.31, 789200, 67.98, 0, 1, 67.765, -999
20141119, 67.98, 68.31, 67.54, 68.14, 765000, 67.81, 0, 1, 67.895, -999
20141118, 67.94, 68.42, 67.49, 68.12, 967900, 67.79, 0, 1, 67.865, -999
20141117, 67.67, 67.85, 67.47, 67.83, 1049600, 67.5, 0, 1, 67.585, -999
20141114, 67.28, 68.04, 67.15, 67.79, 1057000, 67.46, 0, 1, 67.37, -999
20141113, 68, 68.2, 67.19, 67.52, 817600, 67.19, 0, 1, 67.595, -999
20141112, 67.44, 68.08, 67.16, 67.86, 798600, 67.53, 0, 1, 67.485, -999
20141111, 67.11, 67.76, 66.5, 67.58, 805400, 67.25, 0, 1, 67.18, -999
20141110, 66, 67.27, 66, 67.23, 674600, 66.9, 0, 1, 66.45, -999
20141107, 66.69, 67.16, 66.24, 66.9, 732600, 66.57, 0, 1, 66.63, -999
20141106, 66.44, 66.9, 66.19, 66.83, 819500, 66.5, 0, 1, 66.47, -999
20141105, 66.38, 66.5, 65.78, 66.29, 944800, 65.97, 0, 1, 66.175, -999
20141104, 65.83, 66.12, 65.2, 65.91, 873500, 65.59, 0, 1, 65.71, -999
20141103, 66.23, 66.51, 65.66, 65.79, 1376100, 65.47, 0, 1, 65.85, -999
20141031, 66.14, 66.56, 65.69, 66.3, 1530200, 65.98, 0, 1, 66.06, -999
20141030, 64.73, 65.5, 64.59, 65.23, 1286600, 64.91, 0, 1, 64.82, -999
20141029, 64.2, 65.16, 63.98, 65.1, 1856200, 64.78, 0, 1, 64.49, -999
20141028, 64.21, 64.33, 62.35, 64.18, 1554200, 63.87, 0, 1, 64.04, -999
20141027, 63.63, 63.7, 63.12, 63.64, 1279800, 63.33, 0, 1, 63.48, -999
20141024, 62.78, 63.68, 62.62, 63.64, 1456900, 63.33, 0, 1, 63.055, -999
20141023, 62.16, 63.1, 62.12, 62.86, 2278100, 62.55, 0, 1, 62.355, -999
20141022, 62.07, 64.63, 61.49, 61.9, 3593800, 61.6, 0, 1, 61.835, -999
20141021, 64, 65.53, 63.97, 65.47, 1743700, 65.15, 0, 1, 64.575, -999
20141020, 63.95, 64.7, 62.97, 63.61, 1220600, 63.3, 0, 1, 63.625, -999
20141017, 64.81, 64.81, 62.97, 63.3, 1807600, 62.99, 0, 1, 63.9, -999
20141016, 61.39, 63.31, 60.78, 62.76, 1644900, 62.45, 0, 1, 61.92, -999
20141015, 62.97, 63.9, 61.26, 62.59, 2222400, 62.28, 0, 1, 62.625, -999
20141014, 64.04, 64.83, 63.65, 63.79, 960800, 63.48, 0, 1, 63.76, -999
20141013, 64.65, 64.98, 63.68, 63.8, 1098800, 63.49, 0, 1, 64.07, -999
20141010, 65.55, 66.2, 64.52, 64.55, 1280900, 64.24, 0, 1, 64.895, -999
20141009, 67.59, 67.59, 65.42, 65.44, 1740100, 65.12, 0, 1, 66.355, -999
20141008, 66.78, 67.42, 66.29, 67.38, 1318500, 67.05, 0, 1, 66.915, -999
20141007, 67.82, 68.07, 66.64, 66.66, 945100, 66.33, 0, 1, 67.075, -999
20141006, 68.56, 68.7, 67.71, 68.22, 706600, 67.89, 0, 1, 68.225, -999
20141003, 67.74, 68.35, 67.58, 68.12, 572900, 67.79, 0, 1, 67.765, -999
20141002, 67.22, 67.61, 66.83, 67.37, 674400, 67.04, 0, 1, 67.13, -999
20141001, 68.1, 68.1, 67.14, 67.26, 856600, 66.93, 0, 1, 67.515, -999
20140930, 68.41, 68.57, 67.69, 68.03, 1117500, 67.7, 0, 1, 68.055, -999
20140929, 67.99, 68.45, 67.62, 68.23, 764200, 67.9, 0, 1, 67.945, -999
20140926, 68.58, 68.79, 68.01, 68.65, 723400, 68.32, 0, 1, 68.45, -999
20140925, 69.14, 69.71, 68, 68.08, 1076200, 67.75, 0, 1, 68.445, -999
20140924, 68.68, 69.27, 68.36, 69.21, 1060400, 68.87, 0, 1, 68.775, -999
20140923, 69.66, 69.83, 69.01, 69.05, 1455600, 68.71, 0, 1, 69.185, -999
20140922, 69.32, 69.82, 69.27, 69.53, 1104800, 69.19, 0, 1, 69.255, -999
20140919, 70.6, 70.65, 69.63, 69.63, 1568000, 69.29, 0, 1, 69.945, -999
20140918, 70.04, 70.84, 69.89, 70.33, 1582300, 69.99, 0, 1, 70.015, -999
20140917, 69.21, 70.39, 68.93, 69.9, 1220400, 69.56, 0, 1, 69.385, -999
20140916, 69.3, 69.58, 68.97, 69.18, 1040400, 68.84, 0, 1, 69.07, -999
20140915, 69.34, 69.53, 69.02, 69.34, 1029900, 69, 0, 1, 69.17, -999
20140912, 69.11, 69.8, 68.96, 69.55, 1099000, 69.21, 0, 1, 69.16, -999
20140911, 68.64, 69.14, 68.48, 69.07, 819200, 68.73, 0, 1, 68.685, -999
20140910, 68.43, 69.1, 68.29, 68.85, 988700, 68.51, 0, 1, 68.47, -999
20140909, 68.61, 68.64, 67.99, 68.27, 861800, 67.94, 0, 1, 68.275, -999
20140908, 68.77, 68.95, 68.23, 68.62, 1923100, 68.29, 0, 1, 68.53, -999
20140905, 68.85, 69.44, 68.66, 69.12, 1181600, 68.78, 0, 1, 68.815, -999
20140904, 69.62, 69.88, 69.01, 69.07, 1146500, 68.73, 0, 1, 69.175, -999
20140903, 69.62, 69.77, 69.15, 69.4, 1304800, 69.06, 0.33, 1, 69.34, -999
20140902, 69.54, 69.87, 69.11, 69.49, 1776100, 68.82, 0, 1, 69.18, -999
20140829, 69, 69.44, 68.7, 69.35, 1091500, 68.68, 0, 1, 68.84, -999
20140828, 68.85, 68.89, 68.45, 68.8, 822500, 68.14, 0, 1, 68.495, -999
20140827, 68.8, 69.14, 68.68, 68.97, 921300, 68.31, 0, 1, 68.555, -999
20140826, 69.02, 69.09, 68.69, 68.94, 664600, 68.28, 0, 1, 68.65, -999
20140825, 68.44, 69.16, 68.42, 68.94, 1710300, 68.28, 0, 1, 68.36, -999
20140822, 67.76, 68.68, 66.48, 68.26, 1312700, 67.6, 0, 1, 67.68, -999
20140821, 67.2, 68, 67.2, 67.99, 1233500, 67.34, 0, 1, 67.27, -999
20140820, 66.95, 67.38, 66.6, 67.23, 1269200, 66.58, 0, 1, 66.765, -999
20140819, 67.23, 67.45, 66.78, 66.96, 1348700, 66.32, 0, 1, 66.775, -999
20140818, 67.12, 67.38, 66.37, 67.15, 810300, 66.51, 0, 1, 66.815, -999
20140815, 67.16, 67.28, 66.25, 66.59, 999000, 65.95, 0, 1, 66.555, -999
20140814, 66.76, 67.13, 66.37, 66.98, 875600, 66.34, 0, 1, 66.55, -999
20140813, 64.06, 66.85, 64.06, 66.78, 1001200, 66.14, 0, 1, 65.1, -999
20140812, 66.21, 66.47, 66.12, 66.44, 1345300, 65.8, 0, 1, 66.005, -999
20140811, 66.17, 66.38, 65.94, 66.25, 1316900, 65.61, 0, 1, 65.89, -999
20140808, 65.69, 66.21, 65.47, 66.13, 1361400, 65.49, 0, 1, 65.59, -999
20140807, 66.24, 66.47, 65.45, 65.69, 2076100, 65.06, 0, 1, 65.65, -999
20140806, 65.53, 66.62, 65.41, 65.9, 1118000, 65.27, 0, 1, 65.4, -999
20140805, 66.12, 66.5, 65.45, 65.68, 814500, 65.05, 0, 1, 65.585, -999
20140804, 66.14, 66.64, 65.93, 66.5, 1049300, 65.86, 0, 1, 66, -999
20140801, 66.8, 66.94, 65.99, 66.14, 1293200, 65.5, 0, 1, 66.15, -999
20140731, 67.64, 67.92, 66.89, 66.89, 1460200, 66.25, 0, 1, 66.945, -999
20140730, 67.5, 68.11, 66.84, 67.88, 1368100, 67.23, 0, 1, 67.365, -999
20140729, 66.63, 67.7, 66.63, 67.11, 993500, 66.47, 0, 1, 66.55, -999
20140728, 67.15, 67.45, 66.81, 67.18, 1049900, 66.53, 0, 1, 66.84, -999
20140725, 67.11, 67.37, 66.95, 67.13, 1143800, 66.49, 0, 1, 66.8, -999
20140724, 66.4, 67.26, 66.37, 67.11, 1115600, 66.47, 0, 1, 66.435, -999
20140723, 66.01, 66.63, 65.76, 66.39, 1442000, 65.75, 0, 1, 65.88, -999
20140722, 65.5, 66.19, 65.41, 66.07, 1460500, 65.44, 0, 1, 65.47, -999
20140721, 64.56, 65.53, 64.56, 65.49, 1126600, 64.86, 0, 1, 64.71, -999
20140718, 64.7, 65.19, 64.27, 65.02, 1294000, 64.4, 0, 1, 64.55, -999
20140717, 64.15, 64.68, 63.9, 64.34, 1414800, 63.72, 0, 1, 63.935, -999
20140716, 64.9, 65.74, 63.92, 64.48, 1505900, 63.86, 0, 1, 64.38, -999
20140715, 64.47, 65.2, 64.33, 64.48, 1520800, 63.86, 0, 1, 64.165, -999
20140714, 64.95, 65.23, 64.23, 64.43, 1163800, 63.81, 0, 1, 64.38, -999
20140711, 63.83, 64.49, 63.36, 64.41, 853200, 63.79, 0, 1, 63.81, -999
20140710, 63.54, 64.05, 63.11, 63.83, 626800, 63.22, 0, 1, 63.38, -999
20140709, 64.48, 64.71, 63.76, 64.02, 974100, 63.41, 0, 1, 63.945, -999
20140708, 64.52, 64.56, 63.84, 64.12, 615400, 63.5, 0, 1, 64.01, -999
20140707, 64.6, 64.83, 64.08, 64.8, 627200, 64.18, 0, 1, 64.39, -999
20140703, 64.39, 65.28, 64.14, 64.89, 654200, 64.27, 0, 1, 64.33, -999
20140702, 64.31, 64.92, 63.98, 64.06, 991700, 63.44, 0, 1, 63.875, -999
20140701, 64.51, 64.99, 64.23, 64.5, 1080100, 63.88, 0, 1, 64.195, -999
20140630, 64.47, 64.9, 64.11, 64.21, 1246300, 63.59, 0, 1, 64.03, -999
20140627, 63.91, 64.52, 63.69, 64.45, 943600, 63.83, 0, 1, 63.87, -999
20140626, 64.04, 64.19, 63.09, 64.07, 720400, 63.45, 0, 1, 63.745, -999
20140625, 63.63, 64.2, 63.32, 64.15, 666100, 63.53, 0, 1, 63.58, -999
20140624, 63.9, 64.62, 63.78, 63.88, 1001200, 63.27, 0, 1, 63.585, -999
20140623, 64.16, 64.47, 63.75, 64.11, 777500, 63.49, 0, 1, 63.825, -999
20140620, 64.51, 64.51, 63.83, 64.29, 1743100, 63.67, 0, 1, 64.09, -999
20140619, 64.54, 64.57, 63.72, 64.12, 1019100, 63.5, 0, 1, 64.02, -999
20140618, 63.83, 64.72, 63.43, 64.39, 2219500, 63.77, 0, 1, 63.8, -999
20140617, 61.97, 64.97, 61.81, 63.89, 2330800, 63.28, 0, 1, 62.625, -999
20140616, 62.02, 62.56, 61.65, 62.25, 999900, 61.65, 0, 1, 61.835, -999
