Ticker: NUE  Created on: 12/6/2014 5:25:34 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 55.02, 55.16, 54.29, 54.45, 1927200, 54.45, 0, 1, 54.735, -999
20141204, 55, 55.29, 54.67, 55.13, 1452000, 55.13, 0, 1, 55.065, -999
20141203, 53.39, 55.02, 53.37, 54.97, 1828000, 54.97, 0, 1, 54.18, -999
20141202, 53.41, 53.79, 53, 53.14, 1437500, 53.14, 0, 1, 53.275, -999
20141201, 53.68, 53.68, 52.9, 53.28, 1545000, 53.28, 0, 1, 53.48, -999
20141128, 54.34, 54.5, 53.32, 53.63, 934300, 53.63, 0, 1, 53.985, -999
20141126, 54.78, 54.86, 54.18, 54.23, 1245100, 54.23, 0, 1, 54.505, -999
20141125, 54.11, 54.89, 54.02, 54.65, 1312600, 54.65, 0, 1, 54.38, -999
20141124, 54.52, 54.84, 53.89, 53.91, 1871100, 53.91, 0, 1, 54.215, -999
20141121, 55.14, 55.31, 53.96, 54.4, 2522300, 54.4, 0, 1, 54.77, -999
20141120, 53.17, 54.36, 53.05, 54.23, 1213200, 54.23, 0, 1, 53.7, -999
20141119, 54.11, 54.2, 53.16, 53.69, 1733400, 53.69, 0, 1, 53.9, -999
20141118, 53.95, 54.47, 53.95, 54.36, 1127300, 54.36, 0, 1, 54.155, -999
20141117, 53.85, 54.38, 53.58, 54.14, 1416000, 54.14, 0, 1, 53.995, -999
20141114, 53.28, 54.01, 53.09, 53.91, 1584400, 53.91, 0, 1, 53.595, -999
20141113, 53.35, 53.9, 53.09, 53.36, 1466000, 53.36, 0, 1, 53.355, -999
20141112, 53.05, 53.68, 52.95, 53.27, 1572200, 53.27, 0, 1, 53.16, -999
20141111, 53.26, 53.5, 53.06, 53.33, 1358600, 53.33, 0, 1, 53.295, -999
20141110, 54.17, 54.63, 53.4, 53.46, 1964000, 53.46, 0, 1, 53.815, -999
20141107, 53.55, 54.42, 53.55, 54.18, 1518100, 54.18, 0, 1, 53.865, -999
20141106, 53.13, 53.64, 52.86, 53.48, 1355500, 53.48, 0, 1, 53.305, -999
20141105, 53.06, 53.29, 52.41, 53.06, 1219400, 53.06, 0, 1, 53.06, -999
20141104, 53.15, 53.3, 52, 52.87, 1958700, 52.87, 0, 1, 53.01, -999
20141103, 53.85, 54, 52.87, 53.35, 1976200, 53.35, 0, 1, 53.6, -999
20141031, 53.54, 54.09, 52.65, 54.06, 3121700, 54.06, 0, 1, 53.8, -999
20141030, 52.6, 53.61, 52.35, 53.07, 2543500, 53.07, 0, 1, 52.835, -999
20141029, 54.01, 54.18, 52.2, 52.74, 5090900, 52.74, 0, 1, 53.375, -999
20141028, 52.59, 53.53, 52.29, 53.42, 2009700, 53.42, 0, 1, 53.005, -999
20141027, 52.31, 52.68, 51.85, 52.2, 3017600, 52.2, 0, 1, 52.255, -999
20141024, 51.88, 52.86, 51.42, 52.79, 3322500, 52.79, 0, 1, 52.335, -999
20141023, 51.87, 51.87, 50.25, 51.12, 3557900, 51.12, 0, 1, 51.495, -999
20141022, 51.8, 52.58, 51.55, 51.71, 2906700, 51.71, 0, 1, 51.755, -999
20141021, 51.08, 51.97, 50.92, 51.69, 2650500, 51.69, 0, 1, 51.385, -999
20141020, 49.78, 50.58, 49.69, 50.48, 1275300, 50.48, 0, 1, 50.13, -999
20141017, 49.97, 50.69, 49.67, 49.91, 2673300, 49.91, 0, 1, 49.94, -999
20141016, 47.91, 50.02, 47.91, 49.55, 2140600, 49.55, 0, 1, 48.73, -999
20141015, 48.22, 49.32, 47.27, 49.07, 3135800, 49.07, 0, 1, 48.645, -999
20141014, 48.72, 49.73, 48.45, 49.01, 2461200, 49.01, 0, 1, 48.865, -999
20141013, 49.07, 49.74, 48.16, 48.22, 3237700, 48.22, 0, 1, 48.645, -999
20141010, 49.39, 49.97, 48.69, 48.71, 2606000, 48.71, 0, 1, 49.05, -999
20141009, 51.31, 51.31, 49.57, 49.63, 2197400, 49.63, 0, 1, 50.47, -999
20141008, 50.56, 51.4, 49.8, 51.35, 2863600, 51.35, 0, 1, 50.955, -999
20141007, 51.15, 51.68, 50.52, 50.53, 2618400, 50.53, 0, 1, 50.84, -999
20141006, 52.31, 52.48, 51.2, 51.45, 2617100, 51.45, 0, 1, 51.88, -999
20141003, 52.34, 52.86, 51.82, 51.98, 2003500, 51.98, 0, 1, 52.16, -999
20141002, 52.85, 52.96, 51.54, 52.38, 2382700, 52.38, 0, 1, 52.615, -999
20141001, 54.28, 54.29, 52.57, 52.83, 2356600, 52.83, 0, 1, 53.555, -999
20140930, 54.55, 54.91, 53.84, 54.28, 1782400, 54.28, 0, 1, 54.415, -999
20140929, 54.79, 55.03, 54.47, 54.56, 1677700, 54.56, 0, 1, 54.675, -999
20140926, 55.25, 55.29, 54.63, 55.23, 1619300, 55.23, 0.37, 1, 55.24, -999
20140925, 55.94, 56, 54.82, 55.25, 2629400, 54.88, 0, 1, 55.41, -999
20140924, 56.87, 56.89, 55.81, 56.17, 3379500, 55.79, 0, 1, 56.33, -999
20140923, 56.96, 57.24, 56.6, 56.7, 1620600, 56.32, 0, 1, 56.64, -999
20140922, 57.24, 57.56, 56.7, 56.96, 2311000, 56.58, 0, 1, 56.91, -999
20140919, 58.29, 58.31, 57.5, 57.64, 2781700, 57.25, 0, 1, 57.77, -999
20140918, 58.3, 58.34, 57.54, 58.09, 2814300, 57.7, 0, 1, 58, -999
20140917, 57.9, 58.76, 57.25, 57.81, 6157000, 57.42, 0, 1, 57.66, -999
20140916, 55.07, 55.88, 54.92, 55.62, 1821800, 55.25, 0, 1, 55.16, -999
20140915, 55.75, 56.58, 55.25, 55.35, 2552000, 54.98, 0, 1, 55.365, -999
20140912, 55.01, 55.17, 54.72, 54.96, 1659100, 54.59, 0, 1, 54.8, -999
20140911, 54.68, 55.17, 54.64, 55.17, 979400, 54.8, 0, 1, 54.74, -999
20140910, 55.19, 55.24, 54.57, 54.85, 1164900, 54.48, 0, 1, 54.835, -999
20140909, 55.38, 55.6, 54.99, 55.2, 1303600, 54.83, 0, 1, 55.105, -999
20140908, 56, 56.05, 55.14, 55.43, 1598700, 55.06, 0, 1, 55.53, -999
20140905, 55.69, 56.07, 55.48, 56.04, 1240300, 55.66, 0, 1, 55.675, -999
20140904, 55, 56.09, 54.97, 55.79, 2393700, 55.42, 0, 1, 55.21, -999
20140903, 54.51, 55.26, 54.51, 55.02, 1811700, 54.65, 0, 1, 54.58, -999
20140902, 54.32, 54.45, 53.91, 53.92, 1482900, 53.56, 0, 1, 53.94, -999
20140829, 54.15, 54.38, 53.91, 54.32, 849000, 53.96, 0, 1, 54.055, -999
20140828, 53.84, 54.01, 53.54, 53.96, 841700, 53.6, 0, 1, 53.72, -999
20140827, 54.36, 54.6, 54.04, 54.31, 904700, 53.95, 0, 1, 54.155, -999
20140826, 54.17, 54.6, 54.11, 54.36, 1066500, 54, 0, 1, 54.085, -999
20140825, 54.06, 54.3, 53.81, 54.03, 940400, 53.67, 0, 1, 53.865, -999
20140822, 53.59, 53.92, 53.47, 53.75, 1174300, 53.39, 0, 1, 53.49, -999
20140821, 53.95, 54.02, 53.59, 53.75, 1205200, 53.39, 0, 1, 53.67, -999
20140820, 53.9, 54.39, 53.75, 54.07, 1181300, 53.71, 0, 1, 53.805, -999
20140819, 53.81, 54.28, 53.63, 54, 2076500, 53.64, 0, 1, 53.725, -999
20140818, 52.34, 53.66, 52.31, 53.65, 2672500, 53.29, 0, 1, 52.815, -999
20140815, 52.53, 52.65, 51.94, 52, 1395700, 51.65, 0, 1, 52.09, -999
20140814, 52.62, 52.67, 51.99, 52.19, 1731000, 51.84, 0, 1, 52.23, -999
20140813, 51.21, 52.52, 51.17, 52.49, 2239400, 52.14, 0, 1, 51.675, -999
20140812, 50.95, 51.13, 50.67, 51.04, 926600, 50.7, 0, 1, 50.825, -999
20140811, 51.3, 51.49, 50.94, 50.97, 1180800, 50.63, 0, 1, 50.965, -999
20140808, 50.07, 51.09, 50.01, 51.07, 956300, 50.73, 0, 1, 50.4, -999
20140807, 50.74, 50.87, 49.88, 50.09, 1242800, 49.75, 0, 1, 50.245, -999
20140806, 49.79, 50.83, 49.79, 50.63, 1397800, 50.29, 0, 1, 50.04, -999
20140805, 49.91, 50.57, 49.7, 49.97, 1143000, 49.64, 0, 1, 49.775, -999
20140804, 50.04, 50.27, 49.55, 50.19, 1202600, 49.85, 0, 1, 49.945, -999
20140801, 49.89, 50.69, 49.52, 49.81, 1517900, 49.48, 0, 1, 49.685, -999
20140731, 50.8, 51.26, 50.15, 50.22, 1650100, 49.88, 0, 1, 50.34, -999
20140730, 51.66, 51.81, 51.14, 51.24, 1870200, 50.9, 0, 1, 51.28, -999
20140729, 51.41, 51.61, 51, 51.02, 1128300, 50.68, 0, 1, 51.045, -999
20140728, 51.22, 51.61, 50.96, 51.24, 1208400, 50.9, 0, 1, 51.06, -999
20140725, 51.1, 51.35, 50.85, 51.33, 1341800, 50.99, 0, 1, 51.045, -999
20140724, 51.83, 52.94, 50.91, 51.11, 1858200, 50.77, 0, 1, 51.3, -999
20140723, 50.73, 51.05, 50.41, 51, 2708800, 50.66, 0, 1, 50.695, -999
20140722, 50.65, 50.88, 50.56, 50.69, 1329400, 50.35, 0, 1, 50.5, -999
20140721, 50.19, 50.64, 49.92, 50.45, 1536000, 50.11, 0, 1, 50.15, -999
20140718, 49.92, 50.49, 49.86, 50.27, 1975000, 49.93, 0, 1, 49.925, -999
20140717, 50.09, 50.45, 49.71, 49.8, 1516300, 49.47, 0, 1, 49.78, -999
20140716, 49.99, 50.66, 49.96, 50.5, 2014100, 50.16, 0, 1, 50.075, -999
20140715, 49.39, 49.73, 49.18, 49.6, 1679600, 49.27, 0, 1, 49.33, -999
20140714, 49.7, 49.75, 49.03, 49.23, 1519800, 48.9, 0, 1, 49.3, -999
20140711, 49.26, 49.72, 49.19, 49.42, 1809400, 49.09, 0, 1, 49.175, -999
20140710, 49.85, 50.1, 49.58, 49.68, 1317500, 49.35, 0, 1, 49.6, -999
20140709, 49.93, 50.47, 49.89, 50.2, 1932200, 49.86, 0, 1, 49.895, -999
20140708, 49.91, 50, 49.32, 49.84, 1367800, 49.51, 0, 1, 49.71, -999
20140707, 50.14, 50.24, 49.58, 49.68, 2319900, 49.35, 0, 1, 49.745, -999
20140703, 49.74, 50.75, 49.72, 50.53, 1748000, 50.19, 0, 1, 49.965, -999
20140702, 49.23, 49.73, 49.2, 49.66, 1382600, 49.33, 0, 1, 49.28, -999
20140701, 49.43, 49.69, 49.14, 49.15, 1461300, 48.82, 0, 1, 49.125, -999
20140630, 49, 49.34, 48.72, 49.25, 1875800, 48.92, 0, 1, 48.96, -999
20140627, 49.64, 49.83, 48.98, 49.09, 2503500, 48.76, 0, 1, 49.2, -999
20140626, 50.03, 50.22, 49.65, 49.85, 1574600, 49.52, 0.37, 1, 49.775, -999
20140625, 49.89, 50.38, 49.72, 50.31, 1774500, 49.61, 0, 1, 49.75, -999
20140624, 50.15, 50.37, 49.81, 49.89, 2177700, 49.19, 0, 1, 49.67, -999
20140623, 50.42, 50.43, 49.59, 50.16, 2708600, 49.46, 0, 1, 49.94, -999
20140620, 50.47, 51.15, 50.16, 50.52, 3455000, 49.81, 0, 1, 50.14, -999
20140619, 51.93, 52.22, 51.55, 51.68, 1105100, 50.96, 0, 1, 51.445, -999
20140618, 51.45, 51.99, 51.24, 51.96, 1509800, 51.23, 0, 1, 51.34, -999
20140617, 50.3, 51.41, 50.07, 51.18, 1460900, 50.46, 0, 1, 50.38, -999
20140616, 50.85, 51.06, 50.29, 50.39, 1282800, 49.68, 0, 1, 50.265, -999
20140613, 50.4, 50.95, 50.29, 50.84, 1301600, 50.13, 0, 1, 50.265, -999
20140612, 50.65, 50.68, 50.12, 50.3, 1124000, 49.6, 0, 1, 50.125, -999
20140611, 50.6, 50.88, 50.42, 50.79, 1133000, 50.08, 0, 1, 50.34, -999
20140610, 50.7, 50.94, 50.47, 50.69, 925700, 49.98, 0, 1, 50.34, -999
20140609, 51.24, 51.42, 50.62, 50.79, 1585000, 50.08, 0, 1, 50.66, -999
