Ticker: NU  Created on: 12/6/2014 5:25:32 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 51.27, 51.5, 51.02, 51.33, 1913600, 51.33, 0, 1, 51.3, -999
20141204, 51.29, 51.72, 51.13, 51.56, 1766200, 51.56, 0, 1, 51.425, -999
20141203, 51.14, 51.27, 50.86, 51.22, 1558000, 51.22, 0, 1, 51.18, -999
20141202, 50.53, 51.29, 50.26, 51.2, 1887700, 51.2, 0, 1, 50.865, -999
20141201, 50.29, 51.25, 49.93, 50.69, 2254500, 50.69, 0, 1, 50.49, -999
20141128, 49.86, 50.65, 49.79, 50.64, 1362600, 50.64, 0, 1, 50.25, -999
20141126, 49.58, 49.85, 49.53, 49.64, 1714300, 49.64, 0, 1, 49.61, -999
20141125, 49.98, 49.98, 49.34, 49.51, 2290500, 49.51, 0, 1, 49.745, -999
20141124, 50.38, 50.45, 49.86, 50.01, 1859000, 50.01, 0, 1, 50.195, -999
20141121, 50.37, 50.46, 49.78, 50.36, 1840100, 50.36, 0, 1, 50.365, -999
20141120, 49.88, 50.13, 49.69, 49.96, 1306300, 49.96, 0, 1, 49.92, -999
20141119, 49.63, 50.02, 49.42, 49.94, 1267500, 49.94, 0, 1, 49.785, -999
20141118, 49.61, 49.96, 49.35, 49.78, 1048600, 49.78, 0, 1, 49.695, -999
20141117, 48.81, 49.52, 48.71, 49.44, 860600, 49.44, 0, 1, 49.125, -999
20141114, 49.07, 49.21, 48.65, 48.8, 1888100, 48.8, 0, 1, 48.935, -999
20141113, 49.6, 49.8, 49.11, 49.27, 1371300, 49.27, 0, 1, 49.435, -999
20141112, 49.6, 50.18, 49.2, 49.49, 2321600, 49.49, 0, 1, 49.545, -999
20141111, 50.64, 50.92, 50.35, 50.54, 1296600, 50.54, 0, 1, 50.59, -999
20141110, 50.55, 50.92, 50.11, 50.73, 1719100, 50.73, 0, 1, 50.64, -999
20141107, 49.69, 50.7, 49.64, 50.7, 2397900, 50.7, 0, 1, 50.195, -999
20141106, 50.55, 50.56, 49.33, 49.5, 3521900, 49.5, 0, 1, 50.025, -999
20141105, 49.7, 50.86, 49.62, 50.83, 2441900, 50.83, 0, 1, 50.265, -999
20141104, 49.49, 49.97, 49.23, 49.51, 1226000, 49.51, 0, 1, 49.5, -999
20141103, 49.48, 49.67, 49.34, 49.58, 1585400, 49.58, 0, 1, 49.53, -999
20141031, 49.58, 49.63, 49.12, 49.35, 1609700, 49.35, 0, 1, 49.465, -999
20141030, 48.47, 49.98, 48.34, 49.35, 1772400, 49.35, 0, 1, 48.91, -999
20141029, 48.78, 48.91, 47.89, 48.35, 1245500, 48.35, 0, 1, 48.565, -999
20141028, 48.56, 48.78, 48.2, 48.78, 1403300, 48.78, 0, 1, 48.67, -999
