Ticker: NWL  Created on: 12/6/2014 5:25:27 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 36.26, 36.66, 36.09, 36.63, 1323300, 36.63, 0, 1, 36.445, -999
20141204, 36.23, 36.27, 36.02, 36.19, 912800, 36.19, 0, 1, 36.21, -999
20141203, 35.88, 36.38, 35.81, 36.33, 2698400, 36.33, 0, 1, 36.105, -999
20141202, 36.08, 36.23, 35.64, 36.01, 1602700, 36.01, 0, 1, 36.045, -999
20141201, 36.19, 36.19, 35.89, 36.02, 1122200, 36.02, 0, 1, 36.105, -999
20141128, 36.13, 36.39, 36.08, 36.31, 645100, 36.31, 0, 1, 36.22, -999
20141126, 35.88, 36.06, 35.85, 36, 1011400, 36, 0, 1, 35.94, -999
20141125, 35.93, 36.09, 35.73, 35.9, 1524600, 35.9, 0, 1, 35.915, -999
20141124, 35.96, 36.17, 35.83, 36.12, 1671200, 35.95, 0, 1, 35.955, -999
20141121, 35.97, 36.03, 35.75, 35.94, 1299700, 35.77, 0, 1, 35.87, -999
20141120, 35.48, 35.77, 35.38, 35.67, 1308400, 35.5, 0, 1, 35.49, -999
20141119, 35.52, 35.69, 35.41, 35.58, 1560500, 35.41, 0, 1, 35.465, -999
20141118, 35.64, 35.75, 35.43, 35.48, 1426800, 35.31, 0, 1, 35.475, -999
20141117, 34.82, 35.68, 34.77, 35.62, 2133300, 35.45, 0, 1, 35.135, -999
20141114, 34.82, 34.92, 34.67, 34.83, 1175900, 34.67, 0, 1, 34.745, -999
20141113, 35.05, 35.13, 34.82, 34.88, 1477200, 34.72, 0, 1, 34.885, -999
20141112, 34.81, 34.93, 34.53, 34.61, 1543400, 34.45, 0, 1, 34.63, -999
20141111, 34.9, 35.15, 34.66, 34.88, 1526500, 34.72, 0, 1, 34.81, -999
20141110, 34.7, 35.13, 34.59, 34.86, 1732700, 34.7, 0, 1, 34.7, -999
20141107, 34.57, 34.82, 34.44, 34.8, 1598800, 34.64, 0, 1, 34.605, -999
20141106, 34.61, 34.89, 34.38, 34.72, 1513800, 34.56, 0, 1, 34.585, -999
20141105, 34.14, 34.58, 33.92, 34.5, 2196800, 34.34, 0, 1, 34.24, -999
20141104, 33.9, 34.05, 33.62, 33.8, 2436600, 33.64, 0, 1, 33.77, -999
20141103, 33.55, 34.15, 33.37, 34.04, 3910500, 33.88, 0, 1, 33.715, -999
20141031, 34.82, 34.96, 32.81, 33.33, 6066600, 33.17, 0, 1, 33.995, -999
20141030, 34.99, 35.43, 34.81, 34.95, 1888500, 34.79, 0, 1, 34.89, -999
20141029, 35.06, 35.21, 34.57, 35.03, 1031600, 34.87, 0, 1, 34.965, -999
20141028, 35.34, 35.36, 34.88, 35.11, 1323500, 34.94, 0, 1, 35.14, -999
