Ticker: NWSA  Created on: 12/6/2014 5:25:28 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 15.71, 15.84, 15.63, 15.82, 3263700, 15.82, 0, 1, 15.765, -999
20141204, 15.72, 15.83, 15.59, 15.71, 3567100, 15.71, 0, 1, 15.715, -999
20141203, 15.72, 15.81, 15.62, 15.79, 4387400, 15.79, 0, 1, 15.755, -999
20141202, 15.6, 15.78, 15.49, 15.74, 3290700, 15.74, 0, 1, 15.67, -999
20141201, 15.67, 15.69, 15.41, 15.56, 3458400, 15.56, 0, 1, 15.615, -999
20141128, 15.7, 15.7, 15.47, 15.52, 1813000, 15.52, 0, 1, 15.61, -999
20141126, 15.45, 15.69, 15.41, 15.68, 3861900, 15.68, 0, 1, 15.565, -999
20141125, 15.56, 15.58, 15.41, 15.45, 4557100, 15.45, 0, 1, 15.505, -999
20141124, 15.33, 15.53, 15.07, 15.46, 7758000, 15.46, 0, 1, 15.395, -999
20141121, 15.32, 15.36, 15.08, 15.17, 5263400, 15.17, 0, 1, 15.245, -999
20141120, 14.69, 15.21, 14.68, 15.14, 7632200, 15.14, 0, 1, 14.915, -999
20141119, 15.04, 15.22, 14.91, 15.19, 10770900, 15.19, 0, 1, 15.115, -999
20141118, 14.98, 15.12, 14.96, 15.01, 6601000, 15.01, 0, 1, 14.995, -999
20141117, 15.19, 15.24, 14.92, 15.04, 7164200, 15.04, 0, 1, 15.115, -999
20141114, 14.95, 15.2, 14.93, 15.2, 2692400, 15.2, 0, 1, 15.075, -999
20141113, 15.33, 15.33, 14.85, 14.99, 8896600, 14.99, 0, 1, 15.16, -999
20141112, 15.18, 15.43, 15.18, 15.27, 3881000, 15.27, 0, 1, 15.225, -999
20141111, 15.26, 15.38, 15.15, 15.24, 4077000, 15.24, 0, 1, 15.25, -999
20141110, 15.13, 15.3, 15.08, 15.24, 4361500, 15.24, 0, 1, 15.185, -999
20141107, 15.27, 15.41, 15.14, 15.15, 4958200, 15.15, 0, 1, 15.21, -999
20141106, 15.84, 15.91, 15.32, 15.33, 9514200, 15.33, 0, 1, 15.585, -999
20141105, 15.28, 15.45, 15.15, 15.3, 2763800, 15.3, 0, 1, 15.29, -999
20141104, 15.49, 15.65, 15.07, 15.15, 4750700, 15.15, 0, 1, 15.32, -999
20141103, 15.77, 15.78, 15.43, 15.56, 2643600, 15.56, 0, 1, 15.665, -999
20141031, 15.74, 15.8, 15.29, 15.48, 4080400, 15.48, 0, 1, 15.61, -999
20141030, 15.44, 15.61, 15.35, 15.49, 2491700, 15.49, 0, 1, 15.465, -999
20141029, 15.48, 15.65, 15.42, 15.53, 1923200, 15.53, 0, 1, 15.505, -999
20141028, 15.47, 15.57, 15.37, 15.53, 2926500, 15.53, 0, 1, 15.5, -999
20141027, 15.71, 15.71, 15.38, 15.46, 2684400, 15.46, 0, 1, 15.585, -999
20141024, 15.5, 15.76, 15.48, 15.73, 2193600, 15.73, 0, 1, 15.615, -999
20141023, 15.54, 15.63, 15.39, 15.51, 2345900, 15.51, 0, 1, 15.525, -999
20141022, 15.39, 15.66, 15.25, 15.26, 6159900, 15.26, 0, 1, 15.325, -999
20141021, 15, 15.47, 15, 15.41, 4518900, 15.41, 0, 1, 15.205, -999
20141020, 14.83, 14.91, 14.6, 14.9, 4289900, 14.9, 0, 1, 14.865, -999
20141017, 14.77, 14.94, 14.58, 14.71, 4851300, 14.71, 0, 1, 14.74, -999
20141016, 14.42, 14.83, 14.28, 14.6, 9051800, 14.6, 0, 1, 14.51, -999
20141015, 14.51, 14.96, 14.47, 14.7, 5606900, 14.7, 0, 1, 14.605, -999
20141014, 14.77, 15.05, 14.74, 14.79, 3988300, 14.79, 0, 1, 14.78, -999
20141013, 15.03, 15.1, 14.63, 14.64, 4396100, 14.64, 0, 1, 14.835, -999
20141010, 15.5, 15.62, 15.1, 15.11, 3119100, 15.11, 0, 1, 15.305, -999
20141009, 15.97, 15.97, 15.37, 15.48, 6348700, 15.48, 0, 1, 15.725, -999
20141008, 15.5, 15.98, 15.46, 15.98, 7541600, 15.98, 0, 1, 15.74, -999
20141007, 15.84, 15.92, 15.47, 15.47, 7976600, 15.47, 0, 1, 15.655, -999
20141006, 15.96, 16.05, 15.87, 15.93, 7170500, 15.93, 0, 1, 15.945, -999
20141003, 15.88, 15.99, 15.85, 15.91, 6948700, 15.91, 0, 1, 15.895, -999
20141002, 16, 16.07, 15.68, 15.81, 5823600, 15.81, 0, 1, 15.905, -999
20141001, 16.27, 16.34, 15.95, 15.98, 8270600, 15.98, 0, 1, 16.125, -999
20140930, 16.72, 16.77, 16.33, 16.35, 9190600, 16.35, 0, 1, 16.535, -999
20140929, 16.88, 16.96, 16.72, 16.8, 6009300, 16.8, 0, 1, 16.84, -999
20140926, 16.71, 17, 16.69, 16.98, 1981400, 16.98, 0, 1, 16.845, -999
20140925, 16.78, 16.88, 16.68, 16.71, 2239600, 16.71, 0, 1, 16.745, -999
20140924, 16.89, 16.99, 16.79, 16.91, 2351800, 16.91, 0, 1, 16.9, -999
20140923, 16.98, 17.09, 16.92, 16.92, 3013400, 16.92, 0, 1, 16.95, -999
20140922, 17.14, 17.22, 17.01, 17.05, 2704200, 17.05, 0, 1, 17.095, -999
20140919, 17.12, 17.25, 17.02, 17.22, 3239700, 17.22, 0, 1, 17.17, -999
20140918, 17.07, 17.16, 16.94, 17.03, 2598700, 17.03, 0, 1, 17.05, -999
20140917, 17.03, 17.14, 16.91, 17.04, 2411800, 17.04, 0, 1, 17.035, -999
20140916, 17.02, 17.18, 16.98, 17.04, 1766900, 17.04, 0, 1, 17.03, -999
20140915, 17.15, 17.29, 16.87, 17.05, 2548300, 17.05, 0, 1, 17.1, -999
20140912, 17.27, 17.27, 17.05, 17.12, 1782300, 17.12, 0, 1, 17.195, -999
20140911, 17.41, 17.47, 17.26, 17.28, 1507600, 17.28, 0, 1, 17.345, -999
20140910, 17.27, 17.51, 17.2, 17.47, 1652100, 17.47, 0, 1, 17.37, -999
20140909, 17.61, 17.62, 17.27, 17.29, 2590900, 17.29, 0, 1, 17.45, -999
20140908, 17.7, 17.74, 17.56, 17.62, 2089400, 17.62, 0, 1, 17.66, -999
20140905, 17.54, 17.75, 17.54, 17.75, 2047200, 17.75, 0, 1, 17.645, -999
20140904, 17.67, 17.8, 17.57, 17.6, 1900400, 17.6, 0, 1, 17.635, -999
20140903, 17.52, 17.64, 17.52, 17.6, 2224600, 17.6, 0, 1, 17.56, -999
20140902, 17.65, 17.74, 17.42, 17.43, 4195600, 17.43, 0, 1, 17.54, -999
20140829, 17.68, 17.72, 17.54, 17.63, 2377200, 17.63, 0, 1, 17.655, -999
20140828, 17.65, 17.75, 17.51, 17.67, 2239400, 17.67, 0, 1, 17.66, -999
20140827, 17.61, 17.68, 17.54, 17.68, 1802300, 17.68, 0, 1, 17.645, -999
20140826, 17.71, 17.71, 17.59, 17.62, 1349400, 17.62, 0, 1, 17.665, -999
20140825, 17.55, 17.66, 17.47, 17.66, 1954000, 17.66, 0, 1, 17.605, -999
20140822, 17.6, 17.6, 17.39, 17.49, 2242800, 17.49, 0, 1, 17.545, -999
20140821, 17.47, 17.6, 17.39, 17.58, 3522400, 17.58, 0, 1, 17.525, -999
20140820, 17.14, 17.5, 17.08, 17.45, 2803400, 17.45, 0, 1, 17.295, -999
20140819, 17.16, 17.24, 17.07, 17.15, 3164400, 17.15, 0, 1, 17.155, -999
20140818, 17.27, 17.41, 17.15, 17.2, 4254500, 17.2, 0, 1, 17.235, -999
20140815, 17.36, 17.38, 17.15, 17.25, 2948800, 17.25, 0, 1, 17.305, -999
20140814, 17.17, 17.32, 17.13, 17.31, 1905800, 17.31, 0, 1, 17.24, -999
20140813, 16.5, 17.33, 16.42, 17.11, 4534300, 17.11, 0, 1, 16.805, -999
20140812, 17.36, 17.5, 17.22, 17.25, 5013200, 17.25, 0, 1, 17.305, -999
20140811, 17.17, 17.46, 17.16, 17.34, 5998300, 17.34, 0, 1, 17.255, -999
20140808, 16.46, 17.27, 16.33, 17.15, 13430800, 17.15, 0, 1, 16.805, -999
20140807, 17.72, 17.72, 17.37, 17.42, 6681600, 17.42, 0, 1, 17.57, -999
20140806, 17.6, 17.71, 17.5, 17.63, 2169500, 17.63, 0, 1, 17.615, -999
20140805, 17.46, 17.81, 17.46, 17.65, 2887400, 17.65, 0, 1, 17.555, -999
20140804, 17.8, 17.88, 17.61, 17.84, 2317200, 17.84, 0, 1, 17.82, -999
20140801, 17.63, 17.85, 17.58, 17.77, 2618600, 17.77, 0, 1, 17.7, -999
20140731, 17.77, 17.93, 17.62, 17.65, 2700700, 17.65, 0, 1, 17.71, -999
20140730, 17.9, 18.03, 17.71, 17.85, 3688900, 17.85, 0, 1, 17.875, -999
20140729, 18.11, 18.2, 17.85, 17.87, 3143200, 17.87, 0, 1, 17.99, -999
20140728, 18.1, 18.11, 17.9, 18.06, 2637800, 18.06, 0, 1, 18.08, -999
