Ticker: OMC  Created on: 12/6/2014 5:25:35 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 78.09, 78.38, 77.97, 78.33, 1171400, 78.33, 0, 1, 78.21, -999
20141204, 77.74, 78.24, 77.4, 78.15, 1380000, 78.15, 0, 1, 77.945, -999
20141203, 78.04, 78.08, 77.63, 77.92, 1017300, 77.92, 0, 1, 77.98, -999
20141202, 77.21, 78.15, 77.05, 77.87, 1641600, 77.87, 0, 1, 77.54, -999
20141201, 77.1, 77.43, 76.68, 77.21, 1064600, 77.21, 0, 1, 77.155, -999
20141128, 76.64, 77.39, 76.52, 77.27, 748900, 77.27, 0, 1, 76.955, -999
20141126, 76.09, 76.75, 75.94, 76.64, 794300, 76.64, 0, 1, 76.365, -999
20141125, 76.11, 76.47, 75.94, 76.17, 1903100, 76.17, 0, 1, 76.14, -999
20141124, 75.32, 76.21, 75.22, 76.11, 1211600, 76.11, 0, 1, 75.715, -999
20141121, 75.1, 75.27, 74.75, 75.02, 1679700, 75.02, 0, 1, 75.06, -999
20141120, 74.8, 74.94, 74.51, 74.66, 1160400, 74.66, 0, 1, 74.73, -999
20141119, 74.62, 74.94, 74.26, 74.87, 1249900, 74.87, 0, 1, 74.745, -999
20141118, 74.3, 74.86, 74.01, 74.6, 1119400, 74.6, 0, 1, 74.45, -999
20141117, 74, 74.5, 73.9, 74.3, 1295300, 74.3, 0, 1, 74.15, -999
20141114, 73.6, 74.51, 73.58, 74.07, 1294200, 74.07, 0, 1, 73.835, -999
20141113, 73.59, 73.88, 73.3, 73.64, 1092700, 73.64, 0, 1, 73.615, -999
20141112, 72.96, 73.52, 72.96, 73.4, 902900, 73.4, 0, 1, 73.18, -999
20141111, 73.09, 73.21, 72.96, 73.09, 821300, 73.09, 0, 1, 73.09, -999
20141110, 72.67, 72.98, 72.65, 72.97, 809000, 72.97, 0, 1, 72.82, -999
20141107, 72.9, 72.9, 72.34, 72.71, 2003700, 72.71, 0, 1, 72.805, -999
20141106, 72.54, 72.91, 72.21, 72.81, 1179200, 72.81, 0, 1, 72.675, -999
20141105, 72.69, 72.85, 71.92, 72.33, 1031700, 72.33, 0, 1, 72.51, -999
20141104, 72.6, 72.84, 72.12, 72.15, 1572500, 72.15, 0, 1, 72.375, -999
20141103, 72.09, 72.8, 72.09, 72.62, 1197300, 72.62, 0, 1, 72.355, -999
20141031, 71.64, 71.99, 71.56, 71.86, 1949500, 71.86, 0, 1, 71.75, -999
20141030, 69.92, 70.95, 69.73, 70.76, 1162400, 70.76, 0, 1, 70.34, -999
20141029, 69.94, 70.44, 69.72, 70.1, 1617400, 70.1, 0, 1, 70.02, -999
20141028, 69.68, 70.01, 69.16, 70.01, 1147000, 70.01, 0, 1, 69.845, -999
20141027, 69.95, 70.27, 69.15, 69.2, 1665100, 69.2, 0, 1, 69.575, -999
20141024, 69.3, 70.31, 69.25, 70.19, 1870000, 70.19, 0, 1, 69.745, -999
20141023, 67.13, 69.42, 67.09, 69.39, 3280000, 69.39, 0, 1, 68.26, -999
20141022, 68.25, 68.68, 66.92, 66.97, 2613600, 66.97, 0, 1, 67.61, -999
20141021, 69.77, 69.99, 68.01, 69.01, 1956300, 69.01, 0, 1, 69.39, -999
20141020, 66.85, 67.37, 66.71, 67.28, 1238500, 67.28, 0, 1, 67.065, -999
20141017, 66.44, 67.44, 66.21, 67.11, 1947200, 67.11, 0, 1, 66.775, -999
20141016, 65.15, 66.89, 65.04, 66.16, 1953300, 66.16, 0, 1, 65.655, -999
20141015, 64.18, 65.8, 64.03, 65.75, 2421700, 65.75, 0, 1, 64.965, -999
20141014, 65.38, 66.11, 65.38, 65.77, 2199300, 65.77, 0, 1, 65.575, -999
20141013, 65.4, 65.78, 64.6, 64.93, 1907700, 64.93, 0, 1, 65.165, -999
20141010, 66.08, 66.75, 65.52, 65.52, 2177100, 65.52, 0, 1, 65.8, -999
20141009, 67.08, 67.17, 65.57, 65.93, 1870700, 65.93, 0, 1, 66.505, -999
20141008, 66.17, 67.28, 65.67, 67, 3502200, 67, 0, 1, 66.585, -999
20141007, 67.38, 67.4, 65.92, 66, 2242400, 66, 0, 1, 66.69, -999
20141006, 68.23, 68.29, 67.49, 67.51, 1416600, 67.51, 0, 1, 67.87, -999
20141003, 67.59, 68.44, 67.59, 68.06, 1580400, 68.06, 0, 1, 67.825, -999
20141002, 67.45, 67.68, 66.32, 67.13, 1465500, 67.13, 0, 1, 67.29, -999
20141001, 68.69, 68.89, 67.22, 67.44, 1625200, 67.44, 0, 1, 68.065, -999
20140930, 69.18, 69.57, 68.86, 68.86, 2463500, 68.86, 0, 1, 69.02, -999
20140929, 69.27, 69.71, 68.99, 69.14, 1376700, 69.14, 0, 1, 69.205, -999
20140926, 69.18, 70, 69.12, 69.97, 1088100, 69.97, 0, 1, 69.575, -999
20140925, 69.32, 69.4, 68.75, 69.04, 1633300, 69.04, 0, 1, 69.18, -999
20140924, 68.65, 69.63, 68.32, 69.53, 1474700, 69.53, 0, 1, 69.09, -999
20140923, 69.33, 69.6, 68.48, 68.73, 2241900, 68.73, 0, 1, 69.03, -999
20140922, 70.53, 70.53, 69.55, 69.94, 1304700, 69.94, 0, 1, 70.235, -999
20140919, 70.63, 70.88, 70.11, 70.69, 2230300, 70.69, 0.5, 1, 70.66, -999
20140918, 70.42, 70.86, 70.22, 70.66, 1038000, 70.16, 0, 1, 70.29, -999
20140917, 70.71, 70.92, 70.03, 70.33, 1011200, 69.83, 0, 1, 70.27, -999
20140916, 70.29, 70.77, 69.94, 70.62, 1243000, 70.12, 0, 1, 70.205, -999
20140915, 71.08, 71.08, 70.09, 70.34, 1024600, 69.84, 0, 1, 70.46, -999
20140912, 71.32, 71.34, 70.63, 71.03, 895900, 70.53, 0, 1, 70.925, -999
20140911, 71.59, 71.84, 71.14, 71.37, 1146800, 70.86, 0, 1, 71.225, -999
20140910, 71.78, 71.91, 71.16, 71.7, 1325800, 71.19, 0, 1, 71.485, -999
20140909, 71.84, 71.99, 71.31, 71.96, 1130400, 71.45, 0, 1, 71.645, -999
20140908, 72.32, 72.32, 71.46, 71.7, 1010400, 71.19, 0, 1, 71.755, -999
20140905, 71.97, 72.33, 71.71, 72.32, 900200, 71.81, 0, 1, 71.89, -999
20140904, 72.09, 72.36, 71.84, 72.01, 1175400, 71.5, 0, 1, 71.795, -999
20140903, 72.61, 72.79, 71.8, 72.03, 1041800, 71.52, 0, 1, 72.065, -999
20140902, 71.97, 72.59, 71.75, 72.14, 1113900, 71.63, 0, 1, 71.8, -999
20140829, 72.29, 72.73, 71.85, 72.01, 1121000, 71.5, 0, 1, 71.895, -999
20140828, 72.21, 72.53, 71.69, 72.22, 924500, 71.71, 0, 1, 71.96, -999
20140827, 71.93, 72.31, 71.55, 72.31, 1127200, 71.8, 0, 1, 71.865, -999
20140826, 71.99, 72.29, 71.7, 71.91, 681500, 71.4, 0, 1, 71.695, -999
20140825, 72.38, 72.38, 71.63, 71.81, 1035000, 71.3, 0, 1, 71.84, -999
20140822, 72.47, 72.62, 71.96, 72.09, 719600, 71.58, 0, 1, 72.025, -999
20140821, 72.06, 72.64, 72, 72.61, 1080500, 72.1, 0, 1, 72.08, -999
20140820, 71.75, 72.29, 71.58, 72.03, 749900, 71.52, 0, 1, 71.635, -999
20140819, 72.29, 72.52, 71.68, 71.7, 803600, 71.19, 0, 1, 71.74, -999
20140818, 72.1, 72.34, 72.05, 72.21, 632800, 71.7, 0, 1, 71.9, -999
20140815, 72.27, 72.41, 70.99, 71.63, 1128900, 71.12, 0, 1, 71.695, -999
20140814, 71.42, 71.95, 71.15, 71.92, 862800, 71.41, 0, 1, 71.415, -999
20140813, 71.49, 71.6, 71.02, 71.18, 930400, 70.68, 0, 1, 71.085, -999
20140812, 71.27, 71.47, 71, 71.1, 944200, 70.6, 0, 1, 70.935, -999
20140811, 71.05, 71.91, 71.05, 71.35, 865300, 70.85, 0, 1, 70.95, -999
20140808, 70.04, 71.03, 69.79, 70.97, 1305100, 70.47, 0, 1, 70.255, -999
20140807, 70.59, 70.89, 70.03, 70.1, 1354500, 69.6, 0, 1, 70.095, -999
20140806, 70, 70.52, 69.69, 70.3, 1385700, 69.8, 0, 1, 69.9, -999
20140805, 70.68, 70.85, 70.08, 70.43, 1127800, 69.93, 0, 1, 70.305, -999
20140804, 70.55, 71, 70.12, 70.83, 1098800, 70.33, 0, 1, 70.44, -999
20140801, 69.77, 70.89, 69.55, 70.55, 1725300, 70.05, 0, 1, 69.91, -999
20140731, 71.72, 71.75, 69.8, 69.99, 2320700, 69.49, 0, 1, 70.605, -999
20140730, 72.67, 72.78, 71.58, 71.72, 1990800, 71.21, 0, 1, 71.94, -999
20140729, 72.93, 73.04, 72.01, 72.06, 1996900, 71.55, 0, 1, 72.24, -999
20140728, 73.17, 73.17, 72.4, 72.96, 2940300, 72.44, 0, 1, 72.805, -999
20140725, 72.9, 74.14, 72.87, 74.12, 2683800, 73.6, 0, 1, 73.25, -999
20140724, 72.5, 73.04, 72.16, 72.86, 1519500, 72.34, 0, 1, 72.42, -999
20140723, 72.4, 73, 72.02, 72.26, 1860800, 71.75, 0, 1, 72.075, -999
20140722, 71.86, 72.59, 70.95, 72.45, 3092500, 71.94, 0, 1, 71.9, -999
20140721, 71.46, 71.67, 70.99, 71.33, 1561800, 70.83, 0, 1, 71.145, -999
20140718, 71.39, 71.64, 71.06, 71.53, 1233200, 71.02, 0, 1, 71.205, -999
20140717, 71.03, 71.6, 70.9, 71.07, 1828700, 70.57, 0, 1, 70.8, -999
20140716, 71.39, 71.68, 70.86, 71.36, 2101600, 70.86, 0, 1, 71.125, -999
