Ticker: OXY  Created on: 12/6/2014 5:25:35 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 82.05, 82.48, 81.2, 81.48, 5869800, 81.48, 0, 1, 81.765, -999
20141204, 82.15, 82.97, 81.86, 82.54, 6847700, 82.54, 0, 1, 82.345, -999
20141203, 81.34, 83.19, 80.67, 83.1, 9073100, 83.1, 0, 1, 82.22, -999
20141202, 78.97, 81.43, 78.8, 80.69, 11037100, 80.69, 0, 1, 79.83, -999
20141201, 77.34, 80.05, 76.36, 79.45, 16706700, 79.45, 0, 1.04, 78.395, -999
20141128, 82.25, 82.41, 78.51, 79.77, 9135900, 76.55, 0, 1, 79.4, -999
20141126, 86.62, 86.8, 85.7, 86.13, 5878200, 82.66, 0, 1, 84.64, -999
20141125, 88.23, 88.37, 86.14, 86.36, 7121700, 82.88, 0, 1, 85.555, -999
20141124, 88.55, 88.77, 87.72, 88.26, 5872200, 84.7, 0, 1, 86.625, -999
20141121, 88.04, 88.32, 86.93, 87.6, 7061900, 84.07, 0, 1, 86.055, -999
20141120, 86.04, 86.98, 86, 86.87, 3900800, 83.37, 0, 1, 84.705, -999
20141119, 86.43, 86.72, 85.39, 86.04, 4537600, 82.57, 0, 1, 84.5, -999
20141118, 86.15, 87.05, 85.69, 86.66, 5178200, 83.17, 0, 1, 84.66, -999
20141117, 86.5, 86.5, 85.72, 85.9, 7414900, 82.44, 0, 1, 84.47, -999
20141114, 86.81, 87.52, 86.26, 86.66, 5695400, 83.17, 0, 1, 84.99, -999
20141113, 87.68, 88.25, 85.08, 86.29, 8261700, 82.81, 0, 1, 85.245, -999
20141112, 88.28, 89.13, 87.94, 88.59, 5747900, 85.02, 0, 1, 86.65, -999
20141111, 87.79, 89.31, 87.06, 89.11, 5468900, 85.52, 0, 1, 86.655, -999
20141110, 88.57, 89.19, 87.44, 87.93, 4772700, 84.39, 0, 1, 86.48, -999
20141107, 86.48, 88.45, 86.24, 88.04, 5664200, 84.49, 0, 1, 85.485, -999
20141106, 84.92, 86.63, 84.91, 86.4, 8039800, 82.92, 0, 1, 83.92, -999
20141105, 86.16, 86.92, 85.08, 86.47, 4427100, 82.98, 0, 1, 84.57, -999
20141104, 85.77, 86.11, 84.5, 85.32, 6065000, 81.88, 0, 1, 83.825, -999
20141103, 88.99, 89.38, 86.9, 87.14, 5592900, 83.63, 0, 1, 86.31, -999
20141031, 88.55, 88.98, 87.25, 88.93, 5544800, 85.35, 0, 1, 86.95, -999
20141030, 88.42, 88.8, 86.78, 87.93, 4664400, 84.39, 0, 1, 86.405, -999
20141029, 89.01, 90, 88.31, 88.85, 4859700, 85.27, 0, 1, 87.14, -999
20141028, 86.9, 88.2, 86.78, 88.14, 6050900, 84.59, 0, 1, 85.745, -999
20141027, 88.09, 88.25, 85.56, 86.47, 10257400, 82.98, 0, 1, 85.535, -999
20141024, 90.95, 91, 89.36, 89.52, 4912300, 85.91, 0, 1, 88.43, -999
20141023, 90.23, 91.6, 89.21, 91.01, 4490500, 87.34, 0, 1, 88.785, -999
20141022, 90.33, 91.7, 89.59, 89.7, 4434300, 86.08, 0, 1, 88.205, -999
20141021, 90.56, 91.38, 89.6, 91.07, 4238900, 87.4, 0, 1, 88.98, -999
20141020, 88.14, 88.88, 87.62, 88.74, 3951000, 85.16, 0, 1, 86.65, -999
20141017, 87.34, 90.59, 87.34, 88.36, 9205100, 84.8, 0, 1, 86.07, -999
20141016, 83.55, 87.15, 83.28, 86.44, 9147600, 82.96, 0, 1, 83.255, -999
20141015, 84.67, 85.98, 82.3, 85.25, 9675300, 81.81, 0, 1, 83.24, -999
20141014, 88.47, 89.07, 86.1, 86.55, 6893700, 83.06, 0, 1, 85.765, -999
20141013, 91.33, 92.25, 87.7, 87.9, 6808100, 84.36, 0, 1, 87.845, -999
20141010, 92.57, 93.15, 90.61, 91.56, 6261800, 87.87, 0, 1, 90.22, -999
20141009, 95.06, 95.14, 91.99, 92.53, 5706700, 88.8, 0, 1, 91.93, -999
20141008, 94.62, 95.66, 92.83, 95.56, 5640500, 91.71, 0, 1, 93.165, -999
20141007, 95.5, 96.51, 94.87, 94.87, 5582800, 91.05, 0, 1, 93.275, -999
20141006, 96.28, 97.14, 95.75, 97.08, 5197300, 93.17, 0, 1, 94.725, -999
20141003, 96.16, 96.28, 94.65, 95.96, 5412300, 92.09, 0, 1, 94.125, -999
20141002, 93.83, 95.82, 93.24, 95.22, 5837100, 91.38, 0, 1, 92.605, -999
20141001, 96.01, 97.04, 94.17, 94.29, 6372700, 90.49, 0, 1, 93.25, -999
20140930, 97.43, 97.48, 95.7, 96.15, 5295700, 92.27, 0, 1, 94.85, -999
20140929, 97, 97.46, 96.01, 97.23, 5378200, 93.31, 0, 1, 95.155, -999
20140926, 96.64, 98.52, 96.59, 98.35, 4641600, 94.39, 0, 1, 95.515, -999
20140925, 97.86, 98.36, 96.37, 96.77, 5578200, 92.87, 0, 1, 95.365, -999
20140924, 97.52, 99.15, 96.3, 98.41, 5880200, 94.44, 0, 1, 95.98, -999
20140923, 96.78, 97.17, 96.19, 96.46, 3859400, 92.57, 0, 1, 94.675, -999
20140922, 97.55, 97.62, 96.16, 96.91, 3589700, 93, 0, 1, 95.275, -999
20140919, 98.35, 98.64, 97.69, 97.71, 4114200, 93.77, 0, 1, 96.06, -999
20140918, 98.5, 98.69, 97.59, 97.87, 2454800, 93.93, 0, 1, 96.215, -999
20140917, 98.45, 99.17, 97.87, 98.17, 3839500, 94.21, 0, 1, 96.33, -999
20140916, 97.43, 99.21, 97.4, 98.56, 3966600, 94.59, 0, 1, 96.01, -999
20140915, 97.1, 98.55, 96.34, 98.29, 4564000, 94.33, 0, 1, 95.715, -999
20140912, 98, 98.13, 97.05, 97.4, 3025700, 93.47, 0, 1, 95.735, -999
20140911, 97.86, 98.43, 97.34, 98.35, 3277100, 94.39, 0, 1, 96.125, -999
20140910, 98.46, 98.6, 97.59, 98.54, 3694600, 94.57, 0, 1, 96.515, -999
20140909, 98.52, 99.27, 97.79, 98.35, 4330100, 94.39, 0, 1, 96.455, -999
20140908, 100.25, 100.32, 98.11, 98.55, 5179800, 94.58, 0.69098, 1, 97.415, -999
20140905, 102.34, 102.58, 100.77, 101.31, 4964100, 96.54, 0, 1, 99.44, -999
20140904, 102.65, 103.47, 101.91, 102.37, 3945600, 97.55, 0, 1, 100.1, -999
20140903, 103.17, 103.57, 102.39, 102.45, 3104000, 97.62, 0, 1, 100.395, -999
20140902, 103.43, 103.69, 102.08, 102.36, 2827600, 97.54, 0, 1, 100.485, -999
20140829, 103.02, 104.07, 103.02, 103.73, 2590200, 98.84, 0, 1, 100.93, -999
20140828, 103.24, 104.48, 103.09, 104.01, 2927600, 99.11, 0, 1, 101.175, -999
20140827, 103.41, 103.68, 102.95, 103.38, 2327400, 98.51, 0, 1, 100.96, -999
20140826, 103.57, 103.7, 103.1, 103.15, 2383400, 98.29, 0, 1, 100.93, -999
20140825, 102.89, 103.55, 102.67, 103.28, 3322300, 98.41, 0, 1, 100.65, -999
20140822, 102.24, 102.82, 101.95, 102.44, 3189800, 97.61, 0, 1, 99.925, -999
