Ticker: PBCT  Created on: 12/6/2014 5:25:40 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 14.77, 14.95, 14.72, 14.92, 2167700, 14.92, 0, 1, 14.845, -999
20141204, 14.74, 14.77, 14.65, 14.72, 1915800, 14.72, 0, 1, 14.73, -999
20141203, 14.65, 14.8, 14.6, 14.77, 1410200, 14.77, 0, 1, 14.71, -999
20141202, 14.86, 14.87, 14.63, 14.68, 2102300, 14.68, 0, 1, 14.77, -999
20141201, 14.71, 14.76, 14.56, 14.68, 2494900, 14.68, 0, 1, 14.695, -999
20141128, 14.91, 14.93, 14.75, 14.78, 874800, 14.78, 0, 1, 14.845, -999
20141126, 14.9, 14.9, 14.78, 14.88, 1141900, 14.88, 0, 1, 14.89, -999
20141125, 14.86, 14.9, 14.75, 14.9, 1998300, 14.9, 0, 1, 14.88, -999
20141124, 14.81, 14.89, 14.73, 14.85, 1573400, 14.85, 0, 1, 14.83, -999
20141121, 14.93, 14.96, 14.71, 14.79, 3528400, 14.79, 0, 1, 14.86, -999
20141120, 14.63, 14.83, 14.6, 14.83, 1512600, 14.83, 0, 1, 14.73, -999
20141119, 14.78, 14.78, 14.65, 14.71, 1606500, 14.71, 0, 1, 14.745, -999
20141118, 14.87, 14.91, 14.78, 14.81, 1400700, 14.81, 0, 1, 14.84, -999
20141117, 14.8, 14.85, 14.72, 14.83, 2009300, 14.83, 0, 1, 14.815, -999
20141114, 14.81, 14.9, 14.75, 14.78, 1880600, 14.78, 0, 1, 14.795, -999
20141113, 14.49, 14.93, 14.47, 14.8, 2006500, 14.8, 0, 1, 14.645, -999
20141112, 14.82, 14.89, 14.75, 14.87, 1699500, 14.87, 0, 1, 14.845, -999
20141111, 14.89, 14.92, 14.78, 14.85, 1991900, 14.85, 0, 1, 14.87, -999
20141110, 14.76, 14.9, 14.76, 14.88, 2034700, 14.88, 0, 1, 14.82, -999
20141107, 14.65, 14.86, 14.6, 14.82, 3475200, 14.82, 0, 1, 14.735, -999
20141106, 14.58, 14.74, 14.56, 14.71, 2972900, 14.71, 0, 1, 14.645, -999
20141105, 14.57, 14.6, 14.45, 14.59, 2103600, 14.59, 0, 1, 14.58, -999
20141104, 14.57, 14.57, 14.36, 14.49, 2193000, 14.49, 0, 1, 14.53, -999
20141103, 14.66, 14.7, 14.5, 14.53, 3163800, 14.53, 0, 1, 14.595, -999
20141031, 14.53, 14.63, 14.5, 14.62, 2377400, 14.62, 0, 1, 14.575, -999
20141030, 14.42, 14.48, 14.28, 14.42, 2689400, 14.42, 0, 1, 14.42, -999
20141029, 14.29, 14.42, 14.24, 14.41, 3558100, 14.41, 0.165, 1, 14.35, -999
20141028, 14.5, 14.51, 14.01, 14.46, 12048900, 14.3, 0, 1, 14.4, -999
20141027, 14.34, 14.42, 14.3, 14.42, 2638500, 14.26, 0, 1, 14.3, -999
20141024, 14.16, 14.35, 14.16, 14.34, 3235300, 14.18, 0, 1, 14.17, -999
20141023, 14.29, 14.34, 14.17, 14.19, 2712800, 14.03, 0, 1, 14.16, -999
20141022, 14.23, 14.41, 14.14, 14.16, 3889800, 14, 0, 1, 14.115, -999
20141021, 14.04, 14.23, 14, 14.21, 3044300, 14.05, 0, 1, 14.045, -999
20141020, 13.61, 14, 13.61, 13.99, 4296900, 13.83, 0, 1, 13.72, -999
20141017, 14, 14.08, 13.71, 13.82, 8941200, 13.66, 0, 1, 13.83, -999
20141016, 13.86, 14.17, 13.84, 14.13, 9641000, 13.97, 0, 1, 13.915, -999
20141015, 14.24, 14.61, 13.87, 14.05, 6862700, 13.89, 0, 1, 14.065, -999
20141014, 14.37, 14.66, 14.31, 14.4, 5497700, 14.24, 0, 1, 14.305, -999
20141013, 14.16, 14.42, 14.15, 14.29, 4891000, 14.13, 0, 1, 14.145, -999
20141010, 14.09, 14.28, 14.07, 14.11, 5042200, 13.95, 0, 1, 14.02, -999
20141009, 14.33, 14.37, 14.03, 14.04, 4159500, 13.88, 0, 1, 14.105, -999
20141008, 14.12, 14.34, 14.07, 14.32, 4075300, 14.16, 0, 1, 14.14, -999
20141007, 14.29, 14.34, 14.1, 14.11, 3626400, 13.95, 0, 1, 14.12, -999
20141006, 14.51, 14.6, 14.31, 14.33, 3238700, 14.17, 0, 1, 14.34, -999
20141003, 14.43, 14.58, 14.43, 14.46, 3801100, 14.3, 0, 1, 14.365, -999
20141002, 14.38, 14.52, 14.29, 14.47, 3771300, 14.3, 0, 1, 14.34, -999
20141001, 14.49, 14.5, 14.29, 14.37, 3584800, 14.21, 0, 1, 14.35, -999
20140930, 14.59, 14.64, 14.47, 14.47, 3084300, 14.3, 0, 1, 14.445, -999
20140929, 14.55, 14.68, 14.47, 14.59, 3274000, 14.42, 0, 1, 14.485, -999
20140926, 14.6, 14.67, 14.51, 14.61, 2696000, 14.44, 0, 1, 14.52, -999
20140925, 14.76, 14.79, 14.56, 14.58, 2508000, 14.41, 0, 1, 14.585, -999
20140924, 14.67, 14.79, 14.6, 14.79, 2733400, 14.62, 0, 1, 14.645, -999
20140923, 14.73, 14.83, 14.62, 14.67, 2892400, 14.5, 0, 1, 14.615, -999
20140922, 14.92, 14.95, 14.71, 14.72, 2095000, 14.55, 0, 1, 14.735, -999
20140919, 15.06, 15.12, 14.89, 14.9, 3886700, 14.73, 0, 1, 14.895, -999
20140918, 15, 15.13, 14.94, 14.98, 3873000, 14.81, 0, 1, 14.905, -999
20140917, 14.91, 15.06, 14.87, 14.95, 2408200, 14.78, 0, 1, 14.845, -999
20140916, 14.73, 14.98, 14.71, 14.89, 3220900, 14.72, 0, 1, 14.725, -999
20140915, 15, 15.15, 14.94, 15.01, 1728700, 14.84, 0, 1, 14.92, -999
20140912, 15.05, 15.13, 14.95, 15.02, 2084000, 14.85, 0, 1, 14.95, -999
20140911, 14.94, 15.05, 14.91, 15.04, 1902600, 14.87, 0, 1, 14.905, -999
20140910, 14.93, 15.03, 14.86, 14.95, 1834300, 14.78, 0, 1, 14.855, -999
20140909, 14.98, 15.02, 14.84, 14.9, 1515200, 14.73, 0, 1, 14.855, -999
20140908, 14.94, 15.07, 14.9, 15, 1759900, 14.83, 0, 1, 14.885, -999
20140905, 14.89, 15, 14.83, 15, 2142400, 14.83, 0, 1, 14.86, -999
20140904, 15.01, 15.04, 14.89, 14.91, 1813800, 14.74, 0, 1, 14.875, -999
20140903, 15.06, 15.1, 14.93, 14.97, 2017800, 14.8, 0, 1, 14.93, -999
20140902, 15, 15.05, 14.93, 15.04, 1672100, 14.87, 0, 1, 14.935, -999
20140829, 14.97, 15.01, 14.9, 14.95, 1459600, 14.78, 0, 1, 14.875, -999
20140828, 14.93, 14.97, 14.85, 14.94, 1140700, 14.77, 0, 1, 14.85, -999
20140827, 15.02, 15.03, 14.92, 14.96, 1484500, 14.79, 0, 1, 14.905, -999
20140826, 14.93, 15.02, 14.89, 14.99, 1261700, 14.82, 0, 1, 14.875, -999
20140825, 14.97, 15, 14.86, 14.92, 1166000, 14.75, 0, 1, 14.86, -999
20140822, 14.91, 14.94, 14.85, 14.88, 1308700, 14.71, 0, 1, 14.81, -999
20140821, 14.76, 14.97, 14.75, 14.94, 2099400, 14.77, 0, 1, 14.765, -999
20140820, 14.69, 14.78, 14.66, 14.76, 1120500, 14.59, 0, 1, 14.64, -999
20140819, 14.67, 14.76, 14.67, 14.73, 1366900, 14.56, 0, 1, 14.615, -999
20140818, 14.75, 14.75, 14.62, 14.71, 1482000, 14.54, 0, 1, 14.645, -999
20140815, 14.78, 14.85, 14.54, 14.63, 3323800, 14.46, 0, 1, 14.62, -999
20140814, 14.59, 14.76, 14.59, 14.76, 1896300, 14.59, 0, 1, 14.59, -999
20140813, 14.6, 14.69, 14.54, 14.6, 1406000, 14.43, 0, 1, 14.515, -999
20140812, 14.53, 14.63, 14.49, 14.53, 1570600, 14.36, 0, 1, 14.445, -999
20140811, 14.47, 14.58, 14.43, 14.53, 1467800, 14.36, 0, 1, 14.415, -999
20140808, 14.43, 14.53, 14.41, 14.51, 1581000, 14.34, 0, 1, 14.385, -999
20140807, 14.56, 14.61, 14.34, 14.4, 2784900, 14.24, 0, 1, 14.4, -999
20140806, 14.37, 14.54, 14.37, 14.54, 3524500, 14.37, 0, 1, 14.37, -999
20140805, 14.37, 14.49, 14.33, 14.4, 2648300, 14.24, 0, 1, 14.305, -999
20140804, 14.33, 14.45, 14.24, 14.41, 4998100, 14.25, 0, 1, 14.29, -999
20140801, 14.52, 14.61, 14.3, 14.32, 3423300, 14.16, 0, 1, 14.34, -999
20140731, 14.64, 14.7, 14.48, 14.52, 6033500, 14.35, 0, 1, 14.495, -999
20140730, 14.82, 14.93, 14.69, 14.74, 2612300, 14.57, 0.165, 1, 14.695, -999
20140729, 14.94, 15.05, 14.92, 14.94, 2464000, 14.61, 0, 1, 14.775, -999
20140728, 14.95, 15.01, 14.88, 14.95, 1972700, 14.62, 0, 1, 14.785, -999
20140725, 14.95, 15.01, 14.84, 14.98, 1928300, 14.65, 0, 1, 14.8, -999
20140724, 14.94, 15, 14.85, 14.93, 1876600, 14.6, 0, 1, 14.77, -999
20140723, 14.79, 14.98, 14.78, 14.84, 2472700, 14.51, 0, 1, 14.65, -999
20140722, 14.92, 14.96, 14.8, 14.83, 2103500, 14.5, 0, 1, 14.71, -999
20140721, 14.79, 14.95, 14.66, 14.88, 3928300, 14.55, 0, 1, 14.67, -999
20140718, 14.78, 14.92, 14.61, 14.81, 4683900, 14.48, 0, 1, 14.63, -999
20140717, 14.85, 14.88, 14.74, 14.79, 4757900, 14.46, 0, 1, 14.655, -999
20140716, 15.18, 15.18, 14.88, 14.91, 4135200, 14.58, 0, 1, 14.88, -999
20140715, 15.15, 15.22, 15.05, 15.18, 2585400, 14.84, 0, 1, 14.995, -999
20140714, 15.14, 15.2, 15.09, 15.14, 1966700, 14.8, 0, 1, 14.97, -999
20140711, 15.08, 15.15, 15.02, 15.08, 2102000, 14.74, 0, 1, 14.91, -999
20140710, 15.05, 15.12, 14.99, 15.06, 4202100, 14.72, 0, 1, 14.885, -999
20140709, 15.18, 15.23, 15.06, 15.08, 2808700, 14.74, 0, 1, 14.96, -999
