Ticker: PCL  Created on: 12/6/2014 5:25:45 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 41.3, 41.56, 41.07, 41.55, 695100, 41.55, 0, 1, 41.425, -999
20141204, 41.55, 41.59, 41.17, 41.33, 1001500, 41.33, 0, 1, 41.44, -999
20141203, 41.61, 41.65, 41.35, 41.56, 577200, 41.56, 0, 1, 41.585, -999
20141202, 41.48, 41.69, 41.21, 41.62, 732500, 41.62, 0, 1, 41.55, -999
20141201, 41.65, 41.88, 41.53, 41.6, 920500, 41.6, 0, 1, 41.625, -999
20141128, 41.49, 41.9, 41.41, 41.68, 528800, 41.68, 0, 1, 41.585, -999
20141126, 42.16, 42.16, 41.44, 41.48, 1235300, 41.48, 0, 1, 41.82, -999
20141125, 41.65, 42.16, 41.55, 41.98, 1249600, 41.98, 0, 1, 41.815, -999
20141124, 41.38, 41.86, 41.34, 41.66, 1389200, 41.66, 0, 1, 41.52, -999
20141121, 40.94, 41.36, 40.71, 41.36, 4497000, 41.36, 0, 1, 41.15, -999
20141120, 40.48, 40.67, 40.42, 40.59, 1093800, 40.59, 0, 1, 40.535, -999
20141119, 40.47, 40.75, 40.41, 40.57, 1239000, 40.57, 0, 1, 40.52, -999
20141118, 40.58, 40.67, 40.3, 40.58, 1111800, 40.58, 0, 1, 40.58, -999
20141117, 40.46, 40.75, 40.46, 40.57, 1087200, 40.57, 0, 1, 40.515, -999
20141114, 40.74, 40.93, 40.4, 40.49, 1031500, 40.49, 0, 1, 40.615, -999
20141113, 40.8, 40.99, 40.64, 40.78, 1420500, 40.78, 0, 1, 40.79, -999
20141112, 40.69, 40.97, 40.5, 40.8, 1996900, 40.8, 0, 1, 40.745, -999
20141111, 41.45, 41.51, 40.97, 41.13, 1351100, 40.69, 0, 1, 41.07, -999
20141110, 41.23, 41.44, 40.9, 41.42, 1036400, 40.98, 0, 1, 41.105, -999
20141107, 41.22, 41.66, 41.06, 41.38, 878600, 40.94, 0, 1, 41.08, -999
20141106, 41.33, 41.5, 41.1, 41.18, 638000, 40.74, 0, 1, 41.035, -999
20141105, 41.49, 41.51, 41.13, 41.47, 885400, 41.03, 0, 1, 41.26, -999
20141104, 41.37, 41.43, 41.03, 41.27, 847200, 40.83, 0, 1, 41.1, -999
20141103, 40.99, 41.48, 40.9, 41.33, 1282900, 40.89, 0, 1, 40.94, -999
20141031, 40.87, 41.08, 40.53, 41.01, 1577200, 40.57, 0, 1, 40.72, -999
