Ticker: PEP  Created on: 12/6/2014 5:25:41 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 97.62, 97.93, 97.2, 97.76, 5304200, 97.76, 0, 1, 97.69, -999
20141204, 98.04, 98.28, 97.4, 97.75, 4582600, 97.75, 0, 1, 97.895, -999
20141203, 99.7, 99.7, 98.18, 98.32, 4943800, 98.32, 0, 1, 99.01, -999
20141202, 99.98, 100.57, 99.61, 100.39, 3884900, 99.73, 0, 1, 99.855, -999
20141201, 98.56, 100.15, 98.49, 99.67, 3658500, 99.02, 0, 1, 98.79, -999
20141128, 99.72, 100.7, 99.52, 100.1, 2504300, 99.45, 0, 1, 99.585, -999
20141126, 99.25, 99.64, 99.01, 99.35, 2685600, 98.7, 0, 1, 98.975, -999
20141125, 98.51, 99.19, 98.5, 98.93, 3637200, 98.28, 0, 1, 98.395, -999
20141124, 98.88, 99.25, 98.49, 98.68, 4540700, 98.04, 0, 1, 98.46, -999
20141121, 99.03, 99.13, 98.24, 98.89, 5259800, 98.24, 0, 1, 98.635, -999
20141120, 98.01, 98.62, 97.87, 98.06, 3727100, 97.42, 0, 1, 97.715, -999
20141119, 97.94, 98.44, 97.75, 98.41, 3396800, 97.77, 0, 1, 97.855, -999
20141118, 98.42, 98.5, 97.86, 97.94, 3908600, 97.3, 0, 1, 97.86, -999
20141117, 96.85, 98.55, 96.85, 98.42, 3745200, 97.78, 0, 1, 97.315, -999
20141114, 98.49, 98.55, 97.36, 97.72, 4335200, 97.08, 0, 1, 97.785, -999
20141113, 96.53, 98.96, 96.53, 98.54, 6257700, 97.9, 0, 1, 97.215, -999
20141112, 96.7, 97.39, 96.22, 97.16, 3247500, 96.53, 0, 1, 96.615, -999
20141111, 96.96, 97.38, 96.64, 96.7, 3263600, 96.07, 0, 1, 96.515, -999
20141110, 96.4, 96.99, 96.16, 96.97, 3345500, 96.34, 0, 1, 96.37, -999
20141107, 96.81, 96.81, 95.5, 96.8, 5273400, 96.17, 0, 1, 96.49, -999
20141106, 96.96, 97.2, 96.51, 96.81, 4198500, 96.18, 0, 1, 96.57, -999
20141105, 97.52, 97.86, 96.37, 96.89, 3804100, 96.26, 0, 1, 96.89, -999
20141104, 96.14, 96.84, 95.99, 96.73, 3944500, 96.1, 0, 1, 96.12, -999
20141103, 95.94, 96.43, 95.61, 95.83, 4330400, 95.2, 0, 1, 95.57, -999
20141031, 96.41, 96.74, 95.58, 96.17, 5259300, 95.54, 0, 1, 95.975, -999
20141030, 94.45, 96.1, 94.15, 95.65, 3560200, 95.03, 0, 1, 94.74, -999
20141029, 95.5, 95.5, 94.07, 94.69, 3274300, 94.07, 0, 1, 94.785, -999
20141028, 94.69, 95.26, 94.3, 95.26, 3368300, 94.64, 0, 1, 94.665, -999
20141027, 94.48, 95.24, 94.31, 94.62, 3135500, 94, 0, 1, 94.24, -999
20141024, 93.76, 94.79, 93.55, 94.6, 4005800, 93.98, 0, 1, 93.87, -999
20141023, 94.94, 95.32, 93.5, 93.76, 5805000, 93.15, 0, 1, 94.045, -999
20141022, 93.85, 95.02, 93.64, 94.46, 5148200, 93.84, 0, 1, 93.845, -999
20141021, 93.26, 93.96, 92.17, 93.73, 6982200, 93.12, 0, 1, 93.19, -999
20141020, 91.66, 93.72, 91.59, 93.55, 6883100, 92.94, 0, 1, 92.3, -999
20141017, 91.09, 92, 90.55, 91.51, 6260100, 90.91, 0, 1, 91, -999
20141016, 90.27, 91.03, 89.82, 90.79, 7226400, 90.2, 0, 1, 90.235, -999
20141015, 91.84, 92.56, 90.76, 91.77, 8580700, 91.17, 0, 1, 91.505, -999
20141014, 94.46, 94.52, 92.59, 93.01, 5869000, 92.4, 0, 1, 93.43, -999
20141013, 94.71, 95.45, 93.83, 93.94, 5194500, 93.33, 0, 1, 94.02, -999
20141010, 93.66, 95.9, 93.66, 94.65, 8350900, 94.03, 0, 1, 93.845, -999
20141009, 95.35, 96.22, 93.56, 93.57, 9094000, 92.96, 0, 1, 94.155, -999
20141008, 92.95, 93.94, 92.76, 93.94, 5715200, 93.33, 0, 1, 93.14, -999
20141007, 93.29, 93.54, 92.9, 93.1, 6799900, 92.49, 0, 1, 92.89, -999
20141006, 93.5, 93.65, 92.79, 93.37, 3733100, 92.76, 0, 1, 93.13, -999
20141003, 93.01, 93.53, 92.65, 93.5, 4084400, 92.89, 0, 1, 92.95, -999
20141002, 92.81, 92.92, 92.33, 92.58, 3513800, 91.98, 0, 1, 92.395, -999
20141001, 92.67, 93.22, 92.42, 92.65, 4842800, 92.05, 0, 1, 92.36, -999
20140930, 92.95, 93.43, 92.92, 93.09, 4219300, 92.48, 0, 1, 92.715, -999
20140929, 92.51, 93.39, 92.51, 93.15, 2973500, 92.54, 0, 1, 92.525, -999
20140926, 92.5, 93.33, 92.44, 93.13, 3536300, 92.52, 0, 1, 92.51, -999
20140925, 93.4, 93.43, 92.48, 92.67, 4372400, 92.07, 0, 1, 92.735, -999
20140924, 93.11, 94.04, 93.08, 93.5, 4227300, 92.89, 0, 1, 93, -999
20140923, 93.55, 93.58, 92.84, 92.93, 3386300, 92.32, 0, 1, 92.935, -999
20140922, 93.42, 93.78, 93.29, 93.58, 3790600, 92.97, 0, 1, 93.195, -999
20140919, 93.86, 94.21, 93.42, 93.79, 6259500, 93.18, 0, 1, 93.52, -999
20140918, 92.97, 93.5, 92.7, 93.37, 4753300, 92.76, 0, 1, 92.865, -999
20140917, 92.67, 93.31, 92.05, 92.85, 4997200, 92.24, 0, 1, 92.455, -999
20140916, 91.14, 93.09, 90.95, 92.57, 5155400, 91.97, 0, 1, 91.555, -999
20140915, 91.07, 91.31, 90.78, 91.2, 3770700, 90.6, 0, 1, 90.835, -999
20140912, 91.6, 91.8, 90.58, 90.87, 3587700, 90.28, 0, 1, 90.94, -999
20140911, 91.69, 91.95, 91.48, 91.65, 3670600, 91.05, 0, 1, 91.37, -999
20140910, 91.67, 91.92, 91.53, 91.79, 3720500, 91.19, 0, 1, 91.43, -999
20140909, 91.5, 91.79, 91.3, 91.42, 3259200, 90.82, 0, 1, 91.16, -999
20140908, 91.48, 92.25, 91.39, 91.86, 3534300, 91.26, 0, 1, 91.37, -999
20140905, 91.85, 91.85, 91.39, 91.75, 3148000, 91.15, 0, 1, 91.5, -999
20140904, 92.95, 93.15, 91.77, 91.85, 4466800, 91.25, 0, 1, 92.1, -999
20140903, 92.4, 92.76, 91.81, 92.75, 4929600, 92.14, 0.655, 1, 92.27, -999
20140902, 92.62, 93.14, 92.38, 92.48, 5130300, 91.23, 0, 1, 91.925, -999
20140829, 92.73, 92.91, 92.01, 92.49, 3657700, 91.24, 0, 1, 91.985, -999
20140828, 92.09, 92.7, 91.81, 92.58, 3234300, 91.32, 0, 1, 91.705, -999
20140827, 92.72, 92.72, 92.06, 92.23, 2955100, 90.98, 0, 1, 91.85, -999
20140826, 93.21, 93.51, 92.56, 92.6, 3143400, 91.34, 0, 1, 92.275, -999
20140825, 92.58, 93.45, 92.58, 93.19, 5031800, 91.93, 0, 1, 92.255, -999
20140822, 92.27, 92.59, 91.6, 91.6, 3865500, 90.36, 0, 1, 91.315, -999
20140821, 92.57, 93.19, 92.01, 92.05, 4060300, 90.8, 0, 1, 91.685, -999
20140820, 91.82, 92.44, 91.52, 92.23, 5709300, 90.98, 0, 1, 91.4, -999
20140819, 92.22, 92.36, 91.78, 91.86, 3086300, 90.61, 0, 1, 91.415, -999
20140818, 92.2, 92.52, 92, 92.15, 2974700, 90.9, 0, 1, 91.55, -999
