Ticker: PG  Created on: 12/6/2014 5:25:48 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 90.32, 90.42, 89.21, 90.38, 6377500, 90.38, 0, 1, 90.35, -999
20141204, 90.5, 90.94, 90.1, 90.58, 6406700, 90.58, 0, 1, 90.54, -999
20141203, 90.84, 90.97, 89.64, 90, 6260400, 90, 0, 1, 90.42, -999
20141202, 90.44, 91.17, 90.12, 91.07, 7327500, 91.07, 0, 1, 90.755, -999
20141201, 90.17, 90.67, 89.52, 90.08, 6736300, 90.08, 0, 1, 90.125, -999
20141128, 89.09, 90.56, 88.97, 90.43, 7661800, 90.43, 0, 1, 89.76, -999
20141126, 88.83, 88.88, 88.45, 88.88, 4420000, 88.88, 0, 1, 88.855, -999
20141125, 88.36, 88.82, 88.08, 88.8, 6439600, 88.8, 0, 1, 88.58, -999
20141124, 88.88, 88.89, 87.86, 88.11, 5569200, 88.11, 0, 1, 88.495, -999
20141121, 89.26, 89.43, 88.46, 88.6, 8984100, 88.6, 0, 1, 88.93, -999
20141120, 88.33, 88.8, 88.33, 88.47, 5527600, 88.47, 0, 1, 88.4, -999
20141119, 88.24, 88.87, 87.93, 88.73, 6570400, 88.73, 0, 1, 88.485, -999
20141118, 88.02, 88.18, 87.49, 87.95, 6419400, 87.95, 0, 1, 87.985, -999
20141117, 88, 88.18, 87.37, 87.84, 9475700, 87.84, 0, 1, 87.92, -999
20141114, 88.7, 88.89, 87.93, 88.11, 7559400, 88.11, 0, 1, 88.405, -999
20141113, 88.94, 89.84, 88.46, 88.6, 10191500, 88.6, 0, 1, 88.77, -999
20141112, 89.6, 89.88, 89.42, 89.48, 6298600, 89.48, 0, 1, 89.54, -999
20141111, 89.38, 89.79, 89.17, 89.67, 6343900, 89.67, 0, 1, 89.525, -999
20141110, 88.92, 89.5, 88.26, 89.45, 5916900, 89.45, 0, 1, 89.185, -999
20141107, 88.74, 89.2, 88.25, 89.13, 5975700, 89.13, 0, 1, 88.935, -999
20141106, 89.08, 89.2, 88.57, 88.9, 6628900, 88.9, 0, 1, 88.99, -999
20141105, 88.74, 89.49, 88.36, 89, 8462000, 89, 0, 1, 88.87, -999
20141104, 87.49, 88.87, 87.44, 88.64, 10594800, 88.64, 0, 1, 88.065, -999
20141103, 86.66, 87.39, 86.2, 87.38, 7789500, 87.38, 0, 1, 87.02, -999
20141031, 87.08, 87.36, 86.71, 87.27, 9359800, 87.27, 0, 1, 87.175, -999
20141030, 86.16, 87, 85.67, 86.94, 5559700, 86.94, 0, 1, 86.55, -999
20141029, 86.67, 86.67, 85.91, 86.54, 6880600, 86.54, 0, 1, 86.605, -999
20141028, 86.2, 86.65, 86.17, 86.47, 9437700, 86.47, 0, 1, 86.335, -999
20141027, 84.96, 86.48, 84.83, 85.95, 10316600, 85.95, 0, 1, 85.455, -999
20141024, 85.1, 85.97, 84.91, 85.16, 13465600, 85.16, 0, 1, 85.13, -999
20141023, 84.26, 84.33, 82.3, 83.23, 14292100, 83.23, 0, 1, 83.745, -999
20141022, 84.06, 84.59, 83.92, 84.23, 9747600, 84.23, 0.644, 1, 84.145, -999
20141021, 84.47, 84.64, 83.66, 84.61, 12389600, 83.97, 0, 1, 84.22, -999
20141020, 83.25, 84.33, 82.83, 84.18, 8558100, 83.54, 0, 1, 83.395, -999
20141017, 82.95, 83.48, 82.03, 83.27, 11786600, 82.64, 0, 1, 82.795, -999
20141016, 81.65, 82.8, 81.57, 82.24, 11310200, 81.61, 0, 1, 81.63, -999
20141015, 82.59, 83.58, 81.76, 82.95, 13283200, 82.32, 0, 1, 82.455, -999
20141014, 83.91, 83.91, 83.03, 83.55, 8210300, 82.91, 0, 1, 83.41, -999
20141013, 84.31, 84.47, 83.31, 83.37, 10066100, 82.74, 0, 1, 83.525, -999
20141010, 83.95, 85.28, 83.91, 84.69, 13732400, 84.05, 0, 1, 84, -999
20141009, 84.21, 84.88, 83.53, 83.66, 7765700, 83.02, 0, 1, 83.615, -999
20141008, 83.34, 84.28, 83.21, 84.18, 8107100, 83.54, 0, 1, 83.44, -999
20141007, 83.38, 83.92, 83.12, 83.16, 7378200, 82.53, 0, 1, 82.955, -999
20141006, 83.57, 83.94, 83.19, 83.57, 5656500, 82.93, 0, 1, 83.25, -999
20141003, 83.44, 83.95, 82.88, 83.79, 6701500, 83.15, 0, 1, 83.295, -999
20141002, 83.1, 83.97, 82.95, 83.05, 8858400, 82.42, 0, 1, 82.76, -999
20141001, 84.02, 84.04, 83.03, 83.14, 9024700, 82.51, 0, 1, 83.265, -999
20140930, 84.34, 84.36, 83.68, 83.74, 8074700, 83.1, 0, 1, 83.72, -999
20140929, 84.11, 84.47, 83.66, 84.44, 6360000, 83.8, 0, 1, 83.955, -999
20140926, 84.54, 84.74, 83.86, 84.58, 5478000, 83.94, 0, 1, 84.24, -999
20140925, 85.02, 85.13, 84.33, 84.33, 8212300, 83.69, 0, 1, 84.355, -999
20140924, 84.33, 85.4, 84.33, 85.24, 11694700, 84.59, 0, 1, 84.46, -999
20140923, 84.65, 84.92, 84.44, 84.44, 7723500, 83.8, 0, 1, 84.225, -999
20140922, 84.64, 84.95, 84.49, 84.81, 8397100, 84.16, 0, 1, 84.4, -999
20140919, 84.52, 84.77, 84.18, 84.47, 11377700, 83.83, 0, 1, 84.175, -999
20140918, 84.18, 84.44, 84.07, 84.19, 5309200, 83.55, 0, 1, 83.865, -999
20140917, 84.02, 84.5, 83.93, 84.16, 8273800, 83.52, 0, 1, 83.77, -999
20140916, 83.58, 84.45, 83.56, 84.08, 7143800, 83.44, 0, 1, 83.51, -999
20140915, 83.18, 84.25, 83.14, 83.87, 7004700, 83.23, 0, 1, 83.205, -999
20140912, 83.21, 83.38, 82.86, 83.26, 6358500, 82.63, 0, 1, 82.92, -999
20140911, 83.61, 83.75, 83.37, 83.49, 6341600, 82.85, 0, 1, 83.23, -999
20140910, 83.2, 83.96, 83.15, 83.64, 6715300, 83, 0, 1, 83.1, -999
20140909, 83.05, 83.29, 82.83, 82.99, 5202900, 82.36, 0, 1, 82.705, -999
20140908, 83.57, 83.6, 83.13, 83.32, 4899600, 82.69, 0, 1, 83.13, -999
20140905, 83.44, 83.8, 83.07, 83.77, 5888900, 83.13, 0, 1, 83.285, -999
20140904, 82.92, 83.75, 82.78, 83.7, 7444200, 83.06, 0, 1, 82.99, -999
20140903, 83.26, 83.48, 82.77, 82.9, 5851800, 82.27, 0, 1, 82.765, -999
20140902, 83.21, 83.49, 82.71, 82.98, 5528900, 82.35, 0, 1, 82.78, -999
20140829, 83.09, 83.13, 82.6, 83.11, 4901300, 82.48, 0, 1, 82.785, -999
20140828, 83.02, 83.22, 82.76, 83.03, 4278700, 82.4, 0, 1, 82.71, -999
20140827, 83.43, 83.6, 83.16, 83.31, 4248300, 82.68, 0, 1, 83.055, -999
20140826, 83.61, 83.83, 83.33, 83.38, 5188400, 82.75, 0, 1, 83.18, -999
20140825, 83.74, 83.82, 83.31, 83.54, 5586800, 82.9, 0, 1, 83.32, -999
20140822, 83.16, 83.66, 83.14, 83.39, 6978500, 82.76, 0, 1, 82.96, -999
20140821, 82.8, 83.47, 82.69, 83.28, 7099800, 82.65, 0, 1, 82.725, -999
20140820, 82.46, 82.94, 82.46, 82.81, 4581800, 82.18, 0, 1, 82.32, -999
20140819, 82.35, 82.87, 82.12, 82.69, 6867700, 82.06, 0, 1, 82.205, -999
20140818, 81.99, 82.85, 81.81, 82.44, 8450500, 81.81, 0, 1, 81.9, -999
20140815, 82.23, 82.23, 81.18, 81.78, 7418400, 81.16, 0, 1, 81.695, -999
20140814, 81.59, 82.04, 81.44, 81.95, 5930700, 81.33, 0, 1, 81.46, -999
20140813, 81.64, 81.8, 81.11, 81.48, 5472200, 80.86, 0, 1, 81.25, -999
20140812, 81.5, 81.86, 81.21, 81.42, 6591200, 80.8, 0, 1, 81.15, -999
20140811, 81.23, 81.87, 81.03, 81.48, 8188000, 80.86, 0, 1, 81.045, -999
20140808, 80.05, 81.03, 80.04, 80.95, 6215600, 80.33, 0, 1, 80.19, -999
20140807, 81.02, 81.18, 80.01, 80.14, 7904000, 79.53, 0, 1, 80.275, -999
20140806, 79.4, 81.3, 79.27, 81.09, 12839000, 80.47, 0, 1, 79.935, -999
20140805, 78.99, 79.74, 78.98, 79.41, 7995900, 78.81, 0, 1, 78.9, -999
20140804, 79.46, 79.46, 78.66, 79.22, 12075300, 78.62, 0, 1, 79.04, -999
20140801, 79.25, 80.67, 78.83, 79.65, 18110700, 79.04, 0, 1, 79.145, -999
20140731, 77.76, 78.01, 77.29, 77.32, 11235600, 76.73, 0, 1, 77.245, -999
20140730, 78.7, 79.01, 78.14, 78.16, 8296500, 77.57, 0, 1, 78.135, -999
20140729, 79.09, 79.5, 78.65, 78.65, 6419600, 78.05, 0, 1, 78.57, -999
20140728, 79.41, 79.62, 78.85, 79.26, 6757300, 78.66, 0, 1, 79.035, -999
20140725, 80.02, 80.16, 79.37, 79.56, 6293400, 78.95, 0, 1, 79.485, -999
20140724, 80.12, 80.32, 79.85, 80.26, 6273100, 79.65, 0, 1, 79.885, -999
20140723, 80.33, 80.5, 79.82, 79.99, 5891200, 79.38, 0, 1, 79.855, -999
20140722, 80.29, 80.58, 79.77, 80.1, 6073200, 79.49, 0, 1, 79.89, -999
20140721, 80.33, 80.4, 79.95, 80.28, 4434300, 79.67, 0, 1, 80, -999
20140718, 80.55, 80.75, 80.16, 80.55, 6502400, 79.94, 0, 1, 80.245, -999
20140717, 80.99, 81.22, 80.39, 80.4, 5844700, 79.79, 0, 1, 80.39, -999
20140716, 80.9, 81.2, 80.75, 80.94, 8940500, 80.32, 0.644, 1, 80.61, -999
20140715, 81.51, 81.52, 81.09, 81.26, 9637600, 80, 0, 1, 80.755, -999
