Ticker: PHM  Created on: 12/6/2014 5:25:51 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 21.66, 21.8, 21.49, 21.54, 4188700, 21.54, 0, 1, 21.6, -999
20141204, 21.48, 21.97, 21.36, 21.72, 6099100, 21.72, 0, 1, 21.6, -999
20141203, 21.62, 22.03, 21.45, 21.47, 7400900, 21.47, 0, 1, 21.545, -999
20141202, 21.76, 21.92, 21.6, 21.67, 5293000, 21.67, 0, 1, 21.715, -999
20141201, 21.61, 21.89, 21.51, 21.68, 6232800, 21.68, 0, 1, 21.645, -999
20141128, 21.54, 21.74, 21.37, 21.63, 1923500, 21.63, 0, 1, 21.585, -999
20141126, 21.51, 21.56, 21.16, 21.5, 3298700, 21.5, 0, 1, 21.505, -999
20141125, 21.61, 21.84, 21.41, 21.46, 3923300, 21.46, 0, 1, 21.535, -999
20141124, 21.65, 21.92, 21.56, 21.58, 5968300, 21.58, 0, 1, 21.615, -999
20141121, 21.5, 21.85, 21.48, 21.67, 7235100, 21.67, 0, 1, 21.585, -999
20141120, 20.91, 21.47, 20.82, 21.36, 5814500, 21.36, 0, 1, 21.135, -999
20141119, 21.18, 21.49, 20.85, 20.95, 7982000, 20.95, 0, 1, 21.065, -999
20141118, 21, 21.33, 20.93, 21.3, 6274600, 21.3, 0, 1, 21.15, -999
20141117, 20.71, 21.07, 20.68, 20.97, 4997200, 20.97, 0, 1, 20.84, -999
20141114, 20.8, 20.98, 20.72, 20.92, 2881500, 20.92, 0, 1, 20.86, -999
20141113, 20.73, 20.99, 20.73, 20.81, 3319000, 20.81, 0, 1, 20.77, -999
20141112, 20.85, 21.07, 20.58, 20.69, 6111300, 20.69, 0, 1, 20.77, -999
20141111, 20.3, 20.99, 20.27, 20.97, 7276700, 20.97, 0, 1, 20.635, -999
20141110, 20.33, 20.67, 20.25, 20.31, 8167900, 20.31, 0, 1, 20.32, -999
20141107, 19.52, 19.97, 19.49, 19.96, 5140700, 19.96, 0, 1, 19.74, -999
20141106, 19.22, 19.61, 19.15, 19.6, 3780800, 19.6, 0, 1, 19.41, -999
20141105, 19.22, 19.38, 19.06, 19.2, 3294100, 19.2, 0, 1, 19.21, -999
20141104, 19.3, 19.42, 19.03, 19.1, 4178900, 19.1, 0, 1, 19.2, -999
20141103, 19.23, 19.47, 19.01, 19.4, 4250800, 19.4, 0, 1, 19.315, -999
20141031, 19.3, 19.42, 18.89, 19.19, 6121300, 19.19, 0, 1, 19.245, -999
20141030, 19.16, 19.27, 18.92, 19.1, 4020000, 19.1, 0, 1, 19.13, -999
20141029, 19.29, 19.5, 18.86, 19.2, 8528600, 19.2, 0, 1, 19.245, -999
20141028, 19.41, 19.54, 19.2, 19.35, 7912900, 19.35, 0, 1, 19.38, -999
20141027, 19.42, 19.47, 19.13, 19.37, 5798200, 19.37, 0, 1, 19.395, -999
20141024, 19.52, 19.61, 19.14, 19.54, 5775100, 19.54, 0, 1, 19.53, -999
20141023, 19.35, 19.81, 18.7, 19.51, 13944900, 19.51, 0, 1, 19.43, -999
20141022, 19.13, 19.39, 19.02, 19.18, 7742000, 19.18, 0, 1, 19.155, -999
20141021, 18.85, 19.31, 18.68, 19.14, 8629600, 19.14, 0, 1, 18.995, -999
20141020, 18.25, 18.86, 18.25, 18.81, 7556000, 18.81, 0, 1, 18.53, -999
20141017, 17.59, 18.44, 17.51, 18.23, 8917800, 18.23, 0, 1, 17.91, -999
20141016, 17.18, 17.85, 17.18, 17.39, 8368400, 17.39, 0, 1, 17.285, -999
20141015, 16.79, 17.7, 16.73, 17.59, 9469200, 17.59, 0, 1, 17.19, -999
20141014, 16.79, 17.33, 16.79, 16.99, 5513700, 16.99, 0, 1, 16.89, -999
20141013, 17.01, 17.3, 16.56, 16.66, 12248300, 16.66, 0, 1, 16.835, -999
20141010, 17.86, 17.94, 16.95, 17.04, 15656900, 17.04, 0, 1, 17.45, -999
20141009, 18.3, 18.47, 17.87, 17.9, 5881800, 17.9, 0, 1, 18.1, -999
20141008, 18.11, 18.4, 17.94, 18.31, 5103200, 18.31, 0, 1, 18.21, -999
20141007, 18.08, 18.43, 18.04, 18.12, 5176000, 18.12, 0, 1, 18.1, -999
20141006, 18.09, 18.33, 18.07, 18.19, 5468200, 18.19, 0, 1, 18.14, -999
20141003, 17.87, 18.1, 17.74, 17.96, 4940400, 17.96, 0, 1, 17.915, -999
20141002, 17.67, 17.86, 17.48, 17.78, 5135000, 17.78, 0, 1, 17.725, -999
20141001, 17.66, 17.75, 17.5, 17.59, 4545200, 17.59, 0, 1, 17.625, -999
20140930, 17.74, 17.77, 17.52, 17.66, 6439100, 17.66, 0, 1, 17.7, -999
20140929, 17.76, 17.88, 17.68, 17.74, 5111600, 17.74, 0, 1, 17.75, -999
20140926, 18.13, 18.16, 17.85, 17.89, 5101600, 17.89, 0, 1, 18.01, -999
20140925, 18.22, 18.32, 17.95, 18.03, 6226800, 18.03, 0, 1, 18.125, -999
20140924, 18.06, 18.46, 17.95, 18.33, 7038700, 18.33, 0, 1, 18.195, -999
20140923, 18.21, 18.56, 18.13, 18.41, 4978900, 18.41, 0, 1, 18.31, -999
20140922, 18.75, 18.79, 18.22, 18.33, 6462200, 18.33, 0, 1, 18.54, -999
20140919, 19.16, 19.22, 18.67, 18.82, 7028300, 18.82, 0, 1, 18.99, -999
20140918, 19.36, 19.44, 19.06, 19.08, 3522800, 19.08, 0.05, 1, 19.22, -999
20140917, 19.18, 19.69, 19.12, 19.4, 7286300, 19.35, 0, 1, 19.265, -999
20140916, 18.85, 19.1, 18.83, 18.93, 3239300, 18.88, 0, 1, 18.865, -999
20140915, 18.75, 19.08, 18.72, 18.94, 5470900, 18.89, 0, 1, 18.82, -999
20140912, 19.04, 19.08, 18.55, 18.78, 5096800, 18.73, 0, 1, 18.885, -999
20140911, 18.93, 19.18, 18.93, 19.07, 4300600, 19.02, 0, 1, 18.975, -999
20140910, 18.75, 19.09, 18.69, 19.06, 5657600, 19.01, 0, 1, 18.88, -999
20140909, 18.66, 18.82, 18.54, 18.7, 4492300, 18.65, 0, 1, 18.655, -999
