Ticker: PH  Created on: 12/6/2014 5:25:38 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 129.9, 130.91, 129.48, 129.95, 909700, 129.95, 0, 1, 129.925, -999
20141204, 130.55, 131, 129.75, 129.77, 1194500, 129.77, 0, 1, 130.16, -999
20141203, 129.19, 131.78, 129.17, 131.49, 967300, 131.49, 0, 1, 130.34, -999
20141202, 126.44, 129.07, 126.44, 128.65, 1069800, 128.65, 0, 1, 127.545, -999
20141201, 129.19, 129.62, 127.16, 127.66, 1397000, 127.66, 0, 1, 128.425, -999
20141128, 131.32, 131.34, 128.27, 129.03, 941600, 129.03, 0, 1, 130.175, -999
20141126, 132.25, 132.62, 131.4, 131.69, 804000, 131.69, 0, 1, 131.97, -999
20141125, 132.86, 133.41, 131.51, 132.78, 1329900, 132.78, 0, 1, 132.82, -999
20141124, 132.43, 132.87, 131.64, 132.63, 860500, 132.63, 0, 1, 132.53, -999
20141121, 131.21, 133.24, 130.66, 131.84, 1742800, 131.84, 0, 1, 131.525, -999
20141120, 128.24, 130.62, 128.13, 130.43, 1097500, 130.43, 0, 1, 129.335, -999
20141119, 130.11, 130.11, 128.5, 129.24, 1929300, 129.24, 0, 1, 129.675, -999
20141118, 128.85, 130.86, 128.43, 130.47, 1497200, 130.47, 0, 1, 129.66, -999
20141117, 127.79, 129, 127.79, 128.62, 1170500, 128.62, 0, 1, 128.205, -999
20141114, 126.75, 128.52, 126.75, 128.44, 867000, 128.44, 0, 1, 127.595, -999
20141113, 128.59, 129.07, 126.72, 126.97, 1269800, 126.97, 0, 1, 127.78, -999
20141112, 127.64, 129.26, 127.47, 128.57, 873900, 128.57, 0, 1, 128.105, -999
20141111, 128.29, 129, 127.59, 128.08, 753800, 128.08, 0, 1, 128.185, -999
20141110, 128.47, 129.05, 127.94, 128.43, 723600, 128.43, 0, 1, 128.45, -999
20141107, 127.94, 128.7, 127.51, 128.5, 1426300, 128.5, 0, 1, 128.22, -999
20141106, 127.82, 128.69, 127.5, 127.96, 1441400, 127.96, 0, 1, 127.89, -999
20141105, 126.78, 127.86, 126.09, 127.78, 899300, 127.15, 0, 1, 126.965, -999
20141104, 126.76, 126.99, 125.34, 126.38, 1067000, 125.76, 0, 1, 126.26, -999
20141103, 127.42, 127.69, 125.77, 126.77, 1239100, 126.14, 0, 1, 126.78, -999
20141031, 126.39, 127.59, 125.91, 127.03, 1922200, 126.4, 0, 1, 126.395, -999
20141030, 122.93, 125.21, 122.86, 124.67, 1190400, 124.06, 0, 1, 123.495, -999
