Ticker: PLD  Created on: 12/6/2014 5:25:49 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 42.4, 42.67, 42.19, 42.58, 2211700, 42.58, 0, 1, 42.49, -999
20141204, 42.56, 42.6, 42.1, 42.54, 2595300, 42.54, 0, 1, 42.55, -999
20141203, 42.59, 42.84, 42.46, 42.71, 3050200, 42.71, 0, 1, 42.65, -999
20141202, 42.23, 42.75, 42.03, 42.65, 3013700, 42.65, 0, 1, 42.44, -999
20141201, 42.19, 42.53, 42.05, 42.31, 2809400, 42.31, 0, 1, 42.25, -999
20141128, 42.09, 42.62, 41.87, 42.28, 1668500, 42.28, 0, 1, 42.185, -999
20141126, 41.67, 42.05, 41.54, 42, 1720500, 42, 0, 1, 41.835, -999
20141125, 41.47, 41.71, 41.44, 41.6, 3455700, 41.6, 0, 1, 41.535, -999
20141124, 41.41, 41.65, 41.28, 41.49, 2669800, 41.49, 0, 1, 41.45, -999
20141121, 41.34, 41.41, 41.05, 41.24, 5249300, 41.24, 0, 1, 41.29, -999
20141120, 40.75, 41.03, 40.63, 40.95, 3117600, 40.95, 0, 1, 40.85, -999
20141119, 41.28, 41.31, 40.8, 40.84, 2254800, 40.84, 0, 1, 41.06, -999
20141118, 41.09, 41.48, 40.99, 41.38, 1650400, 41.38, 0, 1, 41.235, -999
20141117, 40.77, 41.13, 40.67, 41.01, 1834600, 41.01, 0, 1, 40.89, -999
20141114, 41.02, 41.2, 40.69, 40.77, 1618700, 40.77, 0, 1, 40.895, -999
20141113, 41.15, 41.4, 40.95, 41.1, 1910700, 41.1, 0, 1, 41.125, -999
20141112, 41.6, 41.67, 40.97, 41, 2662500, 41, 0, 1, 41.3, -999
20141111, 41.72, 41.75, 41.43, 41.65, 1959300, 41.65, 0, 1, 41.685, -999
20141110, 41.43, 41.84, 41.31, 41.68, 2406700, 41.68, 0, 1, 41.555, -999
20141107, 41.61, 41.73, 41.28, 41.41, 2770500, 41.41, 0, 1, 41.51, -999
20141106, 41.65, 41.75, 41.48, 41.58, 2546200, 41.58, 0, 1, 41.615, -999
20141105, 41.69, 41.85, 41.2, 41.65, 3203800, 41.65, 0, 1, 41.67, -999
20141104, 41.81, 41.88, 41.34, 41.53, 2109600, 41.53, 0, 1, 41.67, -999
20141103, 41.72, 41.95, 41.6, 41.83, 2284600, 41.83, 0, 1, 41.775, -999
20141031, 41.44, 41.71, 41.05, 41.65, 3341600, 41.65, 0, 1, 41.545, -999
20141030, 40.8, 41.05, 40.69, 41.05, 2027400, 41.05, 0, 1, 40.925, -999
20141029, 41, 41.21, 40.63, 40.99, 2659800, 40.99, 0, 1, 40.995, -999
20141028, 40.88, 41.06, 40.64, 41.06, 2626000, 41.06, 0, 1, 40.97, -999
20141027, 40.53, 40.95, 40.42, 40.76, 3287000, 40.76, 0, 1, 40.645, -999
20141024, 40.39, 40.79, 40.23, 40.73, 2371300, 40.73, 0, 1, 40.56, -999
20141023, 39.97, 40.55, 39.96, 40.45, 3953800, 40.45, 0, 1, 40.21, -999
20141022, 40.22, 40.35, 39.92, 40.01, 3431800, 40.01, 0, 1, 40.115, -999
20141021, 39.66, 40.23, 39.51, 40.21, 3059900, 40.21, 0, 1, 39.935, -999
20141020, 39.04, 39.6, 38.89, 39.58, 3368200, 39.58, 0, 1, 39.31, -999
20141017, 38.56, 39.14, 38.43, 39.09, 3876500, 39.09, 0, 1, 38.825, -999
20141016, 37.66, 38.56, 37.66, 38.42, 3295900, 38.42, 0, 1, 38.04, -999
