Ticker: PLL  Created on: 12/6/2014 5:25:38 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 98.4, 98.69, 97.83, 98.41, 404800, 98.41, 0, 1, 98.405, -999
20141204, 99.13, 99.13, 98, 98.43, 388800, 98.43, 0, 1, 98.78, -999
20141203, 96.98, 99.24, 96.85, 99.18, 752100, 99.18, 0, 1, 98.08, -999
20141202, 96.24, 96.74, 95.73, 96.67, 710500, 96.67, 0, 1, 96.455, -999
20141201, 95.62, 96.54, 94.91, 95.96, 568600, 95.96, 0, 1, 95.79, -999
20141128, 97.86, 97.86, 95.93, 96.11, 334600, 96.11, 0, 1, 96.985, -999
20141126, 98.28, 98.35, 97.27, 97.68, 1001300, 97.68, 0, 1, 97.98, -999
20141125, 95.43, 98.12, 95.2, 98, 1125600, 98, 0, 1, 96.715, -999
20141124, 95.42, 95.44, 93.81, 94.69, 1103200, 94.69, 0, 1, 95.055, -999
20141121, 94.85, 95.52, 94.58, 95.07, 670700, 95.07, 0, 1, 94.96, -999
20141120, 94.04, 94.86, 94.04, 94.29, 475700, 94.29, 0, 1, 94.165, -999
20141119, 94.26, 94.94, 93.69, 94.81, 730000, 94.81, 0, 1, 94.535, -999
20141118, 93.64, 94.78, 93.59, 94.62, 837100, 94.62, 0, 1, 94.13, -999
20141117, 93.13, 93.89, 92.82, 93.62, 478400, 93.62, 0, 1, 93.375, -999
20141114, 93.65, 94.06, 93.34, 93.46, 402100, 93.46, 0, 1, 93.555, -999
20141113, 93.34, 93.91, 93.21, 93.78, 531500, 93.78, 0, 1, 93.56, -999
20141112, 93.57, 93.95, 92.92, 93.24, 1234700, 93.24, 0, 1, 93.405, -999
20141111, 94.14, 94.6, 93.62, 93.84, 525300, 93.84, 0, 1, 93.99, -999
20141110, 94.27, 94.61, 94.04, 94.27, 671800, 94.27, 0, 1, 94.27, -999
20141107, 94.47, 94.5, 93.88, 94.29, 650800, 94.29, 0, 1, 94.38, -999
20141106, 93.69, 94.46, 93.35, 94.39, 607200, 94.39, 0, 1, 94.04, -999
20141105, 92.67, 93.67, 92.19, 93.55, 620700, 93.55, 0, 1, 93.11, -999
20141104, 91.6, 92.5, 91.22, 92.17, 745400, 92.17, 0, 1, 91.885, -999
20141103, 91.7, 92, 91.18, 91.88, 849700, 91.88, 0, 1, 91.79, -999
20141031, 91.69, 92.17, 90.92, 91.42, 749600, 91.42, 0, 1, 91.555, -999
20141030, 88.82, 91.49, 88.71, 90.92, 582300, 90.92, 0, 1, 89.87, -999
20141029, 89.83, 89.99, 88.22, 89.32, 525300, 89.32, 0, 1, 89.575, -999
20141028, 88.57, 89.86, 88.57, 89.78, 417900, 89.78, 0, 1, 89.175, -999
20141027, 87.71, 88.15, 87.14, 88.04, 457600, 88.04, 0, 1, 87.875, -999
20141024, 86.82, 87.87, 86.08, 87.84, 503300, 87.84, 0, 1, 87.33, -999
20141023, 85.37, 87.44, 85.36, 86.69, 487100, 86.69, 0, 1, 86.03, -999
20141022, 86.08, 86.13, 84.29, 84.34, 561200, 84.34, 0, 1, 85.21, -999
20141021, 83.91, 85.92, 83.91, 85.87, 538300, 85.87, 0, 1, 84.89, -999
20141020, 82.47, 83.29, 82.47, 83.26, 542100, 83.26, 0, 1, 82.865, -999
20141017, 81.65, 82.57, 81.36, 82.15, 588300, 82.15, 0, 1, 81.9, -999
20141016, 80.65, 81.3, 79.84, 80.99, 1218500, 80.99, 0.305, 1, 80.82, -999
20141015, 80.36, 82.35, 79.84, 81.95, 942700, 81.64, 0, 1, 81, -999
20141014, 82.22, 83.45, 81.84, 81.91, 896600, 81.61, 0, 1, 81.915, -999
20141013, 82.2, 82.54, 81.44, 81.48, 1105200, 81.18, 0, 1, 81.69, -999
20141010, 82.58, 83.16, 81.85, 82, 881100, 81.69, 0, 1, 82.135, -999
20141009, 83.69, 83.9, 82.17, 82.46, 896100, 82.15, 0, 1, 82.92, -999
20141008, 82.13, 83.95, 81.71, 83.89, 613300, 83.58, 0, 1, 82.855, -999
20141007, 82.99, 83.3, 82.09, 82.13, 853900, 81.82, 0, 1, 82.405, -999
20141006, 83.8, 84.15, 83.44, 83.65, 747700, 83.34, 0, 1, 83.57, -999
20141003, 83, 83.49, 82.77, 83.42, 645100, 83.11, 0, 1, 83.055, -999
20141002, 82.49, 83, 82.18, 82.67, 783200, 82.36, 0, 1, 82.425, -999
20141001, 83.4, 83.64, 82.29, 82.61, 1394900, 82.3, 0, 1, 82.85, -999
20140930, 83.62, 84.25, 83.25, 83.7, 838900, 83.39, 0, 1, 83.505, -999
20140929, 82.81, 83.73, 82.46, 83.58, 719000, 83.27, 0, 1, 83.04, -999
20140926, 83.01, 83.89, 82.55, 83.61, 693800, 83.3, 0, 1, 83.155, -999
20140925, 83.51, 83.56, 82.6, 82.92, 780100, 82.61, 0, 1, 83.06, -999
20140924, 82.53, 84.11, 82.25, 84.03, 989300, 83.72, 0, 1, 83.125, -999
20140923, 82.5, 82.82, 82.24, 82.51, 604300, 82.2, 0, 1, 82.35, -999
20140922, 83.83, 83.83, 82.81, 82.98, 545600, 82.67, 0, 1, 83.25, -999
20140919, 84.59, 84.69, 83.5, 83.88, 1537500, 83.57, 0, 1, 84.08, -999
20140918, 83.77, 84.22, 83.52, 84.05, 369900, 83.74, 0, 1, 83.755, -999
20140917, 83.68, 84, 82.9, 83.47, 599600, 83.16, 0, 1, 83.42, -999
