Ticker: PM  Created on: 12/6/2014 5:25:44 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 87.28, 87.33, 86.71, 87.14, 4232500, 87.14, 0, 1, 87.21, -999
20141204, 87.27, 87.48, 86.37, 87.15, 4111000, 87.15, 0, 1, 87.21, -999
20141203, 87.15, 87.68, 86.77, 87.65, 3862000, 87.65, 0, 1, 87.4, -999
20141202, 86.58, 87.43, 86.52, 87.39, 4077500, 87.39, 0, 1, 86.985, -999
20141201, 86.37, 87.03, 85.7, 86.5, 3547300, 86.5, 0, 1, 86.435, -999
20141128, 87.2, 87.57, 86.77, 86.93, 3230900, 86.93, 0, 1, 87.065, -999
20141126, 86.66, 86.91, 86.42, 86.6, 2665700, 86.6, 0, 1, 86.63, -999
20141125, 86.49, 86.73, 86.16, 86.3, 5054400, 86.3, 0, 1, 86.395, -999
20141124, 87.3, 87.61, 86.47, 86.5, 3888600, 86.5, 0, 1, 86.9, -999
20141121, 86.15, 87.04, 86.11, 87, 6851900, 87, 0, 1, 86.575, -999
20141120, 86.5, 86.5, 85.57, 85.81, 6328600, 85.81, 0, 1, 86.155, -999
20141119, 86.95, 87.2, 86.47, 86.83, 4529900, 86.83, 0, 1, 86.89, -999
20141118, 87.47, 87.6, 87.09, 87.13, 3653700, 87.13, 0, 1, 87.3, -999
20141117, 86.33, 87.5, 86.17, 87.3, 3644600, 87.3, 0, 1, 86.815, -999
20141114, 87.35, 87.4, 85.49, 86.28, 6011300, 86.28, 0, 1, 86.815, -999
20141113, 88.04, 88.7, 87.53, 87.86, 3163600, 87.86, 0, 1, 87.95, -999
20141112, 88.04, 88.13, 87.57, 87.9, 2832900, 87.9, 0, 1, 87.97, -999
20141111, 88.44, 88.48, 87.84, 88.09, 2412800, 88.09, 0, 1, 88.265, -999
20141110, 87.83, 88.5, 87.52, 88.42, 3191800, 88.42, 0, 1, 88.125, -999
20141107, 87.5, 88.2, 87.26, 88.12, 3219400, 88.12, 0, 1, 87.81, -999
20141106, 89.68, 89.83, 87.18, 87.5, 6109300, 87.5, 0, 1, 88.59, -999
20141105, 89.83, 90.25, 89.09, 89.9, 4061000, 89.9, 0, 1, 89.865, -999
20141104, 89.39, 89.91, 89.19, 89.45, 2752500, 89.45, 0, 1, 89.42, -999
20141103, 88.85, 89.5, 88.6, 89.19, 3361600, 89.19, 0, 1, 89.02, -999
20141031, 88.79, 89.24, 88.47, 89.01, 4876200, 89.01, 0, 1, 88.9, -999
