Ticker: PNC  Created on: 12/6/2014 5:25:46 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 88.84, 90.43, 88.76, 90.18, 2222700, 90.18, 0, 1, 89.51, -999
20141204, 88.12, 88.48, 87.75, 88.37, 1508700, 88.37, 0, 1, 88.245, -999
20141203, 87.5, 88.4, 87.44, 88.33, 1718200, 88.33, 0, 1, 87.915, -999
20141202, 86.6, 87.9, 86.57, 87.5, 1492900, 87.5, 0, 1, 87.05, -999
20141201, 87.37, 87.37, 86.08, 86.59, 2144100, 86.59, 0, 1, 86.98, -999
20141128, 88.44, 88.48, 87.34, 87.47, 820000, 87.47, 0, 1, 87.955, -999
20141126, 87.98, 88.26, 87.54, 88.06, 1103800, 88.06, 0, 1, 88.02, -999
20141125, 88.21, 88.35, 87.61, 88.16, 1944400, 88.16, 0, 1, 88.185, -999
20141124, 87.32, 88.11, 87.32, 87.98, 1754100, 87.98, 0, 1, 87.65, -999
20141121, 87.8, 87.97, 86.75, 86.85, 3200300, 86.85, 0, 1, 87.325, -999
20141120, 86.56, 86.93, 86.27, 86.93, 2401400, 86.93, 0, 1, 86.745, -999
20141119, 87.63, 87.63, 86.45, 87.07, 2577300, 87.07, 0, 1, 87.35, -999
20141118, 87.27, 87.78, 87.22, 87.43, 2028400, 87.43, 0, 1, 87.35, -999
20141117, 87.4, 87.4, 86.92, 87.28, 1924500, 87.28, 0, 1, 87.34, -999
20141114, 87.57, 87.98, 87.21, 87.41, 1341100, 87.41, 0, 1, 87.49, -999
20141113, 88.09, 88.17, 87.44, 87.83, 1561700, 87.83, 0, 1, 87.96, -999
20141112, 87.62, 88.19, 87.6, 88.04, 1943800, 88.04, 0, 1, 87.83, -999
20141111, 88.8, 88.84, 88.11, 88.24, 1565300, 88.24, 0, 1, 88.52, -999
20141110, 88.12, 88.73, 88.12, 88.68, 1541200, 88.68, 0, 1, 88.4, -999
20141107, 88.1, 88.85, 87.87, 88.45, 1660300, 88.45, 0, 1, 88.275, -999
20141106, 87.49, 88.39, 87.44, 88.38, 1568600, 88.38, 0, 1, 87.935, -999
20141105, 87.45, 87.7, 87.03, 87.64, 1409100, 87.64, 0, 1, 87.545, -999
20141104, 86.72, 86.98, 86.12, 86.95, 1449400, 86.95, 0, 1, 86.835, -999
20141103, 86.71, 86.94, 86.26, 86.54, 1432700, 86.54, 0, 1, 86.625, -999
20141031, 86.02, 86.64, 86.02, 86.39, 2261800, 86.39, 0, 1, 86.205, -999
20141030, 84.79, 85.74, 84.22, 85.42, 1485700, 85.42, 0, 1, 85.105, -999
20141029, 83.95, 84.95, 83.7, 84.8, 2135500, 84.8, 0, 1, 84.375, -999
20141028, 82.99, 84.09, 82.91, 84.09, 1510600, 84.09, 0, 1, 83.54, -999
20141027, 82.79, 82.93, 82.1, 82.86, 1470800, 82.86, 0, 1, 82.825, -999
20141024, 81.69, 82.61, 81.32, 82.52, 1641600, 82.52, 0, 1, 82.105, -999
20141023, 81.73, 82.25, 81.4, 81.56, 1849600, 81.56, 0, 1, 81.645, -999
20141022, 81.27, 82.28, 80.97, 81.02, 2275400, 81.02, 0, 1, 81.145, -999
20141021, 80.13, 81.29, 80.11, 81.16, 2506400, 81.16, 0, 1, 80.645, -999
20141020, 79.28, 79.97, 79.16, 79.64, 2416800, 79.64, 0, 1, 79.46, -999
20141017, 79.52, 80.19, 78.98, 79.77, 3683400, 79.77, 0, 1, 79.645, -999
20141016, 76.72, 79.28, 76.69, 78.87, 4814900, 78.87, 0, 1, 77.795, -999
20141015, 80.94, 81.39, 77.13, 78, 7995000, 78, 0, 1, 79.47, -999
20141014, 81.18, 82.25, 81.08, 81.59, 3686000, 81.59, 0, 1, 81.385, -999
20141013, 81.95, 82.61, 81, 81.05, 2259900, 81.05, 0, 1, 81.5, -999
20141010, 82.77, 83.54, 81.69, 81.73, 2933800, 81.73, 0.48, 1, 82.25, -999
20141009, 84.89, 84.95, 82.89, 83.02, 2936200, 82.54, 0, 1, 83.715, -999
20141008, 83.28, 84.9, 83.27, 84.83, 1878700, 84.34, 0, 1, 83.81, -999
20141007, 84.52, 84.73, 83.24, 83.26, 2260300, 82.78, 0, 1, 83.65, -999
20141006, 85.47, 85.88, 84.99, 85.01, 2246400, 84.52, 0, 1, 84.995, -999
20141003, 84.86, 85.49, 84.81, 85.01, 2458500, 84.52, 0, 1, 84.69, -999
20141002, 84.08, 84.43, 83.15, 84.21, 2654700, 83.72, 0, 1, 83.9, -999
20141001, 85.58, 85.7, 84.31, 84.58, 2398700, 84.09, 0, 1, 84.835, -999
20140930, 85.94, 86.35, 85.4, 85.58, 2491800, 85.09, 0, 1, 85.515, -999
20140929, 85.02, 85.88, 85.02, 85.69, 1694800, 85.19, 0, 1, 85.105, -999
20140926, 85.41, 86.04, 85.33, 85.88, 1366400, 85.38, 0, 1, 85.395, -999
20140925, 86.59, 86.63, 85.45, 85.46, 2362900, 84.97, 0, 1, 85.78, -999
20140924, 86.1, 86.71, 85.88, 86.67, 1874900, 86.17, 0, 1, 86.135, -999
20140923, 87.21, 87.47, 86, 86, 3095200, 85.5, 0, 1, 86.355, -999
20140922, 87.76, 88.22, 87.12, 87.28, 1909200, 86.78, 0, 1, 87.27, -999
20140919, 88.4, 88.8, 87.71, 87.89, 3861200, 87.38, 0, 1, 87.89, -999
20140918, 87.77, 88.46, 87.62, 87.94, 1806000, 87.43, 0, 1, 87.6, -999
20140917, 86.52, 87.58, 86.19, 87.18, 2185700, 86.68, 0, 1, 86.6, -999
20140916, 86.29, 86.75, 86, 86.51, 1331700, 86.01, 0, 1, 86.15, -999
20140915, 86.5, 86.5, 85.84, 86.3, 2151700, 85.8, 0, 1, 86.15, -999
20140912, 85.84, 86.63, 85.75, 86.22, 1637200, 85.72, 0, 1, 85.78, -999
20140911, 85.53, 86.03, 85.36, 85.77, 1351100, 85.27, 0, 1, 85.4, -999
20140910, 84.68, 85.79, 84.68, 85.75, 1717100, 85.25, 0, 1, 84.965, -999
20140909, 85.12, 85.19, 84.49, 84.81, 1525500, 84.32, 0, 1, 84.72, -999
20140908, 85.3, 85.73, 85.02, 85.47, 1542500, 84.98, 0, 1, 85.14, -999
20140905, 84.84, 85.38, 84.44, 85.35, 1850700, 84.86, 0, 1, 84.85, -999
20140904, 85.15, 85.8, 84.82, 85.1, 1490600, 84.61, 0, 1, 84.88, -999
20140903, 85.67, 86, 84.96, 85.16, 1470800, 84.67, 0, 1, 85.17, -999
20140902, 84.75, 85.27, 84.36, 85.2, 2043900, 84.71, 0, 1, 84.73, -999
20140829, 85.02, 85.02, 84.52, 84.75, 1383600, 84.26, 0, 1, 84.64, -999
20140828, 84.57, 84.84, 84.24, 84.54, 1514900, 84.05, 0, 1, 84.31, -999
20140827, 85.3, 85.39, 84.76, 84.94, 2243300, 84.45, 0, 1, 84.875, -999
20140826, 85.24, 85.55, 85.02, 85.11, 1384200, 84.62, 0, 1, 84.93, -999
20140825, 84.99, 85.62, 84.98, 85.13, 1480100, 84.64, 0, 1, 84.815, -999
20140822, 84.31, 84.96, 84.24, 84.35, 1669900, 83.86, 0, 1, 84.085, -999
20140821, 83.56, 84.77, 83.4, 84.55, 2018600, 84.06, 0, 1, 83.81, -999
20140820, 82.85, 83.6, 82.68, 83.53, 1458700, 83.05, 0, 1, 82.95, -999
20140819, 83.1, 83.49, 82.81, 82.98, 1368400, 82.5, 0, 1, 82.8, -999
20140818, 82.37, 82.97, 82.37, 82.9, 1784700, 82.42, 0, 1, 82.395, -999
20140815, 82.55, 82.8, 81.4, 82.04, 2220000, 81.57, 0, 1, 82.06, -999
20140814, 82.2, 82.83, 82.08, 82.25, 1543600, 81.77, 0, 1, 81.985, -999
20140813, 82.27, 82.84, 81.96, 82.25, 2629000, 81.77, 0, 1, 82.02, -999
20140812, 81.59, 82.4, 81.47, 81.8, 1666200, 81.33, 0, 1, 81.46, -999
20140811, 82.09, 82.17, 81.56, 81.7, 1526700, 81.23, 0, 1, 81.66, -999
20140808, 81.33, 81.76, 81, 81.72, 1711200, 81.25, 0, 1, 81.29, -999
20140807, 81.97, 82.2, 81.09, 81.23, 2365200, 80.76, 0, 1, 81.365, -999
20140806, 81.62, 82.35, 81.41, 81.53, 2397900, 81.06, 0, 1, 81.34, -999
20140805, 80.63, 82.49, 80.43, 81.85, 3193700, 81.38, 0, 1, 81.005, -999
20140804, 82.34, 82.5, 81.67, 82.3, 1999100, 81.82, 0, 1, 82.08, -999
20140801, 82.54, 82.95, 81.61, 82.01, 2569100, 81.54, 0, 1, 82.04, -999
20140731, 83.7, 84, 82.55, 82.56, 2776900, 82.08, 0, 1, 82.89, -999
20140730, 84.05, 84.47, 83.5, 84.11, 2072500, 83.62, 0, 1, 83.835, -999
20140729, 83.91, 84.07, 83.45, 83.46, 3014800, 82.98, 0, 1, 83.445, -999
20140728, 84.5, 84.78, 83.79, 83.86, 1999600, 83.38, 0, 1, 83.94, -999
20140725, 84.38, 84.92, 84.24, 84.82, 2108800, 84.33, 0, 1, 84.355, -999
20140724, 83.93, 84.71, 83.93, 84.57, 2142600, 84.08, 0, 1, 84.005, -999
20140723, 83.8, 84.18, 83.52, 83.97, 1858600, 83.48, 0, 1, 83.64, -999
20140722, 84.14, 84.47, 83.61, 83.68, 2560600, 83.2, 0, 1, 83.67, -999
20140721, 83.41, 84.02, 83.03, 83.88, 2935000, 83.4, 0, 1, 83.405, -999
20140718, 83.92, 84.17, 83.16, 83.88, 3002600, 83.4, 0, 1, 83.66, -999
20140717, 84.15, 84.47, 83.18, 83.34, 4156500, 82.86, 0, 1, 83.505, -999
20140716, 86.38, 87.19, 84.52, 85.18, 6052800, 84.69, 0, 1, 85.535, -999
20140715, 87.82, 88.51, 87.52, 88.24, 3119800, 87.73, 0, 1, 87.775, -999
20140714, 88, 88.35, 87, 87.12, 2443600, 86.62, 0, 1, 87.31, -999
20140711, 86.85, 87.51, 86.55, 87.33, 1678200, 86.83, 0.48, 1, 86.84, -999
20140710, 87.24, 87.58, 86.84, 87.45, 2532500, 86.47, 0, 1, 86.855, -999
20140709, 88.34, 88.47, 87.95, 88.26, 1944000, 87.27, 0, 1, 87.805, -999
20140708, 88.93, 88.97, 87.9, 88.05, 2617800, 87.06, 0, 1, 87.995, -999
20140707, 88.18, 89.77, 88.18, 89.07, 2064600, 88.07, 0, 1, 88.125, -999
20140703, 89.52, 90, 89.35, 89.97, 977700, 88.96, 0, 1, 89.24, -999
20140702, 89.22, 89.63, 88.84, 88.95, 1394100, 87.95, 0, 1, 88.585, -999
20140701, 89.44, 89.96, 89.1, 89.36, 1540500, 88.36, 0, 1, 88.9, -999
20140630, 88.99, 89.59, 88.87, 89.05, 1645300, 88.05, 0, 1, 88.52, -999
20140627, 88.55, 89.35, 88.52, 89.31, 1653400, 88.31, 0, 1, 88.43, -999
20140626, 88.57, 88.82, 87.82, 88.68, 1010700, 87.68, 0, 1, 88.125, -999
20140625, 88.71, 89.03, 87.81, 88.74, 1506000, 87.74, 0, 1, 88.225, -999
20140624, 89.14, 89.8, 88.55, 88.6, 1287400, 87.6, 0, 1, 88.37, -999
20140623, 89.58, 89.85, 89.01, 89.34, 1287300, 88.34, 0, 1, 88.96, -999
20140620, 88.98, 89.61, 88.73, 89.42, 2576200, 88.42, 0, 1, 88.7, -999
20140619, 88.68, 88.82, 88.26, 88.55, 1266600, 87.55, 0, 1, 88.115, -999
20140618, 88.32, 88.72, 87.76, 88.63, 2047800, 87.63, 0, 1, 87.975, -999
20140617, 87.67, 88.72, 85.88, 88.36, 1762200, 87.37, 0, 1, 87.52, -999
20140616, 87.65, 87.89, 87.26, 87.69, 2129400, 86.7, 0, 1, 87.175, -999
20140613, 87.38, 88.26, 87.19, 87.81, 1930700, 86.82, 0, 1, 87.1, -999
20140612, 87.27, 87.86, 86.84, 87.35, 2910400, 86.37, 0, 1, 86.82, -999
20140611, 87.94, 88.43, 87.8, 88.03, 1428000, 87.04, 0, 1, 87.49, -999
20140610, 88.09, 88.5, 87.75, 88.42, 1175900, 87.43, 0, 1, 87.76, -999
20140609, 87.34, 88.64, 87.34, 88.51, 1759700, 87.52, 0, 1, 87.43, -999
20140606, 86.86, 87.49, 86.65, 87.32, 1162700, 86.34, 0, 1, 86.6, -999
20140605, 85.84, 86.8, 85.31, 86.63, 1499200, 85.66, 0, 1, 85.75, -999
20140604, 85.17, 85.87, 85.16, 85.68, 1305700, 84.72, 0, 1, 84.945, -999
20140603, 85.41, 85.79, 85.02, 85.43, 1750500, 84.47, 0, 1, 84.94, -999
20140602, 85.51, 85.7, 84.71, 85.62, 1445200, 84.66, 0, 1, 85.085, -999
20140530, 84.63, 85.58, 84.62, 85.27, 1414900, 84.31, 0, 1, 84.47, -999
20140529, 84.56, 84.82, 84.16, 84.76, 2265700, 83.81, 0, 1, 84.185, -999
20140528, 84.68, 84.77, 84.15, 84.52, 1380600, 83.57, 0, 1, 84.125, -999
20140527, 84.88, 85.66, 84.64, 84.7, 1588200, 83.75, 0, 1, 84.315, -999
20140523, 84.2, 84.69, 83.86, 84.51, 1280400, 83.56, 0, 1, 83.88, -999
20140522, 83.56, 84.1, 83.36, 84.09, 1561300, 83.14, 0, 1, 83.35, -999
20140521, 82.95, 84.24, 82.95, 83.52, 1593100, 82.58, 0, 1, 82.765, -999
20140520, 83, 83.21, 82.33, 82.63, 1645700, 81.7, 0, 1, 82.35, -999
20140519, 82.54, 83.37, 82.48, 83.21, 1548100, 82.27, 0, 1, 82.405, -999
