Ticker: PNW  Created on: 12/6/2014 5:25:44 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 65.46, 66.03, 65.15, 65.9, 1694300, 65.9, 0, 1, 65.68, -999
20141204, 65.33, 66.23, 65.16, 65.86, 1562800, 65.86, 0, 1, 65.595, -999
20141203, 64.93, 66.68, 64.54, 65.33, 3864800, 65.33, 0, 1, 65.13, -999
20141202, 63.75, 64.92, 63.29, 64.84, 1442000, 64.84, 0, 1, 64.295, -999
20141201, 62.85, 64.11, 62.6, 63.6, 967500, 63.6, 0, 1, 63.225, -999
20141128, 62.59, 63.5, 62.56, 63.23, 423500, 63.23, 0, 1, 62.91, -999
20141126, 62.25, 62.62, 62.03, 62.37, 453500, 62.37, 0, 1, 62.31, -999
20141125, 62.05, 62.32, 61.55, 62.15, 840900, 62.15, 0, 1, 62.1, -999
20141124, 62.65, 62.75, 61.86, 62.02, 881500, 62.02, 0, 1, 62.335, -999
20141121, 62.45, 62.86, 62.03, 62.7, 1175300, 62.7, 0, 1, 62.575, -999
20141120, 61.91, 62.44, 61.53, 61.95, 422900, 61.95, 0, 1, 61.93, -999
20141119, 61.95, 62.35, 61.61, 62.08, 432600, 62.08, 0, 1, 62.015, -999
20141118, 61.97, 62.56, 61.58, 62.24, 663200, 62.24, 0, 1, 62.105, -999
20141117, 60.61, 61.85, 60.61, 61.82, 587200, 61.82, 0, 1, 61.215, -999
20141114, 60.97, 61.15, 60.66, 60.79, 519100, 60.79, 0, 1, 60.88, -999
20141113, 62, 62.1, 61.09, 61.23, 620000, 61.23, 0, 1, 61.615, -999
20141112, 62.42, 62.42, 61.25, 61.8, 1096900, 61.8, 0, 1, 62.11, -999
20141111, 62.83, 63.13, 62.49, 62.82, 590300, 62.82, 0, 1, 62.825, -999
20141110, 62.5, 62.86, 62.11, 62.81, 517900, 62.81, 0, 1, 62.655, -999
20141107, 61.92, 62.52, 61.64, 62.5, 648100, 62.5, 0, 1, 62.21, -999
20141106, 62.79, 62.84, 61.23, 61.79, 1305300, 61.79, 0, 1, 62.29, -999
20141105, 62.07, 62.95, 61.77, 62.89, 1060100, 62.89, 0, 1, 62.48, -999
20141104, 62.09, 62.72, 61.53, 61.66, 940300, 61.66, 0, 1, 61.875, -999
20141103, 61.75, 62.27, 61.37, 62.25, 1066600, 62.25, 0, 1, 62, -999
20141031, 61, 61.56, 59.89, 61.47, 1335600, 61.47, 0, 1, 61.235, -999
20141030, 59.33, 60.55, 59.27, 60.52, 818800, 60.52, 0.595, 1, 59.925, -999
20141029, 59.77, 60, 59.07, 59.76, 706900, 59.16, 0, 1, 59.465, -999
20141028, 59.75, 59.83, 58.74, 59.77, 796000, 59.17, 0, 1, 59.46, -999
20141027, 59.23, 59.84, 59.01, 59.61, 681100, 59.02, 0, 1, 59.125, -999
20141024, 59.22, 59.39, 58.87, 59.17, 638900, 58.58, 0, 1, 58.9, -999
20141023, 58.91, 59.44, 58.61, 59.1, 495500, 58.51, 0, 1, 58.71, -999
20141022, 58.51, 59.22, 58.18, 58.73, 586400, 58.15, 0, 1, 58.33, -999
20141021, 58.5, 58.71, 58.19, 58.52, 702500, 57.94, 0, 1, 58.22, -999
20141020, 57.72, 58.56, 57.59, 58.5, 782800, 57.92, 0, 1, 57.82, -999
20141017, 57.43, 57.92, 56.6, 57.72, 688300, 57.15, 0, 1, 57.29, -999
20141016, 56.91, 57.43, 56.16, 57.09, 1031100, 56.52, 0, 1, 56.715, -999
20141015, 57.77, 58.39, 56.24, 57.38, 1063900, 56.81, 0, 1, 57.29, -999
20141014, 57.45, 58.75, 57.17, 57.92, 843100, 57.34, 0, 1, 57.395, -999
20141013, 56.67, 57.66, 56.51, 57.1, 842200, 56.53, 0, 1, 56.6, -999
20141010, 56.34, 56.99, 56.23, 56.56, 785200, 56, 0, 1, 56.17, -999
20141009, 56.94, 57.52, 55.97, 55.97, 1147700, 55.41, 0, 1, 56.175, -999
20141008, 55.56, 57.07, 55.35, 56.96, 1147400, 56.39, 0, 1, 55.975, -999
20141007, 55.33, 56.13, 55.07, 55.43, 589100, 54.88, 0, 1, 55.105, -999
20141006, 55.77, 55.88, 55.18, 55.47, 466200, 54.92, 0, 1, 55.345, -999
20141003, 55.05, 55.64, 54.63, 55.53, 539200, 54.98, 0, 1, 55.015, -999
20141002, 54.84, 55.33, 54.69, 54.95, 604100, 54.4, 0, 1, 54.62, -999
20141001, 54.7, 55.37, 54.59, 54.81, 594200, 54.26, 0, 1, 54.48, -999
20140930, 54.95, 55.35, 54.13, 54.64, 1125100, 54.1, 0, 1, 54.525, -999
20140929, 54.64, 55.04, 54.51, 54.87, 696600, 54.32, 0, 1, 54.48, -999
20140926, 55, 55.14, 54.49, 54.99, 720300, 54.44, 0, 1, 54.72, -999
