Ticker: PPL  Created on: 12/6/2014 5:25:47 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 35.37, 35.69, 35.09, 35.25, 4084000, 35.25, 0, 1, 35.31, -999
20141204, 35.85, 36.06, 35.53, 35.63, 4043400, 35.63, 0, 1, 35.74, -999
20141203, 35.85, 35.98, 35.76, 35.9, 5829100, 35.9, 0, 1, 35.875, -999
20141202, 35.54, 35.9, 35.36, 35.88, 4080100, 35.88, 0, 1, 35.71, -999
20141201, 35.48, 35.75, 35.31, 35.6, 3159500, 35.6, 0, 1, 35.54, -999
20141128, 35.39, 35.73, 35.27, 35.53, 1618000, 35.53, 0, 1, 35.46, -999
20141126, 35.16, 35.39, 35.13, 35.24, 2872300, 35.24, 0, 1, 35.2, -999
20141125, 35.24, 35.27, 34.85, 35.2, 3854000, 35.2, 0, 1, 35.22, -999
20141124, 35.6, 35.68, 35.07, 35.15, 3401800, 35.15, 0, 1, 35.375, -999
20141121, 35.63, 35.63, 35.21, 35.51, 4123400, 35.51, 0, 1, 35.57, -999
20141120, 35.47, 35.47, 35.11, 35.26, 3921300, 35.26, 0, 1, 35.365, -999
20141119, 35.52, 35.61, 35.26, 35.39, 4993000, 35.39, 0, 1, 35.455, -999
20141118, 35.72, 35.92, 35.5, 35.62, 3325800, 35.62, 0, 1, 35.67, -999
20141117, 35.43, 35.72, 35.29, 35.64, 4761500, 35.64, 0, 1, 35.535, -999
20141114, 35.58, 35.66, 35.37, 35.44, 4887600, 35.44, 0, 1, 35.51, -999
20141113, 35.92, 36.17, 35.63, 35.71, 3242200, 35.71, 0, 1, 35.815, -999
20141112, 36.14, 36.3, 35.75, 35.86, 5612000, 35.86, 0, 1, 36, -999
20141111, 36.73, 36.81, 36.46, 36.57, 3525600, 36.57, 0, 1, 36.65, -999
20141110, 36.4, 36.8, 36.36, 36.78, 4310900, 36.78, 0, 1, 36.59, -999
20141107, 36, 36.51, 35.91, 36.51, 4160500, 36.51, 0, 1, 36.255, -999
20141106, 36.33, 36.33, 35.62, 35.99, 7681400, 35.99, 0, 1, 36.16, -999
20141105, 35.4, 36.42, 35.23, 36.39, 11241700, 36.39, 0, 1, 35.895, -999
20141104, 35.09, 35.42, 34.78, 34.94, 3270800, 34.94, 0, 1, 35.015, -999
20141103, 35.02, 35.25, 34.89, 35.14, 4330300, 35.14, 0, 1, 35.08, -999
20141031, 34.97, 35.02, 34.68, 34.99, 6488800, 34.99, 0, 1, 34.98, -999
20141030, 34.57, 34.98, 34.47, 34.82, 7123700, 34.82, 0, 1, 34.695, -999
20141029, 34.84, 34.95, 34.17, 34.51, 3254700, 34.51, 0, 1, 34.675, -999
20141028, 34.7, 34.83, 34.4, 34.83, 3830800, 34.83, 0, 1, 34.765, -999
20141027, 34.62, 34.75, 34.4, 34.67, 3109800, 34.67, 0, 1, 34.645, -999
20141024, 34.32, 34.6, 34.22, 34.53, 2574700, 34.53, 0, 1, 34.425, -999
20141023, 34.61, 34.66, 34.26, 34.35, 3650500, 34.35, 0, 1, 34.48, -999
20141022, 34, 34.51, 33.97, 34.36, 4691000, 34.36, 0, 1, 34.18, -999
20141021, 34.01, 34.08, 33.74, 33.94, 2934100, 33.94, 0, 1, 33.975, -999
20141020, 33.4, 33.95, 33.36, 33.94, 3755200, 33.94, 0, 1, 33.67, -999
20141017, 33.25, 33.4, 32.85, 33.35, 4779500, 33.35, 0, 1, 33.3, -999
20141016, 32.12, 33.16, 32.09, 33.05, 6119900, 33.05, 0, 1, 32.585, -999
20141015, 33.51, 33.72, 32.12, 32.49, 11682500, 32.49, 0, 1, 33, -999
20141014, 33.81, 34.18, 33.37, 33.59, 9103900, 33.59, 0, 1, 33.7, -999
20141013, 33.86, 34.15, 33.64, 33.64, 4435300, 33.64, 0, 1, 33.75, -999
20141010, 33.78, 34.31, 33.68, 33.78, 4525700, 33.78, 0, 1, 33.78, -999
20141009, 34.23, 34.49, 33.7, 33.7, 4823900, 33.7, 0, 1, 33.965, -999
20141008, 33.65, 34.3, 33.6, 34.27, 3733000, 34.27, 0, 1, 33.96, -999
20141007, 33.42, 34.04, 33.36, 33.58, 3699600, 33.58, 0, 1, 33.5, -999
20141006, 33.5, 33.63, 33.26, 33.47, 1631400, 33.47, 0, 1, 33.485, -999
20141003, 33.26, 33.58, 32.93, 33.48, 2498700, 33.48, 0, 1, 33.37, -999
20141002, 33.09, 33.35, 33.02, 33.15, 3083500, 33.15, 0, 1, 33.12, -999
20141001, 32.95, 33.46, 32.91, 33.1, 4956100, 33.1, 0, 1, 33.025, -999
20140930, 33.02, 33.34, 32.74, 32.84, 4101000, 32.84, 0, 1, 32.93, -999
20140929, 32.6, 33.01, 32.53, 32.94, 3126800, 32.94, 0, 1, 32.77, -999
20140926, 32.88, 32.91, 32.41, 32.72, 2827800, 32.72, 0, 1, 32.8, -999
20140925, 32.79, 33.05, 32.75, 32.82, 3947300, 32.82, 0, 1, 32.805, -999
20140924, 33.15, 33.18, 32.61, 32.78, 4338400, 32.78, 0, 1, 32.965, -999
20140923, 33.3, 33.38, 33.11, 33.11, 2890600, 33.11, 0, 1, 33.205, -999
20140922, 33.54, 33.55, 33.15, 33.32, 2846600, 33.32, 0, 1, 33.43, -999
20140919, 33.3, 33.71, 33.23, 33.64, 6848300, 33.64, 0, 1, 33.47, -999
20140918, 33.46, 33.52, 33.1, 33.28, 4124100, 33.28, 0, 1, 33.37, -999
20140917, 33.58, 33.85, 33.34, 33.46, 4436400, 33.46, 0, 1, 33.52, -999
20140916, 32.56, 33.51, 32.53, 33.5, 5674600, 33.5, 0, 1, 33.03, -999
20140915, 32.64, 32.79, 32.54, 32.64, 3044900, 32.64, 0, 1, 32.64, -999
20140912, 33.03, 33.06, 32.52, 32.63, 3512900, 32.63, 0, 1, 32.83, -999
20140911, 32.91, 33.26, 32.79, 33.18, 4658100, 33.18, 0, 1, 33.045, -999
20140910, 33.25, 33.3, 32.81, 32.97, 5253800, 32.97, 0, 1, 33.11, -999
20140909, 33.52, 33.53, 33.2, 33.32, 4914100, 33.32, 0, 1, 33.42, -999
20140908, 34.22, 34.22, 33.5, 33.7, 4676200, 33.7, 0.373, 1, 33.96, -999
20140905, 34.48, 34.64, 34.41, 34.57, 3974600, 34.2, 0, 1, 34.34, -999
20140904, 34.38, 34.54, 34.2, 34.43, 3021500, 34.06, 0, 1, 34.22, -999
20140903, 34.48, 34.63, 34.38, 34.5, 2080200, 34.13, 0, 1, 34.305, -999
20140902, 34.53, 34.72, 34.09, 34.27, 3047700, 33.9, 0, 1, 34.215, -999
20140829, 34.41, 34.64, 34.36, 34.63, 3737000, 34.26, 0, 1, 34.335, -999
20140828, 34.2, 34.52, 34.14, 34.45, 1983000, 34.08, 0, 1, 34.14, -999
20140827, 33.96, 34.32, 33.96, 34.3, 3132400, 33.93, 0, 1, 33.945, -999
20140826, 34.43, 34.55, 33.88, 33.93, 2843800, 33.56, 0, 1, 33.995, -999
20140825, 34.22, 34.52, 34.14, 34.32, 2213800, 33.95, 0, 1, 34.085, -999
20140822, 34.31, 34.46, 33.98, 34.17, 2032600, 33.8, 0, 1, 34.055, -999
20140821, 34.14, 34.46, 34.12, 34.29, 2420800, 33.92, 0, 1, 34.03, -999
20140820, 34.12, 34.16, 33.85, 34.08, 2297600, 33.71, 0, 1, 33.915, -999
20140819, 33.73, 34.11, 33.63, 34.09, 2940500, 33.72, 0, 1, 33.725, -999
20140818, 33.85, 33.95, 33.51, 33.65, 2731700, 33.29, 0, 1, 33.57, -999
20140815, 33.69, 34.05, 33.64, 33.81, 4376300, 33.45, 0, 1, 33.57, -999
20140814, 33.31, 33.7, 33.31, 33.68, 2554000, 33.32, 0, 1, 33.315, -999
20140813, 33.13, 33.33, 32.97, 33.3, 3977400, 32.94, 0, 1, 33.035, -999
20140812, 33.01, 33.32, 32.91, 33.14, 3468400, 32.78, 0, 1, 32.895, -999
20140811, 33.14, 33.26, 32.93, 33, 3247600, 32.64, 0, 1, 32.89, -999
20140808, 32.54, 33.03, 32.54, 33, 9577300, 32.64, 0, 1, 32.59, -999
20140807, 32.08, 32.48, 32.08, 32.39, 4657200, 32.04, 0, 1, 32.06, -999
20140806, 32.4, 32.48, 31.79, 31.94, 8253500, 31.6, 0, 1, 32, -999
20140805, 32.88, 33.09, 32.43, 32.54, 3742200, 32.19, 0, 1, 32.535, -999
20140804, 33.2, 33.25, 32.37, 33.04, 6081800, 32.68, 0, 1, 32.94, -999
20140801, 32.79, 33.32, 32.72, 33.14, 4099600, 32.78, 0, 1, 32.785, -999
20140731, 33.06, 33.51, 32.65, 32.99, 4606000, 32.63, 0, 1, 32.845, -999
20140730, 33.75, 33.93, 33.09, 33.13, 3400700, 32.77, 0, 1, 33.26, -999
20140729, 34.13, 34.13, 33.69, 33.7, 2054000, 33.34, 0, 1, 33.735, -999
20140728, 33.43, 34.1, 33.39, 34.04, 2866400, 33.67, 0, 1, 33.55, -999
20140725, 33.76, 33.92, 33.37, 33.43, 1991000, 33.07, 0, 1, 33.415, -999
20140724, 33.68, 33.83, 33.51, 33.78, 2255000, 33.42, 0, 1, 33.55, -999
20140723, 33.67, 33.77, 33.56, 33.67, 2425700, 33.31, 0, 1, 33.49, -999
20140722, 33.83, 33.9, 33.6, 33.64, 2746300, 33.28, 0, 1, 33.555, -999
20140721, 33.63, 33.81, 33.45, 33.77, 4188500, 33.41, 0, 1, 33.52, -999
20140718, 33.47, 33.92, 33.29, 33.84, 3992200, 33.47, 0, 1, 33.47, -999
20140717, 33.58, 33.66, 33.32, 33.33, 2967600, 32.97, 0, 1, 33.275, -999
20140716, 33.58, 33.75, 33.4, 33.65, 2923900, 33.29, 0, 1, 33.435, -999
20140715, 33.37, 33.66, 33.34, 33.53, 3185500, 33.17, 0, 1, 33.27, -999
20140714, 33.9, 33.93, 33.36, 33.38, 3997000, 33.02, 0, 1, 33.46, -999
20140711, 34.19, 34.31, 33.71, 33.83, 3744600, 33.46, 0, 1, 33.825, -999
20140710, 34.01, 34.32, 34, 34.24, 2183900, 33.87, 0, 1, 33.94, -999
20140709, 34.22, 34.28, 33.81, 34, 4000300, 33.63, 0, 1, 33.925, -999
20140708, 33.97, 34.21, 33.92, 34.12, 3555900, 33.75, 0, 1, 33.86, -999
20140707, 33.99, 34.26, 33.89, 34.08, 2758700, 33.71, 0, 1, 33.85, -999
20140703, 34.27, 34.27, 33.85, 34.03, 2643800, 33.66, 0, 1, 33.965, -999
20140702, 35.08, 35.09, 34.16, 34.33, 4036000, 33.96, 0, 1, 34.52, -999
20140701, 35.52, 35.52, 35.15, 35.16, 3515200, 34.78, 0, 1, 35.15, -999
20140630, 35.26, 35.56, 35.01, 35.53, 4371200, 35.15, 0, 1, 35.205, -999
20140627, 34.76, 35.2, 34.6, 35.19, 5910800, 34.81, 0, 1, 34.785, -999
20140626, 34.58, 34.79, 34.46, 34.76, 3424600, 34.38, 0, 1, 34.48, -999
20140625, 34.45, 34.65, 34.25, 34.56, 3545300, 34.19, 0, 1, 34.32, -999
20140624, 34.4, 34.7, 34.39, 34.51, 3258500, 34.14, 0, 1, 34.27, -999
20140623, 34.57, 34.71, 34.24, 34.47, 3128500, 34.1, 0, 1, 34.335, -999
20140620, 34.84, 34.93, 34.58, 34.62, 3490300, 34.25, 0, 1, 34.545, -999
20140619, 34.26, 35.04, 34.26, 34.78, 3967000, 34.4, 0, 1, 34.33, -999
20140618, 34.03, 34.72, 34, 34.69, 4767800, 34.32, 0, 1, 34.175, -999
20140617, 34.15, 34.31, 33.99, 34.02, 3921000, 33.65, 0, 1, 33.9, -999
20140616, 33.95, 34.58, 33.92, 34.27, 4719000, 33.9, 0, 1, 33.925, -999
20140613, 33.62, 34.19, 33.44, 34.03, 5573400, 33.66, 0, 1, 33.64, -999
20140612, 33.79, 33.82, 33.17, 33.52, 7015900, 33.16, 0, 1, 33.475, -999
20140611, 34.64, 34.66, 33.68, 33.72, 9111300, 33.36, 0, 1, 34, -999
20140610, 34.97, 35.18, 34.67, 34.69, 7881300, 34.32, 0, 1, 34.645, -999
20140609, 34.57, 34.69, 34.1, 34.22, 3480200, 33.85, 0, 1, 34.21, -999
20140606, 34.57, 34.78, 34.53, 34.66, 4142000, 34.29, 0.373, 1, 34.43, -999
20140605, 34.86, 35.08, 34.75, 34.91, 3959700, 34.16, 0, 1, 34.51, -999
20140604, 34.86, 34.97, 34.69, 34.86, 2377800, 34.12, 0, 1, 34.49, -999
20140603, 34.68, 35.25, 34.64, 34.99, 4625200, 34.24, 0, 1, 34.46, -999
20140602, 34.99, 35.06, 34.72, 34.78, 2632800, 34.04, 0, 1, 34.515, -999
20140530, 34.76, 35.12, 34.71, 35.09, 4455500, 34.34, 0, 1, 34.55, -999
20140529, 34.78, 34.87, 34.41, 34.78, 4185300, 34.04, 0, 1, 34.41, -999
20140528, 34.3, 34.66, 34.11, 34.64, 5846600, 33.9, 0, 1, 34.1, -999
20140527, 34.01, 34.46, 33.95, 34.34, 8641000, 33.61, 0, 1, 33.81, -999
20140523, 33.53, 33.73, 33.35, 33.38, 3982700, 32.67, 0, 1, 33.1, -999
20140522, 33.42, 33.67, 33.36, 33.57, 4602800, 32.85, 0, 1, 33.135, -999
20140521, 33.34, 33.39, 33.14, 33.32, 3288900, 32.61, 0, 1, 32.975, -999
20140520, 33.57, 33.78, 33.21, 33.27, 3591600, 32.56, 0, 1, 33.065, -999
20140519, 34.12, 34.14, 33.37, 33.58, 5953600, 32.86, 0, 1, 33.49, -999
20140516, 33.81, 34.15, 33.6, 34.14, 7162200, 33.41, 0, 1, 33.61, -999
20140515, 33.6, 33.8, 33.55, 33.77, 4942600, 33.05, 0, 1, 33.325, -999
20140514, 33.43, 33.65, 33.26, 33.55, 3672800, 32.83, 0, 1, 33.13, -999
20140513, 33.17, 33.4, 33.1, 33.39, 4329000, 32.68, 0, 1, 32.925, -999
20140512, 33.75, 33.75, 33, 33.11, 4021400, 32.4, 0, 1, 33.075, -999
20140509, 34.15, 34.21, 33.56, 33.63, 4107400, 32.91, 0, 1, 33.53, -999
20140508, 34.56, 34.56, 34, 34.07, 3402800, 33.34, 0, 1, 33.95, -999
20140507, 34.25, 34.63, 34.11, 34.5, 6866000, 33.76, 0, 1, 34.005, -999
20140506, 34.19, 34.44, 34, 34.2, 5650100, 33.47, 0, 1, 33.83, -999
20140505, 33.81, 34.38, 33.76, 34.36, 4761000, 33.63, 0, 1, 33.72, -999
20140502, 33.95, 34.43, 33.7, 33.8, 6546100, 33.08, 0, 1, 33.515, -999
20140501, 33.55, 34.38, 33.3, 34.21, 7339900, 33.48, 0, 1, 33.515, -999
20140430, 33.44, 33.94, 33.22, 33.34, 10413400, 32.63, 0, 1, 33.035, -999
20140429, 33.62, 33.8, 33.32, 33.45, 4397200, 32.74, 0, 1, 33.18, -999
20140428, 33.55, 33.86, 33.43, 33.63, 5100200, 32.91, 0, 1, 33.23, -999
20140425, 33.43, 33.7, 33.38, 33.55, 4409600, 32.83, 0, 1, 33.13, -999
20140424, 33.29, 33.57, 33.13, 33.39, 4423300, 32.68, 0, 1, 32.985, -999
20140423, 33, 33.56, 32.94, 33.11, 8970800, 32.4, 0, 1, 32.7, -999
