Ticker: PSX  Created on: 12/6/2014 5:25:44 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 74.82, 75.19, 72.92, 73.02, 4129700, 73.02, 0, 1, 73.92, -999
20141204, 74.33, 75.24, 73.62, 74.97, 3904000, 74.97, 0, 1, 74.65, -999
20141203, 73.81, 75.26, 73.79, 74.83, 3270600, 74.83, 0, 1, 74.32, -999
20141202, 71.75, 74.29, 71.75, 73.76, 5166700, 73.76, 0, 1, 72.755, -999
20141201, 73, 73.73, 71.07, 71.86, 7524300, 71.86, 0, 1, 72.43, -999
20141128, 78.41, 78.6, 72.76, 73.02, 5301900, 73.02, 0, 1, 75.715, -999
20141126, 79.57, 79.65, 78.7, 79.28, 4383900, 79.28, 0, 1, 79.425, -999
20141125, 79.76, 80.17, 79.02, 79.54, 3458700, 79.54, 0, 1, 79.65, -999
20141124, 79.13, 79.9, 79.06, 79.42, 2976700, 79.42, 0, 1, 79.275, -999
20141121, 79.01, 80.32, 78.22, 79.42, 5330800, 79.42, 0, 1, 79.215, -999
20141120, 75.52, 77.99, 75.5, 77.83, 4789900, 77.83, 0, 1, 76.675, -999
20141119, 74.14, 76.08, 73.79, 75.77, 4720900, 75.77, 0, 1, 74.955, -999
20141118, 73.15, 74.54, 72.82, 73.96, 4730000, 73.96, 0, 1, 73.555, -999
20141117, 71.79, 73.12, 71.79, 72.78, 4327600, 72.78, 0, 1, 72.285, -999
20141114, 70.94, 71.84, 70.8, 71.78, 7638900, 71.78, 0, 1, 71.36, -999
20141113, 72.63, 72.72, 70.22, 70.83, 5418400, 70.83, 0, 1, 71.73, -999
20141112, 72.97, 74.21, 72.85, 73.04, 3703800, 73.04, 0, 1, 73.005, -999
20141111, 74.89, 75.15, 73.23, 73.64, 3976000, 73.14, 0, 1, 74.015, -999
20141110, 75, 75.6, 74.38, 74.5, 3332200, 73.99, 0, 1, 74.495, -999
20141107, 75.3, 75.59, 74.28, 74.7, 5464000, 74.19, 0, 1, 74.745, -999
20141106, 75.18, 75.64, 74.32, 75.42, 4054400, 74.91, 0, 1, 75.045, -999
20141105, 74.9, 76.37, 73.68, 74.74, 5429500, 74.23, 0, 1, 74.565, -999
20141104, 76.02, 76.44, 73.48, 74.49, 6013000, 73.98, 0, 1, 75, -999
20141103, 78.46, 78.85, 76.38, 76.68, 5523700, 76.16, 0, 1, 77.31, -999
20141031, 77.7, 78.76, 76.65, 78.5, 3848500, 77.97, 0, 1, 77.835, -999
20141030, 76.35, 77.57, 75.63, 77.4, 3747000, 76.87, 0, 1, 76.61, -999
20141029, 78.56, 78.97, 75.61, 76.39, 4319500, 75.87, 0, 1, 77.215, -999
20141028, 75.85, 77.72, 75.17, 77.53, 7580200, 77, 0, 1, 76.425, -999
20141027, 75.65, 76.11, 74.53, 75.48, 4295500, 74.97, 0, 1, 75.31, -999
20141024, 76.15, 76.57, 74.85, 76.49, 2924800, 75.97, 0, 1, 76.06, -999
20141023, 76.42, 77.07, 75.96, 76.12, 3218500, 75.6, 0, 1, 76.01, -999
20141022, 76.75, 77.55, 75.35, 75.39, 5158000, 74.88, 0, 1, 75.815, -999
20141021, 74.35, 77.08, 72.93, 76.81, 6745200, 76.29, 0, 1, 75.32, -999
20141020, 71.76, 72.9, 71.66, 72.35, 3495500, 71.86, 0, 1, 71.81, -999
20141017, 70.69, 73.15, 70.19, 72.21, 8218500, 71.72, 0, 1, 71.205, -999
20141016, 67.46, 70.52, 66.12, 69.71, 8930400, 69.24, 0, 1, 68.35, -999
20141015, 69.82, 70.86, 66.24, 67.89, 11400000, 67.43, 0, 1, 68.625, -999
20141014, 73.52, 74.16, 70.11, 70.59, 9368900, 70.11, 0, 1, 71.815, -999
20141013, 75.98, 77.14, 72.85, 73.05, 5176000, 72.55, 0, 1, 74.265, -999
20141010, 76.75, 77.73, 74.81, 76.32, 4702000, 75.8, 0, 1, 76.275, -999
20141009, 78.97, 79.37, 76.56, 76.61, 3570400, 76.09, 0, 1, 77.53, -999
20141008, 77.83, 79.21, 76.52, 79.16, 4384500, 78.62, 0, 1, 78.225, -999
20141007, 77.59, 78.8, 77.15, 77.35, 3654200, 76.82, 0, 1, 77.205, -999
20141006, 77.7, 78.12, 76.7, 77.35, 2580100, 76.82, 0, 1, 77.26, -999
20141003, 78.23, 78.28, 77.04, 77.64, 4846200, 77.11, 0, 1, 77.67, -999
20141002, 79.18, 79.39, 75.94, 77.76, 8948800, 77.23, 0, 1, 78.205, -999
20141001, 81.31, 82, 79.56, 79.63, 4192300, 79.09, 0, 1, 80.2, -999
20140930, 81.5, 81.88, 80.68, 81.31, 5197200, 80.76, 0, 1, 81.13, -999
20140929, 81.37, 82.3, 81.08, 81.77, 2073500, 81.21, 0, 1, 81.29, -999
20140926, 81.6, 82.52, 81.6, 82.23, 3274500, 81.67, 0, 1, 81.635, -999
20140925, 82.83, 82.83, 81.74, 81.74, 2420500, 81.18, 0, 1, 82.005, -999
20140924, 82.95, 83.34, 81.61, 82.69, 2514100, 82.13, 0, 1, 82.54, -999
20140923, 83.85, 84.85, 83.14, 83.26, 2168700, 82.69, 0, 1, 83.27, -999
20140922, 85.5, 85.53, 83.69, 83.84, 2576400, 83.27, 0, 1, 84.385, -999
20140919, 86.04, 86.38, 85.58, 85.75, 3614200, 85.17, 0, 1, 85.605, -999
20140918, 85.71, 86.39, 85.37, 85.89, 3497400, 85.31, 0, 1, 85.51, -999
20140917, 85.94, 86.38, 85.29, 85.69, 4135200, 85.11, 0, 1, 85.525, -999
20140916, 83.78, 86.68, 83.5, 85.78, 5220300, 85.2, 0, 1, 84.49, -999
20140915, 83.04, 84.02, 82.69, 83.9, 2412600, 83.33, 0, 1, 83.185, -999
20140912, 83.88, 84.24, 82.55, 83.02, 3337600, 82.46, 0, 1, 83.17, -999
20140911, 84.58, 85.11, 83.57, 84.01, 3313500, 83.44, 0, 1, 84.01, -999
20140910, 86.13, 86.41, 83.9, 85.14, 4590100, 84.56, 0, 1, 85.345, -999
20140909, 87, 87.54, 85.95, 86.47, 2486700, 85.88, 0, 1, 86.44, -999
20140908, 87.45, 87.6, 87.02, 87.06, 2060200, 86.47, 0, 1, 86.96, -999
20140905, 86.94, 87.66, 86.06, 87.51, 2236800, 86.92, 0, 1, 86.93, -999
20140904, 87.22, 87.87, 86.54, 86.88, 3332000, 86.29, 0, 1, 86.755, -999
20140903, 87.2, 87.98, 86.8, 87.24, 2881000, 86.65, 0, 1, 86.925, -999
20140902, 86.91, 87.2, 86.02, 86.95, 2376000, 86.36, 0, 1, 86.635, -999
20140829, 86.58, 87.15, 86.45, 87.02, 2150300, 86.43, 0, 1, 86.505, -999
20140828, 86.03, 86.92, 85.82, 86.61, 1188200, 86.02, 0, 1, 86.025, -999
20140827, 86.7, 87, 86.03, 86.44, 1824500, 85.85, 0, 1, 86.275, -999
20140826, 86.87, 87.1, 86.26, 86.67, 1869300, 86.08, 0, 1, 86.475, -999
20140825, 86.38, 87.1, 86.12, 86.9, 1903500, 86.31, 0, 1, 86.345, -999
20140822, 86.05, 86.28, 85.47, 86.09, 1633900, 85.51, 0, 1, 85.78, -999
20140821, 86.7, 86.72, 86.01, 86.24, 1767600, 85.65, 0, 1, 86.175, -999
20140820, 85.99, 86.79, 85.65, 86.6, 2128300, 86.01, 0, 1, 86, -999
20140819, 85.61, 86.4, 85.34, 86.09, 2676900, 85.51, 0, 1, 85.56, -999
20140818, 84.27, 86.08, 84.27, 85.61, 3347700, 85.03, 0, 1, 84.65, -999
20140815, 83.85, 84.37, 83.5, 83.79, 4763500, 83.22, 0, 1, 83.535, -999
20140814, 82.95, 83.91, 82.55, 83.69, 2849900, 83.12, 0, 1, 83.035, -999
20140813, 82.56, 82.88, 81.97, 82.78, 2411200, 82.22, 0.5, 1, 82.39, -999
20140812, 82.58, 82.93, 82.14, 82.56, 2113300, 81.5, 0, 1, 82.04, -999
20140811, 83.51, 83.85, 82.3, 82.39, 2293700, 81.34, 0, 1, 82.425, -999
20140808, 82, 83.17, 81.31, 83.05, 2290400, 81.99, 0, 1, 81.995, -999
20140807, 82.5, 83.03, 81.17, 81.52, 2532100, 80.48, 0, 1, 81.49, -999
20140806, 80.75, 82.9, 80.75, 82.28, 2730200, 81.23, 0, 1, 80.99, -999
20140805, 81.44, 81.65, 80.58, 81.01, 2735500, 79.97, 0, 1, 80.705, -999
20140804, 80.81, 82.04, 80.24, 81.88, 2934400, 80.83, 0, 1, 80.82, -999
20140801, 80.62, 81.01, 79.25, 80.54, 4488000, 79.51, 0, 1, 80.065, -999
20140731, 81.14, 82.51, 80.56, 81.11, 3120000, 80.07, 0, 1, 80.605, -999
20140730, 82.19, 83.41, 81.31, 81.72, 2664700, 80.67, 0, 1, 81.43, -999
20140729, 82.92, 83.25, 82.47, 82.47, 3163300, 81.41, 0, 1, 82.165, -999
20140728, 83, 83, 81.66, 82.61, 2359500, 81.55, 0, 1, 82.275, -999
20140725, 82.14, 82.87, 81.83, 82.65, 2064000, 81.59, 0, 1, 81.865, -999
20140724, 81.73, 82.83, 81.3, 82.1, 3517400, 81.05, 0, 1, 81.39, -999
20140723, 80.55, 81.73, 80.45, 81.27, 2118400, 80.23, 0, 1, 80.39, -999
20140722, 80.74, 81.15, 80.24, 80.5, 2733900, 79.47, 0, 1, 80.105, -999
20140721, 80.4, 80.8, 80, 80.16, 2102800, 79.13, 0, 1, 79.765, -999
20140718, 79.91, 81.04, 79.45, 80.86, 3127200, 79.82, 0, 1, 79.865, -999
20140717, 80.4, 80.98, 79.4, 79.54, 2370200, 78.52, 0, 1, 79.46, -999
20140716, 81.21, 81.87, 80.41, 80.84, 2888000, 79.8, 0, 1, 80.505, -999
20140715, 79.74, 81.5, 79.42, 81.12, 8653600, 80.08, 0, 1, 79.91, -999
20140714, 80.88, 80.9, 79.63, 79.95, 8384700, 78.93, 0, 1, 79.905, -999
20140711, 79.55, 80.55, 79.51, 80.29, 2235200, 79.26, 0, 1, 79.405, -999
20140710, 78.72, 80.09, 78.69, 79.73, 2722600, 78.71, 0, 1, 78.715, -999
20140709, 79.66, 80.19, 78.53, 79.81, 3278400, 78.79, 0, 1, 79.225, -999
20140708, 80.31, 80.53, 79.03, 79.28, 3010600, 78.26, 0, 1, 79.285, -999
20140707, 81.33, 81.44, 79.94, 80.5, 2226500, 79.47, 0, 1, 80.4, -999
20140703, 81.2, 81.95, 81, 81.5, 1712300, 80.46, 0, 1, 80.83, -999
20140702, 80.64, 81.51, 80.6, 81, 2437000, 79.96, 0, 1, 80.3, -999
20140701, 80.6, 80.83, 79.94, 80.6, 3127100, 79.57, 0, 1, 80.085, -999
20140630, 81.06, 81.19, 80.05, 80.43, 3405900, 79.4, 0, 1, 80.23, -999
20140627, 81.68, 82.07, 81.02, 81.49, 5490200, 80.45, 0, 1, 81.065, -999
20140626, 81.92, 82.46, 81.09, 82.1, 5304200, 81.05, 0, 1, 81.485, -999
20140625, 80.95, 82.66, 79.16, 81.36, 10144700, 80.32, 0, 1, 80.635, -999
20140624, 86.02, 87.05, 84.67, 84.94, 2801900, 83.85, 0, 1, 84.935, -999
20140623, 86.25, 86.82, 85.92, 86.33, 2316700, 85.22, 0, 1, 85.735, -999
20140620, 85.59, 86.28, 85.25, 85.94, 7281900, 84.84, 0, 1, 85.215, -999
20140619, 84.71, 85.54, 84.62, 85.26, 2950200, 84.17, 0, 1, 84.44, -999
20140618, 83.88, 84.55, 82.93, 84.5, 2617000, 83.42, 0, 1, 83.65, -999
20140617, 83.01, 84.1, 82.5, 84.07, 2965900, 82.99, 0, 1, 83, -999
20140616, 83.52, 83.65, 82.94, 83.44, 2279700, 82.37, 0, 1, 82.945, -999
20140613, 82.8, 83.57, 82.4, 83.49, 4330000, 82.42, 0, 1, 82.61, -999
20140612, 83.37, 83.71, 82.43, 82.8, 2879000, 81.74, 0, 1, 82.555, -999
20140611, 82.36, 83.16, 82.19, 82.89, 2355300, 81.83, 0, 1, 82.095, -999
