Ticker: QCOM  Created on: 12/6/2014 5:25:52 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 73.01, 73.91, 73.01, 73.37, 6570100, 73.37, 0, 1, 73.19, -999
20141204, 74.24, 74.34, 72.93, 73.34, 9374000, 73.34, 0, 1, 73.79, -999
20141203, 73.63, 74.84, 73.44, 74.37, 13143700, 74.37, 0, 1, 74, -999
20141202, 71.81, 73.49, 71.35, 73.32, 17106300, 73.32, 0, 1, 72.565, -999
20141201, 72.46, 72.66, 71.29, 71.79, 9474300, 71.79, 0, 1, 72.125, -999
20141128, 72.51, 73, 72.07, 72.9, 5817900, 72.9, 0, 1, 72.705, -999
20141126, 71.66, 72.35, 71.62, 72.26, 6997000, 72.26, 0, 1, 71.96, -999
20141125, 71.73, 72.28, 71.61, 72.27, 12487200, 71.85, 0, 1, 71.79, -999
20141124, 71.7, 71.94, 71.18, 71.69, 9413800, 71.27, 0, 1, 71.485, -999
20141121, 71.1, 71.82, 70.69, 71.47, 15146200, 71.05, 0, 1, 71.075, -999
20141120, 70.11, 70.84, 69.6, 70.71, 12030100, 70.3, 0, 1, 70.205, -999
20141119, 71.59, 71.84, 70.36, 70.47, 11113700, 70.06, 0, 1, 70.825, -999
20141118, 70.24, 72.06, 70.24, 72.01, 10986100, 71.59, 0, 1, 70.915, -999
20141117, 70.62, 70.84, 70.19, 70.4, 7350500, 69.99, 0, 1, 70.305, -999
20141114, 71.01, 71.21, 70.55, 70.85, 7454200, 70.44, 0, 1, 70.725, -999
20141113, 70.21, 70.83, 70.19, 70.65, 9832900, 70.24, 0, 1, 70.225, -999
20141112, 69.62, 70.45, 69.29, 70.29, 9460500, 69.88, 0, 1, 69.75, -999
20141111, 69.71, 69.85, 69.03, 69.64, 10042000, 69.24, 0, 1, 69.475, -999
20141110, 68.91, 70.03, 68.49, 69.36, 14453300, 68.96, 0, 1, 68.935, -999
20141107, 70.7, 70.7, 69.13, 69.26, 24945900, 68.86, 0, 1, 69.78, -999
20141106, 71.03, 71.07, 67.67, 70.58, 70919700, 70.17, 0, 1, 70.6, -999
20141105, 77.46, 77.47, 76.42, 77.2, 13811400, 76.75, 0, 1, 77.105, -999
20141104, 77.49, 77.72, 76.4, 77.11, 15347400, 76.66, 0, 1, 77.075, -999
20141103, 78.31, 78.53, 77.96, 78.24, 8732700, 77.79, 0, 1, 78.05, -999
20141031, 78.53, 78.53, 77.69, 78.51, 10144500, 78.05, 0, 1, 78.29, -999
20141030, 76.65, 77.59, 76.53, 77.37, 5313700, 76.92, 0, 1, 76.785, -999
20141029, 76.5, 77.38, 76.31, 76.89, 5389600, 76.44, 0, 1, 76.47, -999
20141028, 76.19, 76.62, 75.99, 76.57, 6314800, 76.13, 0, 1, 76.16, -999
20141027, 75.86, 76.03, 75.27, 75.84, 4761500, 75.4, 0, 1, 75.63, -999
20141024, 75.42, 76.01, 74.91, 76, 6238500, 75.56, 0, 1, 75.49, -999
20141023, 75, 75.4, 74.74, 75.14, 9750000, 74.7, 0, 1, 74.85, -999
20141022, 75.01, 75.1, 74.25, 74.3, 7127900, 73.87, 0, 1, 74.44, -999
20141021, 73.93, 75.11, 73.83, 75, 8733300, 74.56, 0, 1, 74.245, -999
20141020, 72.05, 73.3, 72, 73.27, 6492300, 72.84, 0, 1, 72.445, -999
20141017, 72.05, 72.88, 71.54, 72.43, 8467100, 72.01, 0, 1, 72.03, -999
20141016, 69.84, 71.89, 69.36, 71.14, 11997100, 70.73, 0, 1, 70.285, -999
20141015, 71.1, 72.63, 70.27, 71.2, 14883500, 70.79, 0, 1, 70.945, -999
