Ticker: RDC  Created on: 12/6/2014 5:25:58 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 21.31, 21.56, 20.79, 21.13, 2611000, 21.13, 0, 1, 21.22, -999
20141204, 21.68, 21.85, 21.36, 21.43, 1476300, 21.43, 0, 1, 21.555, -999
20141203, 21.67, 22.2, 21.48, 21.91, 1649200, 21.91, 0, 1, 21.79, -999
20141202, 21.55, 22.25, 21.29, 21.43, 2277300, 21.43, 0, 1, 21.49, -999
20141201, 21.5, 21.84, 21.22, 21.57, 3602000, 21.57, 0, 1, 21.535, -999
20141128, 22.05, 22.21, 21.54, 21.77, 2300700, 21.77, 0, 1, 21.91, -999
20141126, 23.71, 23.87, 22.98, 23.32, 3295500, 23.32, 0, 1, 23.515, -999
20141125, 24.58, 24.8, 24, 24.19, 1033200, 24.19, 0, 1, 24.385, -999
20141124, 24.66, 24.94, 24.21, 24.45, 1262900, 24.45, 0, 1, 24.555, -999
20141121, 25.11, 25.12, 24.41, 24.7, 1171400, 24.7, 0, 1, 24.905, -999
20141120, 24.22, 24.66, 24.14, 24.4, 1184700, 24.4, 0, 1, 24.31, -999
20141119, 23.94, 24.35, 23.74, 24.2, 1907500, 24.2, 0, 1, 24.07, -999
20141118, 23.85, 24.21, 23.7, 23.96, 2092500, 23.96, 0, 1, 23.905, -999
20141117, 23.48, 24.07, 23.19, 23.86, 1673200, 23.86, 0, 1, 23.67, -999
20141114, 23.86, 24.15, 23.62, 23.75, 1795200, 23.75, 0, 1, 23.805, -999
20141113, 23.99, 24.07, 22.92, 23.76, 2656000, 23.76, 0, 1, 23.875, -999
20141112, 24.27, 24.77, 24.01, 24.05, 1724700, 24.05, 0, 1, 24.16, -999
20141111, 24.11, 24.61, 23.96, 24.44, 1913800, 24.44, 0, 1, 24.275, -999
20141110, 25.1, 25.35, 23.91, 24.12, 2517400, 24.12, 0, 1, 24.61, -999
20141107, 23.69, 24.84, 23.67, 24.8, 2855300, 24.8, 0, 1, 24.245, -999
20141106, 23.02, 23.83, 22.78, 23.8, 2811000, 23.8, 0, 1, 23.41, -999
20141105, 23.13, 24.24, 22.78, 23.64, 2964100, 23.54, 0, 1, 23.335, -999
20141104, 23.48, 23.48, 22.51, 22.85, 2861900, 22.75, 0, 1, 23.115, -999
20141103, 24.29, 24.55, 23.54, 23.69, 1887600, 23.59, 0, 1, 23.94, -999
20141031, 23.8, 24.31, 23.3, 24.27, 1801500, 24.17, 0, 1, 23.985, -999
20141030, 23.78, 24.02, 23.47, 23.72, 1462800, 23.62, 0, 1, 23.7, -999
20141029, 24.23, 24.43, 23.58, 23.96, 1996200, 23.86, 0, 1, 24.045, -999
20141028, 23.7, 24.12, 23.31, 23.9, 2494400, 23.8, 0, 1, 23.75, -999
20141027, 23.24, 23.75, 22.9, 23.46, 2872000, 23.36, 0, 1, 23.3, -999
20141024, 23.79, 23.96, 23.48, 23.7, 1680600, 23.6, 0, 1, 23.695, -999
20141023, 23.44, 24.23, 23.23, 23.84, 1751800, 23.74, 0, 1, 23.59, -999
20141022, 23.86, 24.29, 23.2, 23.21, 1825200, 23.11, 0, 1, 23.485, -999
20141021, 23.51, 23.95, 23.25, 23.88, 2232700, 23.78, 0, 1, 23.645, -999
20141020, 22.4, 23.22, 22.14, 23.18, 2188700, 23.08, 0, 1, 22.74, -999
20141017, 22.98, 23.4, 22.14, 22.46, 4560300, 22.36, 0, 1, 22.67, -999
20141016, 21.31, 22.93, 21.29, 22.65, 4683900, 22.55, 0, 1, 21.93, -999
20141015, 21.53, 22.17, 21.19, 22.12, 3576300, 22.03, 0, 1, 21.78, -999
20141014, 22.27, 22.6, 21.51, 21.7, 3022500, 21.61, 0, 1, 21.94, -999
20141013, 22.84, 23.4, 22.17, 22.24, 2968700, 22.15, 0, 1, 22.495, -999
20141010, 23.16, 23.52, 22.3, 22.84, 3147300, 22.74, 0, 1, 22.95, -999
20141009, 24.46, 24.46, 23.17, 23.19, 3352300, 23.09, 0, 1, 23.775, -999
20141008, 24.44, 24.67, 23.74, 24.64, 1941600, 24.54, 0, 1, 24.49, -999
20141007, 24.67, 25.36, 24.51, 24.52, 2904200, 24.42, 0, 1, 24.545, -999
20141006, 24.66, 25.07, 24.46, 24.84, 1624600, 24.73, 0, 1, 24.695, -999
20141003, 24.96, 25, 24.35, 24.6, 2194200, 24.5, 0, 1, 24.73, -999
20141002, 24.47, 25.11, 24.19, 24.86, 2965500, 24.75, 0, 1, 24.61, -999
20141001, 25.25, 25.63, 24.65, 24.68, 3282500, 24.58, 0, 1, 24.915, -999
20140930, 25.45, 25.64, 25.23, 25.31, 3029200, 25.2, 0, 1, 25.325, -999
20140929, 25.81, 25.82, 25.01, 25.49, 3927800, 25.38, 0, 1, 25.595, -999
20140926, 25.34, 26.2, 25.27, 26.11, 4586700, 26, 0, 1, 25.67, -999
20140925, 25.49, 25.57, 25.16, 25.22, 2001200, 25.11, 0, 1, 25.3, -999
20140924, 25.36, 25.57, 24.96, 25.54, 3965500, 25.43, 0, 1, 25.395, -999
20140923, 25.57, 25.78, 25.32, 25.37, 3208800, 25.26, 0, 1, 25.415, -999
20140922, 26.26, 26.26, 25.61, 25.61, 2593600, 25.5, 0, 1, 25.88, -999
20140919, 26.99, 27.09, 26.37, 26.4, 3500100, 26.29, 0, 1, 26.64, -999
20140918, 27.18, 27.26, 26.74, 26.9, 1837300, 26.79, 0, 1, 26.985, -999
20140917, 27.94, 27.96, 27.15, 27.17, 2146100, 27.06, 0, 1, 27.5, -999
