Ticker: REGN  Created on: 12/6/2014 5:25:54 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 424.77, 424.99, 420.86, 423.23, 453300, 423.23, 0, 1, 424, -999
20141204, 423.43, 427.78, 420.74, 423.21, 657300, 423.21, 0, 1, 423.32, -999
20141203, 422.22, 425.28, 415.52, 424.41, 488700, 424.41, 0, 1, 423.315, -999
20141202, 411, 422.82, 409.9, 421.24, 686700, 421.24, 0, 1, 416.12, -999
20141201, 413.98, 414.8, 407.99, 408.72, 635900, 408.72, 0, 1, 411.35, -999
20141128, 416, 418, 414.54, 416.11, 336900, 416.11, 0, 1, 416.055, -999
20141126, 413.93, 415.95, 412.08, 415.84, 443700, 415.84, 0, 1, 414.885, -999
20141125, 416.37, 416.49, 408.48, 413, 818400, 413, 0, 1, 414.685, -999
20141124, 405.66, 411.97, 405.28, 409.75, 652500, 409.75, 0, 1, 407.705, -999
20141121, 415.27, 416, 403.29, 405.25, 890500, 405.25, 0, 1, 410.26, -999
20141120, 413.21, 417.86, 405.96, 406, 645800, 406, 0, 1, 409.605, -999
20141119, 411.36, 419.27, 408.36, 415.25, 631100, 415.25, 0, 1, 413.305, -999
20141118, 399.99, 414.67, 399.18, 413.22, 977700, 413.22, 0, 1, 406.605, -999
20141117, 396.03, 408.29, 395.2, 399.65, 887700, 399.65, 0, 1, 397.84, -999
20141114, 402.42, 402.87, 392.31, 395.2, 789700, 395.2, 0, 1, 398.81, -999
20141113, 400, 402.8, 395.1, 402.63, 703700, 402.63, 0, 1, 401.315, -999
20141112, 396.2, 402.05, 395.81, 401.11, 623400, 401.11, 0, 1, 398.655, -999
20141111, 390.09, 400, 387.19, 398.36, 1156800, 398.36, 0, 1, 394.225, -999
20141110, 379.5, 386.86, 376.54, 385.97, 541100, 385.97, 0, 1, 382.735, -999
20141107, 378.24, 381, 374.68, 377.84, 622200, 377.84, 0, 1, 378.04, -999
20141106, 371.01, 377.45, 367.78, 376.94, 699200, 376.94, 0, 1, 373.975, -999
20141105, 375.16, 377.99, 365.25, 368.51, 888400, 368.51, 0, 1, 371.835, -999
20141104, 372.12, 384.43, 368.45, 372.39, 1848700, 372.39, 0, 1, 372.255, -999
20141103, 395.27, 397.98, 389.12, 395.26, 854600, 395.26, 0, 1, 395.265, -999
20141031, 400.15, 400.87, 391.2, 393.72, 663100, 393.72, 0, 1, 396.935, -999
20141030, 386.29, 394.65, 386.27, 392.8, 709100, 392.8, 0, 1, 389.545, -999
