Ticker: RIG  Created on: 12/6/2014 5:26:18 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 18.49, 19.38, 18.46, 18.72, 16289700, 18.72, 0, 1, 18.605, -999
20141204, 19.24, 19.36, 18.51, 18.68, 18240300, 18.68, 0, 1, 18.96, -999
20141203, 19.57, 20.36, 19.35, 19.57, 15987000, 19.57, 0, 1, 19.57, -999
20141202, 19.99, 20.24, 19.16, 19.38, 19393000, 19.38, 0, 1, 19.685, -999
20141201, 21.03, 21.1, 19.65, 19.99, 31860800, 19.99, 0, 1, 20.51, -999
20141128, 21.53, 21.66, 20.88, 21.01, 14077200, 21.01, 0, 1, 21.27, -999
20141126, 24.69, 24.72, 23.09, 23.27, 24972600, 23.27, 0, 1, 23.98, -999
20141125, 25.74, 25.8, 25.22, 25.31, 8523800, 25.31, 0, 1, 25.525, -999
20141124, 25.88, 26.04, 25.35, 25.6, 8624200, 25.6, 0, 1, 25.74, -999
20141121, 25.95, 26.63, 25.52, 25.93, 10474500, 25.93, 0, 1, 25.94, -999
20141120, 25.36, 25.83, 25.34, 25.52, 7195100, 25.52, 0, 1, 25.44, -999
20141119, 25.69, 25.78, 25.1, 25.36, 10735900, 25.36, 0, 1, 25.525, -999
20141118, 26.48, 26.66, 25.66, 25.85, 9355300, 25.85, 0, 1, 26.165, -999
20141117, 26.17, 26.41, 25.49, 26.2, 11423100, 26.2, 0, 1, 26.185, -999
20141114, 26.41, 26.98, 25.59, 26.05, 11917200, 26.05, 0, 1, 26.23, -999
20141113, 27.06, 27.37, 25.75, 26.29, 17029400, 26.29, 0, 1, 26.675, -999
20141112, 27.91, 28.01, 27.01, 27.08, 13563700, 27.08, 0, 1.03, 27.495, -999
20141111, 29.2, 29.39, 28.52, 28.72, 8495800, 27.97, 0, 1, 28.585, -999
20141110, 30.38, 30.59, 29.08, 29.28, 11724700, 28.52, 0, 1, 29.45, -999
20141107, 29, 30.24, 28.68, 29.71, 19048600, 28.93, 0, 1, 28.965, -999
20141106, 28.85, 29.97, 28.38, 29.92, 10413900, 29.14, 0, 1, 28.995, -999
20141105, 27.92, 29.23, 27.62, 28.89, 11604900, 28.14, 0, 1, 28.03, -999
20141104, 28.47, 28.5, 27.08, 27.35, 15114100, 26.64, 0, 1, 27.555, -999
