Ticker: RL  Created on: 12/6/2014 5:25:53 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 182.79, 183.59, 181.57, 183.3, 553600, 183.3, 0, 1, 183.045, -999
20141204, 182.42, 184.66, 182.24, 183.16, 907900, 183.16, 0, 1, 182.79, -999
20141203, 180.55, 183.4, 180.05, 183.28, 633600, 183.28, 0, 1, 181.915, -999
20141202, 181.77, 182.78, 180.22, 180.58, 630800, 180.58, 0, 1, 181.175, -999
20141201, 183.83, 184.26, 180.65, 181.28, 990900, 181.28, 0, 1, 182.555, -999
20141128, 182.59, 185.14, 182.52, 184.9, 511000, 184.9, 0, 1, 183.745, -999
20141126, 182.62, 183.28, 181.57, 182.07, 501600, 182.07, 0, 1, 182.345, -999
20141125, 181.32, 183.48, 181.15, 182.64, 857600, 182.64, 0, 1, 181.98, -999
20141124, 180.52, 181.8, 178.81, 181.32, 605100, 181.32, 0, 1, 180.92, -999
20141121, 181.41, 182.5, 179.43, 180.05, 945000, 180.05, 0, 1, 180.73, -999
20141120, 178.74, 182.02, 178.11, 179.78, 1038600, 179.78, 0, 1, 179.26, -999
20141119, 176, 179.78, 175.61, 179.66, 948800, 179.66, 0, 1, 177.83, -999
20141118, 175.58, 176.72, 174.64, 176.56, 723600, 176.56, 0, 1, 176.07, -999
20141117, 173.79, 176.41, 173.12, 176.05, 805100, 176.05, 0, 1, 174.92, -999
20141114, 173.42, 174.73, 172.47, 174.24, 727400, 174.24, 0, 1, 173.83, -999
20141113, 172.83, 174.15, 171.51, 173.17, 746800, 173.17, 0, 1, 173, -999
20141112, 170.94, 173.42, 169.9, 172.93, 839400, 172.93, 0, 1, 171.935, -999
20141111, 171.08, 172.46, 170.4, 171.07, 657700, 171.07, 0, 1, 171.075, -999
20141110, 174.37, 175.45, 171.58, 171.92, 761200, 171.92, 0, 1, 173.145, -999
20141107, 170.92, 174.9, 170.78, 174, 1387400, 174, 0, 1, 172.46, -999
20141106, 165.47, 171.6, 165.31, 171.39, 872800, 171.39, 0, 1, 168.43, -999
20141105, 164.61, 165.69, 164, 164.78, 536200, 164.78, 0, 1, 164.695, -999
20141104, 165.48, 165.5, 162.31, 164.15, 718200, 164.15, 0, 1, 164.815, -999
20141103, 164.75, 166.56, 164.32, 165.68, 684900, 165.68, 0, 1, 165.215, -999
20141031, 167.1, 167.95, 164.28, 164.84, 908500, 164.84, 0, 1, 165.97, -999
20141030, 161.55, 166.59, 160.97, 166.11, 952200, 166.11, 0, 1, 163.83, -999
20141029, 157.67, 167, 157.52, 161.79, 2436800, 161.79, 0, 1, 159.73, -999
20141028, 161.06, 161.47, 158.96, 160.92, 1167700, 160.92, 0, 1, 160.99, -999
20141027, 160.25, 161.54, 158.48, 161.35, 1071000, 161.35, 0, 1, 160.8, -999
20141024, 161.03, 161.03, 159.48, 160.25, 1148900, 160.25, 0, 1, 160.64, -999
20141023, 161.38, 163.35, 160.86, 161.18, 727800, 161.18, 0, 1, 161.28, -999
20141022, 161.21, 162.99, 160.56, 160.57, 476800, 160.57, 0, 1, 160.89, -999
20141021, 157.68, 161.22, 157.67, 161.16, 602900, 161.16, 0, 1, 159.42, -999
20141020, 155.31, 157.47, 154.03, 157.2, 912400, 157.2, 0, 1, 156.255, -999
20141017, 158.93, 159.51, 155.56, 156.25, 1174900, 156.25, 0, 1, 157.59, -999
20141016, 154.51, 159.51, 153.5, 157.67, 793500, 157.67, 0, 1, 156.09, -999
20141015, 155.54, 157.39, 153.39, 156.72, 1047600, 156.72, 0, 1, 156.13, -999
20141014, 158.95, 159.27, 156.85, 157.73, 853200, 157.73, 0, 1, 158.34, -999
20141013, 160.16, 160.2, 157.22, 157.53, 768000, 157.53, 0, 1, 158.845, -999
20141010, 163.39, 164.29, 160.43, 160.43, 799300, 160.43, 0, 1, 161.91, -999
20141009, 165.22, 166.12, 162.85, 163.04, 1044000, 163.04, 0, 1, 164.13, -999
20141008, 163.51, 166.3, 162.78, 166.11, 886400, 166.11, 0, 1, 164.81, -999
20141007, 163.48, 164.82, 162.93, 163.12, 914800, 163.12, 0, 1, 163.3, -999
20141006, 166.76, 167.52, 163.98, 164.39, 804400, 164.39, 0, 1, 165.575, -999
20141003, 167.51, 168.44, 166.22, 166.4, 772100, 166.4, 0, 1, 166.955, -999
20141002, 163.27, 167.34, 162.86, 167.12, 1126200, 167.12, 0, 1, 165.195, -999
20141001, 164.8, 164.8, 161.84, 163.36, 975300, 163.36, 0, 1, 164.08, -999
20140930, 164.89, 165.7, 163.76, 164.73, 694800, 164.73, 0, 1, 164.81, -999
20140929, 164.67, 166.19, 164.37, 165.03, 597600, 165.03, 0, 1, 164.85, -999
20140926, 165.89, 166.06, 163.1, 165.64, 838300, 165.64, 0, 1, 165.765, -999
20140925, 167.13, 167.44, 163.85, 164.92, 1151100, 164.92, 0, 1, 166.025, -999
20140924, 170.19, 170.81, 166.76, 167.6, 1403700, 167.6, 0.45, 1, 168.895, -999
20140923, 169.68, 170.57, 169.16, 170.01, 955700, 169.56, 0, 1, 169.62, -999
20140922, 171.88, 172.59, 169.29, 169.84, 1061700, 169.39, 0, 1, 170.635, -999
20140919, 173.9, 173.96, 171.66, 171.98, 1377700, 171.52, 0, 1, 172.71, -999
20140918, 172.8, 173.81, 172.24, 172.84, 567300, 172.38, 0, 1, 172.59, -999
20140917, 173.1, 173.39, 171.62, 172.78, 578000, 172.32, 0, 1, 172.71, -999
20140916, 171, 172.6, 170.63, 172.6, 732700, 172.14, 0, 1, 171.57, -999
20140915, 173.46, 174.01, 170.76, 170.99, 986800, 170.54, 0, 1, 172, -999
20140912, 172.97, 174.09, 172.97, 173.79, 920600, 173.33, 0, 1, 173.15, -999
