Ticker: ROST  Created on: 12/6/2014 5:25:57 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 91.39, 91.82, 90.28, 90.69, 956100, 90.69, 0, 1, 91.04, -999
20141204, 90.76, 91.42, 90.47, 91.05, 1099500, 91.05, 0, 1, 90.905, -999
20141203, 89.47, 91.07, 89.29, 90.85, 1166100, 90.85, 0, 1, 90.16, -999
20141202, 90.46, 90.99, 89.31, 90.28, 1229200, 90.28, 0, 1, 90.37, -999
20141201, 91.25, 91.35, 89.97, 90.16, 1376600, 90.16, 0, 1, 90.705, -999
20141128, 90.15, 91.99, 89.5, 91.48, 992200, 91.48, 0, 1, 90.815, -999
20141126, 89.56, 90, 89.31, 89.77, 1174500, 89.77, 0, 1, 89.665, -999
20141125, 89.4, 90.17, 88.94, 89.29, 2183600, 89.29, 0, 1, 89.345, -999
20141124, 89.76, 90.25, 88.17, 89.04, 2713300, 89.04, 0, 1, 89.4, -999
20141121, 89.29, 89.56, 87.67, 89.3, 6297100, 89.3, 0, 1, 89.295, -999
20141120, 82.36, 83.54, 82.05, 83.21, 2358800, 83.21, 0, 1, 82.785, -999
20141119, 81.24, 82.31, 81.24, 82.16, 1703000, 82.16, 0, 1, 81.7, -999
20141118, 80, 81.57, 79.47, 81.28, 1708400, 81.28, 0, 1, 80.64, -999
20141117, 81.36, 81.93, 80.99, 81.34, 1302800, 81.34, 0, 1, 81.35, -999
20141114, 81.82, 81.82, 80.85, 81.38, 1873900, 81.38, 0, 1, 81.6, -999
20141113, 82.99, 83.1, 81.91, 82.56, 1303800, 82.56, 0, 1, 82.775, -999
20141112, 81.71, 83.03, 81.59, 82.79, 1720100, 82.79, 0, 1, 82.25, -999
20141111, 82.39, 82.73, 81.68, 81.93, 1272500, 81.93, 0, 1, 82.16, -999
20141110, 81.31, 82.38, 81.25, 82.31, 1437000, 82.31, 0, 1, 81.81, -999
