Ticker: RSG  Created on: 12/6/2014 5:25:55 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 39.3, 39.66, 39.1, 39.64, 3722000, 39.64, 0, 1, 39.47, -999
20141204, 39.25, 39.38, 39.13, 39.25, 1612600, 39.25, 0, 1, 39.25, -999
20141203, 39.14, 39.26, 39.05, 39.21, 2198600, 39.21, 0, 1, 39.175, -999
20141202, 39.21, 39.55, 39.07, 39.08, 1706500, 39.08, 0, 1, 39.145, -999
20141201, 39.32, 39.5, 39.13, 39.24, 1297000, 39.24, 0, 1, 39.28, -999
20141128, 39.68, 39.9, 39.52, 39.61, 784400, 39.61, 0, 1, 39.645, -999
20141126, 39.5, 39.71, 39.39, 39.65, 1015900, 39.65, 0, 1, 39.575, -999
20141125, 39.22, 39.53, 39.02, 39.49, 2205800, 39.49, 0, 1, 39.355, -999
20141124, 39.12, 39.28, 38.96, 39.13, 1266500, 39.13, 0, 1, 39.125, -999
20141121, 39.65, 39.7, 38.8, 39, 2128900, 39, 0, 1, 39.325, -999
20141120, 39.31, 39.43, 39.15, 39.33, 1104900, 39.33, 0, 1, 39.32, -999
20141119, 39.56, 39.62, 39.31, 39.38, 979000, 39.38, 0, 1, 39.47, -999
20141118, 39.78, 39.95, 39.59, 39.65, 1200900, 39.65, 0, 1, 39.715, -999
20141117, 39.77, 39.97, 39.7, 39.79, 1482000, 39.79, 0, 1, 39.78, -999
20141114, 39.64, 39.89, 39.42, 39.77, 1366200, 39.77, 0, 1, 39.705, -999
20141113, 39.71, 39.8, 39.46, 39.63, 1571700, 39.63, 0, 1, 39.67, -999
20141112, 39.38, 39.81, 39.22, 39.64, 1634800, 39.64, 0, 1, 39.51, -999
20141111, 39.5, 39.69, 39.37, 39.41, 1297700, 39.41, 0, 1, 39.455, -999
20141110, 39.11, 39.64, 39.08, 39.53, 1681700, 39.53, 0, 1, 39.32, -999
20141107, 38.76, 39.19, 38.69, 39.13, 1310000, 39.13, 0, 1, 38.945, -999
20141106, 38.66, 39.06, 38.59, 38.71, 2063300, 38.71, 0, 1, 38.685, -999
20141105, 38.38, 38.6, 38.1, 38.54, 1678000, 38.54, 0, 1, 38.46, -999
20141104, 38.07, 38.31, 37.98, 38.23, 2230300, 38.23, 0, 1, 38.15, -999
20141103, 37.8, 38.09, 37.55, 38.07, 3562800, 38.07, 0, 1, 37.935, -999
20141031, 39.2, 39.6, 38.02, 38.4, 4923400, 38.4, 0, 1, 38.8, -999
20141030, 39.15, 39.97, 39.12, 39.8, 1451500, 39.8, 0, 1, 39.475, -999
20141029, 39.48, 39.55, 38.99, 39.34, 1407200, 39.34, 0, 1, 39.41, -999
20141028, 39.53, 39.57, 39.17, 39.43, 1333300, 39.43, 0, 1, 39.48, -999
20141027, 39.21, 39.36, 39.08, 39.34, 1085300, 39.34, 0, 1, 39.275, -999
20141024, 39.14, 39.31, 38.96, 39.24, 1259000, 39.24, 0, 1, 39.19, -999
20141023, 39.3, 39.5, 39.14, 39.19, 959700, 39.19, 0, 1, 39.245, -999
20141022, 38.8, 39.24, 38.78, 38.96, 1509900, 38.96, 0, 1, 38.88, -999
20141021, 38.4, 38.84, 38.25, 38.71, 1649800, 38.71, 0, 1, 38.555, -999
20141020, 38.08, 38.35, 37.89, 38.33, 1573700, 38.33, 0, 1, 38.205, -999
20141017, 37.93, 38.38, 37.77, 38.2, 2030100, 38.2, 0, 1, 38.065, -999
20141016, 37.59, 38.16, 37.18, 37.68, 2682200, 37.68, 0, 1, 37.635, -999
20141015, 38.03, 38.14, 37.37, 37.99, 1897900, 37.99, 0, 1, 38.01, -999
20141014, 38.15, 38.62, 38.07, 38.32, 1334700, 38.32, 0, 1, 38.235, -999
20141013, 38.27, 38.46, 38.04, 38.07, 1250500, 38.07, 0, 1, 38.17, -999
20141010, 38.31, 38.67, 38.25, 38.26, 1374200, 38.26, 0, 1, 38.285, -999
20141009, 38.74, 38.92, 38.3, 38.33, 1354900, 38.33, 0, 1, 38.535, -999
20141008, 38.11, 38.75, 38.02, 38.74, 1722400, 38.74, 0, 1, 38.425, -999
20141007, 38.39, 38.54, 37.99, 38.08, 2008900, 38.08, 0, 1, 38.235, -999
20141006, 38.31, 38.68, 38.29, 38.57, 1590600, 38.57, 0, 1, 38.44, -999
