Ticker: RTN  Created on: 12/6/2014 5:25:54 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 108.51, 108.8, 107.01, 107.62, 2193100, 107.62, 0, 1, 108.065, -999
20141204, 107.5, 110, 106.48, 110, 1297000, 110, 0, 1, 108.75, -999
20141203, 107.09, 108, 106.77, 107.64, 1856100, 107.64, 0, 1, 107.365, -999
20141202, 106.31, 107.11, 105.89, 106.78, 1808600, 106.78, 0, 1, 106.545, -999
20141201, 106, 106.95, 105.95, 106.28, 1117100, 106.28, 0, 1, 106.14, -999
20141128, 106.92, 107.81, 106.57, 106.7, 583400, 106.7, 0, 1, 106.81, -999
20141126, 106.52, 106.97, 106.35, 106.67, 802800, 106.67, 0, 1, 106.595, -999
20141125, 106.52, 107.04, 106.14, 106.4, 1925200, 106.4, 0, 1, 106.46, -999
20141124, 105.76, 106.8, 105.76, 106.59, 1276200, 106.59, 0, 1, 106.175, -999
20141121, 105.65, 105.95, 105.16, 105.78, 1851000, 105.78, 0, 1, 105.715, -999
20141120, 103.95, 104.72, 103.57, 104.25, 866800, 104.25, 0, 1, 104.1, -999
20141119, 103.83, 104.57, 103.42, 104.34, 1424300, 104.34, 0, 1, 104.085, -999
20141118, 103.2, 104.91, 102.92, 104.13, 2205000, 104.13, 0, 1, 103.665, -999
20141117, 104.15, 104.39, 102.97, 103.3, 2250700, 103.3, 0, 1, 103.725, -999
20141114, 104.55, 104.82, 103.42, 104.63, 4104200, 104.63, 0, 1, 104.59, -999
20141113, 103.42, 104.62, 102.38, 103.12, 2613500, 103.12, 0, 1, 103.27, -999
20141112, 103.04, 104.08, 103.04, 103.4, 1751700, 103.4, 0, 1, 103.22, -999
20141111, 103.68, 104.39, 103.35, 103.74, 1191500, 103.74, 0, 1, 103.71, -999
20141110, 104.16, 104.55, 103.3, 103.52, 1423700, 103.52, 0, 1, 103.84, -999
20141107, 104.54, 104.64, 103.26, 104.36, 1776000, 104.36, 0, 1, 104.45, -999
20141106, 104.17, 105.4, 103.93, 104.71, 1336200, 104.71, 0, 1, 104.44, -999
20141105, 105.46, 105.73, 103.6, 104.14, 2213000, 104.14, 0, 1, 104.8, -999
20141104, 104.89, 105.75, 103.68, 105.1, 2289300, 105.1, 0, 1, 104.995, -999
20141103, 104, 104.3, 102.95, 103.38, 1222100, 103.38, 0, 1, 103.69, -999
20141031, 104.64, 104.97, 103.24, 103.88, 2006000, 103.88, 0, 1, 104.26, -999
20141030, 101.65, 103.8, 100.23, 103.2, 1740700, 103.2, 0, 1, 102.425, -999
20141029, 101.54, 102.1, 100.91, 101.66, 1913100, 101.66, 0, 1, 101.6, -999
20141028, 99.65, 101.46, 99.65, 101.07, 1902400, 101.07, 0, 1, 100.36, -999
20141027, 98, 99.64, 97.61, 99.37, 1565400, 99.37, 0, 1, 98.685, -999
20141024, 98.89, 99.53, 96.84, 98.12, 1636100, 98.12, 0, 1, 98.505, -999
20141023, 96.39, 99.48, 95.81, 98.88, 1906600, 98.88, 0, 1, 97.635, -999
20141022, 98.43, 99.22, 97.32, 97.45, 1907200, 97.45, 0, 1, 97.94, -999
20141021, 96.95, 98.2, 96, 98.11, 1815600, 98.11, 0, 1, 97.53, -999
20141020, 97, 97.45, 95.91, 96.84, 1535600, 96.84, 0, 1, 96.92, -999
20141017, 96.46, 97.65, 96.14, 97.46, 1763100, 97.46, 0, 1, 96.96, -999
20141016, 93.99, 95.87, 93.53, 95.32, 1583200, 95.32, 0, 1, 94.655, -999
20141015, 95.15, 95.76, 92.96, 95.41, 2225500, 95.41, 0, 1, 95.28, -999
20141014, 94.14, 97.49, 93.85, 96.56, 2885600, 96.56, 0, 1, 95.35, -999
20141013, 95.51, 96.16, 93.71, 93.85, 2056300, 93.85, 0, 1, 94.68, -999
20141010, 95.14, 96.4, 94.6, 95.47, 2196200, 95.47, 0, 1, 95.305, -999
20141009, 96.84, 96.96, 94.72, 94.97, 1497100, 94.97, 0, 1, 95.905, -999
20141008, 96.12, 97.03, 94.93, 96.95, 1943300, 96.95, 0, 1, 96.535, -999
20141007, 98.19, 98.2, 95.77, 95.77, 2332100, 95.77, 0, 1, 96.98, -999
20141006, 99.65, 100.22, 98.34, 98.4, 1405700, 98.4, 0, 1, 99.025, -999
20141003, 98.71, 99.87, 98.38, 99.18, 2142200, 99.18, 0, 1, 98.945, -999
20141002, 99.17, 99.4, 97.21, 97.68, 1695600, 97.68, 0, 1, 98.425, -999
20141001, 100.97, 100.97, 98.7, 99.19, 2642500, 99.19, 0, 1, 100.08, -999
20140930, 101.37, 102.36, 101.09, 101.62, 1777300, 101.62, 0, 1, 101.495, -999
20140929, 99.94, 101.61, 98.98, 100.89, 1462700, 100.89, 0.605, 1, 100.415, -999
20140926, 100.19, 101.79, 100.19, 101.52, 1385700, 100.91, 0, 1, 100.55, -999
20140925, 100.65, 101.05, 100.1, 100.19, 1966600, 99.59, 0, 1, 100.12, -999
20140924, 101, 101.1, 100.52, 101.05, 2107600, 100.45, 0, 1, 100.725, -999
