Ticker: SCG  Created on: 12/6/2014 5:26:00 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 57.44, 57.86, 56.9, 57.24, 930000, 57.24, 0, 1, 57.34, -999
20141204, 57.62, 57.99, 57.48, 57.82, 658300, 57.82, 0, 1, 57.72, -999
20141203, 57.54, 57.77, 57.19, 57.54, 708800, 57.54, 0, 1, 57.54, -999
20141202, 57.31, 57.77, 57.01, 57.62, 967200, 57.62, 0, 1, 57.465, -999
20141201, 56.77, 57.94, 56.44, 57.41, 1056200, 57.41, 0, 1, 57.09, -999
20141128, 56.64, 57.39, 56.6, 57.03, 505000, 57.03, 0, 1, 56.835, -999
20141126, 56.26, 56.66, 55.98, 56.52, 462200, 56.52, 0, 1, 56.39, -999
20141125, 56.31, 56.44, 55.83, 56.26, 650500, 56.26, 0, 1, 56.285, -999
20141124, 56.4, 56.59, 56.07, 56.14, 844200, 56.14, 0, 1, 56.27, -999
20141121, 56.65, 56.72, 55.85, 56.52, 1021900, 56.52, 0, 1, 56.585, -999
20141120, 56.56, 56.71, 56.17, 56.31, 608400, 56.31, 0, 1, 56.435, -999
20141119, 56.38, 56.84, 56.13, 56.66, 509200, 56.66, 0, 1, 56.52, -999
20141118, 56.45, 56.88, 55.92, 56.63, 753600, 56.63, 0, 1, 56.54, -999
20141117, 55.55, 56.35, 55.34, 56.22, 831500, 56.22, 0, 1, 55.885, -999
20141114, 55.82, 55.9, 55.36, 55.55, 758500, 55.55, 0, 1, 55.685, -999
20141113, 56.5, 56.66, 55.78, 55.99, 830300, 55.99, 0, 1, 56.245, -999
20141112, 56.61, 56.62, 55.62, 56.32, 1237700, 56.32, 0, 1, 56.465, -999
20141111, 56.76, 57.11, 56.62, 57.01, 1023600, 57.01, 0, 1, 56.885, -999
20141110, 56.94, 56.97, 56.36, 56.73, 1107400, 56.73, 0, 1, 56.835, -999
20141107, 56, 56.62, 55.86, 56.53, 933400, 56.53, 0, 1, 56.265, -999
20141106, 56.52, 56.62, 55.29, 55.86, 1112700, 55.86, 0, 1, 56.19, -999
20141105, 55.46, 56.74, 55.41, 56.67, 1275800, 56.67, 0, 1, 56.065, -999
