Ticker: SCHW  Created on: 12/6/2014 5:26:01 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 29.77, 30.22, 29.62, 29.97, 12591300, 29.97, 0, 1, 29.87, -999
20141204, 28.94, 29.14, 28.74, 29.01, 4295600, 29.01, 0, 1, 28.975, -999
20141203, 28.2, 29.12, 28.19, 29.03, 8952200, 29.03, 0, 1, 28.615, -999
20141202, 27.86, 28.29, 27.76, 28.28, 4987600, 28.28, 0, 1, 28.07, -999
20141201, 28.08, 28.08, 27.23, 27.66, 8977400, 27.66, 0, 1, 27.87, -999
20141128, 28.29, 28.44, 28.2, 28.32, 1839200, 28.32, 0, 1, 28.305, -999
20141126, 28.43, 28.46, 28.24, 28.3, 3595300, 28.3, 0, 1, 28.365, -999
20141125, 28.5, 28.55, 28.32, 28.37, 4851500, 28.37, 0, 1, 28.435, -999
20141124, 28.37, 28.54, 28.2, 28.42, 5129000, 28.42, 0, 1, 28.395, -999
20141121, 28.75, 28.77, 28.25, 28.28, 7484200, 28.28, 0, 1, 28.515, -999
20141120, 28.25, 28.48, 28.05, 28.34, 7059300, 28.34, 0, 1, 28.295, -999
20141119, 28.74, 28.74, 28.27, 28.52, 4625800, 28.52, 0, 1, 28.63, -999
20141118, 28.55, 28.9, 28.54, 28.76, 3837000, 28.76, 0, 1, 28.655, -999
20141117, 28.72, 28.83, 28.44, 28.55, 4310100, 28.55, 0, 1, 28.635, -999
20141114, 28.83, 29.11, 28.81, 28.87, 4826800, 28.87, 0, 1, 28.85, -999
20141113, 28.91, 28.96, 28.61, 28.79, 5846500, 28.79, 0, 1, 28.85, -999
20141112, 28.67, 28.96, 28.67, 28.78, 6000800, 28.78, 0, 1, 28.725, -999
20141111, 28.98, 29.16, 28.83, 28.85, 4887500, 28.85, 0, 1, 28.915, -999
20141110, 28.6, 28.99, 28.6, 28.92, 5282400, 28.92, 0, 1, 28.76, -999
20141107, 28.97, 29.03, 28.43, 28.58, 7658900, 28.58, 0, 1, 28.775, -999
20141106, 28.67, 29.07, 28.51, 29.04, 6503400, 29.04, 0, 1, 28.855, -999
20141105, 28.71, 28.83, 28.5, 28.78, 6307200, 28.78, 0, 1, 28.745, -999
20141104, 28.3, 28.64, 28.22, 28.56, 4765200, 28.5, 0, 1, 28.4, -999
20141103, 28.75, 28.85, 28.32, 28.44, 6858100, 28.38, 0, 1, 28.565, -999
20141031, 28.25, 28.77, 28.21, 28.67, 7908500, 28.61, 0, 1, 28.43, -999
20141030, 27.51, 27.85, 27.45, 27.75, 6637400, 27.69, 0, 1, 27.6, -999
20141029, 27.18, 27.85, 27.04, 27.63, 9166100, 27.57, 0, 1, 27.375, -999
20141028, 26.64, 27.09, 26.61, 27.09, 5014200, 27.03, 0, 1, 26.835, -999
20141027, 26.58, 26.7, 26.21, 26.41, 5473800, 26.35, 0, 1, 26.465, -999
20141024, 26.49, 26.75, 26.32, 26.69, 4143600, 26.63, 0, 1, 26.56, -999
20141023, 26.54, 26.71, 26.28, 26.53, 7557100, 26.47, 0, 1, 26.505, -999
20141022, 26.38, 26.64, 25.99, 26.01, 5940300, 25.96, 0, 1, 26.17, -999
20141021, 25.99, 26.56, 25.79, 26.49, 7649000, 26.43, 0, 1, 26.21, -999
20141020, 25.74, 25.85, 25.4, 25.72, 6906300, 25.67, 0, 1, 25.705, -999
20141017, 25.94, 26.13, 25.61, 25.84, 9136500, 25.79, 0, 1, 25.865, -999
20141016, 24.29, 25.86, 24.22, 25.5, 13858900, 25.45, 0, 1, 24.87, -999
20141015, 24.21, 25.5, 23.35, 25.32, 22021300, 25.27, 0, 1, 24.74, -999
20141014, 24.76, 25.66, 24.73, 25.28, 13542500, 25.23, 0, 1, 24.995, -999
20141013, 26.25, 26.46, 25.11, 25.17, 18377600, 25.12, 0, 1, 25.685, -999
20141010, 27.09, 27.22, 26.21, 26.23, 17444500, 26.17, 0, 1, 26.63, -999
20141009, 28.6, 28.72, 27.11, 27.13, 17176500, 27.07, 0, 1, 27.835, -999
20141008, 28.54, 28.77, 28.16, 28.73, 8288900, 28.67, 0, 1, 28.605, -999
20141007, 29.49, 29.55, 28.45, 28.48, 8954000, 28.42, 0, 1, 28.955, -999
20141006, 29.78, 29.95, 29.39, 29.7, 6022900, 29.64, 0, 1, 29.71, -999
20141003, 29.42, 29.7, 29.34, 29.57, 5938000, 29.51, 0, 1, 29.465, -999
20141002, 28.8, 29.13, 28.58, 29.05, 11015700, 28.99, 0, 1, 28.895, -999
20141001, 29.2, 29.33, 28.69, 28.79, 11212600, 28.73, 0, 1, 28.965, -999
20140930, 29.91, 30.11, 29.28, 29.39, 7935600, 29.33, 0, 1, 29.62, -999
20140929, 29.48, 29.87, 29.34, 29.74, 4645700, 29.68, 0, 1, 29.58, -999
20140926, 29.69, 30.09, 29.52, 29.93, 4263100, 29.87, 0, 1, 29.78, -999
20140925, 29.78, 29.95, 29.33, 29.52, 5313200, 29.46, 0, 1, 29.62, -999
20140924, 30.01, 30.24, 29.73, 29.95, 9530800, 29.89, 0, 1, 29.95, -999
20140923, 30.1, 30.49, 29.89, 29.89, 6719800, 29.83, 0, 1, 29.965, -999
20140922, 30.3, 30.57, 29.95, 30.18, 6066100, 30.12, 0, 1, 30.21, -999
20140919, 30.91, 30.96, 30.29, 30.37, 10058800, 30.31, 0, 1, 30.61, -999
20140918, 30.43, 31, 30.34, 30.78, 7916800, 30.72, 0, 1, 30.575, -999
20140917, 29.53, 30.37, 29.38, 30.2, 9995000, 30.14, 0, 1, 29.835, -999
20140916, 29.25, 29.53, 29.12, 29.4, 7376600, 29.34, 0, 1, 29.295, -999
20140915, 29.43, 29.48, 29.09, 29.26, 6388000, 29.2, 0, 1, 29.315, -999
20140912, 29.35, 29.75, 29.29, 29.52, 8168900, 29.46, 0, 1, 29.405, -999
20140911, 29.11, 29.37, 28.96, 29.24, 6621700, 29.18, 0, 1, 29.145, -999
20140910, 28.77, 29.35, 28.68, 29.31, 6956100, 29.25, 0, 1, 29.01, -999
20140909, 28.73, 28.93, 28.47, 28.68, 4266100, 28.62, 0, 1, 28.675, -999
20140908, 28.52, 29, 28.5, 28.86, 4706800, 28.8, 0, 1, 28.66, -999
20140905, 28.34, 28.66, 28.08, 28.64, 4679500, 28.58, 0, 1, 28.46, -999
20140904, 28.26, 28.64, 28.17, 28.46, 4464200, 28.4, 0, 1, 28.33, -999
20140903, 28.86, 28.94, 28.04, 28.18, 5585100, 28.12, 0, 1, 28.49, -999
20140902, 28.66, 28.8, 28.37, 28.71, 3151500, 28.65, 0, 1, 28.655, -999
20140829, 28.44, 28.68, 28.37, 28.51, 2468300, 28.45, 0, 1, 28.445, -999
20140828, 28.4, 28.51, 28.12, 28.35, 2352100, 28.29, 0, 1, 28.345, -999
20140827, 28.89, 28.9, 28.39, 28.47, 3276100, 28.41, 0, 1, 28.65, -999
20140826, 28.98, 29.07, 28.82, 28.84, 4279200, 28.78, 0, 1, 28.88, -999
20140825, 28.77, 29.16, 28.76, 28.92, 4949600, 28.86, 0, 1, 28.815, -999
20140822, 28.31, 28.86, 28.23, 28.57, 5517100, 28.51, 0, 1, 28.41, -999
20140821, 28.37, 28.59, 28.15, 28.43, 4957300, 28.37, 0, 1, 28.37, -999
20140820, 27.83, 28.46, 27.79, 28.35, 5746300, 28.29, 0, 1, 28.06, -999
20140819, 27.92, 27.92, 27.67, 27.83, 4269700, 27.77, 0, 1, 27.845, -999
20140818, 27.47, 27.87, 27.43, 27.86, 4561600, 27.8, 0, 1, 27.635, -999
20140815, 27.74, 27.77, 27.01, 27.27, 6334100, 27.21, 0, 1, 27.475, -999
20140814, 27.78, 27.85, 27.52, 27.63, 3233000, 27.57, 0, 1, 27.675, -999
20140813, 27.64, 27.79, 27.5, 27.59, 3269500, 27.53, 0, 1, 27.585, -999
20140812, 27.69, 27.81, 27.5, 27.6, 3147000, 27.54, 0, 1, 27.615, -999
20140811, 27.82, 27.91, 27.62, 27.71, 4602800, 27.65, 0, 1, 27.735, -999
20140808, 27.28, 27.72, 26.99, 27.68, 5747000, 27.62, 0, 1, 27.45, -999
20140807, 27.77, 27.84, 27.08, 27.14, 6257900, 27.08, 0, 1, 27.425, -999
20140806, 27.18, 27.84, 27.1, 27.55, 4696700, 27.49, 0.06, 1, 27.335, -999
20140805, 27.53, 27.8, 27.29, 27.42, 4865800, 27.3, 0, 1, 27.415, -999
20140804, 27.8, 27.81, 27.24, 27.69, 4604600, 27.57, 0, 1, 27.685, -999
20140801, 27.55, 27.73, 27.22, 27.45, 5843700, 27.33, 0, 1, 27.44, -999
20140731, 28.22, 28.42, 27.72, 27.75, 5490000, 27.63, 0, 1, 27.925, -999
20140730, 28.14, 28.65, 28.13, 28.5, 4867700, 28.38, 0, 1, 28.26, -999
20140729, 27.9, 28.36, 27.76, 27.92, 5400400, 27.8, 0, 1, 27.85, -999
20140728, 27.48, 27.99, 27.37, 27.91, 4774800, 27.79, 0, 1, 27.635, -999
20140725, 27.6, 27.8, 27.37, 27.5, 4685600, 27.38, 0, 1, 27.49, -999
20140724, 27.7, 27.87, 27.5, 27.79, 4470700, 27.67, 0, 1, 27.685, -999
20140723, 27.57, 27.63, 27.37, 27.55, 3940200, 27.43, 0, 1, 27.5, -999
20140722, 27.75, 27.86, 27.52, 27.57, 4331200, 27.45, 0, 1, 27.6, -999
20140721, 27.73, 27.89, 27.48, 27.75, 4731500, 27.63, 0, 1, 27.68, -999
20140718, 27.25, 27.85, 27.18, 27.81, 6637100, 27.69, 0, 1, 27.47, -999
20140717, 27.32, 27.4, 26.77, 27.11, 7909300, 26.99, 0, 1, 27.155, -999
20140716, 27.58, 27.87, 27.02, 27.56, 7933500, 27.44, 0, 1, 27.51, -999
20140715, 27.61, 27.79, 27.11, 27.43, 7895400, 27.31, 0, 1, 27.46, -999
20140714, 27.46, 27.68, 27.44, 27.49, 4464700, 27.37, 0, 1, 27.415, -999
20140711, 26.74, 27.14, 26.68, 27.1, 4056300, 26.98, 0, 1, 26.86, -999
20140710, 26.44, 27.09, 26.44, 26.9, 4685700, 26.78, 0, 1, 26.61, -999
20140709, 27.25, 27.35, 26.78, 27.09, 6376200, 26.97, 0, 1, 27.11, -999
20140708, 27.73, 27.77, 26.92, 27.18, 5754100, 27.06, 0, 1, 27.395, -999
20140707, 28.26, 28.38, 27.72, 27.93, 3764500, 27.81, 0, 1, 28.035, -999
20140703, 27.73, 28.19, 27.7, 28.1, 4492300, 27.98, 0, 1, 27.855, -999
20140702, 27.06, 27.6, 27.06, 27.4, 3824300, 27.28, 0, 1, 27.17, -999
20140701, 27.07, 27.51, 26.98, 27.32, 7685700, 27.2, 0, 1, 27.135, -999
20140630, 27.19, 27.27, 26.85, 26.93, 5192900, 26.81, 0, 1, 27, -999
20140627, 26.77, 27.2, 26.71, 27.14, 5245700, 27.02, 0, 1, 26.895, -999
20140626, 26.98, 26.98, 26.47, 26.85, 4831300, 26.73, 0, 1, 26.855, -999
20140625, 26.52, 27.13, 26.5, 27.08, 5966000, 26.96, 0, 1, 26.74, -999
20140624, 27.16, 27.35, 26.72, 26.77, 5456500, 26.66, 0, 1, 26.91, -999
20140623, 27.38, 27.39, 27.11, 27.28, 5760600, 27.16, 0, 1, 27.27, -999
20140620, 27.35, 27.5, 27.24, 27.45, 8174400, 27.33, 0, 1, 27.34, -999
20140619, 27.19, 27.29, 26.68, 27.15, 7114800, 27.03, 0, 1, 27.11, -999
20140618, 27.25, 27.26, 26.84, 27.15, 7198700, 27.03, 0, 1, 27.14, -999
20140617, 25.36, 27.5, 25.36, 27.3, 12430300, 27.18, 0, 1, 26.27, -999
20140616, 25.89, 25.96, 24.68, 25.88, 7616200, 25.77, 0, 1, 25.83, -999
20140613, 25.66, 26.11, 25.62, 26.01, 7587500, 25.9, 0, 1, 25.78, -999
20140612, 25.96, 26.12, 25.58, 25.6, 7014000, 25.49, 0, 1, 25.725, -999
20140611, 25.98, 26.09, 25.67, 26.04, 5134500, 25.93, 0, 1, 25.955, -999
20140610, 26.4, 26.43, 26.03, 26.11, 4186500, 26, 0, 1, 26.2, -999
20140609, 26.08, 26.45, 26.01, 26.45, 6536500, 26.34, 0, 1, 26.21, -999
20140606, 25.75, 26.09, 25.64, 25.97, 4690500, 25.86, 0, 1, 25.805, -999
20140605, 25.29, 25.73, 25.15, 25.65, 4797400, 25.54, 0, 1, 25.415, -999
20140604, 25.13, 25.29, 24.93, 25.2, 4564800, 25.09, 0, 1, 25.11, -999
20140603, 25.27, 25.37, 24.97, 25.17, 6711200, 25.06, 0, 1, 25.165, -999
20140602, 25.33, 25.48, 25.07, 25.37, 9071200, 25.26, 0, 1, 25.295, -999
20140530, 25.62, 25.7, 25.2, 25.21, 7301200, 25.1, 0, 1, 25.36, -999
20140529, 25.36, 25.56, 25.23, 25.55, 3857100, 25.44, 0, 1, 25.4, -999
20140528, 25.4, 25.52, 25.08, 25.29, 7848500, 25.18, 0, 1, 25.29, -999
20140527, 25.81, 25.88, 25.45, 25.47, 6876100, 25.36, 0, 1, 25.585, -999
20140523, 25.59, 25.72, 25.45, 25.65, 4796500, 25.54, 0, 1, 25.565, -999
20140522, 25.24, 25.68, 25.15, 25.6, 5105400, 25.49, 0, 1, 25.365, -999
20140521, 24.98, 25.37, 24.96, 25.27, 5084600, 25.16, 0, 1, 25.07, -999
20140520, 25.09, 25.12, 24.66, 24.81, 5275700, 24.7, 0, 1, 24.895, -999
20140519, 24.6, 25.08, 24.6, 25.01, 6078000, 24.9, 0, 1, 24.75, -999
20140516, 24.99, 25.05, 24.56, 25, 12080400, 24.89, 0, 1, 24.94, -999
20140515, 25.81, 25.83, 24.81, 25, 12237400, 24.89, 0, 1, 25.35, -999
20140514, 26.48, 26.65, 26.11, 26.2, 5590900, 26.09, 0, 1, 26.285, -999
20140513, 27.04, 27.1, 26.49, 26.51, 8742800, 26.4, 0, 1, 26.72, -999
20140512, 26.53, 27.08, 26.32, 27.05, 6635800, 26.93, 0, 1, 26.73, -999
20140509, 25.94, 26.38, 25.78, 26.36, 6536800, 26.25, 0, 1, 26.095, -999
20140508, 26.18, 26.48, 25.96, 26, 6160900, 25.89, 0, 1, 26.035, -999
20140507, 25.8, 26.25, 25.3, 26.21, 8925000, 26.1, 0.06, 1, 25.95, -999
20140506, 26.7, 26.73, 25.83, 25.88, 7181000, 25.71, 0, 1, 26.205, -999
20140505, 26.38, 26.64, 26.13, 26.58, 3735100, 26.4, 0, 1, 26.39, -999
20140502, 26.41, 27.07, 26.4, 26.7, 5334200, 26.52, 0, 1, 26.465, -999
20140501, 26.54, 26.88, 26.41, 26.58, 5751100, 26.4, 0, 1, 26.47, -999
20140430, 26.52, 26.61, 26.27, 26.55, 9235900, 26.37, 0, 1, 26.445, -999
20140429, 26.57, 26.72, 26.27, 26.58, 5112100, 26.4, 0, 1, 26.485, -999
20140428, 26.97, 27.18, 26.11, 26.37, 9036800, 26.2, 0, 1, 26.585, -999
20140425, 26.94, 27.07, 26.73, 26.85, 6755800, 26.67, 0, 1, 26.805, -999
20140424, 27.53, 27.53, 26.89, 27.09, 6326800, 26.91, 0, 1, 27.22, -999
20140423, 27.39, 27.47, 26.94, 27.24, 4001600, 27.06, 0, 1, 27.225, -999
