Ticker: SEE  Created on: 12/6/2014 5:26:02 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 40.11, 40.38, 40.06, 40.32, 1265200, 40.32, 0, 1, 40.215, -999
20141204, 39.89, 40.53, 39.87, 40.21, 1603300, 40.21, 0, 1, 40.05, -999
20141203, 39.47, 39.95, 39.41, 39.9, 1643900, 39.9, 0, 1, 39.685, -999
20141202, 38.8, 39.63, 38.68, 39.5, 1968800, 39.37, 0, 1, 39.085, -999
20141201, 39.09, 39.21, 38.11, 38.61, 3005800, 38.48, 0, 1, 38.785, -999
20141128, 39.08, 39.87, 38.91, 39.53, 1272700, 39.4, 0, 1, 39.24, -999
20141126, 39.12, 39.22, 39.01, 39.12, 911900, 38.99, 0, 1, 39.055, -999
20141125, 39.22, 39.41, 38.89, 39.11, 1436300, 38.98, 0, 1, 39.1, -999
20141124, 39.09, 39.5, 38.98, 39.21, 1549100, 39.08, 0, 1, 39.085, -999
20141121, 39, 39.3, 38.67, 38.87, 1605500, 38.74, 0, 1, 38.87, -999
20141120, 37.91, 38.5, 37.79, 38.48, 1434300, 38.35, 0, 1, 38.13, -999
20141119, 38.49, 38.49, 38.01, 38.2, 1774000, 38.07, 0, 1, 38.28, -999
20141118, 38.12, 38.75, 37.97, 38.64, 2326100, 38.51, 0, 1, 38.315, -999
20141117, 37.91, 38.27, 37.85, 38.12, 1829900, 37.99, 0, 1, 37.95, -999
20141114, 38.51, 38.6, 37.83, 37.96, 2188200, 37.84, 0, 1, 38.175, -999
20141113, 38.52, 38.6, 37.92, 38.38, 2297600, 38.25, 0, 1, 38.385, -999
20141112, 38.12, 38.59, 37.81, 38.48, 3093300, 38.35, 0, 1, 38.235, -999
20141111, 38.48, 38.69, 38, 38.12, 5469700, 37.99, 0, 1, 38.235, -999
20141110, 38.96, 39.2, 38.69, 38.75, 2543000, 38.62, 0, 1, 38.79, -999
20141107, 38.57, 38.97, 38.24, 38.89, 3599200, 38.76, 0, 1, 38.665, -999
20141106, 37.8, 38.27, 37.63, 38.11, 2349700, 37.98, 0, 1, 37.89, -999
20141105, 37.08, 37.8, 36.93, 37.75, 2566000, 37.63, 0, 1, 37.355, -999
20141104, 36.36, 36.89, 36.36, 36.87, 2027600, 36.75, 0, 1, 36.555, -999
20141103, 36.26, 36.64, 35.81, 36.34, 1850100, 36.22, 0, 1, 36.24, -999
