Ticker: SHW  Created on: 12/6/2014 5:26:02 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 247.5, 249.5, 246.4, 246.87, 633400, 246.87, 0, 1, 247.185, -999
20141204, 246.34, 249, 246.15, 247.71, 666100, 247.71, 0, 1, 247.025, -999
20141203, 243.14, 246.75, 243.14, 246.45, 665300, 246.45, 0, 1, 244.795, -999
20141202, 242.81, 244.78, 242.29, 244.55, 640800, 244.55, 0, 1, 243.68, -999
20141201, 244.49, 245.47, 242.37, 243.07, 716900, 243.07, 0, 1, 243.78, -999
20141128, 242.06, 249.66, 241.25, 244.86, 529300, 244.86, 0, 1, 243.46, -999
20141126, 238.92, 240.73, 238.92, 240.6, 402300, 240.6, 0, 1, 239.76, -999
20141125, 241.93, 244.01, 239.82, 239.82, 688500, 239.82, 0, 1, 240.875, -999
20141124, 242.91, 242.91, 240.49, 242.03, 431200, 242.03, 0, 1, 242.47, -999
20141121, 244.42, 244.86, 240.67, 242.05, 538200, 242.05, 0, 1, 243.235, -999
20141120, 239.31, 242.37, 238.88, 242.24, 412500, 242.24, 0, 1, 240.775, -999
20141119, 241.34, 241.59, 239.71, 240.85, 413700, 240.85, 0, 1, 241.095, -999
20141118, 239.2, 241.58, 239.13, 241.32, 350600, 241.32, 0, 1, 240.26, -999
20141117, 239.3, 240.92, 238.68, 239.31, 390900, 239.31, 0, 1, 239.305, -999
20141114, 239.02, 240.48, 238.38, 239.65, 446600, 239.65, 0, 1, 239.335, -999
20141113, 239.13, 240.36, 237.51, 239.63, 607000, 239.63, 0, 1, 239.38, -999
20141112, 236.63, 238.42, 235.42, 238.1, 451800, 238.1, 0, 1, 237.365, -999
20141111, 237, 238.35, 236.07, 237.62, 495400, 237.07, 0, 1, 237.035, -999
20141110, 236.44, 236.88, 235.1, 236.72, 475300, 236.17, 0, 1, 236.305, -999
20141107, 234.03, 236.3, 233.14, 236.04, 731000, 235.49, 0, 1, 234.76, -999
20141106, 230.19, 233.77, 229, 233.22, 643200, 232.68, 0, 1, 231.435, -999
20141105, 230.63, 231.2, 228.82, 230.39, 772500, 229.86, 0, 1, 230.245, -999
20141104, 229.28, 230.89, 227.2, 228.27, 765600, 227.74, 0, 1, 228.51, -999
20141103, 229.88, 230.55, 227.87, 229.28, 700400, 228.75, 0, 1, 229.315, -999
20141031, 227.41, 229.73, 227.29, 229.56, 970500, 229.03, 0, 1, 228.22, -999
20141030, 221.47, 226.48, 221.47, 225.16, 901800, 224.64, 0, 1, 223.055, -999
20141029, 224.09, 224.63, 220.13, 221.85, 1589200, 221.34, 0, 1, 222.715, -999
20141028, 225.71, 229.5, 223.18, 224, 861200, 223.48, 0, 1, 224.595, -999
20141027, 227.44, 228.24, 223.57, 225.68, 871000, 225.16, 0, 1, 226.3, -999
20141024, 226.8, 229.26, 225.59, 228.91, 566900, 228.38, 0, 1, 227.59, -999
20141023, 228.3, 228.64, 225.31, 225.81, 822700, 225.29, 0, 1, 226.795, -999
20141022, 227.03, 229.62, 225.83, 225.92, 681500, 225.4, 0, 1, 226.215, -999
20141021, 221.8, 227.33, 220.51, 226.97, 669300, 226.44, 0, 1, 224.12, -999
