Ticker: SIAL  Created on: 12/6/2014 5:26:03 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 136.38, 136.96, 136.27, 136.79, 504300, 136.79, 0, 1, 136.585, -999
20141204, 135.9, 136.56, 135.9, 136.54, 543400, 136.54, 0, 1, 136.22, -999
20141203, 136.04, 136.25, 135.87, 136.22, 615700, 136.22, 0, 1, 136.13, -999
20141202, 136.05, 136.43, 135.8, 135.92, 1046000, 135.92, 0, 1, 135.985, -999
20141201, 136.35, 136.73, 135.97, 136.11, 984700, 136.11, 0, 1, 136.23, -999
20141128, 136.62, 136.66, 136.2, 136.6, 420800, 136.6, 0, 1, 136.61, -999
20141126, 136.58, 136.68, 136.3, 136.53, 574900, 136.53, 0, 1, 136.555, -999
20141125, 136.75, 136.84, 136.42, 136.55, 1115100, 136.32, 0, 1, 136.535, -999
20141124, 135.96, 136.74, 135.85, 136.73, 893000, 136.5, 0, 1, 136.23, -999
20141121, 136.36, 136.39, 135.33, 135.8, 2001300, 135.57, 0, 1, 135.965, -999
20141120, 135.81, 135.98, 135.65, 135.98, 529200, 135.75, 0, 1, 135.78, -999
20141119, 135.63, 136.12, 135.53, 135.98, 889200, 135.75, 0, 1, 135.69, -999
20141118, 135.55, 135.77, 135.5, 135.65, 554000, 135.42, 0, 1, 135.485, -999
20141117, 135.45, 135.77, 135.34, 135.69, 473300, 135.46, 0, 1, 135.455, -999
20141114, 135.77, 135.77, 135.4, 135.58, 560100, 135.35, 0, 1, 135.56, -999
20141113, 135.85, 135.85, 135.34, 135.53, 659700, 135.3, 0, 1, 135.575, -999
20141112, 135.62, 135.92, 135.5, 135.64, 418000, 135.41, 0, 1, 135.515, -999
20141111, 135.76, 135.96, 135.55, 135.89, 232400, 135.66, 0, 1, 135.71, -999
20141110, 135.3, 135.97, 135.12, 135.81, 393400, 135.58, 0, 1, 135.44, -999
20141107, 135.4, 135.62, 135.25, 135.34, 569900, 135.11, 0, 1, 135.255, -999
20141106, 135.5, 135.75, 135.24, 135.34, 638300, 135.11, 0, 1, 135.305, -999
20141105, 135.49, 135.57, 135.15, 135.29, 912200, 135.06, 0, 1, 135.275, -999
20141104, 135.5, 135.61, 135, 135.14, 1065200, 134.91, 0, 1, 135.205, -999
20141103, 135.85, 135.99, 135.29, 135.41, 1157200, 135.18, 0, 1, 135.515, -999
20141031, 136.24, 136.24, 135.38, 135.91, 925500, 135.68, 0, 1, 135.96, -999
20141030, 134.83, 135.58, 134.83, 135.58, 719600, 135.35, 0, 1, 135.09, -999
20141029, 135, 135.34, 134.69, 134.91, 1867300, 134.68, 0, 1, 134.84, -999
20141028, 135.18, 135.42, 134.76, 135.36, 874900, 135.13, 0, 1, 135.155, -999
20141027, 134.93, 135.15, 134.5, 134.9, 1030100, 134.67, 0, 1, 134.8, -999
20141024, 135.68, 135.84, 134.57, 135.07, 725800, 134.84, 0, 1, 135.26, -999
20141023, 136.18, 136.22, 135.27, 135.38, 1024700, 135.15, 0, 1, 135.665, -999
20141022, 134.38, 136.2, 134.38, 135.85, 701000, 135.62, 0, 1, 135, -999
20141021, 134.52, 135.81, 134.16, 135.6, 936800, 135.37, 0, 1, 134.945, -999
20141020, 134.5, 135.2, 134.21, 134.99, 865700, 134.76, 0, 1, 134.63, -999
20141017, 134.52, 135.44, 134, 134.03, 1544700, 133.8, 0, 1, 134.16, -999
20141016, 132.45, 135.02, 132.45, 134.4, 1338400, 134.17, 0, 1, 133.31, -999
20141015, 135.12, 135.51, 134.65, 135.15, 1825000, 134.92, 0, 1, 135.02, -999
20141014, 135.44, 136.31, 135.27, 135.76, 929800, 135.53, 0, 1, 135.485, -999
20141013, 135.44, 135.99, 135.05, 135.26, 836100, 135.03, 0, 1, 135.235, -999
20141010, 135.7, 135.97, 135.31, 135.49, 921200, 135.26, 0, 1, 135.48, -999
20141009, 135.7, 136.35, 135.38, 135.6, 1125900, 135.37, 0, 1, 135.535, -999
20141008, 135.53, 136.22, 135.53, 135.8, 1083100, 135.57, 0, 1, 135.55, -999
20141007, 135.51, 136.12, 135.34, 135.75, 1017100, 135.52, 0, 1, 135.515, -999
20141006, 135.94, 136.91, 135.64, 135.72, 1382200, 135.49, 0, 1, 135.715, -999
20141003, 135.25, 136.51, 135.25, 136.08, 1062700, 135.85, 0, 1, 135.55, -999
20141002, 135.84, 136.14, 135.1, 135.45, 1533100, 135.22, 0, 1, 135.53, -999
20141001, 135.8, 136.3, 135.53, 135.87, 1634400, 135.64, 0, 1, 135.72, -999
20140930, 136.1, 136.3, 135.88, 136.01, 1469800, 135.78, 0, 1, 135.94, -999
20140929, 136.13, 136.56, 135.95, 136.28, 1072700, 136.05, 0, 1, 136.09, -999
