Ticker: SNA  Created on: 12/6/2014 5:26:04 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 136.56, 137.45, 136.34, 136.77, 281100, 136.77, 0, 1, 136.665, -999
20141204, 137.25, 137.58, 136.03, 136.55, 198700, 136.55, 0, 1, 136.9, -999
20141203, 135.9, 137.77, 135.54, 137.51, 290400, 137.51, 0, 1, 136.705, -999
20141202, 134.09, 135.5, 133.65, 135.33, 274300, 135.33, 0, 1, 134.71, -999
20141201, 135, 135.33, 133.38, 133.47, 368400, 133.47, 0, 1, 134.235, -999
20141128, 136.32, 136.75, 134.64, 135.33, 181000, 135.33, 0, 1, 135.825, -999
20141126, 135.84, 136.17, 134.84, 136.08, 264400, 136.08, 0, 1, 135.96, -999
20141125, 136.03, 137.06, 134.34, 135.73, 2065500, 135.73, 0, 1, 135.88, -999
20141124, 136, 137, 135.82, 136.5, 327500, 136.5, 0, 1, 136.25, -999
20141121, 137.54, 137.83, 135.04, 135.72, 483300, 135.72, 0, 1, 136.63, -999
20141120, 134.76, 136.46, 134.56, 136.29, 296600, 136.29, 0, 1, 135.525, -999
20141119, 135.73, 136.3, 134.5, 135.78, 402200, 135.25, 0, 1, 135.49, -999
20141118, 135, 136.49, 134.75, 136.02, 272100, 135.49, 0, 1, 135.245, -999
20141117, 134.69, 135.29, 134.19, 134.89, 372800, 134.36, 0, 1, 134.525, -999
20141114, 134.99, 135.81, 134.39, 135.34, 436600, 134.81, 0, 1, 134.9, -999
20141113, 135.74, 136.22, 134.77, 135.58, 318300, 135.05, 0, 1, 135.395, -999
20141112, 135.93, 136.41, 134.97, 136.04, 326000, 135.51, 0, 1, 135.72, -999
20141111, 135.95, 136.42, 134.92, 135.71, 325800, 135.18, 0, 1, 135.565, -999
20141110, 135.12, 136.06, 134.51, 135.76, 442700, 135.23, 0, 1, 135.175, -999
20141107, 136.54, 137.43, 134.14, 135.12, 898400, 134.59, 0, 1, 135.565, -999
20141106, 134.45, 135.72, 133.96, 135.6, 367800, 135.07, 0, 1, 134.76, -999
20141105, 133.87, 134.37, 133, 134.35, 279500, 133.83, 0, 1, 133.85, -999
20141104, 132.13, 133.12, 131.8, 132.81, 331800, 132.29, 0, 1, 132.21, -999
20141103, 131.77, 133.26, 131.37, 132.62, 255100, 132.1, 0, 1, 131.935, -999
20141031, 132.41, 132.41, 130.87, 132.14, 332500, 131.62, 0, 1, 132.015, -999
20141030, 128.93, 135.7, 125, 130.5, 304500, 129.99, 0, 1, 129.46, -999
20141029, 130.17, 130.76, 128.16, 129.42, 309900, 128.91, 0, 1, 129.54, -999
20141028, 128.65, 130.28, 128.65, 130.18, 360800, 129.67, 0, 1, 129.16, -999
20141027, 127.47, 128.01, 126.72, 127.95, 220800, 127.45, 0, 1, 127.46, -999
20141024, 127.77, 128.65, 126.91, 128.24, 292300, 127.74, 0, 1, 127.755, -999
20141023, 127.37, 128.79, 127.15, 127.63, 479300, 127.13, 0, 1, 127.25, -999
20141022, 128.01, 128.65, 125.6, 125.65, 524100, 125.16, 0, 1, 126.585, -999
20141021, 125, 127.81, 124.92, 127.79, 539500, 127.29, 0, 1, 126.145, -999
20141020, 122.43, 124.49, 121.98, 124.36, 551100, 123.87, 0, 1, 123.15, -999
20141017, 121.74, 123.08, 120.79, 122.35, 819000, 121.87, 0, 1, 121.805, -999
20141016, 115.36, 122.66, 113.82, 121.85, 1089900, 121.37, 0, 1, 118.365, -999
20141015, 112.87, 115.05, 111.28, 114.54, 679400, 114.09, 0, 1, 113.48, -999
20141014, 113.73, 116.24, 113.73, 114.7, 350000, 114.25, 0, 1, 113.99, -999
20141013, 116, 116.52, 113.19, 113.28, 515600, 112.84, 0, 1, 114.42, -999
20141010, 118.01, 118.01, 115.76, 115.78, 320500, 115.33, 0, 1, 116.67, -999
20141009, 120.59, 120.74, 117.58, 117.8, 298700, 117.34, 0, 1, 118.965, -999
20141008, 118.02, 120.3, 117.3, 120.11, 304700, 119.64, 0, 1, 118.83, -999
20141007, 120.04, 120.4, 118.17, 118.25, 289500, 117.79, 0, 1, 118.915, -999
20141006, 121, 121.84, 120.61, 120.88, 479000, 120.41, 0, 1, 120.705, -999
20141003, 119, 120.92, 118.89, 120.9, 412300, 120.43, 0, 1, 119.715, -999
20141002, 118.68, 119.44, 117.47, 118.42, 312000, 117.96, 0, 1, 118.32, -999
20141001, 120.98, 120.98, 118.14, 118.53, 461300, 118.07, 0, 1, 119.525, -999
20140930, 121.05, 121.68, 120.43, 121.08, 415100, 120.61, 0, 1, 120.83, -999
20140929, 120.76, 121.56, 120.54, 121.38, 309400, 120.91, 0, 1, 120.835, -999
20140926, 121.21, 122.08, 120.64, 121.75, 307500, 121.27, 0, 1, 121.24, -999
20140925, 122.42, 122.42, 120.54, 120.63, 337600, 120.16, 0, 1, 121.29, -999
20140924, 121.97, 123.16, 121.45, 122.92, 355300, 122.44, 0, 1, 122.205, -999
20140923, 122.67, 123.27, 121.9, 121.92, 366900, 121.44, 0, 1, 122.055, -999
20140922, 123.46, 123.46, 122.37, 122.82, 286000, 122.34, 0, 1, 122.9, -999
20140919, 126.22, 126.22, 123.61, 123.85, 577500, 123.37, 0, 1, 124.795, -999
20140918, 125.26, 126, 124.55, 125.33, 374700, 124.84, 0, 1, 125.05, -999
20140917, 126.26, 126.45, 124.3, 124.99, 295000, 124.5, 0, 1, 125.38, -999
20140916, 125.39, 126.16, 124.4, 125.84, 260400, 125.35, 0, 1, 125.37, -999
20140915, 125.6, 125.77, 124.83, 125.36, 203800, 124.87, 0, 1, 125.235, -999
20140912, 125.27, 125.87, 124.9, 125.73, 388400, 125.24, 0, 1, 125.255, -999
20140911, 124.96, 125.47, 124.69, 125.22, 366100, 124.73, 0, 1, 124.845, -999
20140910, 125.16, 125.66, 124.27, 125.29, 216400, 124.8, 0, 1, 124.98, -999
20140909, 125.75, 126.06, 124.94, 124.99, 350600, 124.5, 0, 1, 125.125, -999
20140908, 126.87, 126.97, 125.07, 125.63, 471800, 125.14, 0, 1, 126.005, -999
20140905, 126.02, 127.02, 125.14, 127.01, 241900, 126.51, 0, 1, 126.265, -999
20140904, 126.29, 127.32, 125.66, 126.01, 261800, 125.52, 0, 1, 125.905, -999
20140903, 126, 126.34, 125.61, 126.08, 412800, 125.59, 0, 1, 125.795, -999
20140902, 125.29, 125.87, 124.82, 125.43, 428500, 124.94, 0, 1, 125.115, -999
20140829, 125.44, 125.5, 124.67, 124.95, 308900, 124.46, 0, 1, 124.95, -999
20140828, 124.66, 125.4, 123.88, 125.23, 221000, 124.74, 0, 1, 124.7, -999
20140827, 124.99, 125.22, 124.33, 124.95, 192600, 124.46, 0, 1, 124.725, -999
20140826, 125.69, 125.95, 124.92, 125.02, 183900, 124.53, 0, 1, 125.11, -999
20140825, 125.45, 126, 124.91, 125.85, 161200, 125.36, 0, 1, 125.405, -999
20140822, 125.75, 125.94, 124.81, 125, 292300, 124.51, 0, 1, 125.13, -999
20140821, 125.76, 126.21, 125.11, 126, 259200, 125.51, 0.44, 1, 125.635, -999
20140820, 125.47, 126.6, 125.17, 126.34, 266300, 125.41, 0, 1, 125.44, -999
20140819, 125.12, 125.84, 125.04, 125.45, 207000, 124.53, 0, 1, 124.825, -999
20140818, 124.51, 125.18, 124.04, 125.03, 165500, 124.11, 0, 1, 124.31, -999
20140815, 125, 125, 123.07, 123.85, 376700, 122.94, 0, 1, 123.97, -999
20140814, 123.85, 124.57, 123.81, 124.55, 247600, 123.63, 0, 1, 123.74, -999
20140813, 122.73, 123.89, 122.41, 123.59, 307300, 122.68, 0, 1, 122.705, -999
20140812, 121.93, 122.82, 121.82, 122.28, 262900, 121.38, 0, 1, 121.655, -999
20140811, 121.71, 122.45, 121.42, 121.75, 201800, 120.85, 0, 1, 121.28, -999
20140808, 119.3, 121.28, 118.95, 121.24, 279000, 120.35, 0, 1, 119.825, -999
20140807, 119.71, 119.71, 118.76, 119.17, 368300, 118.29, 0, 1, 119, -999
20140806, 119, 119.37, 118.28, 118.96, 446100, 118.08, 0, 1, 118.54, -999
20140805, 120.7, 121.2, 119.06, 119.44, 384000, 118.56, 0, 1, 119.63, -999
20140804, 120.21, 121.48, 119.33, 121.19, 651900, 120.3, 0, 1, 120.255, -999
20140801, 120.18, 120.62, 118.41, 119.75, 396300, 118.87, 0, 1, 119.525, -999
20140731, 121.96, 122.34, 120.11, 120.2, 379000, 119.31, 0, 1, 120.635, -999
20140730, 123.84, 124.28, 122.05, 123.04, 319600, 122.13, 0, 1, 122.985, -999
20140729, 124.6, 125.11, 123.59, 123.61, 587400, 122.7, 0, 1, 123.65, -999
20140728, 124.3, 125.01, 123.41, 124.33, 558800, 123.41, 0, 1, 123.855, -999
20140725, 123.71, 124.88, 123.34, 124.67, 387900, 123.75, 0, 1, 123.73, -999
20140724, 123.59, 123.76, 122.63, 123.53, 423900, 122.62, 0, 1, 123.105, -999
20140723, 123.8, 124.03, 122.92, 123.3, 378000, 122.39, 0, 1, 123.095, -999
20140722, 123.69, 124.46, 123.35, 123.65, 371300, 122.74, 0, 1, 123.215, -999
20140721, 122.73, 123.76, 122.73, 122.93, 384800, 122.02, 0, 1, 122.375, -999
20140718, 124.02, 124.77, 123.5, 123.63, 689700, 122.72, 0, 1, 123.37, -999
20140717, 123, 126.59, 122.51, 123.87, 969800, 122.96, 0, 1, 122.98, -999
20140716, 119, 119.53, 118.12, 119.04, 331100, 118.16, 0, 1, 118.58, -999
20140715, 118.69, 119.78, 118.19, 118.47, 334200, 117.6, 0, 1, 118.145, -999
20140714, 119.13, 119.98, 118.66, 119.17, 326200, 118.29, 0, 1, 118.71, -999
20140711, 118.05, 118.2, 117.49, 118.17, 224100, 117.3, 0, 1, 117.675, -999
20140710, 117.43, 118.43, 117.36, 117.84, 144400, 116.97, 0, 1, 117.2, -999
20140709, 119.29, 119.37, 118.84, 119.18, 175700, 118.3, 0, 1, 118.795, -999
20140708, 119.31, 119.33, 118.29, 118.77, 176400, 117.89, 0, 1, 118.6, -999
20140707, 119.6, 120.22, 118.82, 119.41, 182100, 118.53, 0, 1, 119.065, -999
20140703, 119.72, 120.44, 119.61, 120.36, 89700, 119.47, 0, 1, 119.595, -999
20140702, 119.38, 120.4, 118.77, 119.31, 196500, 118.43, 0, 1, 118.905, -999
20140701, 118.66, 120, 118.27, 119.63, 194300, 118.75, 0, 1, 118.705, -999
20140630, 118.51, 118.85, 117.77, 118.52, 218200, 117.65, 0, 1, 118.08, -999
20140627, 117.89, 119, 117.89, 118.65, 278300, 117.78, 0, 1, 117.835, -999
20140626, 118.01, 118.35, 116.82, 118.27, 180400, 117.4, 0, 1, 117.705, -999
20140625, 117.09, 118.22, 116.74, 118.11, 200300, 117.24, 0, 1, 117.165, -999
20140624, 118.01, 118.82, 117.17, 117.24, 351300, 116.38, 0, 1, 117.195, -999
20140623, 119.53, 119.57, 118, 118.27, 220100, 117.4, 0, 1, 118.465, -999
20140620, 118.94, 119.46, 118.38, 119.46, 605900, 118.58, 0, 1, 118.76, -999
