Ticker: SNDK  Created on: 12/6/2014 5:25:59 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 102.93, 104.9, 102.61, 104.47, 2495900, 104.47, 0, 1, 103.7, -999
20141204, 102.89, 104.66, 102.45, 102.64, 3082500, 102.64, 0, 1, 102.765, -999
20141203, 101.07, 103.52, 100.23, 103.36, 3880900, 103.36, 0, 1, 102.215, -999
20141202, 102.2, 102.46, 101.16, 101.31, 2883400, 101.31, 0, 1, 101.755, -999
20141201, 103.78, 103.97, 102.09, 102.86, 2255400, 102.86, 0, 1, 103.32, -999
20141128, 104.15, 104.68, 102.91, 103.46, 1580600, 103.46, 0, 1, 103.805, -999
20141126, 103.26, 105, 102.92, 104.26, 2202700, 104.26, 0, 1, 103.76, -999
20141125, 103, 103.54, 102.42, 103.12, 1988200, 103.12, 0, 1, 103.06, -999
20141124, 101.47, 103.56, 101.31, 102.91, 2587800, 102.91, 0, 1, 102.19, -999
20141121, 100.53, 101.59, 99.6, 100.83, 3597600, 100.83, 0, 1, 100.68, -999
20141120, 97.09, 99.62, 96.86, 99.5, 2037200, 99.5, 0, 1, 98.295, -999
20141119, 99.15, 99.69, 97.53, 98.04, 3172700, 98.04, 0, 1, 98.595, -999
20141118, 97.5, 100.72, 97.35, 99.83, 4278200, 99.83, 0, 1, 98.665, -999
20141117, 95.2, 97.4, 94.88, 97.13, 2698400, 97.13, 0, 1, 96.165, -999
20141114, 95.11, 96.65, 94.47, 96.19, 2499900, 96.19, 0, 1, 95.65, -999
20141113, 94.99, 95.94, 94.39, 94.98, 3641800, 94.98, 0, 1, 94.985, -999
20141112, 92.24, 93, 91.07, 92.83, 2026100, 92.83, 0, 1, 92.535, -999
20141111, 93.28, 93.56, 92.3, 92.68, 1782500, 92.68, 0, 1, 92.98, -999
20141110, 92.41, 93.69, 92.25, 93.26, 1812400, 93.26, 0, 1, 92.835, -999
20141107, 93.59, 93.7, 92.17, 92.83, 3169000, 92.83, 0, 1, 93.21, -999
20141106, 93.95, 94.22, 92.76, 93.48, 2154900, 93.48, 0, 1, 93.715, -999
20141105, 93.74, 94.65, 93.1, 93.95, 2879200, 93.95, 0, 1, 93.845, -999
20141104, 94.28, 94.76, 92.84, 93.3, 2454500, 93.3, 0, 1, 93.79, -999
20141103, 93.59, 96.3, 93.59, 94.42, 3224200, 94.42, 0, 1, 94.005, -999
20141031, 91.99, 94.47, 91.83, 94.14, 4298800, 94.14, 0, 1, 93.065, -999
20141030, 90.01, 91.58, 89.29, 90.31, 3038700, 90.31, 0.3, 1, 90.16, -999
20141029, 90.88, 91.9, 90, 90.89, 2238000, 90.59, 0, 1, 90.735, -999
20141028, 89.51, 90.88, 88.82, 90.87, 2460300, 90.57, 0, 1, 90.04, -999
20141027, 88.29, 90.38, 88.11, 89.25, 2285700, 88.96, 0, 1, 88.625, -999
20141024, 88.88, 89.47, 88.02, 88.76, 2748200, 88.47, 0, 1, 88.675, -999
20141023, 87.73, 89.08, 87.5, 88.46, 4124700, 88.17, 0, 1, 87.95, -999
20141022, 89.1, 89.44, 86.41, 86.59, 4699400, 86.3, 0, 1, 87.7, -999
20141021, 85.59, 89.35, 85.41, 88.63, 6531800, 88.34, 0, 1, 86.965, -999
20141020, 83.08, 85.84, 83, 84.38, 4724200, 84.1, 0, 1, 83.59, -999
20141017, 85, 86.97, 81.36, 82.8, 13042400, 82.53, 0, 1, 83.765, -999
20141016, 82.23, 86.59, 82.07, 85.31, 8026800, 85.03, 0, 1, 83.63, -999
20141015, 81.56, 84.93, 80.26, 84.35, 5208100, 84.07, 0, 1, 82.815, -999
20141014, 83.91, 85.62, 83.04, 83.67, 4970100, 83.39, 0, 1, 83.65, -999
20141013, 86.15, 86.38, 82.67, 82.81, 5372100, 82.54, 0, 1, 84.345, -999
20141010, 88.79, 88.93, 85.07, 86.07, 7090100, 85.79, 0, 1, 87.29, -999
20141009, 92.85, 92.85, 89.85, 89.99, 3883900, 89.69, 0, 1, 91.27, -999
20141008, 92.08, 93.5, 90.04, 93.37, 3780100, 93.06, 0, 1, 92.57, -999
20141007, 92.85, 94.04, 91.53, 91.56, 3102100, 91.26, 0, 1, 92.055, -999
20141006, 95.63, 95.67, 92.43, 93.08, 4712400, 92.77, 0, 1, 94.2, -999
20141003, 95.14, 96.34, 94.9, 95.63, 2445900, 95.31, 0, 1, 95.225, -999
20141002, 95.07, 95.15, 92.01, 94.32, 5040500, 94.01, 0, 1, 94.54, -999
20141001, 97.47, 97.68, 94.59, 95.11, 4062000, 94.8, 0, 1, 96.135, -999
20140930, 100.03, 100.44, 97.88, 97.95, 3186800, 97.63, 0, 1, 98.83, -999
20140929, 97.75, 100.44, 97.15, 99.68, 3347100, 99.35, 0, 1, 98.55, -999
20140926, 98.69, 99.97, 97.81, 99.21, 2750100, 98.88, 0, 1, 98.785, -999
20140925, 99.58, 100.05, 96.7, 96.99, 3477400, 96.67, 0, 1, 98.125, -999
20140924, 99.38, 100.19, 98.03, 99.98, 2431200, 99.65, 0, 1, 99.515, -999
20140923, 98.5, 99.96, 98.5, 98.98, 2069900, 98.65, 0, 1, 98.575, -999
20140922, 100.86, 101.37, 98.42, 98.78, 2704000, 98.45, 0, 1, 99.655, -999
20140919, 103.68, 104.37, 101.11, 101.12, 4410000, 100.79, 0, 1, 102.235, -999
20140918, 100.82, 104.21, 100.82, 103.22, 4754800, 102.88, 0, 1, 101.85, -999
20140917, 99.93, 100.79, 99.15, 100.22, 4051000, 99.89, 0, 1, 99.91, -999
20140916, 97.08, 100.22, 97, 100.04, 2805400, 99.71, 0, 1, 98.395, -999
20140915, 99.01, 99.06, 97.06, 97.34, 2866800, 97.02, 0, 1, 98.015, -999
20140912, 98.89, 99.57, 98.57, 98.97, 2114000, 98.64, 0, 1, 98.765, -999
20140911, 99.46, 100, 97.7, 99.09, 2573000, 98.76, 0, 1, 99.11, -999
20140910, 100.65, 100.78, 98.4, 100, 2597300, 99.67, 0, 1, 100.16, -999
20140909, 99.53, 101.95, 98.5, 100.08, 3698100, 99.75, 0, 1, 99.64, -999
20140908, 98.89, 101.71, 98.86, 99.87, 4000300, 99.54, 0, 1, 99.215, -999
20140905, 97.78, 99.33, 97.08, 98.79, 3895400, 98.46, 0, 1, 98.12, -999
20140904, 96.28, 97.69, 96.08, 96.23, 2516600, 95.91, 0, 1, 96.095, -999
20140903, 96.12, 96.12, 95.26, 95.73, 2769100, 95.41, 0, 1, 95.765, -999
20140902, 98.1, 98.1, 94.68, 95.64, 4588900, 95.32, 0, 1, 96.71, -999
20140829, 98.94, 98.94, 97.67, 97.96, 1954800, 97.64, 0, 1, 98.29, -999
20140828, 98.57, 98.79, 97.49, 98.3, 2444300, 97.98, 0, 1, 98.275, -999
20140827, 98.82, 99.43, 98.35, 98.84, 2304100, 98.51, 0, 1, 98.665, -999
20140826, 99.1, 99.25, 98.08, 98.54, 1931300, 98.21, 0, 1, 98.655, -999
