Ticker: SO  Created on: 12/6/2014 5:26:05 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 47.44, 47.7, 47.22, 47.54, 4754900, 47.54, 0, 1, 47.49, -999
20141204, 47.9, 48.13, 47.65, 47.91, 2910000, 47.91, 0, 1, 47.905, -999
20141203, 48.06, 48.14, 47.72, 47.9, 4661000, 47.9, 0, 1, 47.98, -999
20141202, 47.8, 48.17, 47.42, 47.91, 6944100, 47.91, 0, 1, 47.855, -999
20141201, 47.15, 48.31, 47.07, 47.69, 8389600, 47.69, 0, 1, 47.42, -999
20141128, 46.97, 47.65, 46.97, 47.43, 3030200, 47.43, 0, 1, 47.2, -999
20141126, 46.5, 46.96, 46.5, 46.82, 3554200, 46.82, 0, 1, 46.66, -999
20141125, 46.75, 46.75, 46.3, 46.47, 5812000, 46.47, 0, 1, 46.61, -999
20141124, 47.3, 47.36, 46.62, 46.71, 3938100, 46.71, 0, 1, 47.005, -999
20141121, 47.32, 47.37, 46.83, 47.25, 4304300, 47.25, 0, 1, 47.285, -999
20141120, 47.21, 47.39, 46.9, 47.11, 3242200, 47.11, 0, 1, 47.16, -999
20141119, 47.1, 47.37, 46.93, 47.27, 3807200, 47.27, 0, 1, 47.185, -999
20141118, 47.3, 47.49, 46.98, 47.25, 3837000, 47.25, 0, 1, 47.275, -999
20141117, 46.78, 47.2, 46.56, 47.08, 4181700, 47.08, 0, 1, 46.93, -999
20141114, 46.84, 46.93, 46.46, 46.64, 4937500, 46.64, 0, 1, 46.74, -999
20141113, 47.2, 47.44, 46.74, 46.94, 6020400, 46.94, 0, 1, 47.07, -999
20141112, 47.11, 47.32, 46.79, 47.1, 7148500, 47.1, 0, 1, 47.105, -999
20141111, 47.59, 47.74, 47.35, 47.58, 3751600, 47.58, 0, 1, 47.585, -999
20141110, 47.23, 47.71, 47.05, 47.59, 7325000, 47.59, 0, 1, 47.41, -999
20141107, 47.06, 47.36, 46.89, 47.13, 5179500, 47.13, 0, 1, 47.095, -999
20141106, 47.73, 47.85, 46.83, 47.01, 8836900, 47.01, 0, 1, 47.37, -999
20141105, 46.84, 47.97, 46.84, 47.96, 9145600, 47.96, 0, 1, 47.4, -999
20141104, 46.59, 47.13, 46.52, 46.94, 5769900, 46.94, 0, 1, 46.765, -999
20141103, 46.42, 46.91, 46.37, 46.77, 6521700, 46.77, 0, 1, 46.595, -999
20141031, 46.63, 46.69, 45.86, 46.36, 7530200, 46.36, 0, 1, 46.495, -999
20141030, 46.2, 46.51, 45.97, 46.45, 13174300, 46.45, 0.525, 1, 46.325, -999
20141029, 46.75, 47.22, 45.94, 46.42, 9906100, 45.89, 0, 1, 46.32, -999
20141028, 47.48, 47.59, 46.66, 47.37, 8737400, 46.83, 0, 1, 47.155, -999
20141027, 47.46, 47.69, 47.21, 47.38, 4309600, 46.84, 0, 1, 47.15, -999
20141024, 47.21, 47.5, 47.14, 47.41, 3322900, 46.87, 0, 1, 47.04, -999
20141023, 47.15, 47.44, 46.92, 47.21, 4837400, 46.68, 0, 1, 46.915, -999
20141022, 46.88, 47.39, 46.85, 47.19, 5346000, 46.66, 0, 1, 46.77, -999
20141021, 46.87, 47, 46.58, 46.93, 5173300, 46.4, 0, 1, 46.635, -999
20141020, 46.25, 46.91, 46.22, 46.78, 5548600, 46.25, 0, 1, 46.25, -999
20141017, 46.49, 46.54, 45.52, 46.22, 8993400, 45.7, 0, 1, 46.095, -999
20141016, 46.37, 46.7, 45.9, 46.37, 9931500, 45.85, 0, 1, 46.11, -999
20141015, 46.76, 47.68, 45.82, 46.85, 11743000, 46.32, 0, 1, 46.54, -999
20141014, 46.14, 47.31, 46.01, 46.9, 11546100, 46.37, 0, 1, 46.255, -999
20141013, 45, 46.49, 44.98, 45.85, 10676800, 45.33, 0, 1, 45.165, -999
20141010, 45.04, 45.4, 44.95, 45.11, 6564800, 44.6, 0, 1, 44.82, -999
20141009, 45, 45.41, 44.79, 44.83, 10329900, 44.32, 0, 1, 44.66, -999
20141008, 44.17, 45.1, 44.16, 45.04, 5802800, 44.53, 0, 1, 44.35, -999
20141007, 43.98, 44.58, 43.94, 44.14, 4618100, 43.64, 0, 1, 43.81, -999
20141006, 44.3, 44.37, 43.92, 44.07, 3494800, 43.57, 0, 1, 43.935, -999
20141003, 44.2, 44.25, 43.55, 44.14, 5366900, 43.64, 0, 1, 43.92, -999
20141002, 43.98, 44.44, 43.98, 44.13, 6439700, 43.63, 0, 1, 43.805, -999
20141001, 43.8, 44.28, 43.71, 44.09, 5901500, 43.59, 0, 1, 43.695, -999
20140930, 43.67, 44.01, 43.48, 43.65, 4050500, 43.16, 0, 1, 43.415, -999
20140929, 43.33, 43.67, 43.1, 43.63, 3374100, 43.14, 0, 1, 43.235, -999
20140926, 43.32, 43.6, 43.07, 43.45, 3378300, 42.96, 0, 1, 43.14, -999
20140925, 43.4, 43.67, 43.33, 43.33, 4323400, 42.84, 0, 1, 43.12, -999
20140924, 43.43, 43.59, 43.27, 43.45, 3662200, 42.96, 0, 1, 43.195, -999
20140923, 43.47, 43.6, 43.32, 43.4, 3316400, 42.91, 0, 1, 43.19, -999
20140922, 43.62, 43.84, 43.41, 43.47, 5335600, 42.98, 0, 1, 43.3, -999
20140919, 43.36, 43.77, 43.35, 43.69, 5639100, 43.2, 0, 1, 43.28, -999
20140918, 43.53, 43.73, 43.04, 43.28, 4775700, 42.79, 0, 1, 43.16, -999
20140917, 43.75, 44.07, 43.33, 43.57, 4115300, 43.08, 0, 1, 43.415, -999
20140916, 43.4, 44.09, 43.4, 43.93, 4118800, 43.43, 0, 1, 43.415, -999
20140915, 43.42, 43.68, 43.22, 43.37, 3919700, 42.88, 0, 1, 43.15, -999
20140912, 43.85, 43.89, 43.25, 43.36, 4234500, 42.87, 0, 1, 43.36, -999
20140911, 43.81, 44.1, 43.62, 44.06, 2844600, 43.56, 0, 1, 43.685, -999
20140910, 43.9, 43.99, 43.6, 43.76, 2939700, 43.27, 0, 1, 43.585, -999
20140909, 44.42, 44.5, 43.9, 43.97, 6825800, 43.47, 0, 1, 43.945, -999
20140908, 44.71, 44.82, 44.35, 44.56, 3189100, 44.06, 0, 1, 44.385, -999
20140905, 44.32, 44.79, 44.26, 44.79, 6021000, 44.28, 0, 1, 44.3, -999
20140904, 44.07, 44.22, 43.78, 44.16, 3249800, 43.66, 0, 1, 43.865, -999
20140903, 43.94, 44.26, 43.94, 44.18, 2807400, 43.68, 0, 1, 43.81, -999
20140902, 44.32, 44.44, 43.61, 43.8, 3755100, 43.3, 0, 1, 43.81, -999
20140829, 44.18, 44.4, 44.06, 44.4, 2615100, 43.9, 0, 1, 44.04, -999
20140828, 43.69, 44.27, 43.69, 44.23, 2949900, 43.73, 0, 1, 43.71, -999
20140827, 43.54, 43.84, 43.54, 43.83, 2384400, 43.33, 0, 1, 43.435, -999
20140826, 43.99, 44.08, 43.5, 43.54, 2242600, 43.05, 0, 1, 43.52, -999
20140825, 43.8, 44.02, 43.72, 43.9, 2091500, 43.4, 0, 1, 43.6, -999
20140822, 43.82, 44.04, 43.5, 43.68, 2823900, 43.19, 0, 1, 43.505, -999
20140821, 43.89, 44.14, 43.8, 43.89, 3109600, 43.39, 0, 1, 43.64, -999
20140820, 43.57, 43.84, 43.55, 43.81, 2639700, 43.31, 0, 1, 43.44, -999
20140819, 43.55, 43.81, 43.35, 43.8, 2720600, 43.3, 0, 1, 43.425, -999
20140818, 43.53, 43.72, 43.28, 43.38, 2979800, 42.89, 0, 1, 43.21, -999
20140815, 43.43, 43.82, 43.28, 43.42, 4392400, 42.93, 0, 1, 43.18, -999
20140814, 43.15, 43.47, 43.11, 43.43, 3162300, 42.94, 0, 1, 43.045, -999
20140813, 42.85, 43.28, 42.67, 43.07, 5265700, 42.58, 0, 1, 42.715, -999
20140812, 43.05, 43.38, 43, 43.22, 3515000, 42.73, 0, 1, 42.89, -999
20140811, 43.53, 43.6, 43.04, 43.06, 4739800, 42.57, 0, 1, 43.05, -999
20140808, 42.71, 43.54, 42.7, 43.53, 4982400, 43.04, 0, 1, 42.875, -999
20140807, 42.35, 42.87, 42.26, 42.62, 4409500, 42.14, 0, 1, 42.245, -999
20140806, 42.43, 42.43, 41.87, 42.17, 10041500, 41.69, 0, 1, 42.06, -999
20140805, 42.94, 43.2, 42.45, 42.6, 4339700, 42.12, 0, 1, 42.53, -999
20140804, 43.38, 43.41, 42.35, 43.1, 6639300, 42.61, 0, 1, 42.995, -999
20140801, 43.34, 43.83, 43.25, 43.32, 4193700, 42.83, 0, 1, 43.085, -999
20140731, 43.89, 43.89, 43.22, 43.29, 5675300, 42.8, 0.525, 1, 43.345, -999
20140730, 45, 45, 44.01, 44.38, 6945200, 43.36, 0, 1, 44.18, -999
20140729, 45.47, 45.47, 44.67, 44.86, 5499600, 43.83, 0, 1, 44.65, -999
20140728, 44.62, 45.43, 44.62, 45.36, 5568900, 44.32, 0, 1, 44.47, -999
20140725, 44.87, 44.99, 44.6, 44.74, 7059000, 43.71, 0, 1, 44.29, -999
20140724, 44.91, 44.91, 44.54, 44.78, 3955400, 43.75, 0, 1, 44.33, -999
20140723, 45.09, 45.09, 44.79, 44.81, 3476000, 43.78, 0, 1, 44.435, -999
20140722, 45.03, 45.12, 44.86, 44.91, 2808200, 43.88, 0, 1, 44.455, -999
20140721, 44.89, 45.05, 44.68, 44.91, 2977000, 43.88, 0, 1, 44.385, -999
20140718, 44.71, 44.95, 44.4, 44.89, 3263600, 43.86, 0, 1, 44.285, -999
20140717, 44.6, 44.85, 44.51, 44.55, 4331300, 43.53, 0, 1, 44.065, -999
20140716, 44.6, 44.78, 44.31, 44.77, 3802100, 43.74, 0, 1, 44.17, -999
20140715, 44.18, 44.5, 44.15, 44.47, 3744700, 43.45, 0, 1, 43.815, -999
20140714, 44.52, 44.66, 44.15, 44.18, 3831100, 43.16, 0, 1, 43.84, -999
20140711, 44.63, 44.9, 44.38, 44.53, 4019100, 43.51, 0, 1, 44.07, -999
20140710, 44.48, 44.91, 44.39, 44.64, 5181800, 43.61, 0, 1, 44.045, -999
20140709, 44.68, 44.68, 44.18, 44.46, 3720300, 43.44, 0, 1, 44.06, -999
20140708, 44.25, 44.79, 44.25, 44.54, 4718200, 43.52, 0, 1, 43.885, -999
20140707, 43.92, 44.3, 43.92, 44.21, 4135500, 43.19, 0, 1, 43.555, -999
20140703, 44.07, 44.07, 43.67, 44.01, 4023100, 43, 0, 1, 43.535, -999
20140702, 45.04, 45.04, 44.12, 44.26, 6467300, 43.24, 0, 1, 44.14, -999
20140701, 45.37, 45.37, 44.96, 45.08, 3594500, 44.04, 0, 1, 44.705, -999
