Ticker: SPLS  Created on: 12/6/2014 5:26:07 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 14.32, 14.43, 14.02, 14.38, 14930400, 14.38, 0, 1, 14.35, -999
20141204, 14.47, 14.53, 14.24, 14.24, 14222300, 14.24, 0, 1, 14.355, -999
20141203, 14.16, 14.66, 14.1, 14.43, 18641000, 14.43, 0, 1, 14.295, -999
20141202, 13.89, 14.13, 13.82, 14.11, 12226800, 14.11, 0, 1, 14, -999
20141201, 13.94, 14, 13.63, 13.89, 7964000, 13.89, 0, 1, 13.915, -999
20141128, 13.99, 14.24, 13.97, 14.06, 3930200, 14.06, 0, 1, 14.025, -999
20141126, 14.06, 14.09, 13.79, 13.92, 7995000, 13.92, 0, 1, 13.99, -999
20141125, 14.29, 14.31, 14.06, 14.09, 9227200, 14.09, 0, 1, 14.19, -999
20141124, 14.1, 14.33, 14, 14.24, 10687600, 14.24, 0, 1, 14.17, -999
20141121, 14.06, 14.13, 13.95, 14.05, 11130100, 14.05, 0, 1, 14.055, -999
20141120, 13.75, 14.08, 13.61, 13.91, 17516000, 13.91, 0, 1, 13.83, -999
20141119, 13.09, 14.14, 13.08, 13.92, 41665700, 13.92, 0, 1, 13.505, -999
20141118, 12.95, 12.97, 12.58, 12.76, 16076800, 12.76, 0, 1, 12.855, -999
20141117, 13.42, 13.43, 12.94, 12.97, 18165900, 12.97, 0, 1, 13.195, -999
20141114, 13.42, 13.5, 13.34, 13.45, 6127000, 13.45, 0, 1, 13.435, -999
20141113, 13.42, 13.5, 13.29, 13.4, 5947500, 13.4, 0, 1, 13.41, -999
20141112, 13.04, 13.43, 12.95, 13.37, 15609300, 13.37, 0, 1, 13.205, -999
20141111, 13.1, 13.17, 12.94, 13.04, 10668000, 13.04, 0, 1, 13.07, -999
20141110, 12.9, 13.17, 12.86, 13.16, 5349800, 13.16, 0, 1, 13.03, -999
20141107, 12.94, 13.03, 12.84, 12.93, 5970500, 12.93, 0, 1, 12.935, -999
20141106, 12.93, 13, 12.76, 12.91, 4798700, 12.91, 0, 1, 12.92, -999
20141105, 13.06, 13.16, 12.94, 12.96, 6524800, 12.96, 0, 1, 13.01, -999
20141104, 12.93, 13.15, 12.76, 12.91, 9974900, 12.91, 0, 1, 12.92, -999
20141103, 12.64, 12.89, 12.55, 12.85, 6570200, 12.85, 0, 1, 12.745, -999
20141031, 12.71, 12.76, 12.65, 12.68, 6661700, 12.68, 0, 1, 12.695, -999
20141030, 12.31, 12.57, 12.31, 12.56, 3370100, 12.56, 0, 1, 12.435, -999
20141029, 12.4, 12.49, 12.27, 12.36, 3463100, 12.36, 0, 1, 12.38, -999
20141028, 12.47, 12.51, 12.26, 12.36, 4364600, 12.36, 0, 1, 12.415, -999
20141027, 12.46, 12.5, 12.22, 12.46, 4861900, 12.46, 0, 1, 12.46, -999
20141024, 12.5, 12.52, 12.33, 12.51, 3584400, 12.51, 0, 1, 12.505, -999
20141023, 12.6, 12.64, 12.48, 12.52, 4465300, 12.52, 0, 1, 12.56, -999
20141022, 12.51, 12.68, 12.4, 12.43, 8270800, 12.43, 0, 1, 12.47, -999
20141021, 12.17, 12.46, 12.13, 12.46, 5754600, 12.46, 0, 1, 12.315, -999
20141020, 11.99, 12.37, 11.93, 12.3, 6446100, 12.3, 0, 1, 12.145, -999
20141017, 12.08, 12.1, 11.67, 11.92, 10154400, 11.92, 0, 1, 12, -999
20141016, 11.98, 12.13, 11.77, 11.99, 11909100, 11.99, 0, 1, 11.985, -999
20141015, 12.06, 12.2, 11.85, 12.14, 9750400, 12.14, 0, 1, 12.1, -999
20141014, 12.16, 12.5, 12.02, 12.25, 11547300, 12.25, 0, 1, 12.205, -999
20141013, 11.85, 12.18, 11.81, 12.11, 14766900, 12.11, 0, 1, 11.98, -999
20141010, 11.77, 12.03, 11.7, 11.95, 13764600, 11.95, 0, 1, 11.86, -999
20141009, 11.65, 11.77, 11.61, 11.74, 11397100, 11.74, 0, 1, 11.695, -999
20141008, 11.55, 11.76, 11.39, 11.76, 10303400, 11.76, 0, 1, 11.655, -999
20141007, 11.71, 11.79, 11.43, 11.49, 8864400, 11.49, 0, 1, 11.6, -999
20141006, 11.97, 12.1, 11.77, 11.8, 7374800, 11.8, 0, 1, 11.885, -999
20141003, 11.98, 12, 11.73, 11.96, 10743900, 11.96, 0, 1, 11.97, -999
20141002, 11.84, 12.04, 11.72, 11.92, 11293900, 11.92, 0, 1, 11.88, -999
20141001, 12.05, 12.14, 11.82, 11.86, 11821900, 11.86, 0, 1, 11.955, -999
20140930, 12.18, 12.19, 12.03, 12.1, 7644400, 12.1, 0, 1, 12.14, -999
20140929, 12.39, 12.43, 12.13, 12.15, 10351200, 12.15, 0, 1, 12.27, -999
20140926, 12.58, 12.76, 12.46, 12.48, 7788000, 12.48, 0, 1, 12.53, -999
20140925, 12.77, 12.8, 12.46, 12.59, 9818300, 12.59, 0, 1, 12.68, -999
20140924, 12.74, 12.9, 12.7, 12.82, 8528800, 12.82, 0.12, 1, 12.78, -999
20140923, 12.83, 12.9, 12.76, 12.81, 9691900, 12.69, 0, 1, 12.76, -999
20140922, 13.05, 13.18, 12.74, 12.83, 9929100, 12.71, 0, 1, 12.88, -999
20140919, 13.1, 13.28, 13, 13.05, 10546400, 12.93, 0, 1, 13.015, -999
20140918, 13.06, 13.14, 12.95, 13.04, 6902200, 12.92, 0, 1, 12.99, -999
