Ticker: SPY  Created on: 12/6/2014 5:26:38 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 207.87, 208.47, 207.55, 208, 85031000, 208, 0, 1, 207.935, -999
20141204, 207.54, 208.27, 206.7, 207.66, 89928200, 207.66, 0, 1, 207.6, -999
20141203, 207.3, 208.15, 207.1, 207.89, 69450000, 207.89, 0, 1, 207.595, -999
20141202, 205.81, 207.34, 205.78, 207.09, 72105500, 207.09, 0, 1, 206.45, -999
20141201, 206.3, 206.6, 205.38, 205.64, 12670100, 205.64, 0, 1, 205.97, -999
20141128, 207.49, 207.87, 206.91, 207.2, 57890100, 207.2, 0, 1, 207.345, -999
20141126, 207.29, 207.76, 207.03, 207.64, 61928400, 207.64, 0, 1, 207.465, -999
20141125, 207.54, 207.79, 206.8, 207.11, 79043300, 207.11, 0, 1, 207.325, -999
20141124, 207.17, 207.39, 206.91, 207.26, 65710100, 207.26, 0, 1, 207.215, -999
20141121, 207.64, 207.84, 205.98, 206.68, 142281500, 206.68, 0, 1, 207.16, -999
20141120, 204.26, 205.71, 204.18, 205.58, 72506900, 205.58, 0, 1, 204.92, -999
20141119, 205.31, 205.55, 204.3, 205.22, 82271200, 205.22, 0, 1, 205.265, -999
20141118, 204.44, 205.92, 204.44, 205.55, 75981700, 205.55, 0, 1, 204.995, -999
20141117, 203.85, 204.58, 203.65, 204.37, 80380500, 204.37, 0, 1, 204.11, -999
20141114, 204.1, 204.49, 203.72, 204.24, 80374200, 204.24, 0, 1, 204.17, -999
20141113, 204.16, 204.83, 203.21, 204.19, 85209900, 204.19, 0, 1, 204.175, -999
20141112, 203.35, 204.24, 203.31, 203.96, 90010300, 203.96, 0, 1, 203.655, -999
20141111, 204.06, 204.31, 203.65, 204.18, 54297600, 204.18, 0, 1, 204.12, -999
20141110, 203.38, 204.04, 203.13, 203.98, 66133300, 203.98, 0, 1, 203.68, -999
20141107, 203.17, 203.6, 202.61, 203.34, 89540000, 203.34, 0, 1, 203.255, -999
20141106, 202.39, 203.26, 201.64, 203.15, 107089000, 203.15, 0, 1, 202.77, -999
20141105, 202.54, 202.59, 201.45, 202.34, 91709000, 202.34, 0, 1, 202.44, -999
20141104, 201.23, 201.6, 200.06, 201.07, 93343000, 201.07, 0, 1, 201.15, -999
20141103, 201.92, 202.45, 201.31, 201.77, 93734000, 201.77, 0, 1, 201.845, -999
20141031, 201.78, 201.82, 200.77, 201.66, 146903000, 201.66, 0, 1, 201.72, -999
20141030, 197.58, 199.95, 197.4, 199.38, 113330000, 199.38, 0, 1, 198.48, -999
20141029, 198.55, 199.12, 196.8, 198.11, 142557000, 198.11, 0, 1, 198.33, -999
20141028, 196.82, 198.42, 196.73, 198.41, 106255600, 198.41, 0, 1, 197.615, -999
20141027, 195.73, 196.45, 195.03, 196.16, 82954000, 196.16, 0, 1, 195.945, -999
20141024, 195.25, 196.49, 194.49, 196.43, 117927000, 196.43, 0, 1, 195.84, -999
20141023, 194.62, 196.2, 194.26, 194.93, 154944000, 194.93, 0, 1, 194.775, -999
20141022, 194.41, 194.91, 192.61, 192.69, 151822000, 192.69, 0, 1, 193.55, -999
20141021, 191.68, 194.2, 191.48, 194.07, 154949000, 194.07, 0, 1, 192.875, -999
20141020, 188.13, 190.45, 188.07, 190.3, 130011000, 190.3, 0, 1, 189.215, -999
20141017, 188.42, 189.75, 187.62, 188.47, 214625000, 188.47, 0, 1, 188.445, -999
20141016, 183.06, 187.58, 182.89, 186.27, 270391000, 186.27, 0, 1, 184.665, -999
20141015, 185.16, 187.69, 181.92, 186.43, 380715000, 186.43, 0, 1, 185.795, -999
20141014, 188.42, 189.82, 187.04, 187.7, 215847000, 187.7, 0, 1, 188.06, -999
20141013, 190.46, 191.15, 187.3, 187.41, 230939000, 187.41, 0, 1, 188.935, -999
20141010, 192.69, 193.65, 190.49, 190.54, 221909000, 190.54, 0, 1, 191.615, -999
20141009, 196.33, 196.6, 192.58, 192.74, 210705000, 192.74, 0, 1, 194.535, -999
