Ticker: STI  Created on: 12/6/2014 5:26:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 40.4, 41.65, 40.4, 41.32, 4863300, 41.32, 0, 1, 40.86, -999
20141204, 39.8, 40.06, 39.52, 40.03, 2679900, 40.03, 0, 1, 39.915, -999
20141203, 39.44, 39.89, 39.37, 39.85, 2187400, 39.85, 0, 1, 39.645, -999
20141202, 38.85, 39.56, 38.85, 39.39, 3298100, 39.39, 0, 1, 39.12, -999
20141201, 39.03, 39.2, 38.49, 38.85, 3045100, 38.85, 0, 1, 38.94, -999
20141128, 39.67, 39.82, 39.22, 39.29, 1167700, 39.29, 0, 1, 39.48, -999
20141126, 39.75, 39.83, 39.38, 39.67, 1898300, 39.67, 0, 1, 39.71, -999
20141125, 39.7, 39.85, 39.5, 39.76, 2006900, 39.76, 0, 1, 39.73, -999
20141124, 39.63, 39.93, 39.58, 39.9, 2102200, 39.7, 0, 1, 39.665, -999
20141121, 39.8, 39.91, 39.29, 39.46, 2603800, 39.26, 0, 1, 39.53, -999
20141120, 39.01, 39.47, 39, 39.45, 2116400, 39.25, 0, 1, 39.13, -999
20141119, 39.62, 39.71, 39.12, 39.34, 2550500, 39.14, 0, 1, 39.38, -999
20141118, 39.46, 39.82, 39.45, 39.62, 1447700, 39.42, 0, 1, 39.44, -999
20141117, 39.68, 39.68, 39.17, 39.43, 1723600, 39.23, 0, 1, 39.455, -999
20141114, 39.68, 39.95, 39.49, 39.56, 1586400, 39.36, 0, 1, 39.52, -999
20141113, 39.85, 39.91, 39.45, 39.78, 2789500, 39.58, 0, 1, 39.715, -999
20141112, 39.59, 39.9, 39.35, 39.85, 2171900, 39.65, 0, 1, 39.62, -999
20141111, 39.83, 39.95, 39.66, 39.76, 1705000, 39.56, 0, 1, 39.695, -999
20141110, 39.59, 39.88, 39.52, 39.83, 2345900, 39.63, 0, 1, 39.61, -999
20141107, 39.69, 39.86, 39.5, 39.66, 1808200, 39.46, 0, 1, 39.575, -999
20141106, 39.63, 39.84, 39.34, 39.82, 1979800, 39.62, 0, 1, 39.625, -999
20141105, 39.3, 39.6, 39.14, 39.6, 2566000, 39.4, 0, 1, 39.35, -999
20141104, 39.04, 39.14, 38.54, 39.05, 2826900, 38.85, 0, 1, 38.945, -999
20141103, 39.29, 39.48, 38.96, 39.02, 2454900, 38.82, 0, 1, 39.055, -999
20141031, 39.04, 39.14, 38.79, 39.14, 3067700, 38.94, 0, 1, 38.99, -999
20141030, 38.54, 38.82, 38.28, 38.58, 2967100, 38.39, 0, 1, 38.465, -999
20141029, 38.36, 38.78, 38.18, 38.62, 3655800, 38.43, 0, 1, 38.395, -999
20141028, 37.9, 38.43, 37.86, 38.43, 3399700, 38.24, 0, 1, 38.07, -999
20141027, 37.29, 37.89, 37.27, 37.85, 3772400, 37.66, 0, 1, 37.475, -999
20141024, 37.04, 37.45, 36.98, 37.41, 2647800, 37.22, 0, 1, 37.13, -999
20141023, 37.2, 37.39, 37, 37.09, 2788600, 36.9, 0, 1, 37.05, -999
20141022, 37.15, 37.42, 36.73, 36.73, 3622300, 36.55, 0, 1, 36.85, -999
20141021, 36.77, 37.29, 36.73, 37.16, 3901300, 36.97, 0, 1, 36.87, -999
20141020, 35.92, 36.63, 35.86, 36.48, 5058300, 36.3, 0, 1, 36.11, -999
20141017, 35.49, 36.28, 35.41, 35.84, 6799800, 35.66, 0, 1, 35.575, -999
20141016, 34.14, 35.24, 33.97, 34.94, 5061200, 34.76, 0, 1, 34.45, -999
20141015, 35.36, 35.37, 34.03, 34.73, 7143500, 34.56, 0, 1, 34.96, -999
20141014, 35.75, 36.14, 35.6, 35.77, 4531400, 35.59, 0, 1, 35.67, -999
20141013, 36.07, 36.29, 35.6, 35.62, 5778700, 35.44, 0, 1, 35.755, -999
20141010, 36.44, 36.79, 35.97, 35.97, 4885100, 35.79, 0, 1, 36.115, -999
20141009, 37.38, 37.43, 36.35, 36.43, 4757000, 36.25, 0, 1, 36.815, -999
20141008, 36.98, 37.49, 36.82, 37.49, 4900800, 37.3, 0, 1, 37.14, -999
20141007, 37.32, 37.56, 37.05, 37.05, 4194200, 36.86, 0, 1, 37.09, -999
20141006, 38.11, 38.22, 37.65, 37.65, 4425100, 37.46, 0, 1, 37.785, -999
20141003, 37.86, 38.13, 37.8, 37.97, 4544700, 37.78, 0, 1, 37.82, -999
20141002, 37.51, 37.9, 37.24, 37.63, 4446200, 37.44, 0, 1, 37.475, -999
20141001, 38.07, 38.1, 37.55, 37.64, 4023700, 37.45, 0, 1, 37.76, -999
20140930, 38.45, 38.51, 37.87, 38.03, 3748400, 37.84, 0, 1, 38.145, -999
20140929, 38.24, 38.54, 38.2, 38.34, 2214900, 38.15, 0, 1, 38.195, -999
20140926, 38.48, 38.64, 38.27, 38.57, 2153900, 38.38, 0, 1, 38.43, -999
20140925, 38.85, 38.87, 38.14, 38.38, 3457400, 38.19, 0, 1, 38.52, -999
20140924, 39.07, 39.17, 38.52, 38.9, 4309900, 38.71, 0, 1, 38.89, -999
20140923, 39.29, 39.49, 39.05, 39.06, 3269100, 38.86, 0, 1, 39.075, -999
20140922, 39.81, 39.92, 39.29, 39.39, 2887500, 39.19, 0, 1, 39.5, -999
20140919, 40.39, 40.47, 39.81, 39.84, 3230500, 39.64, 0, 1, 40.015, -999
20140918, 39.88, 40.24, 39.87, 40.12, 3214500, 39.92, 0, 1, 39.9, -999
20140917, 39.43, 39.97, 39.27, 39.72, 3645400, 39.52, 0, 1, 39.475, -999
20140916, 39.11, 39.6, 39.03, 39.37, 4233300, 39.17, 0, 1, 39.14, -999
20140915, 39.03, 39.35, 39.03, 39.21, 3579200, 39.01, 0, 1, 39.02, -999
20140912, 39.15, 39.61, 39.01, 39.07, 5759100, 38.87, 0, 1, 39.01, -999
20140911, 38.88, 39.17, 38.78, 39.07, 3461500, 38.87, 0, 1, 38.875, -999
20140910, 38.6, 39.07, 38.41, 38.96, 3861400, 38.76, 0, 1, 38.68, -999
20140909, 38.55, 38.68, 38.27, 38.46, 3122300, 38.27, 0, 1, 38.41, -999
20140908, 38.38, 38.75, 38.37, 38.68, 2948300, 38.49, 0, 1, 38.435, -999
20140905, 38.35, 38.54, 38.05, 38.5, 2407900, 38.31, 0, 1, 38.33, -999
20140904, 38.28, 38.73, 38.16, 38.46, 2613100, 38.27, 0, 1, 38.275, -999
20140903, 38.5, 38.51, 37.99, 38.19, 2216800, 38, 0, 1, 38.25, -999
20140902, 38.2, 38.37, 37.9, 38.22, 2254200, 38.03, 0, 1, 38.115, -999
20140829, 38.03, 38.13, 37.71, 38.08, 1607400, 37.89, 0, 1, 37.96, -999
20140828, 37.84, 38.08, 37.62, 37.91, 1638500, 37.72, 0, 1, 37.78, -999
20140827, 38.26, 38.36, 37.84, 37.98, 2026600, 37.79, 0.2, 1, 38.025, -999
20140826, 38.46, 38.64, 38.36, 38.46, 2346800, 38.07, 0, 1, 38.265, -999
20140825, 38.36, 38.54, 38.27, 38.45, 1849200, 38.06, 0, 1, 38.21, -999
20140822, 38.29, 38.52, 38.11, 38.13, 2636900, 37.74, 0, 1, 38.015, -999
20140821, 37.54, 38.59, 37.47, 38.4, 5543300, 38.01, 0, 1, 37.775, -999
20140820, 37.15, 37.51, 37.06, 37.47, 2096000, 37.09, 0, 1, 37.12, -999
20140819, 37.26, 37.44, 37.14, 37.27, 2259800, 36.89, 0, 1, 37.075, -999
20140818, 36.99, 37.33, 36.93, 37.18, 2875800, 36.8, 0, 1, 36.895, -999
20140815, 37.11, 37.18, 36.56, 36.81, 2810300, 36.44, 0, 1, 36.775, -999
20140814, 36.86, 37.12, 36.83, 36.97, 1896700, 36.59, 0, 1, 36.725, -999
20140813, 36.84, 37.03, 36.7, 36.93, 2404100, 36.55, 0, 1, 36.695, -999
20140812, 36.59, 36.88, 36.44, 36.57, 3107600, 36.2, 0, 1, 36.395, -999
20140811, 37.05, 37.05, 36.58, 36.6, 2234000, 36.23, 0, 1, 36.64, -999
20140808, 36.55, 37.03, 36.42, 37, 2844200, 36.62, 0, 1, 36.585, -999
20140807, 37.19, 37.21, 36.42, 36.55, 2516300, 36.18, 0, 1, 36.685, -999
20140806, 36.89, 37.36, 36.88, 37.02, 2657600, 36.64, 0, 1, 36.765, -999
20140805, 37.4, 37.57, 36.91, 37, 3411800, 36.62, 0, 1, 37.01, -999
20140804, 37.71, 37.73, 37.02, 37.5, 3836900, 37.12, 0, 1, 37.415, -999
20140801, 38.06, 38.18, 37.32, 37.52, 3019800, 37.14, 0, 1, 37.6, -999
20140731, 38.5, 38.65, 38.05, 38.05, 2972100, 37.66, 0, 1, 38.08, -999
20140730, 38.76, 39.02, 38.48, 38.7, 2381200, 38.31, 0, 1, 38.535, -999
20140729, 38.67, 38.84, 38.48, 38.5, 2847300, 38.11, 0, 1, 38.39, -999
20140728, 39, 39.04, 38.53, 38.68, 2629500, 38.29, 0, 1, 38.645, -999
20140725, 38.81, 39.11, 38.77, 39.08, 2590700, 38.68, 0, 1, 38.745, -999
20140724, 38.69, 39.11, 38.58, 38.91, 3592700, 38.51, 0, 1, 38.6, -999
20140723, 38.29, 38.64, 37.92, 38.5, 4851400, 38.11, 0, 1, 38.2, -999
20140722, 38.96, 39.11, 38.22, 38.25, 7065200, 37.86, 0, 1, 38.41, -999
20140721, 39.91, 39.92, 38.66, 39.28, 5810700, 38.88, 0, 1, 39.395, -999
20140718, 39.38, 39.82, 39.26, 39.72, 3580300, 39.32, 0, 1, 39.35, -999
20140717, 40.09, 40.12, 38.95, 39.07, 4395300, 38.67, 0, 1, 39.38, -999
20140716, 40.79, 40.84, 40.23, 40.36, 3458500, 39.95, 0, 1, 40.37, -999
20140715, 40.08, 40.8, 40.07, 40.72, 4468000, 40.31, 0, 1, 40.195, -999
20140714, 40.18, 40.32, 39.76, 39.82, 1993800, 39.41, 0, 1, 39.795, -999
20140711, 39.45, 39.99, 39.29, 39.85, 2497300, 39.44, 0, 1, 39.445, -999
20140710, 39.35, 39.77, 39.2, 39.65, 3277900, 39.25, 0, 1, 39.3, -999
20140709, 39.71, 40, 39.67, 39.87, 2797200, 39.46, 0, 1, 39.585, -999
20140708, 40.14, 40.18, 39.5, 39.62, 3027300, 39.22, 0, 1, 39.68, -999
20140707, 40.76, 40.76, 40.21, 40.27, 3213400, 39.86, 0, 1, 40.31, -999
20140703, 40.4, 40.86, 40.36, 40.76, 1951700, 40.34, 0, 1, 40.37, -999
20140702, 40.12, 40.31, 39.96, 40.18, 2626500, 39.77, 0, 1, 39.945, -999
20140701, 40.25, 40.64, 40.11, 40.12, 4246400, 39.71, 0, 1, 39.98, -999
20140630, 40.14, 40.29, 39.95, 40.06, 2870800, 39.65, 0, 1, 39.895, -999
20140627, 40.07, 40.27, 39.93, 40.22, 2192700, 39.81, 0, 1, 39.94, -999
20140626, 40.33, 40.33, 39.79, 40.16, 2808600, 39.75, 0, 1, 40.04, -999
20140625, 40, 40.4, 39.75, 40.3, 2442800, 39.89, 0, 1, 39.945, -999
20140624, 40.28, 40.84, 40.04, 40.11, 3127100, 39.7, 0, 1, 39.99, -999
20140623, 40.56, 40.65, 40.27, 40.42, 2009300, 40.01, 0, 1, 40.285, -999
20140620, 40.35, 40.65, 40.34, 40.47, 3694700, 40.06, 0, 1, 40.205, -999
20140619, 40.38, 40.44, 39.96, 40.18, 2639500, 39.77, 0, 1, 40.075, -999
20140618, 40.35, 40.45, 40.04, 40.42, 2763700, 40.01, 0, 1, 40.18, -999
20140617, 39.74, 40.62, 39.69, 40.49, 3368100, 40.08, 0, 1, 39.91, -999
20140616, 40.12, 40.22, 39.7, 39.85, 3456400, 39.44, 0, 1, 39.78, -999
20140613, 40.07, 40.36, 39.95, 40.26, 3399200, 39.85, 0, 1, 39.96, -999
20140612, 40.2, 40.34, 39.86, 40.02, 2535000, 39.61, 0, 1, 39.905, -999
20140611, 40.22, 40.38, 40.04, 40.31, 2592100, 39.9, 0, 1, 40.06, -999
20140610, 40.37, 40.51, 40.2, 40.37, 2548800, 39.96, 0, 1, 40.165, -999
20140609, 39.95, 40.69, 39.91, 40.46, 4256200, 40.05, 0, 1, 40, -999
20140606, 39.28, 39.81, 39.28, 39.64, 4332700, 39.24, 0, 1, 39.26, -999
20140605, 38.93, 39.33, 38.55, 39.2, 4971600, 38.8, 0, 1, 38.865, -999
20140604, 38.92, 39.13, 38.73, 38.83, 2045100, 38.43, 0, 1, 38.675, -999
20140603, 38.84, 39.21, 38.72, 38.99, 2278000, 38.59, 0, 1, 38.715, -999
20140602, 38.43, 38.93, 38.28, 38.87, 2700800, 38.47, 0, 1, 38.45, -999
20140530, 38.15, 38.57, 38.15, 38.32, 1887400, 37.93, 0, 1, 38.04, -999
