Ticker: STJ  Created on: 12/6/2014 5:26:06 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 69.68, 70.24, 69.26, 69.95, 1705200, 69.95, 0, 1, 69.815, -999
20141204, 69.2, 69.33, 68.63, 69.33, 1412800, 69.33, 0, 1, 69.265, -999
20141203, 68.01, 69.42, 67.82, 69.16, 1966900, 69.16, 0, 1, 68.585, -999
20141202, 67.51, 68.28, 67.36, 68.14, 1256300, 68.14, 0, 1, 67.825, -999
20141201, 67.61, 67.94, 67.19, 67.33, 1273700, 67.33, 0, 1, 67.47, -999
20141128, 67.97, 68.38, 67.83, 67.96, 848400, 67.96, 0, 1, 67.965, -999
20141126, 67.76, 68, 67.41, 67.84, 844400, 67.84, 0, 1, 67.8, -999
20141125, 67.86, 68.46, 67.64, 67.83, 1947100, 67.83, 0, 1, 67.845, -999
20141124, 66.83, 68.19, 66.83, 68.09, 3211200, 68.09, 0, 1, 67.46, -999
20141121, 65.32, 66.81, 65.32, 66.8, 2890100, 66.8, 0, 1, 66.06, -999
20141120, 63.88, 64.28, 63.45, 64.27, 1646900, 64.27, 0, 1, 64.075, -999
20141119, 64.85, 65.06, 63.66, 63.97, 3223000, 63.97, 0, 1, 64.41, -999
20141118, 65.31, 65.44, 64.6, 64.95, 2576100, 64.95, 0, 1, 65.13, -999
20141117, 64.77, 65.4, 64.51, 65.17, 1208200, 65.17, 0, 1, 64.97, -999
20141114, 65.6, 65.65, 64.62, 64.99, 1118800, 64.99, 0, 1, 65.295, -999
20141113, 65.69, 66.18, 65.44, 65.71, 1073900, 65.71, 0, 1, 65.7, -999
20141112, 65.49, 65.85, 65.21, 65.68, 1161900, 65.68, 0, 1, 65.585, -999
20141111, 65.89, 66.11, 65.42, 65.78, 926100, 65.78, 0, 1, 65.835, -999
20141110, 64.91, 65.7, 64.83, 65.7, 923900, 65.7, 0, 1, 65.305, -999
20141107, 66, 66.15, 64.57, 64.76, 1447500, 64.76, 0, 1, 65.38, -999
20141106, 65.35, 66.15, 64.9, 66.04, 1723800, 66.04, 0, 1, 65.695, -999
20141105, 64.85, 65.27, 64.34, 65.22, 1666500, 65.22, 0, 1, 65.035, -999
20141104, 63.87, 64.5, 63.73, 64.42, 2082400, 64.42, 0, 1, 64.145, -999
20141103, 64.18, 64.71, 64, 64.4, 2143700, 64.4, 0, 1, 64.29, -999
20141031, 64.62, 64.85, 63.3, 64.17, 3733300, 64.17, 0, 1, 64.395, -999
20141030, 61.84, 66.79, 61.71, 64.28, 3549000, 64.28, 0, 1, 63.06, -999
20141029, 61.42, 61.94, 61.2, 61.9, 1869800, 61.9, 0, 1, 61.66, -999
20141028, 60.58, 61.46, 60.07, 61.31, 1764100, 61.31, 0, 1, 60.945, -999
20141027, 60.46, 60.8, 60.02, 60.42, 1826800, 60.42, 0, 1, 60.44, -999
20141024, 60.23, 60.48, 59.82, 60.47, 1385700, 60.47, 0, 1, 60.35, -999
20141023, 60.21, 60.37, 59.8, 60.02, 2359200, 60.02, 0, 1, 60.115, -999
20141022, 60.2, 60.49, 59.65, 59.75, 3160800, 59.75, 0, 1, 59.975, -999
20141021, 59.45, 60.11, 59.1, 59.99, 1918400, 59.99, 0, 1, 59.72, -999
20141020, 58.02, 58.99, 57.68, 58.96, 2580200, 58.96, 0, 1, 58.49, -999
20141017, 57.27, 58.59, 57.05, 58.28, 2781500, 58.28, 0, 1, 57.775, -999
20141016, 54.81, 57.51, 54.8, 56.74, 2842800, 56.74, 0, 1, 55.775, -999
20141015, 57.35, 59.46, 56.64, 57.28, 4545400, 57.28, 0, 1, 57.315, -999
20141014, 60.65, 61.34, 59.89, 59.91, 3001000, 59.91, 0, 1, 60.28, -999
20141013, 60.89, 61.42, 60.36, 60.62, 2107600, 60.62, 0, 1, 60.755, -999
20141010, 61.89, 62.48, 60.79, 60.79, 1946800, 60.79, 0, 1, 61.34, -999
20141009, 62.4, 62.8, 61.52, 61.95, 2727900, 61.95, 0, 1, 62.175, -999
20141008, 61.39, 62.66, 61.25, 62.58, 1175400, 62.58, 0, 1, 61.985, -999
20141007, 61.8, 62.45, 61.35, 61.45, 1729700, 61.45, 0, 1, 61.625, -999
20141006, 62.14, 62.81, 62.04, 62.39, 1935600, 62.39, 0, 1, 62.265, -999
20141003, 61.34, 62.22, 61.16, 61.82, 1480900, 61.82, 0, 1, 61.58, -999
20141002, 60.35, 61.02, 59.91, 60.77, 1456900, 60.77, 0, 1, 60.56, -999
20141001, 60.28, 60.47, 59.78, 60.38, 2735300, 60.38, 0, 1, 60.33, -999
20140930, 61.36, 61.46, 60.07, 60.13, 2538900, 60.13, 0, 1, 60.745, -999
20140929, 60.98, 61.37, 60.79, 61.14, 856400, 61.14, 0, 1, 61.06, -999
20140926, 61.27, 62.03, 61.1, 61.64, 1317100, 61.64, 0.27, 1, 61.455, -999
20140925, 62.07, 62.07, 61, 61.17, 1433000, 60.9, 0, 1, 61.485, -999
20140924, 61.81, 62.32, 61.38, 62.11, 1151700, 61.84, 0, 1, 61.825, -999
20140923, 62.05, 62.32, 61.65, 61.68, 1185900, 61.41, 0, 1, 61.73, -999
20140922, 62.25, 62.5, 61.69, 62.4, 1796800, 62.12, 0, 1, 62.185, -999
20140919, 63.85, 63.88, 62.19, 62.24, 2019000, 61.97, 0, 1, 62.91, -999
20140918, 63.39, 63.67, 63.16, 63.46, 1726900, 63.18, 0, 1, 63.285, -999
20140917, 62.76, 63.56, 62.76, 63.28, 1516000, 63, 0, 1, 62.88, -999
20140916, 62.2, 62.79, 61.33, 62.76, 1768000, 62.48, 0, 1, 62.34, -999
20140915, 63.06, 63.07, 62.15, 62.19, 1666100, 61.92, 0, 1, 62.49, -999
20140912, 64.79, 64.81, 62.64, 63.08, 2529600, 62.8, 0, 1, 63.795, -999
20140911, 64.59, 64.96, 64.06, 64.83, 973400, 64.54, 0, 1, 64.565, -999
20140910, 65.1, 65.21, 64.7, 64.81, 1085500, 64.52, 0, 1, 64.81, -999
20140909, 65.21, 65.31, 64.62, 64.83, 1207200, 64.54, 0, 1, 64.875, -999
20140908, 65.5, 65.59, 64.94, 65.21, 777500, 64.92, 0, 1, 65.21, -999
20140905, 65.08, 65.48, 64.64, 65.48, 800100, 65.19, 0, 1, 65.135, -999
20140904, 65.38, 65.93, 65.01, 65.16, 916200, 64.87, 0, 1, 65.125, -999
20140903, 65.89, 65.99, 65.22, 65.33, 1434500, 65.04, 0, 1, 65.465, -999
20140902, 65.69, 65.81, 65.13, 65.58, 1161900, 65.29, 0, 1, 65.49, -999
20140829, 65.02, 65.77, 64.87, 65.59, 1331400, 65.3, 0, 1, 65.16, -999
20140828, 64.75, 65.22, 64.43, 64.87, 966500, 64.58, 0, 1, 64.665, -999
20140827, 64.93, 65.1, 64.67, 64.89, 792200, 64.6, 0, 1, 64.765, -999
20140826, 64.85, 64.96, 64.34, 64.82, 1503400, 64.53, 0, 1, 64.69, -999
20140825, 64.79, 65.24, 64.58, 64.82, 697300, 64.53, 0, 1, 64.66, -999
20140822, 64.59, 64.94, 64.41, 64.55, 1068100, 64.27, 0, 1, 64.43, -999
20140821, 64.47, 64.74, 64.26, 64.55, 884200, 64.27, 0, 1, 64.37, -999
20140820, 64.43, 64.77, 64.06, 64.33, 1686800, 64.05, 0, 1, 64.24, -999
20140819, 64.16, 64.57, 63.82, 64.55, 1304900, 64.27, 0, 1, 64.215, -999
