Ticker: STT  Created on: 12/6/2014 5:26:08 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 78.87, 79.64, 78.77, 79.28, 1826400, 79.28, 0, 1, 79.075, -999
20141204, 78.16, 78.54, 77.58, 78.28, 1765900, 78.28, 0, 1, 78.22, -999
20141203, 77.34, 78.52, 77.34, 78.35, 1878900, 78.35, 0, 1, 77.845, -999
20141202, 76.48, 77.44, 75.87, 77.42, 1875800, 77.42, 0, 1, 76.95, -999
20141201, 75.8, 76.37, 75.56, 76.02, 1581300, 76.02, 0, 1, 75.91, -999
20141128, 77, 77.22, 76.63, 76.73, 608600, 76.73, 0, 1, 76.865, -999
20141126, 77.1, 77.28, 76.7, 76.87, 1060400, 76.87, 0, 1, 76.985, -999
20141125, 77.35, 77.45, 76.87, 77.19, 1565100, 77.19, 0, 1, 77.27, -999
20141124, 76.61, 77.3, 76.49, 77.21, 1508100, 77.21, 0, 1, 76.91, -999
20141121, 77.07, 77.36, 76.25, 76.57, 2004900, 76.57, 0, 1, 76.82, -999
20141120, 75.31, 76.66, 75.16, 76.2, 1881100, 76.2, 0, 1, 75.755, -999
20141119, 75.8, 75.99, 75.26, 75.88, 1624800, 75.88, 0, 1, 75.84, -999
20141118, 75.68, 76.24, 75.54, 75.86, 1712800, 75.86, 0, 1, 75.77, -999
20141117, 75.6, 75.98, 75.45, 75.67, 2444100, 75.67, 0, 1, 75.635, -999
20141114, 76.44, 76.78, 75.99, 76.07, 2537000, 76.07, 0, 1, 76.255, -999
20141113, 77.53, 77.57, 75.97, 76.48, 3010300, 76.48, 0, 1, 77.005, -999
20141112, 77.22, 77.58, 76.85, 77.45, 2162900, 77.45, 0, 1, 77.335, -999
20141111, 77.76, 78.14, 77.42, 77.68, 1888900, 77.68, 0, 1, 77.72, -999
20141110, 77.68, 78.43, 77.48, 78.12, 1961000, 78.12, 0, 1, 77.9, -999
20141107, 77.85, 77.99, 77.15, 77.81, 1789600, 77.81, 0, 1, 77.83, -999
20141106, 77.36, 77.93, 77.01, 77.85, 1159200, 77.85, 0, 1, 77.605, -999
20141105, 76.89, 77.3, 76.26, 77.22, 1352100, 77.22, 0, 1, 77.055, -999
20141104, 75.78, 76.72, 75.56, 76.58, 2313600, 76.58, 0, 1, 76.18, -999
20141103, 75.62, 76.11, 75, 75.86, 1906000, 75.86, 0, 1, 75.74, -999
20141031, 74.45, 75.58, 74.45, 75.46, 3036300, 75.46, 0, 1, 74.955, -999
20141030, 73.72, 74.2, 73.21, 73.55, 2530400, 73.55, 0, 1, 73.635, -999
20141029, 73.13, 74, 72.78, 73.82, 2560700, 73.82, 0, 1, 73.475, -999
20141028, 72.7, 73.19, 72.09, 72.95, 2011900, 72.95, 0, 1, 72.825, -999
20141027, 71.49, 72.46, 71, 72.36, 1951800, 72.36, 0, 1, 71.925, -999
20141024, 70.43, 73.67, 70.3, 71.88, 3907400, 71.88, 0, 1, 71.155, -999
20141023, 68.86, 69.41, 68.49, 68.94, 2013000, 68.94, 0, 1, 68.9, -999
20141022, 68.93, 68.93, 67.89, 67.9, 3219600, 67.9, 0, 1, 68.415, -999
20141021, 67.9, 69.07, 67.84, 68.97, 1774000, 68.97, 0, 1, 68.435, -999
20141020, 66.78, 67.5, 66.71, 67.42, 1461300, 67.42, 0, 1, 67.1, -999
20141017, 67.09, 67.75, 66.65, 67.38, 3229400, 67.38, 0, 1, 67.235, -999
20141016, 64.28, 66.78, 64.21, 66.19, 2564000, 66.19, 0, 1, 65.235, -999
20141015, 66.32, 66.76, 64.27, 65.81, 4695700, 65.81, 0, 1, 66.065, -999
20141014, 66.95, 68, 66.85, 67.23, 2865200, 67.23, 0, 1, 67.09, -999
20141013, 68.13, 68.57, 66.88, 66.9, 2809500, 66.9, 0, 1, 67.515, -999
20141010, 69.17, 69.69, 68.02, 68.04, 4238900, 68.04, 0, 1, 68.605, -999
20141009, 71.82, 72.08, 69.1, 69.11, 4754200, 69.11, 0, 1, 70.465, -999
20141008, 71.4, 71.94, 70.57, 71.93, 3567300, 71.93, 0, 1, 71.665, -999
20141007, 72.99, 72.99, 71.22, 71.27, 2733300, 71.27, 0, 1, 72.13, -999
