Ticker: STX  Created on: 12/6/2014 5:26:01 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 66.54, 66.6, 65.5, 66.4, 2717000, 66.4, 0, 1, 66.47, -999
20141204, 66.9, 67.16, 65.85, 66.09, 2161100, 66.09, 0, 1, 66.495, -999
20141203, 67.21, 67.53, 65.81, 66.85, 4069100, 66.85, 0, 1, 67.03, -999
20141202, 66.25, 67.87, 65.7, 67.54, 3076800, 67.54, 0, 1, 66.895, -999
20141201, 65.81, 66.49, 65.22, 65.94, 2573200, 65.94, 0, 1, 65.875, -999
20141128, 66.51, 66.68, 65.66, 66.11, 1183800, 66.11, 0, 1, 66.31, -999
20141126, 66.07, 66.28, 65.31, 65.85, 1670300, 65.85, 0, 1, 65.96, -999
20141125, 66.02, 66.47, 65.66, 65.99, 2250700, 65.99, 0, 1, 66.005, -999
20141124, 65.33, 66.43, 65.05, 66.03, 1986400, 66.03, 0, 1, 65.68, -999
20141121, 66.52, 66.52, 64.74, 64.94, 4190800, 64.94, 0, 1, 65.73, -999
20141120, 64.3, 65.55, 64.11, 65.54, 2287700, 65.54, 0, 1, 64.92, -999
20141119, 64.43, 64.72, 63.81, 64.62, 2045800, 64.62, 0, 1, 64.525, -999
20141118, 64.13, 65, 64.04, 64.65, 2853000, 64.65, 0, 1, 64.39, -999
20141117, 62.57, 64.32, 62.35, 63.99, 3397900, 63.99, 0, 1, 63.28, -999
20141114, 62, 63.04, 61.94, 62.87, 1745500, 62.87, 0, 1, 62.435, -999
20141113, 62.32, 62.61, 61.67, 62.11, 1251500, 62.11, 0, 1, 62.215, -999
20141112, 61.75, 62.59, 61.58, 62.32, 1884200, 62.32, 0, 1, 62.035, -999
20141111, 61.97, 61.99, 61.44, 61.81, 1845000, 61.81, 0, 1, 61.89, -999
20141110, 61.62, 62.03, 61.5, 61.77, 2192500, 61.77, 0, 1, 61.695, -999
20141107, 62.44, 62.92, 61.21, 61.56, 3931500, 61.56, 0, 1, 62, -999
20141106, 63.37, 63.58, 62.19, 62.53, 3840000, 62.53, 0, 1, 62.95, -999
20141105, 64.01, 64.29, 63.18, 63.75, 2614400, 63.21, 0, 1, 63.61, -999
20141104, 63.77, 65, 63.77, 63.89, 4683600, 63.35, 0, 1, 63.56, -999
20141103, 62.93, 64.88, 62.71, 64.17, 4963400, 63.63, 0, 1, 63.28, -999
20141031, 61.17, 62.86, 61, 62.83, 5946000, 62.3, 0, 1, 61.735, -999
20141030, 58.94, 60.47, 58.9, 60.15, 3183000, 59.64, 0, 1, 59.29, -999
20141029, 59.56, 60.62, 59.17, 60.23, 2954000, 59.72, 0, 1, 59.64, -999
20141028, 58.27, 59.66, 58.27, 59.47, 3043800, 58.97, 0, 1, 58.62, -999
20141027, 57.7, 59.48, 57.2, 58.74, 3252700, 58.24, 0, 1, 57.97, -999
