Ticker: SWK  Created on: 12/6/2014 5:26:07 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 94.75, 95.71, 94.65, 95.61, 1283200, 95.61, 0, 1, 95.18, -999
20141204, 95.05, 95.29, 94.33, 94.84, 1236500, 94.84, 0, 1, 94.945, -999
20141203, 94.35, 95.57, 94.33, 95.36, 840600, 95.36, 0, 1, 94.855, -999
20141202, 93.75, 95.1, 93.52, 94.48, 2297100, 93.96, 0, 1, 93.855, -999
20141201, 94.18, 94.19, 92.9, 93.55, 948300, 93.04, 0, 1, 93.61, -999
20141128, 94.86, 94.91, 93.83, 94.44, 583900, 93.92, 0, 1, 94.39, -999
20141126, 95.27, 95.3, 94.25, 94.77, 650600, 94.25, 0, 1, 94.76, -999
20141125, 95.53, 95.94, 94.86, 95.31, 1547300, 94.79, 0, 1, 95.16, -999
20141124, 95.49, 95.89, 95.04, 95.26, 990400, 94.74, 0, 1, 95.115, -999
20141121, 96.44, 96.53, 95.18, 95.31, 1318900, 94.79, 0, 1, 95.615, -999
20141120, 94.47, 95.66, 94.37, 95.2, 682500, 94.68, 0, 1, 94.575, -999
20141119, 95.13, 95.18, 94.27, 94.88, 1545300, 94.36, 0, 1, 94.745, -999
20141118, 95.3, 96.38, 94.99, 95.12, 1104800, 94.6, 0, 1, 94.95, -999
20141117, 95.58, 95.6, 94.9, 95.18, 998300, 94.66, 0, 1, 95.12, -999
20141114, 95.5, 96.51, 95.5, 95.67, 650000, 95.14, 0, 1, 95.32, -999
20141113, 96.18, 96.55, 95.51, 95.86, 805700, 95.33, 0, 1, 95.755, -999
20141112, 95.5, 96.41, 95.29, 96.21, 1197700, 95.68, 0, 1, 95.59, -999
20141111, 95.73, 96.25, 95.49, 95.83, 856500, 95.3, 0, 1, 95.515, -999
20141110, 95.2, 95.93, 94.77, 95.88, 1169300, 95.35, 0, 1, 95.275, -999
20141107, 94.53, 95.32, 94.13, 95.01, 775400, 94.49, 0, 1, 94.51, -999
20141106, 93.58, 94.59, 93.28, 94.4, 1106600, 93.88, 0, 1, 93.73, -999
20141105, 93.86, 93.96, 93.17, 93.27, 1156300, 92.76, 0, 1, 93.31, -999
20141104, 93.36, 93.59, 92.78, 93.15, 704900, 92.64, 0, 1, 93, -999
20141103, 93.75, 94.39, 93.48, 93.61, 847200, 93.09, 0, 1, 93.42, -999
20141031, 92.8, 93.71, 92.61, 93.64, 1053700, 93.12, 0, 1, 92.96, -999
20141030, 90.92, 92.59, 90.57, 92.07, 772100, 91.56, 0, 1, 91.24, -999
20141029, 91.61, 91.77, 90.57, 91.47, 1456600, 90.97, 0, 1, 91.29, -999
20141028, 90.25, 91.59, 89.68, 91.37, 2600800, 90.87, 0, 1, 90.56, -999
20141027, 89.88, 89.88, 89.11, 89.55, 1090600, 89.06, 0, 1, 89.47, -999
20141024, 88.74, 90.22, 88.56, 90.12, 921300, 89.62, 0, 1, 89.18, -999
20141023, 88.55, 89.88, 88.19, 88.98, 1926200, 88.49, 0, 1, 88.52, -999
20141022, 88.03, 89.61, 86.79, 87.41, 2773000, 86.93, 0, 1, 87.48, -999
20141021, 84.88, 86.46, 84.85, 86.09, 2150800, 85.62, 0, 1, 85.25, -999
20141020, 83.69, 84.48, 83.36, 84.46, 1604800, 84, 0, 1, 83.845, -999
20141017, 83.65, 85.05, 83.56, 84.19, 1438900, 83.73, 0, 1, 83.69, -999
20141016, 80.05, 83.07, 80.02, 82.88, 1408100, 82.42, 0, 1, 81.235, -999
20141015, 81.75, 81.89, 79.03, 81.31, 2124400, 80.86, 0, 1, 81.305, -999
20141014, 81.73, 83.36, 81.73, 82.57, 1488700, 82.12, 0, 1, 81.925, -999
20141013, 83.56, 84.18, 81.28, 81.35, 914000, 80.9, 0, 1, 82.23, -999
20141010, 84.28, 84.68, 83.05, 83.58, 1178100, 83.12, 0, 1, 83.7, -999
20141009, 86.26, 86.33, 84.02, 84.17, 1381000, 83.71, 0, 1, 84.985, -999
20141008, 85.17, 86.5, 83.74, 86.36, 1946300, 85.88, 0, 1, 85.525, -999
