Ticker: SWN  Created on: 12/6/2014 5:26:05 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 30.51, 30.62, 29.45, 30.15, 6384300, 30.15, 0, 1, 30.33, -999
20141204, 30.6, 30.97, 30.38, 30.59, 6404600, 30.59, 0, 1, 30.595, -999
20141203, 30.92, 31.8, 30.72, 30.88, 6448900, 30.88, 0, 1, 30.9, -999
20141202, 30.99, 31.98, 30.85, 30.99, 4799700, 30.99, 0, 1, 30.99, -999
20141201, 31.73, 32.14, 31.02, 31.2, 7869900, 31.2, 0, 1, 31.465, -999
20141128, 31.47, 33.23, 31.32, 32.18, 4772700, 32.18, 0, 1, 31.825, -999
20141126, 32.97, 33.27, 32.48, 32.65, 4797700, 32.65, 0, 1, 32.81, -999
20141125, 33.64, 33.95, 32.83, 33.03, 5723400, 33.03, 0, 1, 33.335, -999
20141124, 34.24, 34.24, 33.4, 33.65, 5293600, 33.65, 0, 1, 33.945, -999
20141121, 34.83, 34.96, 34.05, 34.46, 5608200, 34.46, 0, 1, 34.645, -999
20141120, 33.62, 34.43, 33.46, 34.4, 4935000, 34.4, 0, 1, 34.01, -999
20141119, 33.62, 34, 33.21, 33.58, 6552500, 33.58, 0, 1, 33.6, -999
20141118, 33.55, 33.86, 32.47, 33.05, 9246500, 33.05, 0, 1, 33.3, -999
20141117, 33.67, 33.98, 33.05, 33.61, 5099200, 33.61, 0, 1, 33.64, -999
20141114, 33.64, 33.96, 33.14, 33.75, 5042900, 33.75, 0, 1, 33.695, -999
20141113, 34.1, 34.11, 33, 33.56, 6202500, 33.56, 0, 1, 33.83, -999
20141112, 35.18, 35.19, 34.07, 34.41, 5325900, 34.41, 0, 1, 34.795, -999
20141111, 35.29, 35.54, 34.57, 35.36, 5160600, 35.36, 0, 1, 35.325, -999
20141110, 36.67, 37.26, 35.23, 35.42, 7946500, 35.42, 0, 1, 36.045, -999
20141107, 35.47, 36.88, 35.37, 36.5, 9877300, 36.5, 0, 1, 35.985, -999
20141106, 33.9, 35.6, 33.74, 35.55, 7661000, 35.55, 0, 1, 34.725, -999
20141105, 33.16, 34.67, 33, 34.16, 7337500, 34.16, 0, 1, 33.66, -999
20141104, 31.86, 32.97, 31.72, 32.73, 6659600, 32.73, 0, 1, 32.295, -999
20141103, 32.91, 33.81, 32.39, 32.44, 5631300, 32.44, 0, 1, 32.675, -999
20141031, 31.99, 32.55, 31.33, 32.51, 6434400, 32.51, 0, 1, 32.25, -999
20141030, 31.87, 31.99, 31, 31.48, 3687400, 31.48, 0, 1, 31.675, -999
20141029, 32.58, 32.87, 31.47, 31.91, 5743700, 31.91, 0, 1, 32.245, -999
20141028, 31.43, 32.38, 30.83, 32.18, 6528000, 32.18, 0, 1, 31.805, -999
20141027, 31.26, 31.41, 30.6, 31.1, 6142300, 31.1, 0, 1, 31.18, -999
20141024, 32.01, 32.35, 31.28, 31.64, 11293500, 31.64, 0, 1, 31.825, -999
