Ticker: SWY  Created on: 12/6/2014 5:25:59 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 34.71, 34.77, 34.6, 34.7, 1655000, 34.7, 0, 1, 34.705, -999
20141204, 34.9, 34.9, 34.7, 34.74, 1606700, 34.74, 0, 1, 34.82, -999
20141203, 34.8, 34.9, 34.77, 34.9, 1723500, 34.9, 0, 1, 34.85, -999
20141202, 34.8, 34.86, 34.77, 34.83, 1567300, 34.83, 0, 1, 34.815, -999
20141201, 34.83, 34.83, 34.74, 34.79, 1427300, 34.79, 0, 1, 34.81, -999
20141128, 34.9, 35.05, 34.82, 34.84, 567300, 34.84, 0, 1, 34.87, -999
20141126, 34.9, 34.9, 34.79, 34.8, 1056400, 34.8, 0, 1, 34.85, -999
20141125, 34.88, 34.9, 34.8, 34.83, 1357800, 34.83, 0, 1, 34.855, -999
20141124, 34.91, 34.93, 34.82, 34.82, 982500, 34.82, 0, 1, 34.865, -999
20141121, 35.01, 35.04, 34.78, 34.82, 1103400, 34.82, 0, 1, 34.915, -999
20141120, 34.78, 34.92, 34.78, 34.9, 641800, 34.9, 0, 1, 34.84, -999
20141119, 34.79, 34.98, 34.75, 34.86, 2027800, 34.86, 0, 1, 34.825, -999
20141118, 34.75, 34.86, 34.7, 34.78, 711200, 34.78, 0, 1, 34.765, -999
20141117, 34.83, 34.89, 34.61, 34.75, 1379500, 34.75, 0, 1, 34.79, -999
20141114, 34.87, 34.91, 34.85, 34.85, 1019300, 34.85, 0, 1, 34.86, -999
20141113, 34.9, 34.94, 34.86, 34.86, 985800, 34.86, 0, 1, 34.88, -999
20141112, 34.85, 34.91, 34.85, 34.88, 1129600, 34.88, 0, 1, 34.865, -999
20141111, 34.9, 34.99, 34.87, 34.9, 884800, 34.9, 0, 1, 34.9, -999
20141110, 34.8, 34.95, 34.8, 34.89, 904100, 34.89, 0, 1, 34.845, -999
20141107, 34.86, 34.93, 34.77, 34.87, 781300, 34.87, 0, 1, 34.865, -999
20141106, 34.99, 34.99, 34.86, 34.88, 1206500, 34.88, 0, 1, 34.935, -999
20141105, 34.85, 34.99, 34.78, 34.97, 1656800, 34.97, 0, 1, 34.91, -999
20141104, 34.75, 34.81, 34.64, 34.79, 1312200, 34.79, 0, 1, 34.77, -999
20141103, 34.8, 34.86, 34.7, 34.76, 1049300, 34.76, 0, 1, 34.78, -999
20141031, 34.81, 34.86, 34.75, 34.86, 1836600, 34.86, 0, 1, 34.835, -999
