Ticker: SYK  Created on: 12/6/2014 5:26:09 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 94.28, 95, 94.07, 94.62, 642900, 94.62, 0, 1, 94.45, -999
20141204, 94.12, 95.01, 93.92, 94.38, 617500, 94.38, 0, 1, 94.25, -999
20141203, 94.62, 94.64, 93.95, 94.51, 1108200, 94.51, 0, 1, 94.565, -999
20141202, 93.21, 94.93, 93.2, 94.66, 1558400, 94.66, 0, 1, 93.935, -999
20141201, 92.79, 93.57, 92.37, 92.96, 818100, 92.96, 0, 1, 92.875, -999
20141128, 92.64, 93.86, 92.63, 92.91, 680900, 92.91, 0, 1, 92.775, -999
20141126, 91.9, 92.41, 91.73, 92.37, 834500, 92.37, 0, 1, 92.135, -999
20141125, 91.45, 92.09, 91.34, 91.9, 1532700, 91.9, 0, 1, 91.675, -999
20141124, 90.64, 91.55, 90.1, 91.4, 1794400, 91.4, 0, 1, 91.02, -999
20141121, 90.72, 90.78, 89.9, 90.11, 1557600, 90.11, 0, 1, 90.415, -999
20141120, 89.47, 89.84, 88.94, 89.65, 654600, 89.65, 0, 1, 89.56, -999
20141119, 89.88, 90.25, 89.58, 89.64, 917000, 89.64, 0, 1, 89.76, -999
20141118, 88.58, 90.3, 88.4, 90.16, 1289600, 90.16, 0, 1, 89.37, -999
20141117, 87.84, 88.65, 87.67, 88.53, 605700, 88.53, 0, 1, 88.185, -999
20141114, 88.64, 88.64, 87.68, 88, 701100, 88, 0, 1, 88.32, -999
20141113, 88.79, 89.24, 88.37, 88.84, 887700, 88.84, 0, 1, 88.815, -999
20141112, 88.37, 88.82, 88.24, 88.58, 616700, 88.58, 0, 1, 88.475, -999
20141111, 88.39, 89, 88.24, 88.68, 543300, 88.68, 0, 1, 88.535, -999
20141110, 87.38, 88.5, 87, 88.44, 819700, 88.44, 0, 1, 87.91, -999
20141107, 88.33, 88.5, 87.14, 87.47, 2027200, 87.47, 0, 1, 87.9, -999
20141106, 88.27, 88.75, 88.05, 88.55, 1022100, 88.55, 0, 1, 88.41, -999
20141105, 88.02, 88.23, 87.67, 88.02, 2155900, 88.02, 0, 1, 88.02, -999
20141104, 86.88, 87.72, 86.78, 87.65, 1075900, 87.65, 0, 1, 87.265, -999
20141103, 87.36, 87.8, 86.74, 86.85, 1241300, 86.85, 0, 1, 87.105, -999
20141031, 87.88, 88.21, 87.43, 87.53, 1287900, 87.53, 0, 1, 87.705, -999
20141030, 86.18, 87.24, 86.16, 87.04, 1375200, 87.04, 0, 1, 86.61, -999
20141029, 86.23, 86.75, 86.02, 86.68, 1363700, 86.68, 0, 1, 86.455, -999
20141028, 85.01, 86.25, 84.91, 86.19, 1408300, 86.19, 0, 1, 85.6, -999
20141027, 84.17, 84.69, 84.09, 84.38, 784000, 84.38, 0, 1, 84.275, -999
20141024, 83.29, 84.43, 83.29, 84.22, 669500, 84.22, 0, 1, 83.755, -999
20141023, 83.48, 83.93, 83.1, 83.53, 1202600, 83.53, 0, 1, 83.505, -999
20141022, 82.25, 83.04, 82.1, 82.56, 1552900, 82.56, 0, 1, 82.405, -999
20141021, 81.54, 82.57, 81.54, 82.14, 1603700, 82.14, 0, 1, 81.84, -999
20141020, 79.82, 81.04, 79.63, 81, 1528400, 81, 0, 1, 80.41, -999
20141017, 79.39, 80.86, 79.36, 80.28, 3047600, 80.28, 0, 1, 79.835, -999
20141016, 78.59, 79.99, 78.35, 79.2, 2545900, 79.2, 0, 1, 78.895, -999
20141015, 79.57, 79.97, 77.87, 79.48, 2981800, 79.48, 0, 1, 79.525, -999
20141014, 81.65, 82.35, 80.48, 80.64, 2704600, 80.64, 0, 1, 81.145, -999
20141013, 81.59, 82.32, 81.19, 81.22, 2010600, 81.22, 0, 1, 81.405, -999
20141010, 82.6, 83.62, 81.9, 81.9, 1338200, 81.9, 0, 1, 82.25, -999
20141009, 84.07, 84.74, 82.87, 82.92, 1339600, 82.92, 0, 1, 83.495, -999
20141008, 82.59, 84.35, 82.42, 84.35, 1859200, 84.35, 0, 1, 83.47, -999
20141007, 83.17, 83.27, 82.39, 82.44, 1511100, 82.44, 0, 1, 82.805, -999
20141006, 83.14, 84.09, 83.08, 83.7, 1377600, 83.7, 0, 1, 83.42, -999
20141003, 82.38, 82.76, 82.13, 82.51, 1434300, 82.51, 0, 1, 82.445, -999
20141002, 81.1, 82.08, 80.92, 81.74, 1356500, 81.74, 0, 1, 81.42, -999
20141001, 81.03, 81.61, 80.18, 81.33, 2467400, 81.33, 0, 1, 81.18, -999
20140930, 81.46, 81.62, 80.74, 80.75, 954600, 80.75, 0, 1, 81.105, -999
20140929, 80.82, 81.57, 80.73, 81.52, 1020600, 81.52, 0, 1, 81.17, -999
20140926, 81.13, 81.84, 80.96, 81.5, 1278500, 81.5, 0.305, 1, 81.315, -999
20140925, 82.15, 82.16, 80.93, 81.23, 2105400, 80.93, 0, 1, 81.54, -999
20140924, 81.68, 82.3, 81.32, 82.13, 866000, 81.82, 0, 1, 81.75, -999
20140923, 81.48, 81.78, 81.25, 81.51, 1525000, 81.2, 0, 1, 81.34, -999
20140922, 82.58, 82.84, 82.06, 82.14, 1042600, 81.83, 0, 1, 82.205, -999
20140919, 84.44, 84.62, 82.76, 82.84, 2694800, 82.53, 0, 1, 83.485, -999
20140918, 84.45, 84.59, 83.67, 84.07, 2065800, 83.75, 0, 1, 84.1, -999
20140917, 84.08, 84.52, 83.67, 83.94, 1052500, 83.62, 0, 1, 83.85, -999
20140916, 83.58, 84.29, 82.71, 84.06, 922200, 83.74, 0, 1, 83.66, -999
20140915, 83.38, 83.74, 83.04, 83.4, 566700, 83.09, 0, 1, 83.235, -999
20140912, 84.19, 84.35, 83.22, 83.46, 888000, 83.15, 0, 1, 83.67, -999
20140911, 83.59, 84.29, 83.43, 84.24, 819500, 83.92, 0, 1, 83.755, -999
20140910, 84.04, 84.16, 83.69, 83.91, 961900, 83.59, 0, 1, 83.815, -999
20140909, 84.28, 84.42, 83.67, 83.75, 753700, 83.44, 0, 1, 83.86, -999
20140908, 84.07, 84.35, 83.91, 84.27, 967800, 83.95, 0, 1, 84.01, -999
20140905, 83.28, 84.17, 82.84, 84.13, 728300, 83.81, 0, 1, 83.545, -999
20140904, 83.7, 84.31, 83.11, 83.33, 887000, 83.02, 0, 1, 83.36, -999
20140903, 83.5, 83.74, 83.22, 83.51, 1006200, 83.2, 0, 1, 83.35, -999
20140902, 83.61, 83.61, 82.76, 83.12, 1073100, 82.81, 0, 1, 83.21, -999
20140829, 82.83, 83.48, 82.57, 83.31, 1136300, 83, 0, 1, 82.915, -999
20140828, 82.13, 82.7, 81.89, 82.67, 764300, 82.36, 0, 1, 82.245, -999
20140827, 82.74, 82.83, 82.14, 82.33, 592600, 82.02, 0, 1, 82.38, -999
20140826, 82.52, 83.09, 82.1, 82.85, 1771400, 82.54, 0, 1, 82.53, -999
20140825, 82.44, 82.99, 82.3, 82.93, 1065000, 82.62, 0, 1, 82.53, -999
20140822, 82.78, 82.79, 82.03, 82.14, 977000, 81.83, 0, 1, 82.305, -999
20140821, 81.78, 82.95, 81.7, 82.9, 1307400, 82.59, 0, 1, 82.185, -999
20140820, 81.64, 82.01, 81.3, 81.89, 829700, 81.58, 0, 1, 81.61, -999
20140819, 81.25, 82.02, 81.08, 81.98, 944100, 81.67, 0, 1, 81.46, -999
20140818, 81.06, 81.37, 80.73, 81.32, 743300, 81.01, 0, 1, 81.035, -999
20140815, 81.22, 81.22, 79.78, 80.47, 907200, 80.17, 0, 1, 80.695, -999
20140814, 80.89, 81.38, 80.55, 80.92, 1093000, 80.62, 0, 1, 80.755, -999
20140813, 79.99, 80.8, 79.89, 80.75, 1629500, 80.45, 0, 1, 80.22, -999
20140812, 79.98, 80.02, 79.43, 79.59, 1442800, 79.29, 0, 1, 79.635, -999
20140811, 80.13, 80.13, 79.48, 79.55, 739600, 79.25, 0, 1, 79.69, -999
20140808, 79.5, 79.95, 78.91, 79.81, 1133600, 79.51, 0, 1, 79.505, -999
20140807, 79.9, 80.13, 78.97, 79.25, 1840800, 78.95, 0, 1, 79.425, -999
20140806, 79.39, 80.2, 79.39, 79.82, 1406600, 79.52, 0, 1, 79.455, -999
20140805, 80.27, 80.75, 79.75, 79.99, 1350100, 79.69, 0, 1, 79.98, -999
20140804, 80, 80.76, 79.74, 80.58, 1183500, 80.28, 0, 1, 80.14, -999
