Ticker: SYMC  Created on: 12/6/2014 5:26:10 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 26.31, 26.45, 26.18, 26.45, 2753400, 26.45, 0, 1, 26.38, -999
20141204, 26.35, 26.43, 26.07, 26.31, 3141800, 26.31, 0, 1, 26.33, -999
20141203, 26.24, 26.51, 26.19, 26.45, 3200400, 26.45, 0, 1, 26.345, -999
20141202, 26.37, 26.46, 26.15, 26.3, 4492800, 26.3, 0, 1, 26.335, -999
20141201, 26.04, 26.39, 25.94, 26.35, 3602100, 26.35, 0, 1, 26.195, -999
20141128, 26.02, 26.2, 25.93, 26.09, 1577700, 26.09, 0, 1, 26.055, -999
20141126, 25.97, 26.03, 25.74, 25.94, 2818500, 25.94, 0, 1, 25.955, -999
20141125, 25.89, 26.1, 25.71, 25.91, 4126600, 25.91, 0, 1, 25.9, -999
20141124, 25.33, 25.85, 25.25, 25.8, 6911700, 25.8, 0, 1, 25.565, -999
20141121, 25.65, 25.65, 25.29, 25.33, 4490500, 25.33, 0, 1, 25.49, -999
20141120, 25.08, 25.45, 25.04, 25.4, 2331000, 25.4, 0, 1, 25.24, -999
20141119, 25.45, 25.45, 25.22, 25.31, 2398600, 25.16, 0, 1, 25.305, -999
20141118, 25.22, 25.66, 25.18, 25.46, 3380400, 25.31, 0, 1, 25.265, -999
20141117, 25.33, 25.58, 25.27, 25.48, 3144500, 25.33, 0, 1, 25.33, -999
20141114, 25.59, 25.6, 25.23, 25.34, 3346900, 25.19, 0, 1, 25.39, -999
20141113, 25.23, 25.75, 25.17, 25.55, 6661800, 25.4, 0, 1, 25.315, -999
20141112, 25.08, 25.21, 25.07, 25.12, 3444700, 24.97, 0, 1, 25.025, -999
20141111, 25.1, 25.27, 25.03, 25.19, 4369300, 25.04, 0, 1, 25.07, -999
20141110, 25, 25.15, 24.98, 25.05, 4175600, 24.9, 0, 1, 24.95, -999
20141107, 25.18, 25.22, 24.96, 24.97, 6129500, 24.82, 0, 1, 25, -999
20141106, 25.09, 25.26, 24.69, 25.07, 6364600, 24.92, 0, 1, 25.005, -999
20141105, 25.06, 25.27, 24.95, 25.18, 5265800, 25.03, 0, 1, 25.045, -999
20141104, 25.19, 25.21, 24.94, 24.99, 7142600, 24.84, 0, 1, 25.015, -999
20141103, 24.85, 25.35, 24.82, 25.2, 5338100, 25.05, 0, 1, 24.95, -999
20141031, 25.13, 25.15, 24.82, 24.82, 6577300, 24.67, 0, 1, 24.9, -999
20141030, 24.54, 24.93, 24.42, 24.85, 3694000, 24.7, 0, 1, 24.62, -999
20141029, 24.59, 24.64, 24.33, 24.56, 3744900, 24.41, 0, 1, 24.5, -999
20141028, 24.37, 24.61, 24.21, 24.61, 4073800, 24.46, 0, 1, 24.415, -999
20141027, 23.98, 24.29, 23.79, 24.25, 4776100, 24.11, 0, 1, 24.045, -999
20141024, 23.97, 24.08, 23.84, 23.98, 5000200, 23.84, 0, 1, 23.905, -999
20141023, 23.6, 23.88, 23.52, 23.87, 5298900, 23.73, 0, 1, 23.665, -999
20141022, 23.64, 23.68, 23.48, 23.51, 6355900, 23.37, 0, 1, 23.505, -999
20141021, 22.56, 23.68, 22.52, 23.68, 9300400, 23.54, 0, 1, 23.05, -999
20141020, 22.17, 22.52, 22.08, 22.5, 4275700, 22.37, 0, 1, 22.27, -999
20141017, 22.18, 22.57, 21.99, 22.32, 5017300, 22.19, 0, 1, 22.185, -999
20141016, 21.79, 22.14, 21.75, 22.03, 6170300, 21.9, 0, 1, 21.845, -999
20141015, 22.16, 22.4, 21.76, 22.15, 7612700, 22.02, 0, 1, 22.09, -999
20141014, 22.41, 23.31, 22.27, 22.47, 6883500, 22.34, 0, 1, 22.375, -999
20141013, 21.68, 22.6, 21.66, 22.25, 7799300, 22.12, 0, 1, 21.9, -999
20141010, 23.45, 23.56, 21.91, 21.94, 10443900, 21.81, 0, 1, 22.63, -999
20141009, 23.94, 23.98, 23.4, 23.44, 3547000, 23.3, 0, 1, 23.62, -999
20141008, 23.91, 24.04, 23.23, 24.01, 9161700, 23.87, 0, 1, 23.89, -999
20141007, 23.39, 23.55, 23.19, 23.19, 3043200, 23.05, 0, 1, 23.22, -999
20141006, 23.43, 23.6, 23.41, 23.51, 3169900, 23.37, 0, 1, 23.4, -999
20141003, 23.36, 23.51, 23.26, 23.39, 4623200, 23.25, 0, 1, 23.305, -999
