Ticker: SYY  Created on: 12/6/2014 5:26:10 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 39.92, 39.99, 39.7, 39.93, 1678100, 39.93, 0, 1, 39.925, -999
20141204, 39.95, 40.1, 39.75, 39.84, 2522700, 39.84, 0, 1, 39.895, -999
20141203, 39.93, 40.02, 39.77, 39.96, 2567300, 39.96, 0, 1, 39.945, -999
20141202, 40.2, 40.23, 39.83, 39.98, 3472000, 39.98, 0, 1, 40.09, -999
20141201, 40, 40.4, 39.9, 40.24, 2854200, 40.24, 0, 1, 40.12, -999
20141128, 40, 40.6, 39.86, 40.26, 1872700, 40.26, 0, 1, 40.13, -999
20141126, 39.53, 39.98, 39.47, 39.93, 1781400, 39.93, 0, 1, 39.73, -999
20141125, 39.54, 39.67, 39.34, 39.46, 1975400, 39.46, 0, 1, 39.5, -999
20141124, 39.75, 39.96, 39.45, 39.55, 2580700, 39.55, 0, 1, 39.65, -999
20141121, 39.56, 40, 39.55, 39.7, 3884600, 39.7, 0, 1, 39.63, -999
20141120, 38.93, 39.22, 38.79, 39.11, 2005700, 39.11, 0, 1, 39.02, -999
20141119, 39.1, 39.23, 39.01, 39.15, 1656000, 39.15, 0, 1, 39.125, -999
20141118, 38.95, 39.22, 38.79, 39.14, 2409400, 39.14, 0, 1, 39.045, -999
20141117, 38.55, 39.09, 38.48, 38.89, 2631900, 38.89, 0, 1, 38.72, -999
20141114, 38.54, 38.83, 38.51, 38.58, 1450900, 38.58, 0, 1, 38.56, -999
20141113, 38.83, 39.02, 38.59, 38.74, 1771900, 38.74, 0, 1, 38.785, -999
20141112, 38.46, 39.13, 38.23, 38.94, 3646200, 38.94, 0, 1, 38.7, -999
20141111, 38.49, 38.82, 38.28, 38.52, 2990300, 38.52, 0, 1, 38.505, -999
20141110, 38.02, 38.67, 37.95, 38.65, 2603600, 38.65, 0, 1, 38.335, -999
20141107, 37.81, 38.22, 37.76, 38.14, 2454400, 38.14, 0, 1, 37.975, -999
20141106, 37.88, 38.24, 37.85, 37.99, 3087100, 37.99, 0, 1, 37.935, -999
20141105, 37.55, 37.94, 37.45, 37.82, 2983700, 37.82, 0, 1, 37.685, -999
20141104, 37.38, 37.48, 37.21, 37.36, 2825900, 37.36, 0, 1, 37.37, -999
20141103, 38.23, 38.23, 37.25, 37.49, 5357300, 37.49, 0, 1, 37.86, -999
20141031, 38.98, 39.02, 38.41, 38.54, 4217300, 38.54, 0, 1, 38.76, -999
20141030, 38.05, 38.69, 38.05, 38.57, 1831200, 38.57, 0, 1, 38.31, -999
20141029, 38.22, 38.55, 37.93, 38.21, 2717200, 38.21, 0, 1, 38.215, -999
20141028, 38.29, 38.29, 38.01, 38.2, 2382700, 38.2, 0, 1, 38.245, -999
20141027, 38.04, 38.28, 37.89, 38.24, 3448600, 38.24, 0, 1, 38.14, -999
20141024, 37.9, 38.05, 37.63, 38.04, 2148500, 38.04, 0, 1, 37.97, -999
20141023, 37.8, 38.09, 37.66, 37.93, 2752000, 37.93, 0, 1, 37.865, -999
20141022, 37.77, 38.06, 37.64, 37.65, 3109100, 37.65, 0, 1, 37.71, -999
20141021, 37.11, 37.62, 36.9, 37.62, 3656100, 37.62, 0, 1, 37.365, -999
20141020, 36.5, 37.03, 36.41, 36.99, 4878100, 36.99, 0, 1, 36.745, -999
20141017, 36.51, 36.63, 36.21, 36.5, 4967700, 36.5, 0, 1, 36.505, -999
20141016, 36.19, 36.55, 35.97, 36.22, 3771700, 36.22, 0, 1, 36.205, -999
20141015, 36.46, 36.84, 35.82, 36.6, 3817900, 36.6, 0, 1, 36.53, -999
20141014, 36.46, 36.81, 36.26, 36.68, 4215100, 36.68, 0, 1, 36.57, -999
