Ticker: TEG  Created on: 12/6/2014 5:24:56 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 74.5, 75.01, 74.28, 74.87, 530100, 74.87, 0, 1, 74.685, -999
20141204, 74.23, 75.27, 73.83, 75.14, 475800, 75.14, 0, 1, 74.685, -999
20141203, 73.84, 74.34, 73.54, 74.24, 413900, 74.24, 0, 1, 74.04, -999
20141202, 73.23, 74.1, 72.94, 74.01, 511700, 74.01, 0, 1, 73.62, -999
20141201, 72.86, 74.09, 72.47, 73.57, 573000, 73.57, 0, 1, 73.215, -999
20141128, 71.98, 73.19, 71.98, 72.84, 151800, 72.84, 0, 1, 72.41, -999
20141126, 71.78, 72.37, 71.76, 71.87, 215600, 71.87, 0, 1, 71.825, -999
20141125, 71.98, 72.08, 71.51, 71.78, 359200, 71.78, 0, 1, 71.88, -999
20141124, 72.37, 72.6, 71.69, 72, 389300, 72, 0, 1, 72.185, -999
20141121, 73.26, 73.45, 72.54, 73.11, 613200, 72.43, 0, 1, 72.845, -999
20141120, 72.64, 73.21, 72.64, 73.13, 459100, 72.45, 0, 1, 72.545, -999
20141119, 72.55, 73.14, 72.21, 73.13, 650100, 72.45, 0, 1, 72.5, -999
20141118, 72.37, 73.04, 72.34, 73, 486500, 72.32, 0, 1, 72.345, -999
20141117, 71.28, 72.89, 71.28, 72.54, 333500, 71.87, 0, 1, 71.575, -999
20141114, 70.95, 71.83, 70.75, 71.58, 475800, 70.91, 0, 1, 70.93, -999
20141113, 71.88, 72, 71.1, 71.3, 331500, 70.64, 0, 1, 71.26, -999
20141112, 72.25, 72.63, 71.13, 71.8, 507500, 71.13, 0, 1, 71.69, -999
20141111, 72.43, 72.92, 71.99, 72.85, 389400, 72.17, 0, 1, 72.3, -999
20141110, 71.99, 72.84, 71.82, 72.65, 610000, 71.97, 0, 1, 71.98, -999
20141107, 71.66, 72.23, 71.24, 72, 487800, 71.33, 0, 1, 71.495, -999
20141106, 72.79, 73.42, 71.38, 72.34, 640700, 71.67, 0, 1, 72.23, -999
20141105, 72.67, 74.12, 72.06, 74.02, 529300, 73.33, 0, 1, 73, -999
20141104, 72.52, 73.18, 72.05, 72.34, 327900, 71.67, 0, 1, 72.095, -999
20141103, 72.81, 73.07, 72.37, 72.82, 286900, 72.14, 0, 1, 72.475, -999
20141031, 73.12, 73.12, 72.21, 72.68, 420300, 72, 0, 1, 72.56, -999
20141030, 70.51, 72.95, 70.5, 72.93, 507300, 72.25, 0, 1, 71.38, -999
20141029, 70.6, 71.03, 69.56, 70.43, 354400, 69.77, 0, 1, 70.185, -999
20141028, 70.4, 70.88, 69.94, 70.78, 409900, 70.12, 0, 1, 70.26, -999
20141027, 70.08, 70.52, 69.86, 70.47, 383200, 69.81, 0, 1, 69.945, -999
20141024, 69.67, 70.15, 69.52, 70.05, 561500, 69.4, 0, 1, 69.535, -999
20141023, 69.75, 69.9, 69.2, 69.67, 429300, 69.02, 0, 1, 69.385, -999
20141022, 68.91, 69.74, 68.84, 69.37, 559100, 68.72, 0, 1, 68.815, -999
20141021, 69.46, 69.5, 68.82, 68.94, 584100, 68.3, 0, 1, 68.88, -999
20141020, 68.68, 69.51, 68.41, 69.45, 319500, 68.8, 0, 1, 68.74, -999
20141017, 68.85, 69, 67.83, 68.72, 422000, 68.08, 0, 1, 68.465, -999
20141016, 68.48, 68.84, 67.54, 68.51, 804900, 67.87, 0, 1, 68.175, -999
20141015, 68.42, 69.53, 68.39, 69.25, 930500, 68.61, 0, 1, 68.515, -999
20141014, 67.65, 69.4, 67.47, 68.75, 457000, 68.11, 0, 1, 67.88, -999
20141013, 67.02, 68.34, 66.98, 67.62, 286300, 66.99, 0, 1, 67.005, -999
20141010, 66.31, 67.6, 66.31, 67.02, 301300, 66.4, 0, 1, 66.355, -999
20141009, 66.73, 67.4, 65.94, 66.02, 358500, 65.41, 0, 1, 66.07, -999
20141008, 65.41, 67.4, 65.41, 66.7, 442300, 66.08, 0, 1, 65.745, -999
20141007, 65.06, 65.95, 65.06, 65.45, 397400, 64.84, 0, 1, 64.95, -999
20141006, 65.76, 66.1, 65.34, 65.38, 300700, 64.77, 0, 1, 65.265, -999
20141003, 65.6, 65.83, 64.97, 65.62, 351300, 65.01, 0, 1, 65.305, -999
20141002, 64.84, 65.6, 64.84, 65.16, 233100, 64.55, 0, 1, 64.695, -999
20141001, 64.63, 65.61, 64.63, 65.04, 368300, 64.44, 0, 1, 64.535, -999
20140930, 64.88, 65.48, 64.65, 64.82, 360800, 64.22, 0, 1, 64.55, -999
20140929, 64.63, 64.9, 64.49, 64.81, 173100, 64.21, 0, 1, 64.42, -999
20140926, 64.84, 65.17, 64.48, 64.91, 274500, 64.31, 0, 1, 64.575, -999
20140925, 65.07, 65.64, 64.87, 64.88, 259200, 64.28, 0, 1, 64.675, -999
20140924, 65.76, 65.95, 65.21, 65.24, 428900, 64.63, 0, 1, 65.195, -999
20140923, 66.63, 66.63, 65.75, 65.78, 325500, 65.17, 0, 1, 65.9, -999
20140922, 66.77, 66.98, 66.13, 66.62, 462100, 66, 0, 1, 66.385, -999
20140919, 67.01, 67.27, 66.68, 66.77, 653000, 66.15, 0, 1, 66.58, -999
20140918, 67.42, 67.55, 66.51, 66.71, 155400, 66.09, 0, 1, 66.755, -999
20140917, 68.02, 68.13, 67.17, 67.47, 163400, 66.84, 0, 1, 67.43, -999
20140916, 67.02, 68.15, 67, 67.69, 245500, 67.06, 0, 1, 67.04, -999
20140915, 66.6, 67.34, 66.6, 67.24, 246800, 66.61, 0, 1, 66.605, -999
20140912, 67.67, 67.67, 66.41, 66.59, 206400, 65.97, 0, 1, 66.82, -999
20140911, 67.27, 68, 66.99, 67.96, 113700, 67.33, 0, 1, 67.3, -999
20140910, 67.18, 67.85, 66.89, 67.31, 159300, 66.68, 0, 1, 66.93, -999
20140909, 67.95, 67.95, 67.27, 67.29, 188700, 66.66, 0, 1, 67.305, -999
20140908, 68.25, 68.55, 67.67, 68.27, 385000, 67.64, 0, 1, 67.945, -999
20140905, 67.86, 68.51, 67.82, 68.5, 267200, 67.86, 0, 1, 67.86, -999
20140904, 67.4, 67.79, 67.1, 67.79, 320600, 67.16, 0, 1, 67.28, -999
20140903, 66.99, 67.63, 66.99, 67.52, 282900, 66.89, 0, 1, 66.94, -999
20140902, 67.81, 67.98, 66.83, 66.97, 319700, 66.35, 0, 1, 67.08, -999
20140829, 67.22, 67.93, 67.22, 67.89, 211900, 67.26, 0, 1, 67.24, -999
20140828, 66.66, 67.6, 66.61, 67.47, 263200, 66.84, 0, 1, 66.75, -999
20140827, 66.3, 66.86, 66.07, 66.74, 301000, 66.12, 0.68, 1, 66.21, -999
20140826, 67.35, 67.57, 66.69, 66.7, 388500, 65.41, 0, 1, 66.38, -999
20140825, 67.09, 67.63, 66.83, 67.36, 216600, 66.05, 0, 1, 66.57, -999
20140822, 67.11, 67.37, 66.51, 66.82, 238400, 65.52, 0, 1, 66.315, -999
20140821, 67.16, 67.59, 66.97, 67.15, 372800, 65.85, 0, 1, 66.505, -999
20140820, 66.93, 67.27, 66.76, 67.11, 208200, 65.81, 0, 1, 66.37, -999
20140819, 66.3, 67.2, 66.1, 67.02, 321900, 65.72, 0, 1, 66.01, -999
20140818, 66.26, 66.5, 65.92, 65.97, 265500, 64.69, 0, 1, 65.475, -999
20140815, 66.43, 66.89, 65.99, 66.3, 2157000, 65.01, 0, 1, 65.72, -999
20140814, 66.04, 66.48, 65.55, 66.38, 366500, 65.09, 0, 1, 65.565, -999
20140813, 65.19, 66.2, 65.19, 65.98, 242300, 64.7, 0, 1, 64.945, -999
20140812, 65.41, 65.83, 65.13, 65.21, 221400, 63.94, 0, 1, 64.675, -999
20140811, 65.55, 65.89, 65.28, 65.58, 314400, 64.31, 0, 1, 64.93, -999
20140808, 64.61, 65.6, 64.45, 65.57, 347100, 64.3, 0, 1, 64.455, -999
20140807, 65.05, 65.6, 64.23, 64.4, 603700, 63.15, 0, 1, 64.1, -999
20140806, 64.18, 64.37, 63.59, 63.79, 829500, 62.55, 0, 1, 63.365, -999
20140805, 64.83, 65.41, 64.41, 64.59, 458000, 63.34, 0, 1, 64.085, -999
20140804, 66.1, 66.13, 64.54, 65.19, 814200, 63.93, 0, 1, 65.015, -999
20140801, 65.6, 66.66, 65.6, 66.14, 599800, 64.86, 0, 1, 65.23, -999
20140731, 67.04, 67.39, 65.51, 65.56, 1160100, 64.29, 0, 1, 65.665, -999
20140730, 68.95, 69.24, 67.26, 67.54, 486700, 66.23, 0, 1, 67.59, -999
20140729, 69.86, 70.09, 69.03, 69.03, 287900, 67.69, 0, 1, 68.775, -999
20140728, 68.63, 70.06, 68.63, 69.98, 263000, 68.62, 0, 1, 68.625, -999
20140725, 69.46, 69.64, 68.74, 68.85, 183000, 67.51, 0, 1, 68.485, -999
20140724, 69.21, 69.6, 69.02, 69.49, 237400, 68.14, 0, 1, 68.675, -999
20140723, 69, 69.29, 68.91, 69.17, 299500, 67.83, 0, 1, 68.415, -999
20140722, 69.31, 69.44, 68.98, 69.07, 316900, 67.73, 0, 1, 68.52, -999
20140721, 69.06, 69.36, 68.84, 69.07, 224600, 67.73, 0, 1, 68.395, -999
20140718, 68.84, 69.35, 68.5, 69.14, 346000, 67.8, 0, 1, 68.32, -999
20140717, 68.98, 69.37, 68.55, 68.58, 328600, 67.25, 0, 1, 68.115, -999
20140716, 68.98, 69.24, 68.6, 69.14, 190300, 67.8, 0, 1, 68.39, -999
20140715, 68.43, 69.11, 68.43, 68.89, 276600, 67.55, 0, 1, 67.99, -999
20140714, 69.24, 69.39, 68.62, 68.7, 274000, 67.37, 0, 1, 68.305, -999
20140711, 69.46, 69.86, 69.1, 69.23, 267800, 67.89, 0, 1, 68.675, -999
20140710, 68.81, 69.85, 68.64, 69.74, 279600, 68.39, 0, 1, 68.6, -999
20140709, 69.87, 69.9, 69, 69.28, 477800, 67.94, 0, 1, 68.905, -999
