Ticker: TGT  Created on: 12/6/2014 5:26:11 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 73.52, 73.71, 72.88, 73.66, 3758800, 73.66, 0, 1, 73.59, -999
20141204, 73.33, 73.4, 72.53, 73.28, 4238000, 73.28, 0, 1, 73.305, -999
20141203, 73, 73.83, 72.59, 73.33, 6699600, 73.33, 0, 1, 73.165, -999
20141202, 72.53, 73.4, 72.38, 73.07, 4142200, 73.07, 0, 1, 72.8, -999
20141201, 73.34, 73.47, 72.06, 72.75, 7798400, 72.75, 0, 1, 73.045, -999
20141128, 72.56, 74.76, 72.56, 74, 4466500, 74, 0, 1, 73.28, -999
20141126, 71.96, 72.3, 71.73, 72.16, 4123300, 72.16, 0, 1, 72.06, -999
20141125, 71.68, 72.2, 71.36, 72.1, 6634400, 72.1, 0, 1, 71.89, -999
20141124, 71.36, 72.16, 71, 71.57, 4095100, 71.57, 0, 1, 71.465, -999
20141121, 71.8, 72.26, 71.05, 71.51, 6835200, 71.51, 0, 1, 71.655, -999
20141120, 71.34, 71.83, 70.3, 71.19, 11064500, 71.19, 0, 1, 71.265, -999
20141119, 69.95, 73.08, 69.86, 72.5, 25614400, 72.5, 0, 1, 71.225, -999
20141118, 66.96, 67.76, 66.5, 67.51, 5575400, 67.51, 0, 1, 67.235, -999
20141117, 67.58, 67.7, 66.9, 67.13, 7260200, 67.13, 0, 1, 67.355, -999
20141114, 67.33, 68.28, 67.15, 68.13, 5487200, 67.61, 0, 1, 67.47, -999
20141113, 66.96, 67.78, 66.94, 67.5, 7880200, 66.98, 0, 1, 66.97, -999
20141112, 65.49, 66.9, 65.37, 66.72, 6236600, 66.21, 0, 1, 65.85, -999
20141111, 65.44, 65.86, 65.26, 65.72, 3418200, 65.22, 0, 1, 65.33, -999
20141110, 64.84, 65.92, 64.14, 65.52, 7876600, 65.02, 0, 1, 64.93, -999
20141107, 62.28, 64.66, 62.17, 64.17, 7531300, 63.68, 0, 1, 62.98, -999
20141106, 61.33, 62, 61.13, 61.89, 3956100, 61.42, 0, 1, 61.375, -999
20141105, 61.85, 62, 60.99, 61.12, 2687700, 60.65, 0, 1, 61.25, -999
20141104, 61.56, 61.63, 60.98, 61.37, 3038300, 60.9, 0, 1, 61.23, -999
20141103, 61.82, 61.98, 61.14, 61.59, 2728000, 61.12, 0, 1, 61.47, -999
20141031, 62.25, 62.37, 61.44, 61.82, 4231400, 61.35, 0, 1, 61.8, -999
20141030, 60.81, 61.96, 60.55, 61.78, 2294300, 61.31, 0, 1, 61.06, -999
20141029, 60.72, 60.96, 60.37, 60.89, 2992200, 60.43, 0, 1, 60.575, -999
20141028, 61.25, 61.32, 60.29, 60.65, 4976500, 60.19, 0, 1, 60.72, -999
20141027, 61.55, 61.75, 61.03, 61.56, 3630500, 61.09, 0, 1, 61.32, -999
20141024, 61.95, 62.02, 61.2, 61.57, 3984500, 61.1, 0, 1, 61.525, -999
20141023, 61.79, 62.5, 61.69, 62.03, 3412700, 61.56, 0, 1, 61.675, -999
20141022, 61.77, 62.43, 61.27, 61.33, 3790600, 60.86, 0, 1, 61.315, -999
20141021, 60.69, 61.94, 60.41, 61.64, 4790200, 61.17, 0, 1, 60.93, -999
20141020, 58.96, 60.31, 58.96, 60.29, 4302200, 59.83, 0, 1, 59.395, -999
20141017, 59.93, 60.06, 58.9, 59.07, 6502300, 58.62, 0, 1, 59.275, -999
20141016, 58.83, 60.17, 58.72, 59.44, 4332600, 58.99, 0, 1, 58.91, -999
20141015, 60.86, 61.24, 59.29, 59.98, 7773900, 59.52, 0, 1, 60.19, -999
20141014, 60.96, 61.82, 60.74, 61.69, 4542600, 61.22, 0, 1, 61.09, -999
20141013, 60.55, 61.57, 60.03, 60.44, 5330000, 59.98, 0, 1, 60.265, -999
20141010, 61.68, 62.44, 60.55, 60.59, 6201900, 60.13, 0, 1, 60.905, -999
20141009, 62.75, 63.09, 61.42, 61.6, 4349000, 61.13, 0, 1, 61.94, -999
20141008, 61.68, 62.96, 61.52, 62.81, 3951200, 62.33, 0, 1, 62.005, -999
20141007, 62.02, 62.08, 61.33, 61.54, 3661900, 61.07, 0, 1, 61.545, -999
20141006, 63.03, 63.34, 62.19, 62.28, 2481300, 61.8, 0, 1, 62.415, -999
20141003, 63.09, 63.45, 62.77, 63.07, 2606500, 62.59, 0, 1, 62.84, -999
20141002, 62.14, 62.7, 61.61, 62.57, 3199800, 62.09, 0, 1, 62.115, -999
20141001, 62.68, 62.9, 62.03, 62.07, 3876400, 61.6, 0, 1, 62.14, -999
20140930, 62.86, 63.09, 62.52, 62.68, 2557700, 62.2, 0, 1, 62.53, -999
20140929, 62.57, 63.16, 62.53, 63.04, 2170300, 62.56, 0, 1, 62.565, -999
