Ticker: THC  Created on: 12/6/2014 5:26:12 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 48.79, 51.96, 48.77, 51.79, 2619500, 51.79, 0, 1, 50.29, -999
20141204, 47.19, 48.78, 47.01, 48.42, 2080000, 48.42, 0, 1, 47.805, -999
20141203, 46.82, 47.5, 46.74, 47.15, 1297500, 47.15, 0, 1, 46.985, -999
20141202, 46.83, 47.08, 46.41, 46.75, 1232400, 46.75, 0, 1, 46.79, -999
20141201, 47.82, 48.21, 46.69, 46.76, 1272300, 46.76, 0, 1, 47.29, -999
20141128, 48.07, 48.43, 47.51, 48.05, 517800, 48.05, 0, 1, 48.06, -999
20141126, 49.14, 49.37, 48.06, 48.23, 1225100, 48.23, 0, 1, 48.685, -999
20141125, 48.55, 49.18, 48.36, 49.15, 1539700, 49.15, 0, 1, 48.85, -999
20141124, 48.26, 50.11, 48.26, 48.54, 1782900, 48.54, 0, 1, 48.4, -999
20141121, 48, 48.49, 47.6, 48.14, 2047000, 48.14, 0, 1, 48.07, -999
20141120, 47.28, 47.79, 47, 47.5, 1561900, 47.5, 0, 1, 47.39, -999
20141119, 48.89, 49.04, 47.68, 47.71, 1477400, 47.71, 0, 1, 48.3, -999
20141118, 47.46, 49.3, 47.36, 49.15, 2639600, 49.15, 0, 1, 48.305, -999
20141117, 46.52, 47.57, 46.01, 47.46, 2791500, 47.46, 0, 1, 46.99, -999
20141114, 47.61, 48.36, 46.44, 46.5, 2560800, 46.5, 0, 1, 47.055, -999
20141113, 48.2, 48.74, 47.4, 47.94, 1697000, 47.94, 0, 1, 48.07, -999
20141112, 47.61, 48.39, 47.01, 48.12, 2114300, 48.12, 0, 1, 47.865, -999
20141111, 48.03, 48.94, 47.61, 48.27, 2533400, 48.27, 0, 1, 48.15, -999
20141110, 48.65, 49.66, 47.6, 48.03, 4203500, 48.03, 0, 1, 48.34, -999
20141107, 50.76, 51.27, 47.38, 47.85, 7841500, 47.85, 0, 1, 49.305, -999
20141106, 51.6, 52.02, 51.01, 51.18, 2394300, 51.18, 0, 1, 51.39, -999
20141105, 53.16, 53.32, 50.07, 51.4, 5772800, 51.4, 0, 1, 52.28, -999
20141104, 58, 58.03, 51.97, 53.06, 6509200, 53.06, 0, 1, 55.53, -999
20141103, 56.07, 58.97, 55.55, 56.72, 2272300, 56.72, 0, 1, 56.395, -999
20141031, 56.17, 56.54, 54.63, 56.05, 1950100, 56.05, 0, 1, 56.11, -999
20141030, 56.34, 56.44, 54.98, 55.43, 1310200, 55.43, 0, 1, 55.885, -999
20141029, 56.8, 57.56, 55.98, 56.31, 1250500, 56.31, 0, 1, 56.555, -999
20141028, 57.73, 57.95, 55.92, 56.82, 2227100, 56.82, 0, 1, 57.275, -999
20141027, 57.86, 58.05, 57, 57.49, 671200, 57.49, 0, 1, 57.675, -999
20141024, 58.34, 58.34, 57.11, 58.22, 911900, 58.22, 0, 1, 58.28, -999
20141023, 58.14, 58.79, 57.44, 58.09, 906900, 58.09, 0, 1, 58.115, -999
20141022, 58.9, 59.18, 57.41, 57.62, 869100, 57.62, 0, 1, 58.26, -999
20141021, 56.99, 59.28, 56.95, 58.87, 1233700, 58.87, 0, 1, 57.93, -999
20141020, 56.36, 57.37, 55.35, 56.45, 1218500, 56.45, 0, 1, 56.405, -999
20141017, 56.05, 57.76, 55.98, 56.58, 1929700, 56.58, 0, 1, 56.315, -999
20141016, 53.61, 56.14, 53.5, 55.6, 3234900, 55.6, 0, 1, 54.605, -999
20141015, 53.8, 54.2, 51.43, 53.38, 3216600, 53.38, 0, 1, 53.59, -999
20141014, 55.12, 56.14, 53.91, 54.65, 2141700, 54.65, 0, 1, 54.885, -999
20141013, 55.41, 56.72, 54.59, 54.65, 1487600, 54.65, 0, 1, 55.03, -999
20141010, 55.73, 57.22, 55.49, 55.53, 1173300, 55.53, 0, 1, 55.63, -999
20141009, 58.16, 58.25, 55.86, 55.97, 1503900, 55.97, 0, 1, 57.065, -999
20141008, 56.73, 58.52, 56.35, 58.19, 2117100, 58.19, 0, 1, 57.46, -999
20141007, 57.28, 58.4, 56.98, 57.03, 1578700, 57.03, 0, 1, 57.155, -999
20141006, 58.98, 59.4, 57.33, 57.65, 1378800, 57.65, 0, 1, 58.315, -999
20141003, 58.57, 59.65, 58.2, 58.84, 1966600, 58.84, 0, 1, 58.705, -999
20141002, 57.85, 58.37, 55.48, 58.15, 2093800, 58.15, 0, 1, 58, -999
20141001, 59.39, 59.52, 57.43, 57.74, 1473200, 57.74, 0, 1, 58.565, -999
20140930, 60.86, 61.01, 59.24, 59.39, 1376800, 59.39, 0, 1, 60.125, -999
20140929, 60.23, 61, 59.9, 60.64, 824800, 60.64, 0, 1, 60.435, -999
20140926, 61.84, 62.65, 60.27, 60.75, 992000, 60.75, 0, 1, 61.295, -999
20140925, 62.87, 62.9, 61.49, 61.84, 751200, 61.84, 0, 1, 62.355, -999
20140924, 62.32, 63.23, 61.8, 63.13, 1034200, 63.13, 0, 1, 62.725, -999
20140923, 62.42, 62.93, 61.79, 62.33, 1021900, 62.33, 0, 1, 62.375, -999
20140922, 63.31, 63.61, 62.26, 62.45, 774300, 62.45, 0, 1, 62.88, -999
20140919, 63.17, 63.51, 62.58, 63.27, 1478000, 63.27, 0, 1, 63.22, -999
20140918, 62.37, 62.97, 61.92, 62.71, 1052400, 62.71, 0, 1, 62.54, -999
20140917, 62, 62.57, 61.54, 62.31, 1130600, 62.31, 0, 1, 62.155, -999
20140916, 60.48, 62.07, 60.28, 61.9, 979800, 61.9, 0, 1, 61.19, -999
20140915, 61.66, 61.98, 60.59, 60.68, 768400, 60.68, 0, 1, 61.17, -999
20140912, 62.66, 63.23, 60.96, 61.53, 1769700, 61.53, 0, 1, 62.095, -999
20140911, 60.69, 62.96, 60.67, 62.84, 1366100, 62.84, 0, 1, 61.765, -999
20140910, 61.16, 61.16, 60.13, 60.87, 962100, 60.87, 0, 1, 61.015, -999
20140909, 59.42, 62.37, 59.42, 60.97, 2749200, 60.97, 0, 1, 60.195, -999
20140908, 57.74, 59.05, 57.74, 58.99, 1533100, 58.99, 0, 1, 58.365, -999
20140905, 56.81, 58.1, 56.81, 57.71, 2137400, 57.71, 0, 1, 57.26, -999
20140904, 60.1, 60.1, 56.51, 57, 3750300, 57, 0, 1, 58.55, -999
20140903, 61, 61.12, 60.02, 60.1, 1175900, 60.1, 0, 1, 60.55, -999
20140902, 61.1, 61.12, 59.16, 60.76, 1216200, 60.76, 0, 1, 60.93, -999
20140829, 60.04, 61.8, 60.03, 61.18, 1175900, 61.18, 0, 1, 60.61, -999
20140828, 60.23, 60.57, 59.86, 59.99, 1117100, 59.99, 0, 1, 60.11, -999
20140827, 60.54, 61.12, 60.29, 60.37, 877400, 60.37, 0, 1, 60.455, -999
20140826, 60.05, 60.94, 59.92, 60.42, 1527600, 60.42, 0, 1, 60.235, -999
20140825, 60.42, 60.58, 59.4, 59.9, 1029100, 59.9, 0, 1, 60.16, -999
20140822, 60.06, 60.91, 59.97, 60.59, 657500, 60.59, 0, 1, 60.325, -999
20140821, 60.31, 60.41, 59.77, 60.06, 717500, 60.06, 0, 1, 60.185, -999
20140820, 59.64, 60.51, 59.25, 60.15, 1307300, 60.15, 0, 1, 59.895, -999
20140819, 60.4, 60.62, 59.5, 59.81, 1406600, 59.81, 0, 1, 60.105, -999
20140818, 59, 60.24, 58.52, 60.17, 1311700, 60.17, 0, 1, 59.585, -999
20140815, 58.89, 59.04, 58.09, 58.6, 1041300, 58.6, 0, 1, 58.745, -999
20140814, 57.78, 58.84, 57.68, 58.64, 1178700, 58.64, 0, 1, 58.21, -999
20140813, 57.01, 57.73, 56.85, 57.69, 1396100, 57.69, 0, 1, 57.35, -999
20140812, 56.69, 57.15, 56.39, 56.98, 974800, 56.98, 0, 1, 56.835, -999
20140811, 57.06, 57.86, 56.45, 56.83, 1411000, 56.83, 0, 1, 56.945, -999
20140808, 56.88, 57.52, 55.42, 56.83, 1700100, 56.83, 0, 1, 56.855, -999
20140807, 56.28, 58.03, 56.28, 56.97, 2795400, 56.97, 0, 1, 56.625, -999
20140806, 54.37, 56.38, 54.12, 56.14, 3090700, 56.14, 0, 1, 55.255, -999
20140805, 54.01, 56.72, 53.82, 54.83, 5118100, 54.83, 0, 1, 54.42, -999
20140804, 52.53, 53.65, 52.4, 53.3, 2548200, 53.3, 0, 1, 52.915, -999
20140801, 52.64, 53.9, 52.03, 52.34, 2087000, 52.34, 0, 1, 52.49, -999
20140731, 53.53, 53.72, 52.62, 52.77, 2332100, 52.77, 0, 1, 53.15, -999
20140730, 54.11, 54.28, 53.06, 53.94, 1969400, 53.94, 0, 1, 54.025, -999
20140729, 54.32, 55.34, 53.7, 54, 1844800, 54, 0, 1, 54.16, -999
20140728, 53.61, 54.5, 53.12, 53.82, 2213000, 53.82, 0, 1, 53.715, -999
20140725, 50.58, 53.87, 50.43, 53.61, 5022600, 53.61, 0, 1, 52.095, -999
