Ticker: TIF  Created on: 12/6/2014 5:26:16 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 107.27, 107.48, 106.35, 107.46, 634000, 107.46, 0, 1, 107.365, -999
20141204, 106.88, 107.81, 106.68, 107.33, 838600, 107.33, 0, 1, 107.105, -999
20141203, 106.98, 107.55, 106.51, 107.19, 1502400, 107.19, 0, 1, 107.085, -999
20141202, 106.85, 107.67, 106.67, 107.4, 1196700, 107.4, 0, 1, 107.125, -999
20141201, 107.28, 107.36, 106.3, 106.8, 1389100, 106.8, 0, 1, 107.04, -999
20141128, 106.54, 108.38, 106.34, 107.92, 823700, 107.92, 0, 1, 107.23, -999
20141126, 107.6, 107.8, 105.75, 106.21, 1560600, 106.21, 0, 1, 106.905, -999
20141125, 109.18, 110.6, 106.22, 107.6, 3736500, 107.6, 0, 1, 108.39, -999
20141124, 104, 105.21, 103.35, 105.01, 2826900, 105.01, 0, 1, 104.505, -999
20141121, 104.95, 105.24, 102.94, 103.91, 1300200, 103.91, 0, 1, 104.43, -999
20141120, 102.36, 104.33, 102.01, 104.28, 672800, 104.28, 0, 1, 103.32, -999
20141119, 101.7, 102.85, 101.33, 102.69, 949000, 102.69, 0, 1, 102.195, -999
20141118, 101.52, 102.65, 101.24, 102.02, 660200, 102.02, 0, 1, 101.77, -999
20141117, 102.18, 102.64, 101.41, 101.78, 667100, 101.78, 0, 1, 101.98, -999
20141114, 103.3, 103.71, 102.18, 102.39, 781800, 102.39, 0, 1, 102.845, -999
20141113, 102.73, 103.8, 101.66, 103.31, 1274300, 103.31, 0, 1, 103.02, -999
20141112, 99.66, 103, 99.31, 102.89, 1404800, 102.89, 0, 1, 101.275, -999
20141111, 99.88, 100.3, 99.52, 99.94, 524500, 99.94, 0, 1, 99.91, -999
20141110, 98.75, 99.9, 98.46, 99.58, 783100, 99.58, 0, 1, 99.165, -999
20141107, 97.8, 99.5, 97.62, 98.86, 1128000, 98.86, 0, 1, 98.33, -999
20141106, 96.01, 98.15, 96.01, 98, 1112900, 98, 0, 1, 97.005, -999
20141105, 95.11, 95.75, 94.83, 95.72, 672700, 95.72, 0, 1, 95.415, -999
20141104, 95.06, 95.73, 94, 94.34, 1131600, 94.34, 0, 1, 94.7, -999
20141103, 96.28, 96.93, 95.72, 96.34, 656600, 96.34, 0, 1, 96.31, -999
20141031, 96.64, 96.97, 95.61, 96.12, 761400, 96.12, 0, 1, 96.38, -999
20141030, 94.67, 95.94, 94.04, 95.26, 505100, 95.26, 0, 1, 94.965, -999
20141029, 94.64, 95.54, 94.02, 94.76, 602700, 94.76, 0, 1, 94.7, -999
20141028, 94.44, 94.81, 93.43, 94.74, 770500, 94.74, 0, 1, 94.59, -999
20141027, 94.24, 94.63, 93.72, 94.43, 388900, 94.43, 0, 1, 94.335, -999
20141024, 94.2, 94.85, 93.1, 94.44, 807600, 94.44, 0, 1, 94.32, -999
20141023, 93.9, 95.17, 93.63, 94.4, 1532100, 94.4, 0, 1, 94.15, -999
20141022, 93.5, 94.38, 92.69, 93, 1085500, 93, 0, 1, 93.25, -999
20141021, 91.89, 93.25, 91.52, 93.21, 770800, 93.21, 0, 1, 92.55, -999
20141020, 88.82, 91.14, 88.33, 91.03, 1391300, 91.03, 0, 1, 89.925, -999
20141017, 91.5, 91.71, 88.65, 88.84, 1908300, 88.84, 0, 1, 90.17, -999
20141016, 87.59, 91.43, 86.41, 90.72, 1926400, 90.72, 0, 1, 89.155, -999
20141015, 87.67, 88.68, 85.69, 87.77, 1750600, 87.77, 0, 1, 87.72, -999
20141014, 89.5, 89.99, 88.63, 88.86, 1193300, 88.86, 0, 1, 89.18, -999
20141013, 91.5, 91.51, 89.07, 89.21, 1192500, 89.21, 0, 1, 90.355, -999
20141010, 92.58, 92.94, 91.47, 91.49, 1376000, 91.49, 0, 1, 92.035, -999
20141009, 94.86, 95.28, 91.87, 92.63, 1357400, 92.63, 0, 1, 93.745, -999
20141008, 93.84, 95.13, 93.1, 94.99, 1021900, 94.99, 0, 1, 94.415, -999
20141007, 94.4, 94.55, 93.17, 93.59, 1565700, 93.59, 0, 1, 93.995, -999
20141006, 95.36, 96.57, 95, 95.15, 1000900, 95.15, 0, 1, 95.255, -999
20141003, 95.55, 95.67, 94.8, 95.15, 1048400, 95.15, 0, 1, 95.35, -999
20141002, 94.71, 95.56, 93.11, 95.05, 1378700, 95.05, 0, 1, 94.88, -999
20141001, 96.21, 96.29, 94.09, 94.33, 1967400, 94.33, 0, 1, 95.27, -999
20140930, 97.59, 97.72, 95.65, 96.31, 1313300, 96.31, 0, 1, 96.95, -999
20140929, 96.71, 97.97, 96.7, 97.36, 716100, 97.36, 0, 1, 97.035, -999
20140926, 97.69, 98.72, 97.65, 98.14, 549300, 98.14, 0, 1, 97.915, -999
20140925, 98.43, 98.9, 97.4, 97.49, 996300, 97.49, 0, 1, 97.96, -999
20140924, 96, 98.58, 95.95, 98.5, 1256300, 98.5, 0, 1, 97.25, -999
20140923, 97, 97.25, 95.88, 95.99, 940100, 95.99, 0, 1, 96.495, -999
20140922, 98.82, 98.9, 96.44, 97.02, 1293400, 97.02, 0, 1, 97.92, -999
20140919, 100.53, 100.64, 99.33, 99.55, 1057300, 99.55, 0, 1, 100.04, -999
20140918, 100.34, 100.34, 99.71, 99.99, 852200, 99.99, 0.38, 1, 100.165, -999
20140917, 101.39, 101.46, 100.09, 100.23, 1510200, 99.85, 0, 1, 100.62, -999
20140916, 100.44, 101.88, 100.01, 101.41, 927600, 101.03, 0, 1, 100.735, -999
20140915, 100.92, 100.97, 100.01, 100.71, 985000, 100.33, 0, 1, 100.625, -999
20140912, 101.47, 101.6, 100.62, 101.15, 690500, 100.77, 0, 1, 101.12, -999
20140911, 100.68, 101.22, 100.44, 101.18, 611500, 100.8, 0, 1, 100.74, -999
20140910, 100.41, 101.29, 100.29, 101.09, 794000, 100.71, 0, 1, 100.56, -999
20140909, 102.2, 102.5, 101.57, 101.6, 662300, 101.21, 0, 1, 101.705, -999
20140908, 103.13, 103.46, 102.23, 102.54, 1164700, 102.15, 0, 1, 102.64, -999
20140905, 102.37, 103.58, 101.18, 103.47, 906600, 103.08, 0, 1, 102.725, -999
20140904, 101.11, 103.22, 101.04, 102.64, 1394300, 102.25, 0, 1, 101.68, -999
20140903, 102.14, 102.38, 100.51, 100.86, 1117200, 100.48, 0, 1, 101.31, -999
20140902, 101.33, 102.15, 101.12, 101.68, 887400, 101.29, 0, 1, 101.31, -999
20140829, 101.62, 101.91, 100.83, 100.94, 760500, 100.56, 0, 1, 101.09, -999
20140828, 101.25, 102.2, 100.4, 101.64, 1155300, 101.25, 0, 1, 101.25, -999
20140827, 104.61, 105.66, 101.14, 101.75, 4638500, 101.36, 0, 1, 102.985, -999
20140826, 100.51, 101.62, 99.78, 100.77, 1837900, 100.39, 0, 1, 100.45, -999
20140825, 100.96, 101.74, 100.07, 100.23, 777200, 99.85, 0, 1, 100.405, -999
20140822, 99.41, 100.59, 99.07, 100.54, 707000, 100.16, 0, 1, 99.785, -999
20140821, 99.76, 100.64, 99.2, 99.22, 868700, 98.84, 0, 1, 99.3, -999
20140820, 98.71, 99.61, 98.42, 99.47, 466600, 99.09, 0, 1, 98.9, -999
20140819, 98.01, 99.17, 98.01, 99.09, 608000, 98.71, 0, 1, 98.36, -999
20140818, 97.23, 98.25, 97, 98.11, 698900, 97.74, 0, 1, 97.485, -999
20140815, 97.09, 97.42, 95.72, 96.51, 914400, 96.14, 0, 1, 96.615, -999
20140814, 97.28, 97.36, 96.81, 96.99, 641700, 96.62, 0, 1, 96.95, -999
20140813, 98.77, 98.85, 95.38, 96.98, 2708500, 96.61, 0, 1, 97.69, -999
20140812, 99.11, 99.89, 98.75, 99.55, 662700, 99.17, 0, 1, 99.14, -999
20140811, 99.42, 99.67, 98.68, 99.32, 396100, 98.94, 0, 1, 99.18, -999
20140808, 97.38, 99.15, 97.05, 99, 548900, 98.62, 0, 1, 98, -999
20140807, 98.2, 98.35, 96.84, 97.06, 511100, 96.69, 0, 1, 97.445, -999
20140806, 96.54, 98.23, 96.51, 97.79, 580900, 97.42, 0, 1, 96.98, -999
20140805, 97.05, 98.08, 96.96, 97.15, 476500, 96.78, 0, 1, 96.915, -999
20140804, 97.06, 97.93, 96.39, 97.49, 680500, 97.12, 0, 1, 97.09, -999
20140801, 97.43, 98.02, 96.44, 96.82, 903700, 96.45, 0, 1, 96.94, -999
20140731, 98.51, 99.11, 97.47, 97.61, 1066100, 97.24, 0, 1, 97.875, -999
20140730, 98.1, 99.81, 97.73, 99.67, 1593500, 99.29, 0, 1, 98.695, -999
20140729, 98.27, 98.47, 97.57, 97.6, 1033600, 97.23, 0, 1, 97.75, -999
20140728, 99.35, 99.78, 98.04, 98.25, 888700, 97.88, 0, 1, 98.615, -999
20140725, 99.75, 100.46, 99.05, 99.33, 865600, 98.95, 0, 1, 99.35, -999
20140724, 99.4, 100.59, 99.35, 100.25, 969300, 99.87, 0, 1, 99.635, -999
20140723, 99.74, 99.74, 98.99, 99.28, 413100, 98.9, 0, 1, 99.32, -999
20140722, 99.25, 99.72, 98.91, 99.52, 579500, 99.14, 0, 1, 99.195, -999
20140721, 99.05, 99.89, 98.61, 99.09, 462600, 98.71, 0, 1, 98.88, -999
