Ticker: TJX  Created on: 12/6/2014 5:26:17 PM
Date,Open,High,Low,Close,Volume,AdjustedClose,Dividend,SplitFactor,VWAP, ShareOutstanding
20141205, 65.91, 66.25, 65.4, 65.58, 2335100, 65.58, 0, 1, 65.745, -999
20141204, 65.61, 65.91, 65.14, 65.91, 2671100, 65.91, 0, 1, 65.76, -999
20141203, 66.08, 66.37, 65.48, 65.86, 3620200, 65.86, 0, 1, 65.97, -999
20141202, 65.3, 65.69, 64.72, 65.24, 2701100, 65.24, 0, 1, 65.27, -999
20141201, 65.6, 65.84, 64.72, 65.23, 4454900, 65.23, 0, 1, 65.415, -999
20141128, 64.84, 66.47, 64.83, 66.16, 3240000, 66.16, 0, 1, 65.5, -999
20141126, 64.23, 64.71, 64.23, 64.52, 3456100, 64.52, 0, 1, 64.375, -999
20141125, 64.45, 64.94, 63.96, 63.96, 8484800, 63.96, 0, 1, 64.205, -999
20141124, 63.58, 63.86, 63.31, 63.51, 3996200, 63.51, 0, 1, 63.545, -999
20141121, 63.88, 64.23, 63.41, 63.56, 5167000, 63.56, 0, 1, 63.72, -999
20141120, 62, 63.53, 61.93, 63.36, 6340600, 63.36, 0, 1, 62.68, -999
20141119, 61.94, 62.89, 61.35, 62.13, 5222400, 62.13, 0, 1, 62.035, -999
20141118, 60.98, 62, 59.69, 61.64, 15927400, 61.64, 0, 1, 61.31, -999
20141117, 62.33, 62.8, 61.5, 61.54, 6131600, 61.54, 0, 1, 61.935, -999
20141114, 61.85, 62.56, 61.82, 62.32, 6680700, 62.32, 0, 1, 62.085, -999
20141113, 63.95, 64.15, 63.18, 63.5, 3807200, 63.5, 0, 1, 63.725, -999
20141112, 63.35, 63.86, 63.32, 63.73, 5958100, 63.73, 0, 1, 63.54, -999
20141111, 64.01, 64.18, 63.16, 63.25, 4388800, 63.25, 0, 1, 63.63, -999
20141110, 63.77, 63.95, 63.37, 63.92, 3126400, 63.92, 0, 1, 63.845, -999
20141107, 64.5, 64.82, 63.96, 64, 2916900, 63.83, 0, 1, 64.165, -999
20141106, 63.79, 64.63, 63.46, 64.56, 3647600, 64.38, 0, 1, 64.085, -999
20141105, 64, 64.28, 63.55, 63.72, 3104800, 63.55, 0, 1, 63.775, -999
20141104, 63.82, 64.09, 63.52, 63.86, 2776600, 63.69, 0, 1, 63.755, -999
20141103, 64.1, 64.13, 63.23, 63.9, 3536800, 63.73, 0, 1, 63.915, -999
20141031, 63.98, 64.2, 62.94, 63.32, 3400900, 63.15, 0, 1, 63.565, -999
20141030, 62.29, 63.37, 62.25, 63.25, 2756300, 63.08, 0, 1, 62.685, -999
20141029, 62.59, 63.26, 62.27, 62.72, 2867900, 62.55, 0, 1, 62.57, -999
20141028, 62.67, 62.82, 62.02, 62.7, 2786200, 62.53, 0, 1, 62.6, -999
20141027, 62.08, 62.9, 62.08, 62.83, 2501300, 62.66, 0, 1, 62.37, -999
20141024, 62.12, 62.45, 61.7, 62.08, 3162000, 61.91, 0, 1, 62.015, -999
20141023, 62.08, 62.85, 61.97, 62.34, 3322300, 62.17, 0, 1, 62.125, -999
20141022, 61.74, 62.9, 61.48, 61.62, 5570700, 61.45, 0, 1, 61.595, -999
20141021, 61, 62.61, 60.43, 62.16, 4740200, 61.99, 0, 1, 61.495, -999
20141020, 60.15, 60.93, 60.15, 60.66, 7070100, 60.49, 0, 1, 60.32, -999
20141017, 60.33, 60.63, 59.65, 60.4, 7058600, 60.23, 0, 1, 60.28, -999
20141016, 59.26, 60.25, 59.22, 59.62, 7120300, 59.46, 0, 1, 59.36, -999
20141015, 60.65, 61.22, 59.43, 60.1, 6752900, 59.94, 0, 1, 60.295, -999
20141014, 61.02, 61.62, 60.86, 61.41, 4633400, 61.24, 0, 1, 61.13, -999
20141013, 61.5, 61.66, 60.57, 60.63, 3894400, 60.46, 0, 1, 60.98, -999
20141010, 60.66, 62.18, 60.63, 61.57, 5393400, 61.4, 0, 1, 61.03, -999
20141009, 60.66, 61.32, 60.39, 60.49, 4980700, 60.32, 0, 1, 60.49, -999
20141008, 59.87, 61.05, 59.6, 60.99, 3770300, 60.82, 0, 1, 60.345, -999
20141007, 59.94, 60.42, 59.69, 59.69, 3027200, 59.53, 0, 1, 59.735, -999
20141006, 61.17, 61.24, 60.24, 60.3, 2375100, 60.14, 0, 1, 60.655, -999
20141003, 60.25, 61.42, 60.25, 61.08, 3887600, 60.91, 0, 1, 60.58, -999
20141002, 59.41, 60.1, 59.16, 59.95, 3123400, 59.79, 0, 1, 59.6, -999
20141001, 59.27, 59.79, 58.96, 59.22, 3413600, 59.06, 0, 1, 59.165, -999
20140930, 59.6, 59.68, 59.17, 59.17, 3414700, 59.01, 0, 1, 59.305, -999
20140929, 59.33, 60.13, 59.14, 59.8, 3085400, 59.64, 0, 1, 59.485, -999
20140926, 59.45, 60.25, 59.33, 59.92, 4123800, 59.76, 0, 1, 59.605, -999
20140925, 60.01, 60.36, 59.15, 59.3, 4973800, 59.14, 0, 1, 59.575, -999
20140924, 58.89, 60.49, 58.78, 60.36, 4996900, 60.19, 0, 1, 59.54, -999
20140923, 59.04, 59.19, 58.58, 58.76, 3903500, 58.6, 0, 1, 58.82, -999
20140922, 59.66, 59.76, 58.94, 59.18, 2687700, 59.02, 0, 1, 59.34, -999
20140919, 60.49, 60.56, 59.64, 59.65, 4352900, 59.49, 0, 1, 59.99, -999
20140918, 60.14, 60.52, 60.05, 60.22, 2125400, 60.06, 0, 1, 60.1, -999
20140917, 60.26, 60.29, 59.59, 59.92, 2203400, 59.76, 0, 1, 60.01, -999
20140916, 59.71, 60.66, 59.51, 60.23, 3107000, 60.07, 0, 1, 59.89, -999
20140915, 59.77, 59.95, 59.58, 59.7, 1933400, 59.54, 0, 1, 59.655, -999
20140912, 60.35, 60.36, 59.52, 59.89, 2353200, 59.73, 0, 1, 60.04, -999
20140911, 59.65, 60.34, 59.58, 60.18, 2812900, 60.02, 0, 1, 59.835, -999
20140910, 59.84, 60.05, 59.46, 59.7, 2926400, 59.54, 0, 1, 59.69, -999
20140909, 60.22, 60.25, 59.49, 59.72, 4269300, 59.56, 0, 1, 59.89, -999
20140908, 60.74, 60.99, 60.31, 60.53, 3060000, 60.36, 0, 1, 60.55, -999
20140905, 60.68, 61.18, 60, 61.15, 3276600, 60.98, 0, 1, 60.83, -999
20140904, 60.4, 61.25, 60.37, 60.89, 3385100, 60.72, 0, 1, 60.56, -999
20140903, 60.63, 60.75, 60.15, 60.36, 2689800, 60.19, 0, 1, 60.41, -999
20140902, 59.88, 60.65, 59.83, 60.44, 4498200, 60.27, 0, 1, 60.075, -999
20140829, 59.86, 59.88, 59.41, 59.61, 2469900, 59.45, 0, 1, 59.655, -999
20140828, 59.04, 60.04, 58.77, 59.77, 3859800, 59.61, 0, 1, 59.325, -999
20140827, 59.49, 59.7, 59.32, 59.54, 3328400, 59.38, 0, 1, 59.435, -999
20140826, 59.03, 59.68, 58.94, 59.5, 5561700, 59.34, 0, 1, 59.185, -999
20140825, 59.5, 59.64, 58.95, 58.98, 3592300, 58.82, 0, 1, 59.16, -999
20140822, 59.01, 59.47, 58.97, 59.36, 3769200, 59.2, 0, 1, 59.105, -999
20140821, 59.4, 59.5, 58.62, 58.91, 4591800, 58.75, 0, 1, 59.075, -999
20140820, 58.25, 59.7, 57.94, 59.4, 8253800, 59.24, 0, 1, 58.745, -999
20140819, 56.73, 59.5, 56.49, 58.56, 15917500, 58.4, 0, 1, 57.565, -999
20140818, 53.59, 54.34, 53.43, 53.9, 5332500, 53.75, 0, 1, 53.67, -999
20140815, 54.03, 54.03, 53, 53.14, 4232900, 52.99, 0, 1, 53.51, -999
20140814, 53.67, 54.09, 53.37, 53.96, 3902100, 53.81, 0, 1, 53.74, -999
20140813, 54.1, 54.13, 53.27, 53.34, 5251900, 53.19, 0, 1, 53.645, -999
20140812, 54.33, 54.63, 54.12, 54.21, 3250900, 54.06, 0.175, 1, 54.195, -999
20140811, 55.02, 55.15, 54.39, 54.46, 2879200, 54.14, 0, 1, 54.58, -999
20140808, 53.63, 54.94, 53.61, 54.9, 3968800, 54.57, 0, 1, 54.1, -999
20140807, 54.11, 54.36, 53.4, 53.49, 2168500, 53.17, 0, 1, 53.64, -999
20140806, 52.76, 54.34, 52.76, 53.91, 3947000, 53.59, 0, 1, 53.175, -999
20140805, 53.71, 53.71, 53.01, 53.14, 3411600, 52.82, 0, 1, 53.265, -999
20140804, 53.89, 53.89, 53.03, 53.71, 2705200, 53.39, 0, 1, 53.64, -999
20140801, 52.98, 53.42, 52.92, 53.12, 3630400, 52.8, 0, 1, 52.89, -999
20140731, 52.99, 53.63, 52.92, 53.29, 5232200, 52.97, 0, 1, 52.98, -999
20140730, 52.77, 53.79, 52.69, 53.68, 4235900, 53.36, 0, 1, 53.065, -999
20140729, 52.74, 53.05, 52.49, 52.49, 2878400, 52.18, 0, 1, 52.46, -999
20140728, 52.87, 53.06, 52.6, 52.64, 3876900, 52.33, 0, 1, 52.6, -999
20140725, 53.03, 53.27, 52.54, 52.55, 3092700, 52.24, 0, 1, 52.635, -999
20140724, 53.44, 53.74, 53.18, 53.21, 3508300, 52.89, 0, 1, 53.165, -999
20140723, 52.65, 53.25, 52.64, 53.1, 3670800, 52.78, 0, 1, 52.715, -999
20140722, 52.79, 52.83, 52.42, 52.48, 2920400, 52.17, 0, 1, 52.48, -999
20140721, 52.85, 52.87, 52.01, 52.39, 3590700, 52.08, 0, 1, 52.465, -999
20140718, 52.45, 53.01, 51.91, 52.98, 3665000, 52.67, 0, 1, 52.56, -999
20140717, 52.36, 52.67, 52.13, 52.23, 5978100, 51.92, 0, 1, 52.14, -999
20140716, 53.94, 53.94, 52.53, 52.58, 8381400, 52.27, 0, 1, 53.105, -999
20140715, 53.28, 54, 53.19, 53.94, 4775800, 53.62, 0, 1, 53.45, -999
20140714, 53.95, 53.95, 53.24, 53.45, 3159700, 53.13, 0, 1, 53.54, -999
20140711, 53.61, 53.79, 53.31, 53.55, 2803000, 53.23, 0, 1, 53.42, -999
20140710, 53.91, 54.24, 53.6, 53.78, 4041400, 53.46, 0, 1, 53.685, -999
20140709, 53.94, 54.73, 53.91, 54.48, 4113800, 54.16, 0, 1, 54.05, -999
20140708, 53.4, 53.96, 53.13, 53.85, 4489400, 53.53, 0, 1, 53.465, -999
20140707, 53.63, 53.84, 53.27, 53.41, 5275100, 53.09, 0, 1, 53.36, -999
20140703, 53.75, 54.01, 53.68, 53.8, 2186400, 53.48, 0, 1, 53.615, -999
20140702, 53.42, 53.96, 53.41, 53.71, 3151200, 53.39, 0, 1, 53.405, -999
20140701, 53.07, 53.61, 53.03, 53.51, 3511100, 53.19, 0, 1, 53.13, -999
20140630, 52.83, 53.23, 52.83, 53.15, 4847900, 52.83, 0, 1, 52.83, -999
20140627, 52.69, 53.08, 52.63, 52.77, 5347600, 52.46, 0, 1, 52.575, -999
20140626, 53.19, 53.28, 51.97, 52.82, 7205600, 52.51, 0, 1, 52.85, -999
20140625, 53.79, 53.9, 52.95, 53.14, 8462600, 52.82, 0, 1, 53.305, -999
20140624, 54.8, 54.84, 53.82, 53.84, 4910100, 53.52, 0, 1, 54.16, -999
20140623, 54.79, 55.05, 54.54, 54.81, 3495300, 54.48, 0, 1, 54.635, -999
20140620, 55.38, 55.46, 54.89, 54.95, 5368200, 54.62, 0, 1, 55, -999
20140619, 55.58, 55.58, 55.06, 55.12, 3085700, 54.79, 0, 1, 55.185, -999
